X72n1441_001:0674b06	 法會錄序	 法 會 錄 序 
X72n1441_001:0674b08	東晉遠公。與隱士劉遺民雷次宗宗炳諸贒。結社東	東 晉 遠 公 與 隱 士 劉 遺 民 雷 次 宗 宗 炳 諸 贒 結 社 東 
X72n1441_001:0674b09	林。每於六齋日講道。互相徵詰。究明佛理。為淨土資	林 每 於 六 齋 日 講 道 互 相 徵 詰 究 明 佛 理 為 淨 土 資 
X72n1441_001:0674b10	糧。	糧 
X72n1441_001:0674b11	霖和尚之飛錫白雲也。亦於齋日。會諸仁者。東語西	霖 和 尚 之 飛 錫 白 雲 也 亦 於 齋 日 會 諸 仁 者 東 語 西 
X72n1441_001:0674b12	話。若禪若教。不靳披剝。明白簡易。如指諸掌。即釋尊	話 若 禪 若 教 不 靳 披 剝 明 白 簡 易 如 指 諸 掌 即 釋 尊 
X72n1441_001:0674b13	四十九秊。隨機說法。及末後拈花示眾。不是過也。豈	四 十 九 秊 隨 機 說 法 及 末 後 拈 花 示 眾 不 是 過 也 豈 
X72n1441_001:0674b14	非師之婆心徹困。落草求人者乎。予少嗜內典。尚作	非 師 之 婆 心 徹 困 落 草 求 人 者 乎 予 少 嗜 內 典 尚 作 
X72n1441_001:0674b15	文字解。迨歷三十載。窮通得喪。而津津有得。至今日	文 字 解 迨 歷 三 十 載 窮 通 得 喪 而 津 津 有 得 至 今 日 
X72n1441_001:0674b16	而寢食與俱。當凶悔憂虞之境。所謂愛別離苦。冤憎	而 寢 食 與 俱 當 凶 悔 憂 虞 之 境 所 謂 愛別離苦 冤 憎 
X72n1441_001:0674b17	會苦。求不得苦。諸苦畢集。然真張一菴。決不受此苦	會 苦 求不得苦 諸 苦 畢 集 然 真 張 一 菴 決 不 受 此 苦 
X72n1441_001:0674b18	也。吾師心生憐憫。時時惠我。以所鋟經函。及古德名	也 吾 師 心 生 憐 憫 時 時 惠 我 以 所 鋟 經 函 及 古 德 名 
X72n1441_001:0674b19	言。葢知予胸中。曉了投以佛語必讀。讀之必終卷不	言 葢 知 予 胸 中 曉 了 投 以 佛 語 必 讀 讀 之 必 終 卷 不 
X72n1441_001:0674b20	忘。所謂更以異方便。助顯第。	忘 所 謂 更 以 異 方 便 助 顯 第 
X72n1441_001:0674c07	雲山法會錄	雲 山 法 會 錄 
X72n1441_001:0674c09	為霖禪師說優婆塞弟子(謝大材。潘道靖。黃大廣)同錄	為 霖 禪 師 說 優 婆 塞 弟 子 謝 大 材 潘 道 靖 黃 大 廣 同 錄 
X72n1441_001:0674c10	師云。今日與諸公聚首。將東語西話。結箇般若因緣。	師 云 今 日 與 諸 公 聚 首 將 東 語 西 話 結 箇 般 若 因 緣 
X72n1441_001:0674c11	不知從甚麼處啟口。良久云。淨法界身。本無出沒。大	不 知 從 甚 麼 處 啟 口 良 久 云 淨 法 界 身 本 無 出 沒 大 
X72n1441_001:0674c12	悲願力。示現受生。我釋迦如來。成道以來。已經塵點	悲 願 力 示 現 受 生 我 釋 迦 如 來 成 道 以 來 已 經 塵 點 
X72n1441_001:0674c13	劫數。此番出現。不為別事。唯為一大事因緣。所謂欲	劫 數 此 番 出 現 不 為 別 事 唯 為 一 大 事 因 緣 所 謂 欲 
X72n1441_001:0674c14	令眾生開示悟入佛之知見。然眾生本來是佛。知見	令 眾 生 開 示 悟 入 佛 之 知 見 然 眾 生 本 來 是 佛 知 見 
X72n1441_001:0674c15	是佛本有。只為無人開示。無由悟入。所以無始劫來。	是 佛 本 有 只 為 無 人 開 示 無 由 悟 入 所 以 無 始 劫 來 
X72n1441_001:0674c16	念念只開眾生知見。造業受報。沉淪生死。無由得出。	念 念 只 開 眾 生 知 見 造 業 受 報 沉 淪 生 死 無 由 得 出 
