X26n0545_001:0836a03	心經槩論	心 經 槩 論 
X26n0545_001:0836a05	門人　游萬儁　校正	門 人 游 萬 儁 校 正 
X26n0545_001:0836a06	心經曰。色不異空。空不異色。色即是空。空即是色。朱	心 經 曰 色不異空 空不異色 色 即 是 空 空 即 是 色 朱 
X26n0545_001:0836a07	生曰。何謂也。林子曰。爾能知色空之不到處。則此四	生 曰 何 謂 也 林 子 曰 爾 能 知 色 空 之 不 到 處 則 此 四 
X26n0545_001:0836a08	句當自明矣。又問色空之不到處。林子曰。色空之不	句 當 自 明 矣 又 問 色 空 之 不 到 處 林 子 曰 色 空 之 不 
X26n0545_001:0836a09	到處。爾之真心。爾之實地也。夫既曰色空不到處。而	到 處 爾 之 真 心 爾 之 實 地 也 夫 既 曰 色 空 不 到 處 而 
X26n0545_001:0836a10	又曰真心實地者。豈色空所不到處。尚有真心之實	又 曰 真 心 實 地 者 豈 色 空 所 不 到 處 尚 有 真 心 之 實 
X26n0545_001:0836a11	地耶。林子曰。色。色也。夫既得而色之。則亦可得而空	地 耶 林 子 曰 色 色 也 夫 既 得 而 色 之 則 亦 可 得 而 空 
X26n0545_001:0836a12	之。空。空也。夫既得而空之。則亦可得而色之。此乃塵	之 空 空 也 夫 既 得 而 空 之 則 亦 可 得 而 色 之 此 乃 塵 
X26n0545_001:0836a13	生塵滅。對待之義。殆非爾之真心實地也。而爾之真	生 塵 滅 對 待 之 義 殆 非 爾 之 真 心 實 地 也 而 爾 之 真 
X26n0545_001:0836a14	心實地。本無色也。夫誰得而空之。本無空也。夫誰得	心 實 地 本 無 色 也 夫 誰 得 而 空 之 本 無 空 也 夫 誰 得 
X26n0545_001:0836a15	而色之。而色空之經。余嘗倣其辭而襲之曰。生不異	而 色 之 而 色 空 之 經 余 嘗 倣 其 辭 而 襲 之 曰 生 不 異 
X26n0545_001:0836a16	滅。滅不異生。生即是滅。滅即是生。而爾之真心實地。	滅 滅 不 異 生 生 即 是 滅 滅 即 是 生 而 爾 之 真 心 實 地 
X26n0545_001:0836a17	豈得而色之乎。無色則無滅。又豈得而空之乎。無空	豈 得 而 色 之 乎 無 色 則 無 滅 又 豈 得 而 空 之 乎 無 空 
X26n0545_001:0836a18	則無生。色空都空。生滅都滅。此乃色空生滅之不到	則 無 生 色 空 都 空 生 滅 都 滅 此 乃 色 空 生 滅 之 不 到 
X26n0545_001:0836a19	處也。佛書曰。生滅滅已。寂滅為樂。余又甞倣其辭而	處 也 佛 書 曰 生 滅 滅 已 寂 滅 為 樂 余 又 甞 倣 其 辭 而 
X26n0545_001:0836a20	襲之曰。色空空已。真空為樂。由是觀之。色空之空。塵	襲 之 曰 色 空 空 已 真 空 為 樂 由 是 觀 之 色 空 之 空 塵 
X26n0545_001:0836a21	生塵滅之滅也。然則何以謂之真空也。林子曰。不生	生 塵 滅 之 滅 也 然 則 何 以 謂 之 真 空 也 林 子 曰 不 生 
X26n0545_001:0836a22	不滅。不垢不淨。不增不減。此其所以為空中。而本無	不 滅 不垢不淨 不增不減 此 其 所 以 為 空 中 而 本 無 
X26n0545_001:0836a23	色。本無受想行識。一切現成。而又奚待於空而空之	色 本 無 受 想 行 識 一 切 現 成 而 又 奚 待 於 空 而 空 之 
X26n0545_001:0836a24	耶。故真心也者。我所本有之真性。自在之菩薩也。實	耶 故 真 心 也 者 我 所 本 有 之 真 性 自 在 之 菩 薩 也 實 
X26n0545_001:0836b01	地也者。我無所有之境界。不動之道場也。余於是而	地 也 者 我 無 所 有 之 境 界 不 動 之 道 場 也 余 於 是 而 
X26n0545_001:0836b02	知真心實地。不二之門也。真心實地。三昧之地也。真	知 真 心 實 地 不 二 之 門 也 真 心 實 地 三 昧 之 地 也 真 
X26n0545_001:0836b03	心實地。無生之處也。真心實地。三世諸佛之母也。無	心 實 地 無 生 之 處 也 真 心 實 地 三世諸佛 之 母 也 無 
X26n0545_001:0836b04	取無捨。無依無倚。金剛經曰。若取法相。即著我人眾	取 無 捨 無 依 無 倚 金 剛 經 曰 若 取 法 相 即 著 我 人 眾 
X26n0545_001:0836b05	生壽者。若取非法相。即著我人眾生壽者。昔有釋之	生 壽 者 若 取 非 法 相 即 著 我 人 眾 生 壽 者 昔 有 釋 之 
X26n0545_001:0836b06	者曰。法相屬有。非法相屬無。其所謂有者。豈非色與。	者 曰 法 相 屬 有 非 法 相 屬 無 其 所 謂 有 者 豈 非 色 與 
X26n0545_001:0836b07	其所謂無者。豈非空與。有色有空。便是有取有捨。有	其 所 謂 無 者 豈 非 空 與 有 色 有 空 便 是 有 取 有 捨 有 
X26n0545_001:0836b08	取有捨。便是有依有倚。而真心實地。而為色空之不	取 有 捨 便 是 有 依 有 倚 而 真 心 實 地 而 為 色 空 之 不 
X26n0545_001:0836b09	到處者。其有法相乎。其無法相乎。其有我人眾生壽	到 處 者 其 有 法 相 乎 其 無 法 相 乎 其 有 我 人 眾 生 壽 
X26n0545_001:0836b10	者乎。其有取有捨有依有倚乎。然真心實地。不可以	者 乎 其 有 取 有 捨 有 依 有 倚 乎 然 真 心 實 地 不 可 以 
X26n0545_001:0836b11	言而顯。而孔子則罕言之矣。不可以聞而知。而子貢	言 而 顯 而 孔 子 則 罕 言 之 矣 不 可 以 聞 而 知 而 子 貢 
X26n0545_001:0836b12	則不得聞之矣。不可以才而得。而顏子則欲從而末	則 不 得 聞 之 矣 不 可 以 才 而 得 而 顏 子 則 欲 從 而 末 
X26n0545_001:0836b13	由矣。昔者唐之大通和尚。以不明乎極則之教。而示	由 矣 昔 者 唐 之 大 通 和 尚 以 不 明 乎 極 則 之 教 而 示 
X26n0545_001:0836b14	人見性成佛。則曰汝之本性。猶如虗空。而六祖謂之	人 見 性 成 佛 則 曰 汝 之 本 性 猶 如 虗 空 而 六 祖 謂 之 
X26n0545_001:0836b15	猶存知見。而真心實地。其屬於知見乎。其不屬於知	猶 存 知 見 而 真 心 實 地 其 屬 於 知 見 乎 其 不 屬 於 知 
X26n0545_001:0836b16	見乎。余甞以此知見二字而觀之。則知大通之知見。	見 乎 余 甞 以 此 知 見 二 字 而 觀 之 則 知 大 通 之 知 見 
X26n0545_001:0836b17	乃是色空之空。而為塵生塵滅。色空對待之虗空也。	乃 是 色 空 之 空 而 為 塵 生 塵 滅 色 空 對 待 之 虗 空 也 
X26n0545_001:0836b18	而非空中之空。而為不生不滅。色空所不到處之虗	而 非 空 中 之 空 而 為 不生不滅 色 空 所 不 到 處 之 虗 
X26n0545_001:0836b19	空也。金剛經曰。不取於相。如如不動。色有色相。空有	空 也 金 剛 經 曰 不 取 於 相 如 如 不 動 色 有 色 相 空 有 
X26n0545_001:0836b20	空相。而如如不動。我之真心實地。一切之現成也。真	空 相 而 如 如 不 動 我 之 真 心 實 地 一 切 之 現 成 也 真 
X26n0545_001:0836b21	心實地。豈落於色空。塵生塵滅之二相耶。知此杷柄。	心 實 地 豈 落 於 色 空 塵 生 塵 滅 之 二 相 耶 知 此 杷 柄 
X26n0545_001:0836b22	到此地位。則亦著衣喫飯已爾。更有何事。而親到彼	到 此 地 位 則 亦 著 衣 喫 飯 已 爾 更 有 何 事 而 親 到 彼 
X26n0545_001:0836b23	岸者。當自知之。	岸 者 當 自 知 之 
X26n0545_001:0836b24	洪生問多字之義。林子曰。余所謂色空所不到處。而	洪 生 問 多 字 之 義 林 子 曰 余 所 謂 色 空 所 不 到 處 而 
X26n0545_001:0836c01	為彼岸之實地者。具大智慧。我之真心也。而我之真	為 彼 岸 之 實 地 者 具 大 智 慧 我 之 真 心 也 而 我 之 真 
X26n0545_001:0836c02	心。則徧滿於彼岸實地中。而有如是其大者。一切之	心 則 徧 滿 於 彼 岸 實 地 中 而 有 如 是 其 大 者 一 切 之 
X26n0545_001:0836c03	現成也。故彼岸實地。無有邊畔。亦無方圓大小。亦無	現 成 也 故 彼 岸 實 地 無 有 邊 畔 亦 無 方 圓 大 小 亦 無 
X26n0545_001:0836c04	青黃亦白。亦無上下長短。亦無嗔無喜。無是無非。無	青 黃 亦 白 亦 無 上 下 長 短 亦 無 嗔 無 喜 無 是 無 非 無 
X26n0545_001:0836c05	善無惡。無有頭尾。都在我彼岸實地中矣。而彼岸實	善 無 惡 無 有 頭 尾 都 在 我 彼 岸 實 地 中 矣 而 彼 岸 實 
X26n0545_001:0836c06	地之分量。本如是之可多者。一切現成也。若胎生。若	地 之 分 量 本 如 是 之 可 多 者 一 切 現 成 也 若 胎 生 若 
X26n0545_001:0836c07	卵生。若濕生。若化生。若有色。若無色。若有想。若無想。	卵 生 若 濕 生 若 化 生 若 有 色 若 無 色 若 有 想 若 無 想 
X26n0545_001:0836c08	若非有想非無想。都在我彼岸實地中矣。而彼岸實	若 非 有 想 非 無 想 都 在 我 彼 岸 實 地 中 矣 而 彼 岸 實 
X26n0545_001:0836c09	地之分量。本如是之可多者。一切現成也。山河大地。	地 之 分 量 本 如 是 之 可 多 者 一 切 現 成 也 山 河 大 地 
X26n0545_001:0836c10	從什麼處來。而東方之虗空。豈其可得而思量之乎。	從 什 麼 處 來 而 東 方 之 虗 空 豈 其 可 得 而 思 量 之 乎 
X26n0545_001:0836c11	南西北方四維上下之虗空。豈其可得而思量之乎。	南 西 北 方 四 維 上 下 之 虗 空 豈 其 可 得 而 思 量 之 乎 
X26n0545_001:0836c12	而彼岸實地。則盡東南西北四維上下無盡之虗空	而 彼 岸 實 地 則 盡 東 南 西 北 四 維 上 下 無 盡 之 虗 空 
X26n0545_001:0836c13	而虗空之矣。而無盡之虗空。抑豈其可得而思量之	而 虗 空 之 矣 而 無 盡 之 虗 空 抑 豈 其 可 得 而 思 量 之 
X26n0545_001:0836c14	乎。仰望不見天。低頭不見地。故曰盡十方世界。是箇	乎 仰 望 不 見 天 低 頭 不 見 地 故 曰 盡 十方世界 是 箇 
X26n0545_001:0836c15	法王身。盡十方世界。是箇解脫門。盡十方世界。是如	法 王 身 盡 十方世界 是 箇 解 脫 門 盡 十方世界 是 如 
X26n0545_001:0836c16	來一卷經。由是觀之。則盡十方世界。豈不在我之彼	來 一 卷 經 由 是 觀 之 則 盡 十方世界 豈 不 在 我 之 彼 
X26n0545_001:0836c17	岸實地中耶。而彼岸實地中。其有我相乎。其有人相	岸 實 地 中 耶 而 彼 岸 實 地 中 其 有 我 相 乎 其 有 人 相 
X26n0545_001:0836c18	乎。其有眾生相乎。其有壽者相乎。而彼岸實地中。本	乎 其 有 眾 生 相 乎 其 有 壽 者 相 乎 而 彼 岸 實 地 中 本 
