T39n1789_001:0343a04	欽錄	欽 錄 
T39n1789_001:0343a05	洪武十一年七月初十日天界善世禪寺	洪 武 十 一 年 七 月 初 十 日 天 界 善 世 禪 寺 
T39n1789_001:0343a06	住持(宗泐)演福教寺住持(如玘)持奉新註	住 持 宗 泐 演 福 教 寺 住 持 如 玘 持 奉 新 註 
T39n1789_001:0343a07	楞伽經。同考功監令李永等官於	楞 伽 經 同 考 功 監 令 李 永 等 官 於 
T39n1789_001:0343a08	西華樓進呈	西 華 樓 進 呈 
T39n1789_001:0343a09	御覽當日欽奉	御 覽 當 日 欽 奉 
T39n1789_001:0343a10	聖旨這經好生註得停當。可即刊板印行。教	聖 旨 這 經 好 生 註 得 停 當 可 即 刊 板 印 行 教 
T39n1789_001:0343a11	天下眾僧每講習。欽此。	天 下 眾 僧 每 講 習 欽 此 
T39n1789_001:0343a12	進新註楞伽經序	進 新 註 楞 伽 經 序 
T39n1789_001:0343a13	(臣)聞法運之興。雖曰在人。亦必有其時	 臣 聞 法 運 之 興 雖 曰 在 人 亦 必 有 其 時 
T39n1789_001:0343a14	焉。有其人而無其時。有其時而無其人。	焉 有 其 人 而 無 其 時 有 其 時 而 無 其 人 
T39n1789_001:0343a15	雖欲興之其可得哉。是故必有	雖 欲 興 之 其 可 得 哉 是 故 必 有 
T39n1789_001:0343a16	聰明聖智之君。當天下又安之時以興之也。	聰 明 聖 智 之 君 當 天 下 又 安 之 時 以 興 之 也 
T39n1789_001:0343a17	至若楞伽一經。我	至 若 楞 伽 一 經 我 
T39n1789_001:0343a18	大覺世尊說之於二千年之前。而	大 覺 世 尊 說 之 於 二 千 年 之 前 而 
T39n1789_001:0343a19	今上皇帝行之於二千年之後。豈非有其人	今 上 皇 帝 行 之 於 二 千 年 之 後 豈 非 有 其 人 
T39n1789_001:0343a20	而有其時乎。不然。何此經東流中國千有餘	而 有 其 時 乎 不 然 何 此 經 東 流 中 國 千 有 餘 
T39n1789_001:0343a21	載。前代帝王未曾有如我	載 前 代 帝 王 未 曾 有 如 我 
T39n1789_001:0343a22	聖天子之留神注意究其旨趣。	聖 天 子 之 留 神 注 意 究 其 旨 趣 
T39n1789_001:0343a23	勅僧徒咸隷習之有如此之盛也。然吾。	勅 僧 徒 咸 隷 習 之 有 如 此 之 盛 也 然 吾 
T39n1789_001:0343a24	佛之所以說此經者。蓋欲除眾生之妄心。俾	佛 之 所 以 說 此 經 者 蓋 欲 除 眾 生 之 妄 心 俾 
T39n1789_001:0343a25	歸於真正之道。而	歸 於 真 正 之 道 而 
T39n1789_001:0343a26	皇上之心。欲天下後世之人。皆捨妄歸真。去	皇 上 之 心 欲 天 下 後 世 之 人 皆 捨 妄 歸 真 去 
T39n1789_001:0343a27	惡從善。以躋乎仁壽之域。其有契於	惡 從 善 以 躋 乎 仁 壽 之 域 其 有 契 於 
T39n1789_001:0343a28	佛之心乎。且此經之要。不出五法三自性八	佛 之 心 乎 且 此 經 之 要 不 出 五 法 三 自 性 八 
T39n1789_001:0343a29	識二無我。而該乎真妄修性聖凡因果。皆不	識 二 無 我 而 該 乎 真 妄 修 性 聖 凡 因 果 皆 不 
T39n1789_001:0343b01	外乎一心。能究此心者。則畏惡而遷善。捨妄	外 乎 一 心 能 究 此 心 者 則 畏 惡 而 遷 善 捨 妄 
T39n1789_001:0343b02	而歸真。得至自覺正智之地。不能究此心者。	而 歸 真 得 至 自 覺 正 智 之 地 不 能 究 此 心 者 
T39n1789_001:0343b03	則縱情肆欲。流而忘返。至于失其忠孝。敗俗	則 縱 情 肆 欲 流 而 忘 返 至 于 失 其 忠 孝 敗 俗 
T39n1789_001:0343b04	亂常。甘蹈刑辟。如履水火。此吾	亂 常 甘 蹈 刑 辟 如 履 水 火 此 吾 
T39n1789_001:0343b05	佛所以興大悲心而拔濟之。亦猶	佛 所 以 興 大 悲 心 而 拔 濟 之 亦 猶 
T39n1789_001:0343b06	帝王之仁育黎庶若保赤子者也。(臣)僧(宗泐如玘)	帝 王 之 仁 育 黎 庶 若 保 赤 子 者 也 臣 僧 宗 泐 如 玘 
T39n1789_001:0343b07	昨於	昨 於 
T39n1789_001:0343b08	內廷欽承	內 廷 欽 承 
T39n1789_001:0343b09	聖諭。以為心經金剛楞伽三經。實治心法門。	聖 諭 以 為 心 經 金 剛 楞 伽 三 經 實 治 心 法 門 
T39n1789_001:0343b10	遣情離著。具在是矣。爾輩可不勉乎。(臣)等受	遣 情 離 著 具 在 是 矣 爾 輩 可 不 勉 乎 臣 等 受 
T39n1789_001:0343b11	命以來。夙夜兢惕。懼無以上副	命 以 來 夙 夜 兢 惕 懼 無 以 上 副 
T39n1789_001:0343b12	宸衷。於是竭誠殫慮。註釋心經金剛二典。已	宸 衷 於 是 竭 誠 殫 慮 註 釋 心 經 金 剛 二 典 已 
T39n1789_001:0343b13	於洪武十一年正月二十八日	於 洪 武 十 一 年 正 月 二 十 八 日 
T39n1789_001:0343b14	奏準行世。而楞伽以今七月初十日始克	奏 準 行 世 而 楞 伽 以 今 七 月 初 十 日 始 克 
T39n1789_001:0343b15	註成。謹熏沐繕寫拜手稽首詣	註 成 謹 熏 沐 繕 寫 拜 手 稽 首 詣 
T39n1789_001:0343b16	闕進呈。重念(臣)等才識庸陋學術空疎。固	闕 進 呈 重 念 臣 等 才 識 庸 陋 學 術 空 疎 固 
T39n1789_001:0343b17	不敢叨於註釋之列。然承	不 敢 叨 於 註 釋 之 列 然 承 
T39n1789_001:0343b18	雨露之餘澤。依	雨 露 之 餘 澤 依 
T39n1789_001:0343b19	日月之清光。庶幾少裨流通之萬一云爾。	日 月 之 清 光 庶 幾 少 裨 流 通 之 萬 一 云 爾 
T39n1789_001:0343b20	洪武十一年七月　日序	洪 武 十 一 年 七 月 日 序 
T39n1789_001:0343b23	楞伽阿跋多羅寶經註解卷第一	楞 伽 阿 跋 多 羅 寶 經 註 解 卷 第 一 
T39n1789_001:0343b24	(上)	 上 
T39n1789_001:0343b26	宋求那跋多羅奉　詔譯	宋 求 那 跋 多 羅 奉 詔 譯 
T39n1789_001:0343b27	大明天界善世禪寺住持(臣)僧(宗泐)	大 明 天 界 善 世 禪 寺 住 持 臣 僧 宗 泐 
T39n1789_001:0343b28	演福講寺住持(臣)僧(如玘)奉　詔同註	演 福 講 寺 住 持 臣 僧 如 玘 奉 詔 同 註 
T39n1789_001:0343b29	此經凡四譯。今存者三。其一則鎦宋求那跋	此 經 凡 四 譯 今 存 者 三 其 一 則 鎦 宋 求 那 跋 
T39n1789_001:0343c01	多羅譯成四卷。曰楞伽阿跋多羅寶經。其二	多 羅 譯 成 四 卷 曰 楞 伽 阿 跋 多 羅 寶 經 其 二 
T39n1789_001:0343c02	則元魏菩提流支譯成十卷。曰入楞伽經。其	則 元 魏 菩 提 流 支 譯 成 十 卷 曰 入 楞 伽 經 其 
T39n1789_001:0343c03	三則唐實又難陀與復禮等譯成七卷。曰大	三 則 唐 實 又 難 陀 與 復 禮 等 譯 成 七 卷 曰 大 
T39n1789_001:0343c04	乘入楞伽經。若論所譯文之難易。則唐之七	乘 入 楞 伽 經 若 論 所 譯 文 之 難 易 則 唐 之 七 
T39n1789_001:0343c05	卷文易義顯始末具備。今釋從宋譯四卷者。	卷 文 易 義 顯 始 末 具 備 今 釋 從 宋 譯 四 卷 者 
T39n1789_001:0343c06	以此本首行於世習誦者眾。況達磨大師授	以 此 本 首 行 於 世 習 誦 者 眾 況 達 磨 大 師 授 
T39n1789_001:0343c07	二祖心法時。指楞伽四卷可以印心。而張方	二 祖 心 法 時 指 楞 伽 四 卷 可 以 印 心 而 張 方 
T39n1789_001:0343c08	平嘗書此本。蘇子瞻為序其事。是知歷代多	平 嘗 書 此 本 蘇 子 瞻 為 序 其 事 是 知 歷 代 多 
T39n1789_001:0343c09	從此本也。然文辭簡古。至於句讀有不可讀。	從 此 本 也 然 文 辭 簡 古 至 於 句 讀 有 不 可 讀 
T39n1789_001:0343c10	乃取七卷中文義顯者釋之。仍採古註善者	乃 取 七 卷 中 文 義 顯 者 釋 之 仍 採 古 註 善 者 
T39n1789_001:0343c11	併註之。此經以法喻為名。第一義心為體。了	併 註 之 此 經 以 法 喻 為 名 第 一 義 心 為 體 了 
T39n1789_001:0343c12	妄顯性為宗。斥小辯邪為用。方等大乘為教	妄 顯 性 為 宗 斥 小 辯 邪 為 用 方 等 大 乘 為 教 
T39n1789_001:0343c13	相。法喻為名者。楞伽是城名。華言不可往。其	相 法 喻 為 名 者 楞 伽 是 城 名 華 言 不 可 往 其 
T39n1789_001:0343c14	城在南海摩羅山頂。無神通者不可往。佛於	城 在 南 海 摩 羅 山 頂 無 神 通 者 不 可 往 佛 於 
T39n1789_001:0343c15	此處說法即佛境界。以處表法也。阿跋多羅	此 處 說 法 即 佛 境 界 以 處 表 法 也 阿 跋 多 羅 
T39n1789_001:0343c16	者。華言無上。亦云入。寶者至貴之物以喻此	者 華 言 無 上 亦 云 入 寶 者 至 貴 之 物 以 喻 此 
T39n1789_001:0343c17	經尊貴。故云法喻為名也。經者貫也。謂貫通	經 尊 貴 故 云 法 喻 為 名 也 經 者 貫 也 謂 貫 通 
T39n1789_001:0343c18	諸義也。第一義心為體者。即如來藏自性清	諸 義 也 第 一 義 心 為 體 者 即 如 來 藏 自 性 清 
T39n1789_001:0343c19	淨第一義心也。了妄顯性為宗者。謂達妄顯	淨 第 一 義 心 也 了 妄 顯 性 為 宗 者 謂 達 妄 顯 
T39n1789_001:0343c20	真離性執也。斥小辯邪為用者謂破小乘之	真 離 性 執 也 斥 小 辯 邪 為 用 者 謂 破 小 乘 之 
T39n1789_001:0343c21	偏執摧外道之邪見也。方等大乘為教相者。	偏 執 摧 外 道 之 邪 見 也 方 等 大 乘 為 教 相 者 
T39n1789_001:0343c22	謂經通三乘義從圓頓也。此之五章皆經中	謂 經 通 三 乘 義 從 圓 頓 也 此 之 五 章 皆 經 中 
T39n1789_001:0343c23	所詮之旨。今預取而釋首題者。欲令學者知	所 詮 之 旨 今 預 取 而 釋 首 題 者 欲 令 學 者 知 
T39n1789_001:0343c24	一經之大意也。	一 經 之 大 意 也 
T39n1789_001:0343c25	一切佛語心品佛語心者。即諸佛所說心	一 切 佛 語 心 品 佛 語 心 者 即 諸佛所說 心 
T39n1789_001:0343c26	法也。然經中所說法門大約有四。謂五法三	法 也 然 經 中 所 說 法 門 大 約 有 四 謂 五 法 三 
T39n1789_001:0343c27	自性八識二無我。而獨言心者。蓋此四種法	自 性 八 識 二 無 我 而 獨 言 心 者 蓋 此 四 種 法 
T39n1789_001:0343c28	門。是一經之綱目。究心之精要。如入楞伽	門 是 一 經 之 綱 目 究 心 之 精 要 如 入 楞 伽 
