X26n0562_001:0905b03	心經解	心 經 解 
X26n0562_001:0905b05	無依道人　徐昌治覲周父　解	無 依 道 人 徐 昌 治 覲 周 父 解 
X26n0562_001:0905b06	男　徐升貞　徐乾貞　徐拱樞　徐頤貞　同挍	男 徐 升 貞 徐 乾 貞 徐 拱 樞 徐 頤 貞 同 挍 
X26n0562_001:0905b08	般若波羅蜜多心經	般 若 波羅蜜多 心 經 
X26n0562_001:0905b09	此梵語也。般若云智慧。即人之本心。超情離見。湛	此 梵 語 也 般 若 云 智 慧 即 人 之 本 心 超 情 離 見 湛 
X26n0562_001:0905b10	寂圓悟之稱。波羅蜜。云到彼岸。多。即眾生。心。即人	寂 圓 悟 之 稱 波 羅 蜜 云 到 彼 岸 多 即 眾 生 心 即 人 
X26n0562_001:0905b11	心。經。常也。法也。心是般若之體。般若是心之用。彼	心 經 常 也 法 也 心 是 般 若 之 體 般 若 是 心 之 用 彼 
X26n0562_001:0905b12	岸。是般若心中所詣之實境。	岸 是 般 若 心 中 所 詣 之 實 境 
X26n0562_001:0905b13	觀自在菩薩。	觀 自 在 菩 薩 
X26n0562_001:0905b14	觀有二義。一者能觀觀慧。二者所觀觀相。能所契	觀 有 二 義 一 者 能 觀 觀 慧 二 者 所 觀 觀 相 能 所 契 
X26n0562_001:0905b15	證。名為自在。以此契證之理。而導眾生。即名菩薩。	證 名 為 自 在 以 此 契 證 之 理 而 導 眾 生 即 名 菩 薩 
X26n0562_001:0905b16	以一切眾生。妄知莫返。而起三毒。造種種業。輪迴	以 一 切 眾 生 妄 知 莫 返 而 起 三 毒 造 種 種 業 輪 迴 
X26n0562_001:0905b17	三界。昇沈上下。窮劫無有得自在者。唯此菩薩。了	三 界 昇 沈 上 下 窮 劫 無 有 得 自 在 者 唯 此 菩 薩 了 
X26n0562_001:0905b18	諸法空。境智如如。在生死。不為生死根絆。在涅槃。	諸 法 空 境 智 如 如 在 生 死 不 為 生 死 根 絆 在 涅 槃 
X26n0562_001:0905b19	不為涅槃果縛。自者。顯物物頭頭。無非自己。在者。	不 為 涅 槃 果 縛 自 者 顯 物 物 頭 頭 無 非 自 己 在 者 
X26n0562_001:0905b20	顯塵塵剎剎。靡不充周。	顯 塵 塵 剎 剎 靡 不 充 周 
X26n0562_001:0905b21	行深般若波羅蜜多時。	行 深 般 若 波羅蜜多 時 
X26n0562_001:0905b22	行者。乃能修習之行也。深般若者。乃所契證之智	行 者 乃 能 修 習 之 行 也 深 般 若 者 乃 所 契 證 之 智 
