X26n0556_001:0880b03	心經小談	心 經 小 談 
X26n0556_001:0880b05	明　觀衡　述	明 觀 衡 述 
X26n0556_001:0880b06	摩訶般若波羅蜜多心經。此十字乃一經之題目。摩	摩訶般若波羅蜜 多 心 經 此 十 字 乃 一 經 之 題 目 摩 
X26n0556_001:0880b07	訶是梵語。唐言大。般若是梵語。唐言智慧。波羅蜜多	訶 是 梵 語 唐 言 大 般 若 是 梵 語 唐 言 智 慧 波羅蜜多 
X26n0556_001:0880b08	是梵語。唐言彼岸到。即到彼岸。言眾生無智慧。迷淪	是 梵 語 唐 言 彼 岸 到 即 到 彼 岸 言 眾 生 無 智 慧 迷 淪 
X26n0556_001:0880b09	生死苦海。諸佛菩薩有大智慧。照破無明。能超生死	生 死 苦 海 諸佛菩薩 有 大 智 慧 照 破 無 明 能 超 生 死 
X26n0556_001:0880b10	苦海。到涅槃彼岸。故云摩訶般若波羅蜜多。心之一	苦 海 到 涅 槃 彼 岸 故 云 摩訶般若波羅蜜 多 心 之 一 
X26n0556_001:0880b11	字。念在上即般若心。若念在下即此本經為六百卷	字 念 在 上 即 般 若 心 若 念 在 下 即 此 本 經 為 六 百 卷 
X26n0556_001:0880b12	之心也。經者梵語修多羅。此云契經。契理合機之教	之 心 也 經 者 梵 語 修 多 羅 此 云 契 經 契 理 合 機 之 教 
X26n0556_001:0880b13	也。此方從略。故但云經。故云摩訶般若波羅蜜多心	也 此 方 從 略 故 但 云 經 故 云 摩訶般若波羅蜜 多 心 
X26n0556_001:0880b14	經(此經多不讀摩訶。據文中云深般若。題中亦應云大般若)。	經 此 經 多 不 讀 摩 訶 據 文 中 云 深 般 若 題 中 亦 應 云 大 般 若 
X26n0556_001:0880b15	觀自在菩薩。即能行般若之人。舉是人以顯般若之	觀 自 在 菩 薩 即 能 行 般 若 之 人 舉 是 人 以 顯 般 若 之 
X26n0556_001:0880b16	法。觀自在三字。是此菩薩別名。菩薩二字是通號。何	法 觀 自 在 三 字 是 此 菩 薩 別 名 菩 薩 二 字 是 通 號 何 
X26n0556_001:0880b17	名觀自在。言此菩薩。行深般若波羅蜜多時。照見五	名 觀 自 在 言 此 菩 薩 行 深 般 若 波羅蜜多 時 照 見 五 
X26n0556_001:0880b18	蘊皆空。度一切苦厄。故名觀自在。照見五蘊皆空。即	蘊 皆 空 度 一 切 苦 厄 故 名 觀 自 在 照 見 五 蘊 皆 空 即 
X26n0556_001:0880b19	觀。度一切苦厄。即自在也。上略破三字大意。下講明	觀 度 一 切 苦 厄 即 自 在 也 上 略 破 三 字 大 意 下 講 明 
X26n0556_001:0880b20	其義。舍利子。是尊者名。此尊者智慧第一。故呼其名	其 義 舍 利 子 是 尊 者 名 此 尊 者 智慧第一 故 呼 其 名 
X26n0556_001:0880b21	而授之。謂上言照見五蘊皆空。如何照見。如何得空。	而 授 之 謂 上 言 照 見 五 蘊 皆 空 如 何 照 見 如 何 得 空 
X26n0556_001:0880b22	舍利子當如是觀照。色不異空。空不異色。色即是空。	舍 利 子 當 如 是 觀 照 色不異空 空不異色 色 即 是 空 
X26n0556_001:0880b23	空即是色。如是觀照。即空也。此四句。上二句。先照色	空 即 是 色 如 是 觀 照 即 空 也 此 四 句 上 二 句 先 照 色 
X26n0556_001:0880b24	空體一。下二句。方照見色性本空。言不異。要成下一	空 體 一 下 二 句 方 照 見 色 性 本 空 言 不 異 要 成 下 一 
X26n0556_001:0880c01	即字。總之在色即是空一句為正。餘助成耳。色一法	即 字 總 之 在 色 即 是 空 一 句 為 正 餘 助 成 耳 色 一 法 
X26n0556_001:0880c02	如是觀照。受想行識亦如是觀照。故云亦復如是。上	如 是 觀 照 受 想 行 識 亦 如 是 觀 照 故 云 亦復如是 上 
X26n0556_001:0880c03	講明五蘊皆空一句。下講度一切苦厄。謂五蘊諸法	講 明 五 蘊 皆 空 一 句 下 講 度 一 切 苦 厄 謂 五 蘊 諸 法 
X26n0556_001:0880c04	若有。即有生相。有滅相。有垢相。有淨相。有增相。有減	若 有 即 有 生 相 有 滅 相 有 垢 相 有 淨 相 有 增 相 有 減 
X26n0556_001:0880c05	相。皆苦相也。若諸法空相。既是空相。有何生。有何滅。	相 皆 苦 相 也 若 諸 法 空 相 既 是 空 相 有 何 生 有 何 滅 
X26n0556_001:0880c06	有何垢。有何淨。有何增。有何減。既無生滅垢淨等。即	有 何 垢 有 何 淨 有 何 增 有 何 減 既 無 生 滅 垢 淨 等 即 
X26n0556_001:0880c07	涅槃真樂也。故復告舍利子。是諸法空相。不生不滅。	涅 槃 真 樂 也 故 復 告 舍 利 子 是 諸 法 空 相 不生不滅 
X26n0556_001:0880c08	不垢不淨。不增不減。此一節。講明上度一切苦厄一	不垢不淨 不增不減 此 一 節 講 明 上 度 一 切 苦 厄 一 
X26n0556_001:0880c09	句也。上既講明照見五蘊皆空度一切苦厄之義。下	句 也 上 既 講 明 照 見 五 蘊 皆 空 度 一 切 苦 厄 之 義 下 
X26n0556_001:0880c10	廣為開演。是故空中一句。承上諸法空相之中。言此	廣 為 開 演 是 故 空 中 一 句 承 上 諸 法 空 相 之 中 言 此 
X26n0556_001:0880c11	空中不唯五蘊皆空。十二處亦空。十八界亦空。無眼	空 中 不 唯 五 蘊 皆 空 十 二 處 亦 空 十 八 界 亦 空 無 眼 
X26n0556_001:0880c12	耳鼻舌身意。無色聲香味觸法。此空十二處也。無眼	耳 鼻 舌 身 意 無 色聲香味觸 法 此 空 十 二 處 也 無 眼 
X26n0556_001:0880c13	界乃至無意識界。此空十八界也。此空世間法。下空	界 乃 至 無 意 識 界 此 空 十 八 界 也 此 空 世 間 法 下 空 
X26n0556_001:0880c14	出世間法。無無明乃至無無明盡。無老死乃至無老	出世間法 無 無 明 乃 至 無 無 明 盡 無 老 死 乃 至 無 老 
X26n0556_001:0880c15	死盡。此空緣覺法也。無苦集滅道。無智亦無得。此空	死 盡 此 空 緣 覺 法 也 無 苦集滅道 無 智 亦 無 得 此 空 
X26n0556_001:0880c16	聲聞法也。言此空中世間出世間皆空也。此開演上	聲 聞 法 也 言 此 空 中 世間出世間 皆 空 也 此 開 演 上 
X26n0556_001:0880c17	照見五蘊皆空一句。即一觀字也。以無所得故一句。	照 見 五 蘊 皆 空 一 句 即 一 觀 字 也 以 無 所 得 故 一 句 
X26n0556_001:0880c18	承上起下之辭也。言世間法出世間法都無所得。以	承 上 起 下 之 辭 也 言 世 間 法 出世間法 都 無 所 得 以 
X26n0556_001:0880c19	無所得故。諸佛菩薩。依之斷煩惱。證菩提。出生死。證	無 所 得 故 諸佛菩薩 依 之 斷 煩 惱 證 菩 提 出 生 死 證 
X26n0556_001:0880c20	涅槃。故云菩提薩埵。依般若波羅蜜多故。心無罣礙。	涅 槃 故 云 菩 提 薩 埵 依 般 若 波羅蜜多 故 心 無 罣 礙 
X26n0556_001:0880c21	無罣礙故。無有恐怖。遠離顛倒夢想。究竟涅槃。此言	無 罣 礙 故 無 有 恐 怖 遠 離 顛 倒 夢 想 究竟涅槃 此 言 
X26n0556_001:0880c22	菩薩依般若離苦得樂也。三世諸佛。依般若波羅蜜	菩 薩 依 般 若 離 苦 得 樂 也 三世諸佛 依 般 若 波 羅 蜜 
X26n0556_001:0880c23	多故。得阿耨多羅三藐三菩提。此言諸佛依般若離	多 故 得阿耨多羅三藐三菩提 此 言 諸 佛 依 般 若 離 
X26n0556_001:0880c24	苦得樂也。自以無所得。至阿耨菩提。此一節。開演引	苦 得 樂 也 自 以 無 所 得 至 阿耨菩提 此 一 節 開 演 引 
X26n0556_001:0881a01	證上度一切苦厄一句。即自在二字也。上既破解講	證 上 度 一 切 苦 厄 一 句 即 自 在 二 字 也 上 既 破 解 講 
X26n0556_001:0881a02	明開演引證。明知照見五蘊皆空度一切苦厄實處。	明 開 演 引 證 明 知 照 見 五 蘊 皆 空 度 一 切 苦 厄 實 處 
X26n0556_001:0881a03	故下結成。有二。初結顯般若之功。故云故知般若波	故 下 結 成 有 二 初 結 顯 般 若 之 功 故 云 故 知 般 若 波 
X26n0556_001:0881a04	羅蜜多。是大神呪。(轉凡成聖神妙難測)是大明呪。(慧日當空破無明暗)是	羅 蜜 多 是 大 神 呪 轉 凡 成 聖 神 妙 難 測 是 大 明 呪 慧 日 當 空 破 無 明 暗 是 
X26n0556_001:0881a05	無上呪。(無過之前無加之上)是無等等呪。(不唯無上亦無齊等)上結顯般	無 上 呪 無 過 之 前 無 加 之 上 是 無 等 等 呪 不 唯 無 上 亦 無 齊 等 上 結 顯 般 
X26n0556_001:0881a06	若神功。二結成破題。因上破云照見五蘊皆空度一	若 神 功 二 結 成 破 題 因 上 破 云 照 見 五 蘊 皆 空 度 一 
X26n0556_001:0881a07	切苦厄。如何見得。既講明開演引證了然明白。故此	切 苦 厄 如 何 見 得 既 講 明 開 演 引 證 了 然 明 白 故 此 
X26n0556_001:0881a08	結云能除一切苦真實不虗。此即自在也。總之一經	結 云 能 除 一 切 苦 真 實 不 虗 此 即 自 在 也 總 之 一 經 
X26n0556_001:0881a09	只觀自在三字盡矣。上顯說。下密說。故說般若波羅	只 觀 自 在 三 字 盡 矣 上 顯 說 下 密 說 故 說 般 若 波 羅 
X26n0556_001:0881a10	蜜多呪。即說呪曰。揭諦揭諦　波羅揭諦　波羅	蜜 多 呪 即 說 呪 曰 揭 諦 揭 諦 波 羅 揭 諦 波 羅 
X26n0556_001:0881a11	僧揭諦　菩提娑訶上顯說令人依義生慧。密說	僧 揭 諦 菩 提 娑 訶 上 顯 說 令 人 依 義 生 慧 密 說 
X26n0556_001:0881a12	令人持誦生定。定慧均等。脩行備矣。	令 人 持 誦 生 定 定 慧 均 等 脩 行 備 矣 
X26n0556_001:0881a14	心經小談(終)	心 經 小 談 終 
