T85n2771_001:0364b27	維摩經疏	維 摩 經 疏 
T85n2771_001:0364b29	□□□論其空室興□□□□□□□□	 論 其 空 室 興 
T85n2771_001:0364c01	□□□□□十問七之與十後當自說自□	 十 問 七 之 與 十 後 當 自 說 自 
T85n2771_001:0364c02	□□□□□□□□□□□解上來序分訖。	 解 上 來 序 分 訖 
T85n2771_001:0364c03	自下正宗。就正宗□□□□□□□□□□	自 下 正 宗 就 正 宗 
T85n2771_001:0364c04	□□分別二癈人論法隨義分別。顯德者顯	 分 別 二 癈 人 論 法 隨 義 分 別 顯 德 者 顯 
T85n2771_001:0364c05	維□□□□義者隨因果義。攝法從人。顯	維 義 者 隨 因 果 義 攝 法 從 人 顯 
T85n2771_001:0364c06	德分別者。一方便品□□□養無量佛等	德 分 別 者 一 方 便 品 養 無 量 佛 等 
T85n2771_001:0364c07	直歎顯德。方便品未寄。凡顯德□□□□	直 歎 顯 德 方 便 品 未 寄 凡 顯 德 
T85n2771_001:0364c08	顯德寄對之中。先對聲聞明其德過聲聞。次	顯 德 寄 對 之 中 先 對 聲 聞 明 其 德 過 聲 聞 次 
T85n2771_001:0364c09	對菩薩顯□□超菩薩。對菩薩中初對不	對 菩 薩 顯 超 菩 薩 對 菩 薩 中 初 對 不 
T85n2771_001:0364c10	堪顯出維摩辨才難敵。彰□智□□□此	堪 顯 出 維 摩 辨 才 難 敵 彰 智 此 
T85n2771_001:0364c11	已下約對所堪顯出維摩神變難思□其通	已 下 約 對 所 堪 顯 出 維 摩 神 變 難 思 其 通 
T85n2771_001:0364c12	勝。就此□□有六品經。攝為四對。初問疾	勝 就 此 有 六 品 經 攝 為 四 對 初 問 疾 
T85n2771_001:0364c13	品與不思□□□□□□□□□品為第二	品 與 不 思 品 為 第 二 
T85n2771_001:0364c14	對。佛道品為第三對。不二法□□□□□	對 佛 道 品 為 第 三 對 不 二 法 
T85n2771_001:0364c15	□□□四對。此之四對對對之中先明所修。	 四 對 此 之 四 對 對 對 之 中 先 明 所 修 
T85n2771_001:0364c16	次明□□□□□□□□議行成者。成不	次 明 議 行 成 者 成 不 
T85n2771_001:0364c17	思議德。問曰。此之四對□□□□□□□□	思 議 德 問 曰 此 之 四 對 
T85n2771_001:0364c18	□□□□維摩修不可思議相以□□□□	 維 摩 修 不可思議 相 以 
T85n2771_001:0364c19	□□□□□□□□□□□可思議性中	 可 思 議 性 中 
T85n2771_001:0364c20	以明所修而有所□□□□□□□□□	以 明 所 修 而 有 所 
T85n2771_001:0364c21	前之三對復有何別。答曰。前三中□□□□	前 之 三 對 復 有 何 別 答 曰 前 三 中 
T85n2771_001:0364c22	□□□□□□明所修而有所成。後之一對	 明 所 修 而 有 所 成 後 之 一 對 
T85n2771_001:0364c23	依寂起用□□□□□□□問曰。前兩	依 寂 起 用 問 曰 前 兩 
T85n2771_001:0364c24	對中復有何別。答曰。前兩對中□□□□□	對 中 復 有 何 別 答 曰 前 兩 對 中 
T85n2771_001:0364c25	□□成後對明集善行中所修所成修成□	 成 後 對 明 集 善 行 中 所 修 所 成 修 成 
T85n2771_001:0364c26	□□□□□□□此即第一攝法從人。顯德	 此 即 第 一 攝 法 從 人 顯 德 
T85n2771_001:0364c27	分別義在於此。第二癈人論法□□分別者。	分 別 義 在 於 此 第 二 癈 人 論 法 分 別 者 
T85n2771_001:0364c28	法謂因之與果。因即法身淨土兩因。果即法	法 謂 因 之 與 果 因 即 法 身 淨 土 兩 因 果 即 法 
T85n2771_001:0364c29	身□□二果。始從方便品盡不二法門品	身 二 果 始 從 方 便 品 盡 不二法門 品 
T85n2771_001:0365a01	來。明法身因果。香積□□□淨土因果法	來 明 法 身 因 果 香 積 淨 土 因 果 法 
T85n2771_001:0365a02	身因果中隨人分三。初方便品為教凡夫法	身 因 果 中 隨 人 分 三 初 方 便 品 為 教 凡 夫 法 
T85n2771_001:0365a03	身□□□□□品為教聲聞法身因果。菩	身 品 為 教 聲 聞 法 身 因 果 菩 
T85n2771_001:0365a04	薩品已下為教菩薩法身□□□菩薩中文	薩 品 已 下 為 教 菩 薩 法 身 菩 薩 中 文 
T85n2771_001:0365a05	即有二。菩薩一品出其因果體。從此向下廣	即 有 二 菩 薩 一 品 出 其 因 果 體 從 此 向 下 廣 
T85n2771_001:0365a06	明修成之相。就此修成相中更以二門分別。	明 修 成 之 相 就 此 修 成 相 中 更 以 二 門 分 別 
T85n2771_001:0365a07	一破相分別。二顯德分別。從此已下盡不二	一 破 相 分 別 二 顯 德 分 別 從 此 已 下 盡 不 二 
T85n2771_001:0365a08	門品來。所明諸義齊為此二也。為破相故來。	門 品 來 所 明 諸 義 齊 為 此 二 也 為 破 相 故 來 
T85n2771_001:0365a09	二為□德故至。論其破相。無一法而可存。	二 為 德 故 至 論 其 破 相 無 一 法 而 可 存 
T85n2771_001:0365a10	語其顯德。無一法而可遺。言破相者從此已	語 其 顯 德 無 一 法 而 可 遺 言 破 相 者 從 此 已 
T85n2771_001:0365a11	下盡觀眾生品來。破遣凡夫著有之相。佛道	下 盡 觀 眾 生 品 來 破 遣 凡 夫 著 有 之 相 佛 道 
T85n2771_001:0365a12	一品破遣二乘樂空之相。不二法門破遣菩	一 品 破 遣 二 乘 樂 空 之 相 不二法門 破 遣 菩 
T85n2771_001:0365a13	薩有無二邊微細法相。破相如是。顯德如何。	薩 有 無 二 邊 微 細 法 相 破 相 如 是 顯 德 如 何 
T85n2771_001:0365a14	就顯德中大分為二。初從此已下盡佛道品	就 顯 德 中 大 分 為 二 初 從 此 已 下 盡 佛 道 品 
T85n2771_001:0365a15	來。明教諸菩薩約就維摩不思議相修於教	來 明 教 諸 菩 薩 約 就 維 摩 不 思 議 相 修 於 教 
T85n2771_001:0365a16	道。次不二法門明教諸菩薩□就維摩不思	道 次 不二法門 明 教 諸 菩 薩 就 維 摩 不 思 
T85n2771_001:0365a17	議性修於證道。教必依證□□□就□□	議 性 修 於 證 道 教 必 依 證 就 
T85n2771_001:0365a18	□之中攝為三對。此品與不思議品為第一	 之 中 攝 為 三 對 此 品 與 不 思 議 品 為 第 一 
T85n2771_001:0365a19	對。觀□□品為第二對。佛道品為第三對。	對 觀 品 為 第 二 對 佛 道 品 為 第 三 對 
T85n2771_001:0365a20	此之三對還對對□□悉。先明所修。次明	此 之 三 對 還 對 對 悉 先 明 所 修 次 明 
T85n2771_001:0365a21	所成。如初對中。此問疾品明修智修悲即是	所 成 如 初 對 中 此 問 疾 品 明 修 智 修 悲 即 是 
T85n2771_001:0365a22	所修。不思議品芥約須彌小室容廣顯不思	所 修 不 思 議 品 芥 約 須 彌 小 室 容 廣 顯 不 思 
T85n2771_001:0365a23	議德。即是所成。第二對。觀眾生品初修四無	議 德 即 是 所 成 第 二 對 觀 眾 生 品 初 修 四 無 
T85n2771_001:0365a24	量十二觀門。即是所修。室現天女八未曾有。	量 十 二 觀 門 即 是 所 修 室 現 天 女 八 未 曾 有 
T85n2771_001:0365a25	即是所成。第三對。佛道品初行於非道通達	即 是 所 成 第 三 對 佛 道 品 初 行 於 非 道 通 達 
T85n2771_001:0365a26	佛道。即是所修。普現色身問其眷屬出維摩	佛 道 即 是 所 修 普 現 色 身 問 其 眷 屬 出 維 摩 
T85n2771_001:0365a27	一切種德。即□□成。問曰。此之三對復有何	一 切 種 德 即 成 問 曰 此 之 三 對 復 有 何 
T85n2771_001:0365a28	別。答曰。前之兩對明自分行中修所所成。	別 答 曰 前 之 兩 對 明 自 分 行 中 修 所 所 成 
T85n2771_001:0365a29	後之一對明勝進行中所修所成。上入佛道	後 之 一 對 明 勝 進 行 中 所 修 所 成 上 入 佛 道 
T85n2771_001:0365b01	是勝進文。問□□之兩對復有何別。答曰。	是 勝 進 文 問 之 兩 對 復 有 何 別 答 曰 
T85n2771_001:0365b02	前兩對中初對還明離過□□□修所成。	前 兩 對 中 初 對 還 明 離 過 修 所 成 
T85n2771_001:0365b03	後對還明集善行中所修所成。顯德如是。合	後 對 還 明 集 善 行 中 所 修 所 成 顯 德 如 是 合 
T85n2771_001:0365b04	名第二癈人論法隨義分別也。	名 第 二 癈 人 論 法 隨 義 分 別 也 
T85n2771_001:0365b05	今就文中盡此品來明其所修。不思議品明	今 就 文 中 盡 此 品 來 明 其 所 修 不 思 議 品 明 
T85n2771_001:0365b06	其所成。就所修中又復有二。第一正明問	其 所 成 就 所 修 中 又 復 有 二 第 一 正 明 問 
T85n2771_001:0365b07	答拂遣來去之相。第二且置已下明問答辨	答 拂 遣 來 去 之 相 第 二 且 置 已 下 明 問 答 辨 
T85n2771_001:0365b08	法。何故須拂來去之相。解有多義。一云。來	法 何 故 須 拂 來 去 之 相 解 有 多 義 一 云 來 
T85n2771_001:0365b09	去覆真故須拂遣。二者為欲解□□□□須	去 覆 真 故 須 拂 遣 二 者 為 欲 解 須 
T85n2771_001:0365b10	拂遣。三者為下說由故須拂遣。四者為顯中	拂 遣 三 者 為 下 說 由 故 須 拂 遣 四 者 為 顯 中 
T85n2771_001:0365b11	道故須　□□五者為顯實惠方便故須拂	道 故 須 五 者 為 顯 實 惠 方 便 故 須 拂 
T85n2771_001:0365b12	遣。六者大人相見法作大言故是拂遣。論意	遣 六 者 大 人 相 見 法 作 大 言 故 是 拂 遣 論 意 
T85n2771_001:0365b13	如此。文中如何。初維摩先言。文殊述後。維	如 此 文 中 如 何 初 維 摩 先 言 文 殊 述 後 維 
T85n2771_001:0365b14	摩詰言善來文殊師利者。慶其來好故言善	摩 詰 言 善 來 文 殊 師 利 者 慶 其 來 好 故 言 善 
T85n2771_001:0365b15	來。亦可。文殊在道而來。安善以不故言善	來 亦 可 文 殊 在 道 而 來 安 善 以 不 故 言 善 
T85n2771_001:0365b16	來。下拂其相。不來相而來□□□而見者。	來 下 拂 其 相 不 來 相 而 來 而 見 者 
T85n2771_001:0365b17	解有多義。略作四門。一約事無性解。二約理	解 有 多 義 略 作 四 門 一 約 事 無 性 解 二 約 理 
T85n2771_001:0365b18	無性釋。三真俗二諦。四真應兩身。第一約事	無 性 釋 三 真 俗 二 諦 四 真 應 兩 身 第 一 約 事 
T85n2771_001:0365b19	無性者。約就三世破其來相。今言來者。為是	無 性 者 約 就 三 世 破 其 來 相 今 言 來 者 為 是 
T85n2771_001:0365b20	來竟時名來。為是未來時說來。為是正來時	來 竟 時 名 來 為 是 未 來 時 說 來 為 是 正 來 時 
T85n2771_001:0365b21	說來。於此三世求其來相既不可得。故知來	說 來 於 此 三 世 求 其 來 相 既 不 可 得 故 知 來 
T85n2771_001:0365b22	者箇是無來。故言不來相。此即破其來相。而	者 箇 是 無 來 故 言 不 來 相 此 即 破 其 來 相 而 
T85n2771_001:0365b23	來者。破不來相。本說不來為欲破來。來既不	來 者 破 不 來 相 本 說 不 來 為 欲 破 來 來 既 不 
T85n2771_001:0365b24	有。不來亦無。故言而來。又不來者來家之不	有 不 來 亦 無 故 言 而 來 又 不 來 者 來 家 之 不 
T85n2771_001:0365b25	來。來家之不來故那得定不來。故不來相不	來 來 家 之 不 來 故 那 得 定 不 來 故 不 來 相 不 
T85n2771_001:0365b26	可得。來者不來家之來。不來之來故那得定	可 得 來 者 不 來 家 之 來 不 來 之 來 故 那 得 定 
