X56n0941_001:0671a03	六即義	六 即 義 
X56n0941_001:0671a05	天台僧　行滿　於國中述	天 台 僧 行 滿 於 國 中 述 
X56n0941_001:0671a06	夫論即者名體不二今依天台大師五味判經四教	夫 論 即 者 名 體 不 二 今 依 天 台 大 師 五 味 判 經 四 教 
X56n0941_001:0671a07	釋義圓教所出前三教無義立名有若爾藏教小乘	釋 義 圓 教 所 出 前 三 教 無 義 立 名 有 若 爾 藏 教 小 乘 
X56n0941_001:0671a08	折色明空葢非所論通教大乘摩訶衍門別教知中	折 色 明 空 葢 非 所 論 通 教 大 乘 摩 訶 衍 門 別 教 知 中 
X56n0941_001:0671a09	云何不釋答界內外巧拙不同通教巧度即色明空	云 何 不 釋 答 界 內 外 巧 拙 不 同 通 教 巧 度 即 色 明 空 
X56n0941_001:0671a10	只斷四住界內煩惱未破惑不能圓融三諦具一切	只 斷 四 住 界 內 煩 惱 未 破 惑 不 能 圓 融 三 諦 具 一 切 
X56n0941_001:0671a11	佛法亦不得云即圓教初心一念能圓觀三諦境智	佛 法 亦 不 得 云 即 圓 教 初 心 一 念 能 圓 觀 三 諦 境 智 
X56n0941_001:0671a12	冥一即三而一即一而三因果具足故得即名若爾	冥 一 即 三 而 一 即 一 而 三 因 果 具 足 故 得 即 名 若 爾 
X56n0941_001:0671a13	因果體一復云何六答所言即者為簡離故所言六	因 果 體 一 復 云 何 六 答 所 言 即 者 為 簡 離 故 所 言 六 
X56n0941_001:0671a14	者為簡濫故若使朱紫分明修行識位(云云)。一理即	者 為 簡 濫 故 若 使 朱 紫 分 明 修 行 識 位 云 云 一 理 即 
X56n0941_001:0671a15	者理謂理性即如來藏本自有之非適今也亦名佛	者 理 謂 理 性 即 如 來 藏 本 自 有 之 非 適 今 也 亦 名 佛 
X56n0941_001:0671a16	性性是因義佛是果義因中具有果人之性故云佛	性 性 是 因 義 佛 是 果 義 因 中 具 有 果 人 之 性 故 云 佛 
X56n0941_001:0671a17	性名理即佛大經如來性品云如貧人舍內為有真	性 名 理 即 佛 大 經 如 來 性 品 云 如 貧 人 舍 內 為 有 真 
X56n0941_001:0671a18	金之藏家人大小無有知即者其義也。二名字即者	金 之 藏 家 人 大 小 無 有 知 即 者 其 義 也 二 名 字 即 者 
X56n0941_001:0671a19	或因經卷或因善知識聞此名字深信此理隨順三	或 因 經 卷 或 因 善 知 識 聞 此 名 字 深 信 此 理 隨 順 三 
X56n0941_001:0671a20	諦法華名為初隨喜人大經云時有異人善知方便	諦 法 華 名 為 初 隨 喜 人 大 經 云 時 有 異 人 善知方便 
X56n0941_001:0671a21	即其義也。三觀行即者從初隨喜深觀三諦言行相	即 其 義 也 三 觀 行 即 者 從 初 隨 喜 深 觀 三 諦 言 行 相 
X56n0941_001:0671a22	應法華名為五品弟子位自行化佗事理具足經云	應 法 華 名 為 五 品 弟 子 位 自 行 化 佗 事 理 具 足 經 云 
X56n0941_001:0671a23	我今雇汝汝可為我耘除草穢即其義也。四相似即	我 今 雇 汝 汝 可 為 我 耘 除 草 穢 即 其 義 也 四 相 似 即 
X56n0941_001:0671a24	者從觀行位入於似道法華稱為六根清淨能以妙	者 從 觀 行 位 入 於 似 道 法 華 稱 為 六 根 清 淨 能 以 妙 
X56n0941_001:0671b01	音遍滿三千界等經云汝若能示我子真金藏者然	音 遍 滿 三 千 界 等 經 云 汝 若 能 示 我 子 真 金 藏 者 然 
X56n0941_001:0671b02	後乃有速為汝作即其義也。五分真即者亦云分證	後 乃 有 速 為 汝 作 即 其 義 也 五 分 真 即 者 亦 云 分 證 
X56n0941_001:0671b03	相似位進入銅輪法名為開佛知見證初位初一品	相 似 位 進 入 銅 輪 法 名 為 開 佛 知 見 證 初 位 初 一 品 
X56n0941_001:0671b04	無明能八相成道從真起應百佛世界教化眾生大	無 明 能 八相成道 從 真 起 應 百 佛 世 界 教 化 眾 生 大 
X56n0941_001:0671b05	經云是人即於其家掘出金藏女人見已心生歡喜	經 云 是 人 即 於 其 家 掘 出 金 藏 女 人 見 已 心生歡喜 
X56n0941_001:0671b06	即其義也。六究竟即者四十二位究竟圓極初阿後	即 其 義 也 六 究 竟 即 者 四 十 二 位 究 竟 圓 極 初 阿 後 
X56n0941_001:0671b07	荼無字可說智斷具足如十五日月月光圓滿法華	荼 無 字 可 說 智 斷 具 足 如 十 五 日 月 月 光 圓 滿 法 華 
X56n0941_001:0671b08	經云遊於四方直至道場大經云即於是人起奇怪	經 云 遊 於 四 方 直 至 道 場 大 經 云 即 於 是 人 起 奇 怪 
X56n0941_001:0671b09	想宗仰是人即是玅覺如來住常寂光即其義也此	想 宗 仰 是 人 即 是 玅 覺 如 來 住 常 寂 光 即 其 義 也 此 
X56n0941_001:0671b10	依章安疏主用大師義意釋涅槃經引此一文六位	依 章 安 疏 主 用 大 師 義 意 釋 涅 槃 經 引 此 一 文 六 位 
X56n0941_001:0671b11	具足何俟多釋散在諸文一家師承須知開顯法華	具 足 何 俟 多 釋 散 在 諸 文 一 家 師 承 須 知 開 顯 法 華 
X56n0941_001:0671b12	會了六即殊途涅槃醍醐自歸祕藏今若執實迷權	會 了 六 即 殊 途 涅 槃 醍 醐 自 歸 祕 藏 今 若 執 實 迷 權 
X56n0941_001:0671b13	端拱不動修途既遠寶所難期略述大猷委明須尋	端 拱 不 動 修 途 既 遠 寶 所 難 期 略 述 大 猷 委 明 須 尋 
X56n0941_001:0671b14	別記。	別 記 
X56n0941_001:0671b16	六即義(終)	六 即 義 終 
