X55n0911_001:0687a03	觀心食法	觀 心 食 法 
X55n0911_001:0687a05	天台　智者大師	天 台 智 者 大 師 
X55n0911_001:0687a06	既敷座已。聽維那進止。鳴鐘後斂手供養一體三寶。	既 敷 座 已 聽 維 那 進 止 鳴 鐘 後 斂 手 供 養 一 體 三 寶 
X55n0911_001:0687a07	徧十方界施作佛事。次出生飯稱施六道。即表六波	徧 十 方 界 施 作 佛 事 次 出 生 飯 稱 施 六 道 即 表 六 波 
X55n0911_001:0687a08	羅密。然後受此食。夫食者。眾生之外命。若不入觀即	羅 密 然 後 受 此 食 夫 食 者 眾 生 之 外 命 若 不 入 觀 即 
X55n0911_001:0687a09	潤生死。若能知入觀。分別生死有邊無邊。不問分衛	潤 生 死 若 能 知 入 觀 分 別 生 死 有邊無邊 不 問 分 衛 
X55n0911_001:0687a10	與清眾淨食皆須作觀觀之者。自恐此身內舊食皆	與 清 眾 淨 食 皆 須 作 觀 觀 之 者 自 恐 此 身 內 舊 食 皆 
X55n0911_001:0687a11	是無明煩惱潤益生死。今之所食皆是般若。想於舊	是 無 明 煩 惱 潤 益 生 死 今 之 所 食 皆 是 般 若 想 於 舊 
X55n0911_001:0687a12	食從毛孔次第而出。食既出已心路即開。食今新食。	食 從 毛 孔 次 第 而 出 食 既 出 已 心 路 即 開 食 今 新 食 
X55n0911_001:0687a13	照諸暗滅成於般若。故淨名云。於食等者於法亦等。	照 諸 暗 滅 成 於 般 若 故 淨 名 云 於 食 等 者 於 法 亦 等 
X55n0911_001:0687a14	是為明證。以此食故成般若食。能養法身。法身得立	是 為 明 證 以 此 食 故 成 般 若 食 能 養 法 身 法 身 得 立 
X55n0911_001:0687a15	即得解脫。是為三德照此食者。非新非故。而有舊食	即 得 解 脫 是 為 三 德 照 此 食 者 非 新 非 故 而 有 舊 食 
X55n0911_001:0687a16	之故。而有新食之新。是名為假。求故不得。求新不得。	之 故 而 有 新 食 之 新 是 名 為 假 求 故 不 得 求 新 不 得 
X55n0911_001:0687a17	畢竟空寂。名之為空觀。食者自那可食為新。既無新	畢 竟 空 寂 名 之 為 空 觀 食 者 自 那 可 食 為 新 既 無 新 
X55n0911_001:0687a18	食那可得食。食者而不離舊食養身而新食重益。因	食 那 可 得 食 食 者 而 不 離 舊 食 養 身 而 新 食 重 益 因 
X55n0911_001:0687a19	緣和合。不可前後分別。名之為中。只中即假空。只空	緣 和 合 不 可 前 後 分 別 名 之 為 中 只 中 即 假 空 只 空 
X55n0911_001:0687a20	即中假。只假即空中。不可思議。名為中道。又淨名云。	即 中 假 只 假 即 空 中 不可思議 名 為 中 道 又 淨 名 云 
X55n0911_001:0687a21	非有煩惱。非離煩惱。非入定意。非起定意。是名食法	非 有 煩 惱 非離煩惱 非 入 定 意 非 起 定 意 是 名 食 法 
