T14n0450_001:0404c11	  [  ; 灌頂經卷第十二]	 [灌頂經卷第十二] 
T14n0450_001:0404c12	藥師琉璃光如來本願功德經	藥師琉璃光 如 來 本 願 功 德 經 
T14n0450_001:0404c14	大唐、三藏法師玄奘奉　詔譯	大 唐 三藏法師 玄 奘 奉 詔 譯 
T14n0450_001:0404c15	如是我聞：一時，薄伽梵遊化諸國，至廣嚴	如是我聞 一 時 薄 伽 梵 遊 化 諸 國 至 廣 嚴 
T14n0450_001:0404c16	城，住樂音樹下。與大苾芻眾八千人俱，菩	城 住 樂 音 樹 下 與 大 苾 芻 眾 八 千 人 俱 菩 
T14n0450_001:0404c17	薩摩訶薩三萬六千，及國王、大臣、婆羅門、居	薩 摩 訶 薩 三 萬 六 千 及 國 王 大 臣 婆 羅 門 居 
T14n0450_001:0404c18	士、天、龍、藥叉、人、非人等，無量大眾，恭敬圍繞，	士 天 龍 藥 叉 人 非 人 等 無 量 大 眾 恭 敬 圍 繞 
T14n0450_001:0404c19	而為說法。	而 為 說 法 
T14n0450_001:0404c20	爾時，曼殊室利法王子，承佛威神，從座而	爾 時 曼 殊 室 利 法 王 子 承佛威神 從 座 而 
T14n0450_001:0404c21	起，偏袒一肩，右膝著地，向薄伽梵，曲躬合	起 偏 袒 一 肩 右膝著地 向 薄 伽 梵 曲 躬 合 
T14n0450_001:0404c22	掌，白言：「世尊！惟願演說如是相類諸佛名號，	掌 白 言 世 尊 惟 願 演 說 如 是 相 類 諸 佛 名 號 
T14n0450_001:0404c23	及本大願殊勝功德，令諸聞者業障銷除，為	及 本 大 願 殊 勝 功 德 令 諸 聞 者 業 障 銷 除 為 
T14n0450_001:0404c24	欲利樂像法轉時諸有情故。」	欲 利 樂 像 法 轉 時 諸 有 情 故 
T14n0450_001:0404c25	爾時，世尊讚曼殊室利童子言：「善哉！善哉！曼	爾 時 世 尊 讚 曼 殊 室 利 童 子 言 善 哉 善 哉 曼 
T14n0450_001:0404c26	殊室利！汝以大悲，勸請我說諸佛名號、本	殊 室 利 汝 以 大 悲 勸 請 我 說 諸 佛 名 號 本 
