X25n0473_001:0055a03	釋金剛經	釋 金 剛 經 
X25n0473_001:0055a05	明　真可　撰	明 真 可 撰 
X25n0473_001:0055a06	心外無法。如來實語。水外無波。聖人切喻。但眾生從	心 外 無 法 如 來 實 語 水 外 無 波 聖 人 切 喻 但 眾 生 從 
X25n0473_001:0055a07	無始以來。名言習氣染深難化。故聞凡著凡。聞聖著	無 始 以 來 名 言 習 氣 染 深 難 化 故 聞 凡 著 凡 聞 聖 著 
X25n0473_001:0055a08	聖。聞有著有。聞無著無。聞生死著生死。聞涅槃著涅	聖 聞 有 著 有 聞 無 著 無 聞 生 死 著 生 死 聞 涅 槃 著 涅 
X25n0473_001:0055a09	槃。聞世界著世界。聞微塵眾著微塵眾。本心即隱沒。	槃 聞 世 界 著 世 界 聞 微 塵 眾 著 微 塵 眾 本 心 即 隱 沒 
X25n0473_001:0055a10	被名言所轉。執而忘返。埋沒自性。所以如來於般若	被 名 言 所 轉 執 而 忘 返 埋 沒 自 性 所 以 如 來 於 般 若 
X25n0473_001:0055a11	會上說金剛經。即世界而破微塵眾。即微塵眾而破	會 上 說 金 剛 經 即 世 界 而 破 微 塵 眾 即 微 塵 眾 而 破 
X25n0473_001:0055a12	世界堅習。堅習既破。微塵習除。虧一喪兩。一兩既喪。	世 界 堅 習 堅 習 既 破 微 塵 習 除 虧 一 喪 兩 一 兩 既 喪 
X25n0473_001:0055a13	本心頓露。故六祖曰。不思善．不思惡。阿那箇是明上	本 心 頓 露 故 六 祖 曰 不 思 善 不 思 惡 阿 那 箇 是 明 上 
X25n0473_001:0055a14	座本來面目。此老即善惡情上指渠。曉得箇無善惡	座 本 來 面 目 此 老 即 善 惡 情 上 指 渠 曉 得 箇 無 善 惡 
X25n0473_001:0055a15	的。這箇無善惡的。名有多種。曰本性。曰真心。曰佛性。	的 這 箇 無 善 惡 的 名 有 多 種 曰 本 性 曰 真 心 曰 佛 性 
X25n0473_001:0055a16	曰本覺等。故天機深者。不受名言所染。能即名言而	曰 本 覺 等 故 天 機 深 者 不 受 名 言 所 染 能 即 名 言 而 
X25n0473_001:0055a17	悟名言。不及者。如此經以世界微塵眾情上。如來宛	悟 名 言 不 及 者 如 此 經 以 世 界 微 塵 眾 情 上 如 來 宛 
X25n0473_001:0055a18	轉方便。借微塵眾破世界有名無實。借世界破微塵	轉 方 便 借 微 塵 眾 破 世 界 有 名 無 實 借 世 界 破 微 塵 
X25n0473_001:0055a19	眾有名無實。究竟兩者名實無。當情消性。復即與六	眾 有 名 無 實 究 竟 兩 者 名 實 無 當 情 消 性 復 即 與 六 
X25n0473_001:0055a20	祖因善惡之情。悟無善惡本來面目。初無差別。即此	祖 因 善 惡 之 情 悟 無 善 惡 本 來 面 目 初 無 差 別 即 此 
X25n0473_001:0055a21	而觀。若不能即名言了悟得名言染不得的。不惟世	而 觀 若 不 能 即 名 言 了 悟 得 名 言 染 不 得 的 不 惟 世 
X25n0473_001:0055a22	界即一合相。微塵眾亦一合相也。何以故。情未破故。	界 即 一 合 相 微 塵 眾 亦 一 合 相 也 何 以 故 情 未 破 故 
X25n0473_001:0055a23	吾故曰。虧一喪兩。茲眾位偶聚泖上。結金剛般若緣。	吾 故 曰 虧 一 喪 兩 茲 眾 位 偶 聚 泖 上 結 金 剛 般 若 緣 
X25n0473_001:0055a24	此非就地抽苗。皆是多生曾親近諸佛菩薩來。所以	此 非 就 地 抽 苗 皆 是 多 生 曾 親 近 諸佛菩薩 來 所 以 
X25n0473_001:0055b01	不期邂逅。道人與世泊然。初無他慕。今更深夜靜。白	不 期 邂 逅 道 人 與 世 泊 然 初 無 他 慕 今 更 深 夜 靜 白 
X25n0473_001:0055b02	燭光中。不惜口業。世出世法。將高就低。種種譬喻。委	燭 光 中 不 惜 口 業 世 出 世 法 將 高 就 低 種 種 譬 喻 委 
