X62n1208_001:0816b06	 自序	 自 序 
X62n1208_001:0816b08	夫修行捷徑。莫如念佛。念佛之要。必先觀心。心若不	夫 修 行 捷 徑 莫 如 念 佛 念 佛 之 要 必 先 觀 心 心 若 不 
X62n1208_001:0816b09	明。徒勞脣吻。雖口親佛號。而不知念者是誰也。夫一	明 徒 勞 脣 吻 雖 口 親 佛 號 而 不 知 念 者 是 誰 也 夫 一 
X62n1208_001:0816b10	念相應。九品同符。理事持名。皆不虗棄。苟於能念之	念 相 應 九 品 同 符 理 事 持 名 皆 不 虗 棄 苟 於 能 念 之 
X62n1208_001:0816b11	心所念之佛。直下雙忘。心佛齊泯。忽爾淨智妙明。廓	心 所 念 之 佛 直 下 雙 忘 心 佛 齊 泯 忽 爾 淨 智 妙 明 廓 
X62n1208_001:0816b12	然洞徹。寂光真境。頓了目前。所謂自性彌陀。唯心淨	然 洞 徹 寂 光 真 境 頓 了 目 前 所 謂 自 性 彌 陀 唯 心 淨 
X62n1208_001:0816b13	土之義也。古德云。禪淨雙修。自他兼濟。目足齊運。到	土 之 義 也 古 德 云 禪 淨 雙 修 自 他 兼 濟 目 足 齊 運 到 
X62n1208_001:0816b14	清涼池。又云。念佛不作福。入道多苦辛。作福不念佛。	清 涼 池 又 云 念 佛 不 作 福 入 道 多 苦 辛 作 福 不 念 佛 
X62n1208_001:0816b15	未免受沈淪。作福兼念佛。如筏渡迷津。則悲智齊融。	未 免 受 沈 淪 作 福 兼 念 佛 如 筏 渡 迷 津 則 悲 智 齊 融 
X62n1208_001:0816b16	方提得起這一句佛也。是故當勤精進。急辦前程。一	方 提 得 起 這 一 句 佛 也 是 故 當 勤 精 進 急 辦 前 程 一 
X62n1208_001:0816b17	句阿彌陀。異口同音。一句阿彌陀。善惡不分。一句阿	句 阿 彌 陀 異口同音 一 句 阿 彌 陀 善 惡 不 分 一 句 阿 
X62n1208_001:0816b18	彌陀。凡聖正因。一句阿彌陀。解脫冤親。一句阿彌陀。	彌 陀 凡 聖 正 因 一 句 阿 彌 陀 解 脫 冤 親 一 句 阿 彌 陀 
X62n1208_001:0816b19	普濟羣生。一句阿彌陀。萬善同登。一句阿彌陀。六度	普 濟 羣 生 一 句 阿 彌 陀 萬 善 同 登 一 句 阿 彌 陀 六 度 
X62n1208_001:0816b20	齊行。一句阿彌陀。淨穢澄清。一句阿彌陀。東西合并。	齊 行 一 句 阿 彌 陀 淨 穢 澄 清 一 句 阿 彌 陀 東 西 合 并 
X62n1208_001:0816b21	一句阿彌陀。包括古今。一句阿彌陀。函葢乾坤。一句	一 句 阿 彌 陀 包 括 古 今 一 句 阿 彌 陀 函 葢 乾 坤 一 句 
X62n1208_001:0816b22	阿彌陀。證入無生。一句了然超百億。十方世界現全	阿 彌 陀 證 入 無 生 一 句 了 然 超 百 億 十方世界 現 全 
X62n1208_001:0816b23	身。祇因蓮社道友。請益禪淨唯心之旨。不覺逗漏。遂	身 祇 因 蓮 社 道 友 請 益 禪 淨 唯 心 之 旨 不 覺 逗 漏 遂 
X62n1208_001:0816b24	成話墮。雖有言說。毫無交涉。夫損己利人。智為先導。	成 話 墮 雖 有 言 說 毫 無 交 涉 夫 損 己 利 人 智 為 先 導 
X62n1208_001:0816c01	開之以方便門。示之以解脫道。橫超直往。誓不退轉。	開 之 以 方 便 門 示 之 以 解 脫 道 橫 超 直 往 誓 不 退 轉 
X62n1208_001:0816c02	定有到家時節。如肯余言。終不虗行。	定 有 到 家 時 節 如 肯 余 言 終 不 虗 行 
X62n1208_001:0816c08	唯心集	唯 心 集 
X62n1208_001:0816c10	海湧小白花海岸山人　乘戒定慧　著	海 湧 小 白 花 海 岸 山 人 乘 戒 定 慧 著 
X62n1208_001:0816c11	臥聽鄰雞第一聲。五更曙色漸分明。整衣束帶思何	臥 聽 鄰 雞 第 一 聲 五 更 曙 色 漸 分 明 整 衣 束 帶 思 何 
X62n1208_001:0816c12	事。十念彌陀信願行。	事 十 念 彌 陀 信 願 行 
X62n1208_001:0816c13	唯願臨終神不亂。預知時至體安然。皮膚脫落根塵	唯 願 臨 終 神 不 亂 預 知 時 至 體 安 然 皮 膚 脫 落 根 塵 
X62n1208_001:0816c14	淨。託質金臺上品蓮。	淨 託 質 金 臺 上 品 蓮 
X62n1208_001:0816c15	死生大事實堪憂。戳破機關萬慮休。無始劫來至今	死 生 大 事 實 堪 憂 戳 破 機 關 萬 慮 休 無 始 劫 來 至 今 
X62n1208_001:0816c16	日。何曾動著一絲頭。	日 何 曾 動 著 一 絲 頭 
X62n1208_001:0816c17	禪餘無事課彌陀。為度眾生出愛河。九品咸令登彼	禪 餘 無 事 課 彌 陀 為 度 眾 生 出 愛 河 九 品 咸 令 登 彼 
X62n1208_001:0816c18	岸。奚須留戀此娑婆。	岸 奚 須 留 戀 此 娑 婆 
X62n1208_001:0816c19	心心起滅花開謝。念念存亡雲往來。彈指頓超三際	心 心 起 滅 花 開 謝 念 念 存 亡 雲 往 來 彈 指 頓 超 三 際 
X62n1208_001:0816c20	斷。剎那消盡劫塵灰。	斷 剎 那 消 盡 劫 塵 灰 
X62n1208_001:0816c21	但知佛在心頭念。不信花從舌底生。花即是心心即	但 知 佛 在 心 頭 念 不 信 花 從 舌 底 生 花 即 是 心 心 即 
X62n1208_001:0816c22	佛。心花開處佛來迎。	佛 心 花 開 處 佛 來 迎 
X62n1208_001:0816c23	諸佛如來淨法身。思惟憶念便相親。本同一體無差	諸佛如來 淨 法 身 思 惟 憶 念 便 相 親 本 同 一 體 無 差 
X62n1208_001:0816c24	別。只要當人認得真。	別 只 要 當 人 認 得 真 
X62n1208_001:0817a01	趙州不喜吾偏喜。漱口三朝吐妙香。法界藏身安樂	趙 州 不 喜 吾 偏 喜 漱 口 三 朝 吐 妙 香 法 界 藏 身 安 樂 
X62n1208_001:0817a02	國。眼前何處不西方。	國 眼 前 何 處 不 西 方 
X62n1208_001:0817a03	東方日出落西方。想見西方無量光。大地山河非外	東 方 日 出 落 西 方 想 見 西 方 無 量 光 大 地 山 河 非 外 
X62n1208_001:0817a04	物。法空寶覺是心王。	物 法 空 寶 覺 是 心 王 
X62n1208_001:0817a05	世間難得是人身。既得人身要認真。罔極恩深何以	世 間 難 得 是 人 身 既 得 人 身 要 認 真 罔 極 恩 深 何 以 
X62n1208_001:0817a06	報。無如念佛度雙親。	報 無 如 念 佛 度 雙 親 
X62n1208_001:0817a07	閒忙動靜不妨修。耕讀漁樵亦可求。貴賤賢愚無揀	閒 忙 動 靜 不 妨 修 耕 讀 漁 樵 亦 可 求 貴 賤 賢 愚 無 揀 
X62n1208_001:0817a08	擇。但稱六字便相投。	擇 但 稱 六 字 便 相 投 
X62n1208_001:0817a09	佛度眾生如一子。眾生念佛若雙親。不相違遠常相	佛 度 眾 生 如 一 子 眾 生 念 佛 若 雙 親 不 相 違 遠 常 相 
X62n1208_001:0817a10	憶。覿面依然是本人。	憶 覿 面 依 然 是 本 人 
X62n1208_001:0817a11	彼方歸去實非去。此土往生無不生。大道直通三界	彼 方 歸 去 實 非 去 此 土 往 生 無 不 生 大 道 直 通 三 界 
X62n1208_001:0817a12	外。六街原不禁人行。	外 六 街 原 不 禁 人 行 
X62n1208_001:0817a13	汲汲波波汲汲波。何如一句阿彌陀。屠刀放下便成	汲 汲 波 波 汲 汲 波 何 如 一 句 阿 彌 陀 屠 刀 放 下 便 成 
X62n1208_001:0817a14	佛。七日功夫猶是多。	佛 七 日 功 夫 猶 是 多 
X62n1208_001:0817a15	在家念佛在家中。晝夜晨朝不住功。況在家中多少	在 家 念 佛 在 家 中 晝 夜 晨 朝 不 住 功 況 在 家 中 多 少 
X62n1208_001:0817a16	好。無拘無束念頭空。	好 無 拘 無 束 念 頭 空 
X62n1208_001:0817a17	豐饒富有千鍾祿。榮耀尊為一品官。難免衰殘老病	豐 饒 富 有 千 鍾 祿 榮 耀 尊 為 一 品 官 難 免 衰 殘 老 病 
X62n1208_001:0817a18	死。浮生爭及樂邦安。	死 浮 生 爭 及 樂 邦 安 
X62n1208_001:0817a19	生佛體同本大均。蹉跎又自逐風塵。向時不肯勤精	生 佛 體 同 本 大 均 蹉 跎 又 自 逐 風 塵 向 時 不 肯 勤 精 
X62n1208_001:0817a20	進。流落娑婆作嬾民。	進 流 落 娑 婆 作 嬾 民 
X62n1208_001:0817a21	愚迷不達境唯心。日逐驅馳向外尋。覓即知君不可	愚 迷 不 達 境 唯 心 日 逐 驅 馳 向 外 尋 覓 即 知 君 不 可 
X62n1208_001:0817a22	得。空花水月景沈沈。	得 空 花 水 月 景 沈 沈 
X62n1208_001:0817a23	人生多事多煩惱。百年長壽恐難保。忙裏偷閒念一	人 生 多 事 多 煩 惱 百 年 長 壽 恐 難 保 忙 裏 偷 閒 念 一 
X62n1208_001:0817a24	聲。南無阿彌陀佛好。	聲 南 無 阿 彌 陀 佛 好 
X62n1208_001:0817b01	是男是女總堪修。親切無如自己求。異口同音一句	是 男 是 女 總 堪 修 親 切 無 如 自 己 求 異口同音 一 句 
X62n1208_001:0817b02	佛。渾家送上渡船頭。	佛 渾 家 送 上 渡 船 頭 
X62n1208_001:0817b03	此方正教重音聞。雪曲巴歈巧樣分。六字彌陀真絕	此 方 正 教 重 音 聞 雪 曲 巴 歈 巧 樣 分 六 字 彌 陀 真 絕 
X62n1208_001:0817b04	調。一聲清響遏行雲。	調 一 聲 清 響 遏 行 雲 
X62n1208_001:0817b05	身當強健精神旺。病臥牀幃力不支。猛省回頭早覺	身 當 強 健 精 神 旺 病 臥 牀 幃 力 不 支 猛 省 回 頭 早 覺 
X62n1208_001:0817b06	悟。是真精進丈夫兒。	悟 是 真 精 進 丈 夫 兒 
X62n1208_001:0817b07	燈盞無油火不明。昏瞢直入暗中行。冥冥長夜何時	燈 盞 無 油 火 不 明 昏 瞢 直 入 暗 中 行 冥 冥 長 夜 何 時 
X62n1208_001:0817b08	且。夢裏驚聞佛一聲。	且 夢 裏 驚 聞 佛 一 聲 
X62n1208_001:0817b09	三灾八難孰為拘。但念彌陀當處無。迷即眾生悟即	三 灾 八 難 孰 為 拘 但 念 彌 陀 當 處 無 迷 即 眾 生 悟 即 
X62n1208_001:0817b10	佛。祇因迷悟有差殊。	佛 祇 因 迷 悟 有 差 殊 
X62n1208_001:0817b11	日落西山憶故鄉。終須檢點辦資糧。等閒整頓好行	日 落 西 山 憶 故 鄉 終 須 檢 點 辦 資 糧 等 閒 整 頓 好 行 
X62n1208_001:0817b12	李。莫待臨時手脚忙。	李 莫 待 臨 時 手 脚 忙 
