T52n2113_001:0573a04	北山錄序	北 山 錄 序 
T52n2113_001:0573a06	錢唐沈　遼	錢 唐 沈 遼 
T52n2113_001:0573a07	始余欲聞內典。訪諸南屏梵臻法師。於是受	始 余 欲 聞 內 典 訪 諸 南 屏 梵 臻 法 師 於 是 受 
T52n2113_001:0573a08	斯錄焉。南屏云。往聞老師言。丁祕監(謂)酷愛	斯 錄 焉 南 屏 云 往 聞 老 師 言 丁 祕 監 謂 酷 愛 
T52n2113_001:0573a09	其書。一見如不及至手傳其本。老師之言可	其 書 一 見 如 不 及 至 手 傳 其 本 老 師 之 言 可 
T52n2113_001:0573a10	信不疑者。丁公所述作多所自出也善乎。一	信 不 疑 者 丁 公 所 述 作 多 所 自 出 也 善 乎 一 
T52n2113_001:0573a11	乘以為宗。百家以為支。尋其支如涉江河隨	乘 以 為 宗 百 家 以 為 支 尋 其 支 如 涉 江 河 隨 
T52n2113_001:0573a12	地得宜。不得其源猶足以為多聞。況遂達其	地 得 宜 不 得 其 源 猶 足 以 為 多 聞 況 遂 達 其 
T52n2113_001:0573a13	源乎。然其書出未久而世罕傳。能傳者莫不	源 乎 然 其 書 出 未 久 而 世 罕 傳 能 傳 者 莫 不 
T52n2113_001:0573a14	有名於時。而其傳者皆祕玩之以為資不肯	有 名 於 時 而 其 傳 者 皆 祕 玩 之 以 為 資 不 肯 
T52n2113_001:0573a15	廣也。余聞神清在元和時其道甚顯。為當世	廣 也 余 聞 神 清 在 元 和 時 其 道 甚 顯 為 當 世 
T52n2113_001:0573a16	公卿所尊禮。從其學者至千人。而性喜述作。	公 卿 所 尊 禮 從 其 學 者 至 千 人 而 性 喜 述 作 
T52n2113_001:0573a17	其出入諸經者或刪焉或益焉凡百餘卷。而	其 出 入 諸 經 者 或 刪 焉 或 益 焉 凡 百 餘 卷 而 
T52n2113_001:0573a18	斯錄獨發其所縕尤稱贍博。使世之學者盡	斯 錄 獨 發 其 所 縕 尤 稱 贍 博 使 世 之 學 者 盡 
T52n2113_001:0573a19	得其書而達其源。何患不為神清乎。神清其	得 其 書 而 達 其 源 何 患 不 為 神 清 乎 神 清 其 
T52n2113_001:0573a20	名也。生大安山下。後居長平山陰。故謂之北	名 也 生 大 安 山 下 後 居 長 平 山 陰 故 謂 之 北 
T52n2113_001:0573a21	山錄。惟賢大師先得蜀本。將傳諸好事者。請	山 錄 惟 賢 大 師 先 得 蜀 本 將 傳 諸 好 事 者 請 
T52n2113_001:0573a22	余敘其大方而刻之。因述南屏法師之言。以	余 敘 其 大 方 而 刻 之 因 述 南 屏 法 師 之 言 以 
T52n2113_001:0573a23	為首云。	為 首 云 
T52n2113_001:0573a24	熙寧元年五月十二日序	熙 寧 元 年 五 月 十 二 日 序 
T52n2113_001:0573b04	北山錄卷第一	北 山 錄 卷 第 一 
T52n2113_001:0573b06	梓州慧義寺沙門神清撰	梓 州 慧 義 寺 沙 門 神 清 撰 
T52n2113_001:0573b07	西蜀草玄亭沙門慧寶注	西 蜀 草 玄 亭 沙 門 慧 寶 注 
T52n2113_001:0573b08	天地始第一聖人生第二	天 地 始 第 一 聖 人 生 第 二 
T52n2113_001:0573b09	法籍興第三真俗符第四	法 籍 興 第 三 真 俗 符 第 四 
T52n2113_001:0573b10	合霸王第五至化第六	合 霸 王 第 五 至 化 第 六 
T52n2113_001:0573b11	宗師議第七釋賓問第八	宗 師 議 第 七 釋 賓 問 第 八 
T52n2113_001:0573b12	喪服問第九譏異說第十	喪 服 問 第 九 譏 異 說 第 十 
T52n2113_001:0573b13	綜名理第十一報應驗第十二	綜 名 理 第 十 一 報 應 驗 第 十 二 
T52n2113_001:0573b14	論業理第十三住持行第十四	論 業 理 第 十 三 住 持 行 第 十 四 
T52n2113_001:0573b15	異學第十五外信第十六	異 學 第 十 五 外 信 第 十 六 
T52n2113_001:0573b16	天地始第一(明儒釋序天地開闢物象始興之事)	天 地 始 第 一 明 儒 釋 序 天 地 開 闢 物 象 始 興 之 事 
T52n2113_001:0573b17	艾儒為儒奮于休聲(艾長也。老而有道時人所重曰艾。所謂刻意尚行離世異端有	艾 儒 為 儒 奮 于 休 聲 艾 長 也 老 而 有 道 時 人 所 重 曰 艾 所 謂 刻 意 尚 行 離 世 異 端 有 
T52n2113_001:0573b18	上古之風。此乃山谷之士。非常人所好者也。奮擊也。休美也)。群儒即而慕教焉	上 古 之 風 此 乃 山 谷 之 士 非 常 人 所 好 者 也 奮 擊 也 休 美 也 群 儒 即 而 慕 教 焉 
T52n2113_001:0573b19	(群眾也。即就也。以艾儒博識休美群儒就而習學者也。此評世教誨之道遊居好學者之可慕焉)予小	 群 眾 也 即 就 也 以 艾 儒 博 識 休 美 群 儒 就 而 習 學 者 也 此 評 世 教 誨 之 道 遊 居 好 學 者 之 可 慕 焉 予 小 
T52n2113_001:0573b20	子或以宇宙權輿。再拜致懷者(予小子謙也。或疑也。宇宙	子 或 以 宇 宙 權 輿 再 拜 致 懷 者 予 小 子 謙 也 或 疑 也 宇 宙 
T52n2113_001:0573b21	天地也。權輿初始也。言我疑於天地初始開闢之事。再拜而伸及懷抱者也)艾儒曰。富	天 地 也 權 輿 初 始 也 言 我 疑 於 天 地 初 始 開 闢 之 事 再 拜 而 伸 及 懷 抱 者 也 艾 儒 曰 富 
T52n2113_001:0573b22	哉問之也(富盛大也)吾知夫天地溟涬之人也(溟幸廣大無際	哉 問 之 也 富 盛 大 也 吾 知 夫 天 地 溟 涬 之 人 也 溟 幸 廣 大 無 際 
T52n2113_001:0573b23	混然未分之貌也)旦旦乎(旦旦明曉也。如言三辰昭昭也)居吾語汝(居坐也。	混 然 未 分 之 貌 也 旦 旦 乎 旦 旦 明 曉 也 如 言 三 辰 昭 昭 也 居 吾 語 汝 居 坐 也 
T52n2113_001:0573b24	起而致問故令復坐而示之)易有太極是生兩儀(鈎命決云。易有五太。一太易氣	起 而 致 問 故 令 復 坐 而 示 之 易 有 太 極 是 生 兩 儀 鈎 命 決 云 易 有 五 太 一 太 易 氣 
T52n2113_001:0573b25	象未分也。二太初元氣萌也。三太始形之端也。四太素形變有質也。五太極形質已具也。從太極而生天地	象 未 分 也 二 太 初 元 氣 萌 也 三 太 始 形 之 端 也 四 太 素 形 變 有 質 也 五 太 極 形 質 已 具 也 從 太 極 而 生 天 地 
T52n2113_001:0573b26	清濁兩儀也)厥初未兆。馮馮翼翼。澒澒洞洞。清濁	清 濁 兩 儀 也 厥 初 未 兆 馮 馮 翼 翼 澒 澒 洞 洞 清 濁 
T52n2113_001:0573b27	一理。混沌無象(澒胡孔反。大水貌也。厥其也。淮南子云。天地未形馮馮翼翼洞	一 理 混 沌 無 象 澒 胡 孔 反 大 水 貌 也 厥 其 也 淮 南 子 云 天 地 未 形 馮 馮 翼 翼 洞 
T52n2113_001:0573b28	洞灟灟。皆形象未分之謂也。混沌者未開通之貌也)殆元氣鴻蒙萌芽資始	洞 灟 灟 皆 形 象 未 分 之 謂 也 混 沌 者 未 開 通 之 貌 也 殆 元 氣 鴻 蒙 萌 芽 資 始 
T52n2113_001:0573b29	(殆及也。資助也。鴻濛混元之氣也。莊子文)粵若盤古生乎其中。萬八	 殆 及 也 資 助 也 鴻 濛 混 元 之 氣 也 莊 子 文 粵 若 盤 古 生 乎 其 中 萬 八 
T52n2113_001:0573c01	千歲(天地未分。猶如鷄子。清濁既兆。是曰兩儀。清氣為天。濁氣為地。和氣為人。是為三才。然後	千 歲 天 地 未 分 猶 如 鷄 子 清 濁 既 兆 是 曰 兩 儀 清 氣 為 天 濁 氣 為 地 和 氣 為 人 是 為 三 才 然 後 
T52n2113_001:0573c02	盤古生乎其中。治萬八千歲矣)天地開闢。天日高一丈。地日	盤 古 生 乎 其 中 治 萬 八 千 歲 矣 天 地 開 闢 天 日 高 一 丈 地 日 
