X58n1004_001:0425b06	五蘊觀	五 蘊 觀 
X58n1004_001:0425b08	沙門　澄觀　述	沙 門 澄 觀 述 
X58n1004_001:0425b09	問。凡夫之人欲求解脫。當云何修。答曰。當修二觀。二	問 凡 夫 之 人 欲 求 解 脫 當 云 何 修 答 曰 當 修 二 觀 二 
X58n1004_001:0425b10	觀者何。一人空觀。二法空觀。夫生死之本莫過人法	觀 者 何 一 人 空 觀 二 法 空 觀 夫 生 死 之 本 莫 過 人 法 
X58n1004_001:0425b11	二執。迷身心總相。故執人我為實有。迷五蘊自相。故	二 執 迷 身 心 總 相 故 執 人 我 為 實 有 迷 五 蘊 自 相 故 
X58n1004_001:0425b12	計法我為實有。計人我者。用初觀照之。知五蘊和合	計 法 我 為 實 有 計 人 我 者 用 初 觀 照 之 知 五 蘊 和 合 
X58n1004_001:0425b13	假名為人。一一諦觀。但見五蘊。求人我相終不可得。	假 名 為 人 一 一 諦 觀 但 見 五 蘊 求 人 我 相 終 不 可 得 
X58n1004_001:0425b14	云何名為五蘊。色受想行識是。云何觀之。身則色蘊。	云 何 名 為 五 蘊 色 受 想 行 識 是 云 何 觀 之 身 則 色 蘊 
X58n1004_001:0425b15	所謂地水火風是。其相如何。堅則地。潤則水。煖則火。	所 謂 地水火風 是 其 相 如 何 堅 則 地 潤 則 水 煖 則 火 
X58n1004_001:0425b16	動則風。觀心則四蘊。所謂受想行識是其相。如何領	動 則 風 觀 心 則 四 蘊 所 謂 受 想 行 識 是 其 相 如 何 領 
X58n1004_001:0425b17	納為受。取相為相。造作為行。了別為識。若能依此身	納 為 受 取 相 為 相 造 作 為 行 了 別 為 識 若 能 依 此 身 
X58n1004_001:0425b18	心相。諦觀分明。於一切處但見五蘊。求人我相終不	心 相 諦 觀 分 明 於 一 切 處 但 見 五 蘊 求 人 我 相 終 不 
X58n1004_001:0425b19	可得。名人空觀。乘此觀。行出分段生死。永處涅槃。名	可 得 名 人 空 觀 乘 此 觀 行 出 分段生死 永 處 涅 槃 名 
X58n1004_001:0425b20	二乘解脫。計法我者用後觀照之。知一一蘊皆從緣	二 乘 解 脫 計 法 我 者 用 後 觀 照 之 知 一 一 蘊 皆 從 緣 
X58n1004_001:0425b21	生。都無自性。求蘊相不可得。則五蘊皆空。名法空觀。	生 都 無 自 性 求 蘊 相 不 可 得 則 五 蘊 皆 空 名 法 空 觀 
X58n1004_001:0425b22	若二觀雙照。了人我法我。畢竟空無所有。離諸怖畏。	若 二 觀 雙 照 了 人 我 法 我 畢 竟 空無所有 離 諸 怖 畏 
X58n1004_001:0425b23	度一切苦厄。出變易生死。名究竟解脫。問。夫求解脫。	度 一 切 苦 厄 出 變易生死 名 究 竟 解 脫 問 夫 求 解 脫 
X58n1004_001:0425b24	祗是了妄證真。但能契真如理寂。然無念則便離縛。	祗 是 了 妄 證 真 但 能 契 真 如 理 寂 然 無 念 則 便 離 縛 
X58n1004_001:0425c01	何假興心觀蘊方求解脫。豈不乖理哉。答。離蘊真妄	何 假 興 心 觀 蘊 方 求 解 脫 豈 不 乖 理 哉 答 離 蘊 真 妄 
X58n1004_001:0425c02	約何而立。且五蘊者身心之異名。行人若不識身心。	約 何 而 立 且 五 蘊 者 身 心 之 異 名 行 人 若 不 識 身 心 
X58n1004_001:0425c03	真妄何能懸契。不達真妄之本。諸行徒施。故經云。若	真 妄 何 能 懸 契 不 達 真 妄 之 本 諸 行 徒 施 故 經 云 若 
X58n1004_001:0425c04	於虗空終不能成。斯之謂也。且計人我者。凡夫之執	於 虗 空 終 不 能 成 斯 之 謂 也 且 計 人 我 者 凡 夫 之 執 
X58n1004_001:0425c05	也。計法我者。二乘之滯也。故令修二觀。方能了妄證	也 計 法 我 者 二 乘 之 滯 也 故 令 修 二 觀 方 能 了 妄 證 
X58n1004_001:0425c06	真。豈可離也。	真 豈 可 離 也 
X58n1004_001:0425c08	五蘊觀(終)	五 蘊 觀 終 
