T14n0555a_001:0906b26	五母子經	五 母 子 經 
T14n0555a_001:0906b28	吳月氏國居士支謙譯	吳 月 氏 國 居 士 支 謙 譯 
T14n0555a_001:0906b29	昔者有阿羅漢在山中奉行道業。有一小	昔 者 有 阿 羅 漢 在 山 中 奉 行 道 業 有 一 小 
T14n0555a_001:0906c01	兒年始七歲，大好道法，辭母出家，求作沙	兒 年 始 七 歲 大 好 道 法 辭 母 出 家 求 作 沙 
T14n0555a_001:0906c02	彌，隨大沙門，於山中學道，給師所須，誦經	彌 隨 大 沙 門 於 山 中 學 道 給 師 所 須 誦 經 
T14n0555a_001:0906c03	行道，時無有懈。至年八歲得慧眼，能通視	行 道 時 無 有 懈 至 年 八 歲 得 慧 眼 能 通 視 
T14n0555a_001:0906c04	無極；耳能徹聽，天上、天下所為善惡，皆	無 極 耳 能 徹 聽 天 上 天 下 所 為 善 惡 皆 
T14n0555a_001:0906c05	聞知之；身能飛行，所在至到能分一身及	聞 知 之 身 能 飛 行 所 在 至 到 能 分 一 身 及 
T14n0555a_001:0906c06	人自化，無所不作；自知宿命，所從來生，及人	人 自 化 無 所 不 作 自 知 宿 命 所 從 來 生 及 人 
T14n0555a_001:0906c07	民、蚑行、蠕動之類所經歷善惡之道，皆悉	民 蚑 行 蠕 動 之 類 所 經 歷 善 惡 之 道 皆 悉 
T14n0555a_001:0906c08	知之。先世宿命為五母子時，便坐自笑。其	知 之 先 世 宿 命 為 五 母 子 時 便 坐 自 笑 其 
T14n0555a_001:0906c09	師問：「何等而笑？」沙彌答言：「無所笑也。」師曰：	師 問 何 等 而 笑 沙 彌 答 言 無 所 笑 也 師 曰 
T14n0555a_001:0906c10	「是山中亦無歌唱、伎樂，汝笑嗤我耳？」沙彌	 是 山 中 亦 無 歌 唱 伎 樂 汝 笑 嗤 我 耳 沙 彌 
T14n0555a_001:0906c11	答言：「不敢笑師，但自笑耳。我一身為五母	答 言 不 敢 笑 師 但 自 笑 耳 我 一 身 為 五 母 
T14n0555a_001:0906c12	作子。母皆為我晝夜啼哭，感傷愁毒，不能	作 子 母 皆 為 我 晝 夜 啼 哭 感 傷 愁 毒 不 能 
T14n0555a_001:0906c13	自止；常念子憂思，未常忽忘。我自念一身	自 止 常 念 子 憂 思 未 常 忽 忘 我 自 念 一 身 
T14n0555a_001:0906c14	而憂毒五家，以是笑耳，不敢笑師。「我與第	而 憂 毒 五 家 以 是 笑 耳 不 敢 笑 師 我 與 第 
