T51n2093_001:1022b22	寺塔記	寺 塔 記 
T51n2093_001:1022b24	唐段成式	唐 段 成 式 
T51n2093_001:1022b25	武宗癸亥三年夏。予與張君希復善繼。同官	武 宗 癸 亥 三 年 夏 予 與 張 君 希 復 善 繼 同 官 
T51n2093_001:1022b26	秘丘鄭君符夢復連職仙署。會暇日遊大興	秘 丘 鄭 君 符 夢 復 連 職 仙 署 會 暇 日 遊 大 興 
T51n2093_001:1022b27	善寺。因問。兩京新記及遊目記多所遺。略乃	善 寺 因 問 兩 京 新 記 及 遊 目 記 多 所 遺 略 乃 
T51n2093_001:1022b28	約一旬尋兩街寺。以街東興善為首。二記所	約 一 旬 尋 兩 街 寺 以 街 東 興 善 為 首 二 記 所 
T51n2093_001:1022b29	不具。則別錄之。遊及慈恩。初知官將併寺。僧	不 具 則 別 錄 之 遊 及 慈 恩 初 知 官 將 併 寺 僧 
T51n2093_001:1022c01	眾草草。乃泛問一二。上人及記塔下畫跡。遊	眾 草 草 乃 泛 問 一 二 上 人 及 記 塔 下 畫 跡 遊 
T51n2093_001:1022c02	於此遂絕。後三年。予職于京洛及刺安成。至	於 此 遂 絕 後 三 年 予 職 于 京 洛 及 刺 安 成 至 
T51n2093_001:1022c03	大中七年歸京。在外六甲子所留書籍揃壞	大 中 七 年 歸 京 在 外 六 甲 子 所 留 書 籍 揃 壞 
T51n2093_001:1022c04	居半。於故簡中覩與二亡父遊寺。瀝血淚交。	居 半 於 故 簡 中 覩 與 二 亡 父 遊 寺 瀝 血 淚 交 
T51n2093_001:1022c05	當時造適樂事邈不可追。復方刊整。纔足續	當 時 造 適 樂 事 邈 不 可 追 復 方 刊 整 纔 足 續 
T51n2093_001:1022c06	穿蠧。然十亡五六矣。次成兩卷。傳諸釋子。東	穿 蠧 然 十 亡 五 六 矣 次 成 兩 卷 傳 諸 釋 子 東 
T51n2093_001:1022c07	牟人段成式字柯古。	牟 人 段 成 式 字 柯 古 
T51n2093_001:1022c08	靖恭坊大興善寺。寺取大興兩字。坊名一字	靖 恭 坊 大 興 善 寺 寺 取 大 興 兩 字 坊 名 一 字 
T51n2093_001:1022c09	為名。新記云。優填像。總章初為火所燒。據梁	為 名 新 記 云 優 填 像 總 章 初 為 火 所 燒 據 梁 
T51n2093_001:1022c10	時西域優填在荊州。言隋自臺城移來此寺	時 西 域 優 填 在 荊 州 言 隋 自 臺 城 移 來 此 寺 
T51n2093_001:1022c11	非也。今又有旃檀像。開目其工頗拙。猶差謬	非 也 今 又 有 旃 檀 像 開 目 其 工 頗 拙 猶 差 謬 
