T85n2751_001:0194c05	法華經疏	法 華 經 疏 
T85n2751_001:0194c07	究竟教亦備之理而言之不過身為真應教	究 竟 教 亦 備 之 理 而 言 之 不 過 身 為 真 應 教 
T85n2751_001:0194c08	為權實。此經備明。故知理深說不盡也。此長	為 權 實 此 經 備 明 故 知 理 深 說 不 盡 也 此 長 
T85n2751_001:0194c09	一中明經功德說示於盡。下偈中噵流通之人	一 中 明 經 功 德 說 示 於 盡 下 偈 中 噵 流 通 之 人 
T85n2751_001:0194c10	功德不盡綺事說也。為乘爾者大意。正明流	功 德 不 盡 綺 事 說 也 為 乘 爾 者 大 意 正 明 流 
T85n2751_001:0194c11	通經人德不盡耳。不欲明經所以。舉經者德	通 經 人 德 不 盡 耳 不 欲 明 經 所 以 舉 經 者 德 
T85n2751_001:0194c12	備。由經故噵也。以要言者。欲明如來德乃無	備 由 經 故 噵 也 以 要 言 者 欲 明 如 來 德 乃 無 
T85n2751_001:0194c13	量。為明四義故稱要也。四者是有如來一切	量 為 明 四 義 故 稱 要 也 四 者 是 有 如 來 一 切 
T85n2751_001:0194c14	所有之者。此句欲明舉手低頭。皆第一理。此	所 有 之 者 此 句 欲 明 舉 手 低 頭 皆 第 一 理 此 
T85n2751_001:0194c15	是第一明其教實。如來一切自在神力者。是	是 第 一 明 其 教 實 如 來 一 切 自在神力 者 是 
T85n2751_001:0194c16	第二明形方便。則短顯長必求應道。即長明	第 二 明 形 方 便 則 短 顯 長 必 求 應 道 即 長 明 
T85n2751_001:0194c17	短分傷真極明自在神力也。如來一切祕要	短 分 傷 真 極 明 自在神力 也 如 來 一 切 祕 要 
T85n2751_001:0194c18	之藏者。此是第三所乘方便。如來為物分齊	之 藏 者 此 是 第 三 所 乘 方 便 如 來 為 物 分 齊 
T85n2751_001:0194c19	亡不求其一。如來一切甚深之事者。至極法	亡 不 求 其 一 如 來 一 切 甚 深 之 事 者 至 極 法 
T85n2751_001:0194c20	身雖復為物權生脫滅真身深無其遷變。此	身 雖 復 為 物 權 生 脫 滅 真 身 深 無 其 遷 變 此 
T85n2751_001:0194c21	是第四身真寶也。此經備明一切言。皆於此	是 第 四 身 真 寶 也 此 經 備 明 一 切 言 皆 於 此 
T85n2751_001:0194c22	經宜示顯說。從是故已下品之第四結勸二	經 宜 示 顯 說 從 是 故 已 下 品 之 第 四 結 勸 二 
T85n2751_001:0194c23	人。是以此經理深益物大故。汝未來不得不	人 是 以 此 經 理 深 益 物 大 故 汝 未 來 不 得 不 
T85n2751_001:0194c24	說。爾時故言於如來滅後應一心受持讀誦。	說 爾 時 故 言 於 如來滅後 應 一 心 受持讀誦 
T85n2751_001:0194c25	勸其弟子。解說已下勸其師也。從所在國土	勸 其 弟 子 解 說 已 下 勸 其 師 也 從 所 在 國 土 
T85n2751_001:0194c26	已下。正舉理深並勸之。人說經之處卷所住	已 下 正 舉 理 深 並 勸 之 人 說 經 之 處 卷 所 住 
T85n2751_001:0194c27	處。皆應於中起塔供養重經故也。所以者何	處 皆 應 於 中 起 塔 供 養 重 經 故 也 所以者何 
T85n2751_001:0194c28	已下。便持所以此中非是生處得道。便轉法	已 下 便 持 所 以 此 中 非 是 生 處 得 道 便 轉 法 
T85n2751_001:0194c29	輪處般處而起塔者何。若外識知為弘一乘	輪 處 般 處 而 起 塔 者 何 若 外 識 知 為 弘 一 乘 
T85n2751_001:0195a01	供養法華造此塔者。乘理關心解生或滅萬	供 養 法 華 造 此 塔 者 乘 理 關 心 解 生 或 滅 萬 
T85n2751_001:0195a02	行滿足。得道之處持其經旨。即轉法輪處知	行 滿 足 得 道 之 處 持 其 經 旨 即 轉 法 輪 處 知 
T85n2751_001:0195a03	聖應遷即涅槃處。偈中之明不頌品物。第一	聖 應 遷 即 涅 槃 處 偈 中 之 明 不 頌 品 物 第 一 
T85n2751_001:0195a04	諸菩薩請求流通初有三偈頌。上第二五種	諸 菩 薩 請 求 流 通 初 有 三 偈 頌 上 第 二 五 種 
T85n2751_001:0195a05	瑞相。就中但頌舌相放光磬欬彈指動地。第	瑞 相 就 中 但 頌 舌 相 放 光 磬 欬 彈 指 動 地 第 
T85n2751_001:0195a06	五十方欽敬略而不頌。身放無數光者。欲明	五 十 方 欽 敬 略 而 不 頌 身 放 無 數 光 者 欲 明 
T85n2751_001:0195a07	眾生根感萬差應亦非一。從以滅虔緣已下	眾 生 根 感 萬 差 應 亦 非 一 從 以 滅 虔 緣 已 下 
T85n2751_001:0195a08	十一偈半頌。上第三佛告舉經理深以勸二	十 一 偈 半 頌 上 第 三 佛 告 舉 經 理 深 以 勸 二 
T85n2751_001:0195a09	依。初有三偈。正是頌上持經之人功德彌大。	依 初 有 三 偈 正 是 頌 上 持 經 之 人 功 德 彌 大 
T85n2751_001:0195a10	從能持是經者已下。廣嘆功德無量勸令弘	從 能 持 是 經 者 已 下 廣 嘆 功 德 無 量 勸 令 弘 
T85n2751_001:0195a11	經。則為見我欲明三以佛真極理用之為體	經 則 為 見 我 欲 明 三 以 佛 真 極 理 用 之 為 體 
T85n2751_001:0195a12	悟理在心名見也。佛亦可隨刑不離聖故恒	悟 理 在 心 名 見 也 佛 亦 可 隨 刑 不 離 聖 故 恒 
T85n2751_001:0195a13	見也。若能末世通經化物不但見佛。亦復無	見 也 若 能 末 世 通 經 化 物 不 但 見 佛 亦 復 無 
T85n2751_001:0195a14	順即法供養。從於諸法之義已下四得上明	順 即 法 供 養 從 於 諸 法 之 義 已 下 四 得 上 明 
T85n2751_001:0195a15	自行。從此已下明其外化經理資益具曰無	自 行 從 此 已 下 明 其 外 化 經 理 資 益 具 曰 無 
T85n2751_001:0195a16	礙便能稱根導利群生。滅惡生善故云行世	礙 便 能 稱 根 導 利 群 生 滅 惡 生 善 故 云 行 世 
T85n2751_001:0195a17	間。能滅眾生闇即是滅惡。教化已下明具生	間 能 滅 眾 生 闇 即 是 滅 惡 教 化 已 下 明 具 生 
T85n2751_001:0195a18	善經益既人二依未來不得不懃宜通後代。	善 經 益 既 人 二 依 未 來 不 得 不 懃 宜 通 後 代 
T85n2751_001:0195a19	從是故已下一偈半頌上第四結勸二人。	從 是 故 已 下 一 偈 半 頌 上 第 四 結 勸 二 人 
T85n2751_001:0195a20	囑累品	囑 累 品 
T85n2751_001:0195a21	從此已下。後世文中。第二文也。如來親自口	從 此 已 下 後 世 文 中 第 二 文 也 如 來 親 自 口 
T85n2751_001:0195a22	告付囑。此明如來以此大法付諸菩薩。惡世	告 付 囑 此 明 如 來 以 此 大 法 付 諸 菩 薩 惡 世 
T85n2751_001:0195a23	宣通即是菩薩累重之事。二者欲使二依。在	宣 通 即 是 菩 薩 累 重 之 事 二 者 欲 使 二 依 在 
T85n2751_001:0195a24	於未來。宣通此經。使累世不絕。故言囑累	於 未 來 宣 通 此 經 使 累 世 不 絕 故 言 囑 累 
T85n2751_001:0195a25	品。就此品中凡有四文。第一從初以下。訖普	品 就 此 品 中 凡 有 四 文 第 一 從 初 以 下 訖 普 
T85n2751_001:0195a26	得聞知。欲明如來口自慇懃誡勅二依　第	得 聞 知 欲 明 如 來 口 自 慇 懃 誡 勅 二 依 第 
