X22n0432_001:0898b06	修西定課	修 西 定 課 
X22n0432_001:0898b08	許序曰。昔佛法入中國既數百年。慧遠法師方以淨	許 序 曰 昔 佛 法 入 中 國 既 數 百 年 慧 遠 法 師 方 以 淨 
X22n0432_001:0898b09	土收束羣靈。雖一百二十三人未能一生都辦。然一	土 收 束 羣 靈 雖 一 百 二 十 三 人 未 能 一 生 都 辦 然 一 
X22n0432_001:0898b10	生取辦者不少矣。此一百二十三人。皆以宏誓互相	生 取 辦 者 不 少 矣 此 一 百 二 十 三 人 皆 以 宏 誓 互 相 
X22n0432_001:0898b11	鉤攝。深諧佛願。畢發蓮香。轉度冤親。引生眷屬。後之	鉤 攝 深 諧 佛 願 畢 發 蓮 香 轉 度 冤 親 引 生 眷 屬 後 之 
X22n0432_001:0898b12	聞水聲而開念佛。入寂定而往西方。夢兆神徵。輝映	聞 水 聲 而 開 念 佛 入 寂 定 而 往 西 方 夢 兆 神 徵 輝 映 
X22n0432_001:0898b13	震旦。固皆此一脈之明暗相生也。宗門識高力透。高	震 旦 固 皆 此 一 脈 之 明 暗 相 生 也 宗 門 識 高 力 透 高 
X22n0432_001:0898b14	步人天。直趨無上寂光。權抑三種淨土。(實報方便同居)甘芳	步 人 天 直 趨 無 上 寂 光 權 抑 三 種 淨 土 實 報 方 便 同 居 甘 芳 
X22n0432_001:0898b15	不著。妙勝醍醐。然不遇夫上根。必化而為毒藥。故曹	不 著 妙 勝 醍 醐 然 不 遇 夫 上 根 必 化 而 為 毒 藥 故 曹 
X22n0432_001:0898b16	溪八世孫永明禪師。回宗鏡之全光。入西方之一脈	溪 八 世 孫 永 明 禪 師 回 宗 鏡 之 全 光 入 西 方 之 一 脈 
X22n0432_001:0898b17	焉。諸法門中。花嚴大備。雲棲大師。具正知見。游花嚴	焉 諸 法 門 中 花 嚴 大 備 雲 棲 大 師 具 正 知 見 游 花 嚴 
X22n0432_001:0898b18	法海。悲深識卓。思精用宏。撰成彌陀疏鈔。委曲引歸	法 海 悲 深 識 卓 思 精 用 宏 撰 成 彌 陀 疏 鈔 委 曲 引 歸 
X22n0432_001:0898b19	極樂。老實念佛。天龍喜歡。無量眾生。如得慈母。故禪	極 樂 老 實 念 佛 天 龍 喜 歡 無 量 眾 生 如 得 慈 母 故 禪 
X22n0432_001:0898b20	講兩家之未能不受後有者。無不以此為神明休息	講 兩 家 之 未 能 不 受 後 有 者 無 不 以 此 為 神 明 休 息 
X22n0432_001:0898b21	之地。禪講兩家之已能不受後有者。無不以此為水	之 地 禪 講 兩 家 之 已 能 不 受 後 有 者 無 不 以 此 為 水 
X22n0432_001:0898b22	月道場之緣。自度度人。無等等法。捨念佛往生一門。	月 道 場 之 緣 自 度 度 人 無 等 等 法 捨 念 佛 往 生 一 門 
X22n0432_001:0898b23	而更何有也。噫。神游法界。璀璨玲瓏。步三教之園林。	而 更 何 有 也 噫 神 游 法 界 璀 璨 玲 瓏 步 三 教 之 園 林 
X22n0432_001:0898b24	得一心之歸宿。吾友鄭子。今庶幾焉。著宗鏡堂叢書	得 一 心 之 歸 宿 吾 友 鄭 子 今 庶 幾 焉 著 宗 鏡 堂 叢 書 
X22n0432_001:0898c01	四十八種。以修西定課為第一。予一見。生歡喜心。與	四 十 八 種 以 修 西 定 課 為 第 一 予 一 見 生歡喜心 與 
X22n0432_001:0898c02	眷屬謀首取而刻之。願興十方信心人。同此光明受	眷 屬 謀 首 取 而 刻 之 願 興 十 方 信 心 人 同 此 光 明 受 
X22n0432_001:0898c03	用耳。仁和許樾身。	用 耳 仁 和 許 樾 身 
X22n0432_001:0898c05	自序曰。非定不戒。非定不慧。不定者。輪回之象也。一	自 序 曰 非 定 不 戒 非 定 不 慧 不 定 者 輪 回 之 象 也 一 
X22n0432_001:0898c06	切眾生。累劫以來。孰不曾為善。孰不曾修行。孰不曾	切 眾 生 累 劫 以 來 孰 不 曾 為 善 孰 不 曾 修 行 孰 不 曾 
X22n0432_001:0898c07	念佛。孰不曾發願。但以心光不定。淨土未生。故長久	念 佛 孰 不 曾 發 願 但 以 心 光 不 定 淨 土 未 生 故 長 久 
X22n0432_001:0898c08	漂沈。不蒙解脫耳。苦哉痛哉。依我此書。每日修持。必	漂 沈 不 蒙 解 脫 耳 苦 哉 痛 哉 依 我 此 書 每 日 修 持 必 
X22n0432_001:0898c09	有光明來相接引。三生眷屬。其共勉焉。咸豐十一年	有 光 明 來 相 接 引 三 生 眷 屬 其 共 勉 焉 咸 豐 十 一 年 
X22n0432_001:0898c10	正月。淨業學人菩薩戒鄭澄德(學川)鄭澄源(學烺)排定注	正 月 淨 業 學 人 菩 薩 戒 鄭 澄 德 學 川 鄭 澄 源 學 烺 排 定 注 
X22n0432_001:0898c11	明。謹序其緣起。以此功德。願我	明 謹 序 其 緣 起 以 此 功 德 願 我 
X22n0432_001:0898c12	君父安平。淨業光昌。慧音成就。	君 父 安 平 淨 業 光 昌 慧 音 成 就 
X22n0432_001:0898c14	先舉香讚。	先 舉 香 讚 
