T51n2089_001:0975a09	遊方記抄	遊 方 記 抄 
T51n2089_001:0975a11	一　往五天竺國傳(新羅慧超記)	一 往 五 天 竺 國 傳 新 羅 慧 超 記 
T51n2089_001:0975a12	二　悟空入竺記	二 悟 空 入 竺 記 
T51n2089_001:0975a13	三　繼業西域行程	三 繼 業 西 域 行 程 
T51n2089_001:0975a14	四　梵僧指空傳考	四 梵 僧 指 空 傳 考 
T51n2089_001:0975a15	五　西域僧鎖喃嚷結傳	五 西 域 僧 鎖 喃 嚷 結 傳 
T51n2089_001:0975a16	六　南天竺婆羅門僧正碑	六 南 天 竺 婆 羅 門 僧 正 碑 
T51n2089_001:0975a17	七　唐大和上東征傳	七 唐 大 和 上 東 征 傳 
T51n2089_001:0975a18	八　唐王玄策中天竺行記逸文	八 唐 王 玄 策 中 天 竺 行 記 逸 文 
T51n2089_001:0975a19	九　唐常愍歷遊天竺記逸文	九 唐 常 愍 歷 遊 天 竺 記 逸 文 
T51n2089_001:0975a22	徃五天竺國傳	徃 五 天 竺 國 傳 
T51n2089_001:0975a24	(上缺)寶赤足裸形外道不著(下缺)。	 上 缺 寶 赤 足 裸形外道 不 著 下 缺 
T51n2089_001:0975a25	辶食即喫亦不齋也。地皆平(下缺)。	辶 食 即 喫 亦 不 齋 也 地 皆 平 下 缺 
T51n2089_001:0975a26	有奴婢將賣人罪。與殺人罪不殊(下缺)。	有 奴 婢 將 賣 人 罪 與 殺 人 罪 不 殊 下 缺 
T51n2089_001:0975a27	一月至拘尸那國。佛入涅槃處。其城荒廢。	一 月 至 拘 尸 那 國 佛 入 涅 槃 處 其 城 荒 廢 
T51n2089_001:0975a28	無人住也。佛入涅槃處置塔。有禪師在彼掃	無 人 住 也 佛 入 涅 槃 處 置 塔 有 禪 師 在 彼 掃 
T51n2089_001:0975a29	灑。每年八月八日。僧尼道俗。就彼大設供養	灑 每 年 八 月 八 日 僧 尼 道 俗 就 彼 大 設 供 養 
T51n2089_001:0975b01	於其空中有幡現。不知其數。眾人同見。當此	於 其 空 中 有 幡 現 不 知 其 數 眾 人 同 見 當 此 
T51n2089_001:0975b02	日之發心非一此塔西有一河。伊羅鉢底。水	日 之 發 心 非 一 此 塔 西 有 一 河 伊 羅 鉢 底 水 
T51n2089_001:0975b03	南流二千里外方入洹河。彼塔四絕無人往	南 流 二 千 里 外 方 入 洹 河 彼 塔 四 絕 無 人 往 
T51n2089_001:0975b04	也。極荒林木。往彼禮拜者。□犀牛大虫所	也 極 荒 林 木 往 彼 禮 拜 者 犀 牛 大 虫 所 
T51n2089_001:0975b05	損也。此塔東南三十里。有一寺。名娑般檀寺	損 也 此 塔 東 南 三 十 里 有 一 寺 名 娑 般 檀 寺 
T51n2089_001:0975b06	有□餘□□□□□□常供養彼禪師衣食令	有 餘 常 供 養 彼 禪 師 衣 食 令 
T51n2089_001:0975b07	在塔所供養(下缺)。	在 塔 所 供 養 下 缺 
T51n2089_001:0975b08	日。至彼羅痆斯國。此國亦廢無王即□(下缺)。	日 至 彼 羅 痆 斯 國 此 國 亦 廢 無 王 即 下 缺 
T51n2089_001:0975b09	彼五俱輪。見索形像在於塔中(下缺)。	彼 五 俱 輪 見 索 形 像 在 於 塔 中 下 缺 
T51n2089_001:0975b10	上有師子。彼幢極麗。五人合抱。文里細(下缺)。	上 有 師 子 彼 幢 極 麗 五 人 合 抱 文 里 細 下 缺 
T51n2089_001:0975b11	塔時。并造此幢。寺名達磨斫葛羅僧(下缺)。	塔 時 并 造 此 幢 寺 名 達 磨 斫 葛 羅 僧 下 缺 
T51n2089_001:0975b12	外道不著衣服。身上塗灰事於大大(下缺)。	外 道 不 著 衣 服 身 上 塗 灰 事 於 大 大 下 缺 
T51n2089_001:0975b13	此寺中有一金銅像。五百□□□。是摩揭陀	此 寺 中 有 一 金 銅 像 五 百 是 摩 揭 陀 
T51n2089_001:0975b14	國舊有一王名尸羅栗底。造此像也。兼造一	國 舊 有 一 王 名 尸 羅 栗 底 造 此 像 也 兼 造 一 
T51n2089_001:0975b15	金銅□□輻團圓正寸三十餘步此城俯臨恒	金 銅 輻 團 圓 正 寸 三 十 餘 步 此 城 俯 臨 恒 
T51n2089_001:0975b16	河北岸置也。即此鹿野苑。拘尸那。舍城。摩訶	河 北 岸 置 也 即 此 鹿 野 苑 拘 尸 那 舍 城 摩 訶 
T51n2089_001:0975b17	菩提等四大靈塔。在摩揭陀國王界。此國大	菩 提 等 四 大 靈 塔 在 摩 揭 陀 國 王 界 此 國 大 
T51n2089_001:0975b18	小乘俱行。□□得達摩訶菩提寺。稱其本願。	小 乘 俱 行 得 達 摩訶菩提 寺 稱 其 本 願 
T51n2089_001:0975b19	非常歡喜。略題述其愚志。五言　不慮菩提	非 常 歡 喜 略 題 述 其 愚 志 五 言 不 慮 菩 提 
T51n2089_001:0975b20	遠。焉將鹿苑遙。只愁懸路險。非意業風飄。八	遠 焉 將 鹿 苑 遙 只 愁 懸 路 險 非 意 業 風 飄 八 
T51n2089_001:0975b21	塔難誠見。參著經劫燒。何其人願滿。目覩在	塔 難 誠 見 參 著 經 劫 燒 何 其 人 願 滿 目 覩 在 
T51n2089_001:0975b22	今朝　又即從此彼羅痆斯國。□□月至中	今 朝 又 即 從 此 彼 羅 痆 斯 國 月 至 中 
T51n2089_001:0975b23	天竺國王住城。名葛那。及自此中天王境界	天 竺 國 王 住 城 名 葛 那 及 自 此 中 天 王 境 界 
T51n2089_001:0975b24	極寬。百姓繁閑。王有九百頭象餘大首領各	極 寬 百 姓 繁 閑 王 有 九 百 頭 象 餘 大 首 領 各 
T51n2089_001:0975b25	有三二百頭。其王每自領兵馬鬪戰。常與餘	有 三 二 百 頭 其 王 每 自 領 兵 馬 鬪 戰 常 與 餘 
T51n2089_001:0975b26	□天戰也。天中王常勝。彼國法。自知象少兵	 天 戰 也 天 中 王 常 勝 彼 國 法 自 知 象 少 兵 
T51n2089_001:0975b27	少。即請和。每年輸稅。不交陣相殺也。衣著言	少 即 請 和 每 年 輸 稅 不 交 陣 相 殺 也 衣 著 言 
T51n2089_001:0975b28	音。人風法用。五天相似。唯南天村草百姓。	音 人 風 法 用 五 天 相 似 唯 南 天 村 草 百 姓 
T51n2089_001:0975b29	語□差別。仕□之類。中天不殊。	語 差 別 仕 之 類 中 天 不 殊 
T51n2089_001:0975c01	五天國法。無有枷棒牢獄。有罪之者。據輕重	五 天 國 法 無 有 枷 棒 牢 獄 有 罪 之 者 據 輕 重 
T51n2089_001:0975c02	罰錢。亦無刑戮上至國王。下及黎庶。不見遊	罰 錢 亦 無 刑 戮 上 至 國 王 下 及 黎 庶 不 見 遊 
T51n2089_001:0975c03	獵放鷹走犬等事。道路雖有足賊取物即放。	獵 放 鷹 走 犬 等 事 道 路 雖 有 足 賊 取 物 即 放 
T51n2089_001:0975c04	亦不殤殺。如若情物。即有損也。土地甚暖。	亦 不 殤 殺 如 若 情 物 即 有 損 也 土 地 甚 暖 
