X24n0459_001:0517a07	 金剛般若波羅蜜經序	 金 剛 般若波羅蜜經 序 
X24n0459_001:0517a08	夫金剛經者。無相為宗。無住為體。玅有為用。自從達	夫 金 剛 經 者 無 相 為 宗 無 住 為 體 玅 有 為 用 自 從 達 
X24n0459_001:0517a09	磨西來。為傳此經之意。令人悟理見性。秪為世人不	磨 西 來 為 傳 此 經 之 意 令 人 悟 理 見 性 秪 為 世 人 不 
X24n0459_001:0517a10	見自性。是以立見性之法。世人若了見真如本體。即	見 自 性 是 以 立 見 性 之 法 世 人 若 了 見 真 如 本 體 即 
X24n0459_001:0517a11	不假立法。此經讀誦者無數。稱讚者無邊。造疏及註	不 假 立 法 此 經 讀 誦 者 無 數 稱 讚 者 無 邊 造 疏 及 註 
X24n0459_001:0517a12	解者。凡八百餘家。所說道理。各隨所見。見雖不同。法	解 者 凡 八 百 餘 家 所 說 道 理 各 隨 所 見 見 雖 不 同 法 
X24n0459_001:0517a13	即無二。宿植上根者。一聞便了。若無宿慧。讀誦雖多。	即 無 二 宿 植 上 根 者 一 聞 便 了 若 無 宿 慧 讀 誦 雖 多 
X24n0459_001:0517a14	不悟佛意。是故解釋聖義。斷除學者疑心。若於此經。	不 悟 佛 意 是 故 解 釋 聖 義 斷 除 學 者 疑 心 若 於 此 經 
X24n0459_001:0517a15	得旨無疑。不假解說。從上如來所說善法。為除凡夫	得 旨 無 疑 不 假 解 說 從 上 如 來 所 說 善 法 為 除 凡 夫 
X24n0459_001:0517a16	不善之心。經是聖人之語。教人聞之。超凡悟聖。永息	不 善 之 心 經 是 聖 人 之 語 教 人 聞 之 超 凡 悟 聖 永 息 
X24n0459_001:0517a17	迷心。此一卷經。眾生性中本有。不自見者。但讀誦文	迷 心 此 一 卷 經 眾 生 性 中 本 有 不 自 見 者 但 讀 誦 文 
X24n0459_001:0517a18	字。若悟本心。始知此經不在文字。若能明了自性。方	字 若 悟 本 心 始 知 此 經 不 在 文 字 若 能 明 了 自 性 方 
X24n0459_001:0517a19	信一切諸佛。從此經出。今恐世人身外覓佛。向外求	信 一切諸佛 從 此 經 出 今 恐 世 人 身 外 覓 佛 向 外 求 
X24n0459_001:0517a20	經。不發內心。不持內經。故造此訣。令諸學者。持內心	經 不 發 內 心 不 持 內 經 故 造 此 訣 令 諸 學 者 持 內 心 
X24n0459_001:0517a21	經。了然自見清淨佛心。過於數量。不可思議。後之學	經 了 然 自 見 清 淨 佛 心 過 於 數 量 不可思議 後 之 學 
X24n0459_001:0517a22	者。讀經有疑。見此解義。疑心釋然。更不用訣。所冀學	者 讀 經 有 疑 見 此 解 義 疑 心 釋 然 更 不 用 訣 所 冀 學 
X24n0459_001:0517a23	者。同見鑛中金性。以智慧火鎔鍊。鑛去金存。我釋迦	者 同 見 鑛 中 金 性 以 智 慧 火 鎔 鍊 鑛 去 金 存 我 釋 迦 
X24n0459_001:0517a24	本師。說金剛經。在舍衛國。因須菩提起問。佛大悲為	本 師 說 金 剛 經 在 舍 衛 國 因 須 菩 提 起 問 佛 大 悲 為 
X24n0459_001:0517b01	說。須菩提聞法得悟。請佛與法安名。令後人依而受	說 須 菩 提 聞 法 得 悟 請 佛 與 法 安 名 令 後 人 依 而 受 
X24n0459_001:0517b02	持。故經云。佛告須菩提。是經名為金剛般若波羅蜜。	持 故 經 云 佛 告 須 菩 提 是 經 名 為 金 剛 般 若 波 羅 蜜 
X24n0459_001:0517b03	以是名字。汝當奉持。如來所說金剛般若波羅蜜。與	以 是 名 字 汝 當 奉 持 如 來 所 說 金 剛 般 若 波 羅 蜜 與 
X24n0459_001:0517b04	法為名。其意謂何。以金剛世界之寶。其性猛利。能壞	法 為 名 其 意 謂 何 以 金 剛 世 界 之 寶 其 性 猛 利 能 壞 
X24n0459_001:0517b05	諸物。金雖至堅。羚羊角能壞。金剛喻佛性。羚羊角喻	諸 物 金 雖 至 堅 羚 羊 角 能 壞 金 剛 喻 佛 性 羚 羊 角 喻 
X24n0459_001:0517b06	煩惱。金雖堅剛。羚羊角能碎。佛性雖堅。煩惱能亂。煩	煩 惱 金 雖 堅 剛 羚 羊 角 能 碎 佛 性 雖 堅 煩 惱 能 亂 煩 
X24n0459_001:0517b07	惱雖堅。般若智能破。羚羊角雖堅。賓鐵能壞。悟此理	惱 雖 堅 般 若 智 能 破 羚 羊 角 雖 堅 賓 鐵 能 壞 悟 此 理 
X24n0459_001:0517b08	者。了然見性。涅槃經云。見佛性者不名眾生。不見佛	者 了 然 見 性 涅 槃 經 云 見 佛 性 者 不 名 眾 生 不 見 佛 
X24n0459_001:0517b09	性是名眾生。如來所說金剛喻者。秪為世人性無堅	性 是 名 眾 生 如 來 所 說 金 剛 喻 者 秪 為 世 人 性 無 堅 
X24n0459_001:0517b10	固。口雖誦經。光明不生。外誦內行。光明齊等。內無堅	固 口 雖 誦 經 光 明 不 生 外 誦 內 行 光 明 齊 等 內 無 堅 
X24n0459_001:0517b11	固。定慧即亡。口誦心行。定慧均等。是名究竟。金在山	固 定 慧 即 亡 口 誦 心 行 定 慧 均 等 是 名 究 竟 金 在 山 
X24n0459_001:0517b12	中。山不知是寶。寶亦不知是山。何以故。為無性故。人	中 山 不 知 是 寶 寶 亦 不 知 是 山 何 以 故 為 無 性 故 人 
X24n0459_001:0517b13	則有性。取其寶用。得遇金師。鏨鑿山破。取鑛烹鍊。遂	則 有 性 取 其 寶 用 得 遇 金 師 鏨 鑿 山 破 取 鑛 烹 鍊 遂 
X24n0459_001:0517b14	成精金。隨意使用。得免貧苦。四大身中。佛性亦爾。身	成 精 金 隨 意 使 用 得 免 貧 苦 四 大 身 中 佛 性 亦 爾 身 
X24n0459_001:0517b15	喻世界。人我喻山。煩惱喻鑛。佛性喻金。智慧喻工匠。	喻 世 界 人 我 喻 山 煩 惱 喻 鑛 佛 性 喻 金 智 慧 喻 工 匠 
X24n0459_001:0517b16	精進猛勇喻鏨鑿。身世界中有人我山。人我山中有	精 進 猛 勇 喻 鏨 鑿 身 世 界 中 有 人 我 山 人 我 山 中 有 
X24n0459_001:0517b17	煩惱鑛。煩惱鑛中有佛性寶。佛性寶中有智慧工匠。	煩 惱 鑛 煩 惱 鑛 中 有 佛 性 寶 佛 性 寶 中 有 智 慧 工 匠 
X24n0459_001:0517b18	用智慧工匠。鑿破人我山。見煩惱鑛。以覺悟火烹鍊。	用 智 慧 工 匠 鑿 破 人 我 山 見 煩 惱 鑛 以 覺 悟 火 烹 鍊 
X24n0459_001:0517b19	見自金剛佛性。了然明淨。是故以金剛為喻。因為之	見 自 金 剛 佛 性 了 然 明 淨 是 故 以 金 剛 為 喻 因 為 之 
X24n0459_001:0517b20	名也。空解不行。有名無體。解義修行。名體具備。不修	名 也 空 解 不 行 有 名 無 體 解 義 修 行 名 體 具 備 不 修 
X24n0459_001:0517b21	即凡夫。修即同聖智。故名金剛也。何名般若。般若是梵語。	即 凡 夫 修 即 同 聖 智 故 名 金 剛 也 何 名 般 若 般 若 是 梵 語 
X24n0459_001:0517b22	唐言智慧。智者不起愚心。慧者有其方便。慧是智體。	唐 言 智 慧 智 者 不 起 愚 心 慧 者 有 其 方 便 慧 是 智 體 
X24n0459_001:0517b23	智是慧用。體若有慧。用智不愚。體若無慧。用愚無智。	智 是 慧 用 體 若 有 慧 用 智 不 愚 體 若 無 慧 用 愚 無 智 
X24n0459_001:0517b24	秪為愚癡未悟。故修智慧以除之也。何名波羅蜜。唐	秪 為 愚 癡 未 悟 故 修 智 慧 以 除 之 也 何 名 波 羅 蜜 唐 
X24n0459_001:0517c01	言到彼岸。到彼岸者。離生滅義。秪緣世人性無堅固。	言 到 彼 岸 到 彼 岸 者 離 生 滅 義 秪 緣 世 人 性 無 堅 固 
X24n0459_001:0517c02	於一切法上有生滅相。流浪諸趣。未到真如之地。並	於一切法 上 有 生 滅 相 流 浪 諸 趣 未 到 真 如 之 地 並 
X24n0459_001:0517c03	是此岸。要具大智慧。於一切法圓滿。離生滅相。即是	是 此 岸 要 具 大 智 慧 於一切法 圓 滿 離 生 滅 相 即 是 
X24n0459_001:0517c04	到彼岸也。亦云心迷則此岸。心悟則彼岸。心邪則此	到 彼 岸 也 亦 云 心 迷 則 此 岸 心 悟 則 彼 岸 心 邪 則 此 
X24n0459_001:0517c05	岸。心正則彼岸。口說心行。即自法身有波羅蜜。口說	岸 心 正 則 彼 岸 口 說 心 行 即 自 法 身 有 波 羅 蜜 口 說 
X24n0459_001:0517c06	心不行。即無波羅蜜也。何名為經。經者。徑也。是成佛	心 不 行 即 無 波 羅 蜜 也 何 名 為 經 經 者 徑 也 是 成 佛 
X24n0459_001:0517c07	之道路。凡人欲臻斯路。當內修般若行。以至究竟。如	之 道 路 凡 人 欲 臻 斯 路 當 內 修 般 若 行 以 至 究 竟 如 
X24n0459_001:0517c08	或但能誦說。心不依行。自心則無經。實見實行。自心	或 但 能 誦 說 心 不 依 行 自 心 則 無 經 實 見 實 行 自 心 
X24n0459_001:0517c09	則有經。故此經如來號為金剛般若波羅蜜經。	則 有 經 故 此 經 如 來 號 為 金 剛 般若波羅蜜經 
X24n0459_001:0517c10	曹谿六祖大師　慧能　撰	曹 谿 六 祖 大 師 慧 能 撰 
X24n0459_001:0517c14	金剛般若波羅蜜經卷上	金 剛 般若波羅蜜經 卷 上 
X24n0459_001:0517c15	東晉武帝時後秦沙門鳩摩羅什奉詔　譯	東 晉 武 帝 時 後 秦 沙 門 鳩 摩 羅 什 奉 詔 譯 
X24n0459_001:0517c16	梁昭明太子嘉其分目	梁 昭 明 太 子 嘉 其 分 目 
X24n0459_001:0517c17	唐六祖　大鑒真空普覺禪師　解義	唐 六 祖 大 鑒 真 空 普 覺 禪 師 解 義 
X24n0459_001:0517c18	○法會因由分第一	 法 會 因 由 分 第 一 
X24n0459_001:0518a01	如是我聞。	如是我聞 
X24n0459_001:0518a02	如者指義。是者定詞。阿難自稱如是之法。我從佛	如 者 指 義 是 者 定 詞 阿 難 自 稱 如 是 之 法 我 從 佛 
X24n0459_001:0518a03	聞。明不自說也。故言如是我聞。又我者性也。性即	聞 明 不 自 說 也 故 言 如是我聞 又 我 者 性 也 性 即 
X24n0459_001:0518a04	我也。內外動作。皆由於性。一切盡聞。故稱我聞也。	我 也 內 外 動 作 皆 由 於 性 一 切 盡 聞 故 稱 我 聞 也 
X24n0459_001:0518a05	一時佛在舍衛國。祗樹給孤獨園。	一 時 佛 在 舍 衛 國 祗 樹 給 孤 獨 園 
X24n0459_001:0518a06	言一時者。師資會遇齊集之時。佛者是說法之主。	言 一 時 者 師 資 會 遇 齊 集 之 時 佛 者 是 說 法 之 主 
X24n0459_001:0518a07	在者欲明處所。舍衛國者波斯匿王所居之國。祗	在 者 欲 明 處 所 舍 衛 國 者 波 斯 匿 王 所 居 之 國 祗 
X24n0459_001:0518a08	者太子名也。樹是祗陀太子所施。故言祗樹也。給	者 太 子 名 也 樹 是 祗 陀 太 子 所 施 故 言 祗 樹 也 給 
X24n0459_001:0518a09	孤獨者。須達長者之異名也。園者本屬須達。故言	孤 獨 者 須 達 長 者 之 異 名 也 園 者 本 屬 須 達 故 言 
X24n0459_001:0518a10	給孤獨園。佛者梵音。唐言覺也。覺義有二。一者外	給 孤 獨 園 佛 者 梵 音 唐 言 覺 也 覺 義 有 二 一 者 外 
X24n0459_001:0518a11	覺。觀諸法空。二者內覺。諸心空寂。不被六塵所染。	覺 觀 諸 法 空 二 者 內 覺 諸 心 空 寂 不 被 六 塵 所 染 
X24n0459_001:0518a12	外不見人之過惡。內不被邪迷所惑。故名曰覺。覺	外 不 見 人 之 過 惡 內 不 被 邪 迷 所 惑 故 名 曰 覺 覺 
X24n0459_001:0518a13	即是佛也。	即 是 佛 也 
X24n0459_001:0518a14	與大比丘眾千二百五十人俱。	與 大 比 丘 眾 千二百五十 人 俱 
X24n0459_001:0518a15	言與者。佛與比丘同住金剛般若無相道場。故言	言 與 者 佛 與 比 丘 同 住 金 剛 般 若 無 相 道 場 故 言 
X24n0459_001:0518a16	與也。大比丘者。是大阿羅漢故。比丘者是梵語。唐	與 也 大 比 丘 者 是 大阿羅漢 故 比 丘 者 是 梵 語 唐 
X24n0459_001:0518a17	言能破六賊。故名比丘。眾。多也。千二百五十人者。	言 能 破 六 賊 故 名 比 丘 眾 多 也 千二百五十 人 者 
X24n0459_001:0518a18	其數也。俱者。同處平等法會。	其 數 也 俱 者 同 處 平 等 法 會 
X24n0459_001:0518a19	爾時世尊食時。著衣持鉢。入舍衛大城。乞食於其城	爾 時 世 尊 食 時 著衣持鉢 入 舍 衛 大 城 乞 食 於 其 城 
X24n0459_001:0518a20	中。	中 
X24n0459_001:0518a21	爾時者。當此之時。是今辰時。齋時欲至也。著衣持	爾 時 者 當 此 之 時 是 今 辰 時 齋 時 欲 至 也 著 衣 持 
X24n0459_001:0518a22	鉢者。為顯教示跡故也。入者為自城外而入也。舍	鉢 者 為 顯 教 示 跡 故 也 入 者 為 自 城 外 而 入 也 舍 
X24n0459_001:0518a23	衛大城者。名舍衛國豐德城也。即波斯匿王所居	衛 大 城 者 名 舍 衛 國 豐 德 城 也 即 波 斯 匿 王 所 居 
X24n0459_001:0518a24	之城。故言舍衛大城也。言乞食者。表如來能下心	之 城 故 言 舍 衛 大 城 也 言 乞 食 者 表 如 來 能 下 心 
X24n0459_001:0518b01	於一切眾生也。	於 一 切 眾 生 也 
X24n0459_001:0518b02	次第乞已。還至本處。飯食訖。收衣鉢。洗足已。敷座而	次 第 乞 已 還 至 本 處 飯 食 訖 收 衣 鉢 洗 足 已 敷 座 而 
X24n0459_001:0518b03	坐。	坐 
X24n0459_001:0518b04	次第者不擇貧富。平等以化也。乞已者。如多乞不	次 第 者 不 擇 貧 富 平 等 以 化 也 乞 已 者 如 多 乞 不 
