X56n0949_001:0865a03	 閑居編序	 閑 居 編 序 
X56n0949_001:0865a05	宣德郎守大理寺丞監杭州清酒務吳遵路撰	宣 德 郎 守 大 理 寺 丞 監 杭 州 清 酒 務 吳 遵 路 撰 
X56n0949_001:0865a06	五彩相宣故火龍黼黻照其象八音迭唱故英莖濩	五 彩 相 宣 故 火 龍 黼 黻 照 其 象 八 音 迭 唱 故 英 莖 濩 
X56n0949_001:0865a07	武導其和足言以文亦猶是矣何則志有所之而辭	武 導 其 和 足 言 以 文 亦 猶 是 矣 何 則 志 有 所 之 而 辭 
X56n0949_001:0865a08	生焉辭不可陋而文形焉然而風流下衰靡弊忘返	生 焉 辭 不 可 陋 而 文 形 焉 然 而 風 流 下 衰 靡 弊 忘 返 
X56n0949_001:0865a09	於是文過其實理不勝辭或貽鞶帨之譏或興鄭	於 是 文 過 其 實 理 不 勝 辭 或 貽 鞶 帨 之 譏 或 興 鄭 
X56n0949_001:0865a10	衛之諭比物連類猶或失之索隱釣深將何所取質	衛 之 諭 比 物 連 類 猶 或 失 之 索 隱 釣 深 將 何 所 取 質 
X56n0949_001:0865a11	而不野文而不華敷演真宗闢聖人之戶牖導揚名	而 不 野 文 而 不 華 敷 演 真 宗 闢 聖 人 之 戶 牖 導 揚 名 
X56n0949_001:0865a12	教示來者之楷摸則於圓公上人之文而見之矣上	教 示 來 者 之 楷 摸 則 於 圓 公 上 人 之 文 而 見 之 矣 上 
X56n0949_001:0865a13	人世姓徐氏名智圓字無外自號中庸子錢唐人也	人 世 姓 徐 氏 名 智 圓 字 無 外 自 號 中 庸 子 錢 唐 人 也 
X56n0949_001:0865a14	年八歲受具於本郡龍興寺二十一歲傳天台三觀	年 八 歲 受 具 於 本 郡 龍 興 寺 二 十 一 歲 傳 天 台 三 觀 
X56n0949_001:0865a15	於源清法師上人神宇清明道韻凝粹德貫幽顯學	於 源 清 法 師 上 人 神 宇 清 明 道 韻 凝 粹 德 貫 幽 顯 學 
X56n0949_001:0865a16	該內外開卷游目必沿波而討源屬筆綴辭率勸善	該 內 外 開 卷 游 目 必 沿 波 而 討 源 屬 筆 綴 辭 率 勸 善 
X56n0949_001:0865a17	而懲惡蔑聞可擇之行不觀非聖之書克己為仁無	而 懲 惡 蔑 聞 可 擇 之 行 不 觀 非 聖 之 書 克 己 為 仁 無 
X56n0949_001:0865a18	亡於終食服膺講道靡舍於寸陰仰止高山溫其如	亡 於 終 食 服 膺 講 道 靡 舍 於 寸 陰 仰 止 高 山 溫 其 如 
X56n0949_001:0865a19	玉至性樂善蓋稟於天姿妙歲能文匪由於師授尤	玉 至 性 樂 善 蓋 稟 於 天 姿 妙 歲 能 文 匪 由 於 師 授 尤 
X56n0949_001:0865a20	好靜默專務隱居屏去塵游杜絕人事處方丈之室	好 靜 默 專 務 隱 居 屏 去 塵 游 杜 絕 人 事 處 方 丈 之 室 
X56n0949_001:0865a21	晏如覆杆玩一卷之書嗒然隱几陶陶乎不知物我	晏 如 覆 杆 玩 一 卷 之 書 嗒 然 隱 几 陶 陶 乎 不 知 物 我 
X56n0949_001:0865a22	之為異也道風所偃學者如歸巾卷盈門緇黃帀序	之 為 異 也 道 風 所 偃 學 者 如 歸 巾 卷 盈 門 緇 黃 帀 序 
X56n0949_001:0865a23	暫聆更僕之論頓釋疑聞克終函文之儀皆成法器	暫 聆 更 僕 之 論 頓 釋 疑 聞 克 終 函 文 之 儀 皆 成 法 器 
X56n0949_001:0865a24	鐘鳴善應谷答忘疲斯又利物之勝緣誨之人能事也	鐘 鳴 善 應 谷 答 忘 疲 斯 又 利 物 之 勝 緣 誨 之 人 能 事 也 
X56n0949_001:0865b01	若義其躭味寶乘揣摩秘典演一音之遺旨恢四蹄	若 義 其 躭 味 寶 乘 揣 摩 秘 典 演 一 音 之 遺 旨 恢 四 蹄 
X56n0949_001:0865b02	之真詮揭慧日以揚光發揮大事引慈雲而布潤覆	之 真 詮 揭 慧 日 以 揚 光 發 揮 大 事 引 慈 雲 而 布 潤 覆 
X56n0949_001:0865b03	露羣方垂裕筌蹄動盈籤軸旁涉莊老兼通儒墨至	露 羣 方 垂 裕 筌 蹄 動 盈 籤 軸 旁 涉 莊 老 兼 通 儒 墨 至 
X56n0949_001:0865b04	於論譔多所憲章唫詠情靈悠揚風雅小文短札初	於 論 譔 多 所 憲 章 唫 詠 情 靈 悠 揚 風 雅 小 文 短 札 初 
X56n0949_001:0865b05	不經心遺言放辭咸有奇致師早嬰痾瘵常居疲	不 經 心 遺 言 放 辭 咸 有 奇 致 師 早 嬰 痾 瘵 常 居 疲 
X56n0949_001:0865b06	薾伏枕方榻罕事筆精授簡門人多出口占辭條錯	薾 伏 枕 方 榻 罕 事 筆 精 授 簡 門 人 多 出 口 占 辭 條 錯 
X56n0949_001:0865b07	綜文律鏗鏘率爾混成不煩刊定夫折理者意遠則	綜 文 律 鏗 鏘 率 爾 混 成 不 煩 刊 定 夫 折 理 者 意 遠 則 
X56n0949_001:0865b08	理優宣理者理高則文勝蓋先本而後末摭實遺華	理 優 宣 理 者 理 高 則 文 勝 蓋 先 本 而 後 末 摭 實 遺 華 
X56n0949_001:0865b09	然後大羮不致而遺味存大圭不琢而天質露豈與	然 後 大 羮 不 致 而 遺 味 存 大 圭 不 琢 而 天 質 露 豈 與 
X56n0949_001:0865b10	夫咬哇之末響彫刻之繁文較其能否哉始自景德	夫 咬 哇 之 末 響 彫 刻 之 繁 文 較 其 能 否 哉 始 自 景 德 
X56n0949_001:0865b11	丙午迄於天禧辛酉集其所著得六十卷題曰閑居	丙 午 迄 於 天 禧 辛 酉 集 其 所 著 得 六 十 卷 題 曰 閑 居 
X56n0949_001:0865b12	編巵言日新方運不休之思賞音竊抃必期善聽之	編 巵 言 日 新 方 運 不 休 之 思 賞 音 竊 抃 必 期 善 聽 之 
X56n0949_001:0865b13	聦過此以還請俟來者其經論疏鈔科註等洎諸外	聦 過 此 以 還 請 俟 來 者 其 經 論 疏 鈔 科 註 等 洎 諸 外 
X56n0949_001:0865b14	學自成編錄者凡一百七十卷皆從別行不列此集。	學 自 成 編 錄 者 凡 一 百 七 十 卷 皆 從 別 行 不 列 此 集 
X56n0949_001:0865b15	乾興壬戌正月序	乾 興 壬 戌 正 月 序 
