X48n0802_001:0308a06	百法論義	百 法 論 義 
X48n0802_001:0308a08	天親菩薩　造	天 親 菩 薩 造 
X48n0802_001:0308a09	唐三藏法師玄奘奉　詔譯	唐 三藏法師 玄 奘 奉 詔 譯 
X48n0802_001:0308a10	明憨山沙門　德清　述	明 憨 山 沙 門 德 清 述 
X48n0802_001:0308a11	佛說一大藏教。只是說破三界唯心。萬法唯識。及佛	佛 說 一 大 藏 教 只 是 說 破 三界唯心 萬 法 唯 識 及 佛 
X48n0802_001:0308a12	滅後。弘法菩薩解釋教義。依唯心立性宗。依唯識	滅 後 弘 法 菩 薩 解 釋 教 義 依 唯 心 立 性 宗 依 唯 識 
X48n0802_001:0308a13	立相宗。各竪門庭。甚至分河飲水。而性相二宗不	立 相 宗 各 竪 門 庭 甚 至 分 河 飲 水 而 性 相 二 宗 不 
X48n0802_001:0308a14	能融通。非今日矣。唯馬鳴大師作起信論。會相歸	能 融 通 非 今 日 矣 唯 馬 鳴 大 師 作 起 信 論 會 相 歸 
X48n0802_001:0308a15	性。以顯一心迷悟差別。依一心法立二種門。謂心	性 以 顯 一 心 迷 悟 差 別 依 一 心 法 立 二 種 門 謂 心 
X48n0802_001:0308a16	真如門。心生滅門。良以寂滅一心。不屬迷悟。體絕	真 如 門 心 生 滅 門 良 以 寂 滅 一 心 不 屬 迷 悟 體 絕 
X48n0802_001:0308a17	聖凡。今有聖凡二路者。是由一心真妄迷悟之分。	聖 凡 今 有 聖 凡 二 路 者 是 由 一 心 真 妄 迷 悟 之 分 
X48n0802_001:0308a18	故以二門為聖凡之本。故立真如門。顯不迷之體。	故 以 二 門 為 聖 凡 之 本 故 立 真 如 門 顯 不 迷 之 體 
X48n0802_001:0308a19	立生滅門。顯一心有隨緣染淨之用。故知一切聖	立 生 滅 門 顯 一 心 有 隨 緣 染 淨 之 用 故 知 一 切 聖 
X48n0802_001:0308a20	凡修證迷悟因果。皆生滅門收。其末後拈華為教	凡 修 證 迷 悟 因 果 皆 生 滅 門 收 其 末 後 拈 華 為 教 
X48n0802_001:0308a21	外別傳之旨。乃直指一心。本非迷悟。不屬聖凡。今	外 別 傳 之 旨 乃 直 指 一 心 本 非 迷 悟 不 屬 聖 凡 今 
X48n0802_001:0308a22	達磨所傳禪宗是也。其教中修行。原依一心開示。	達 磨 所 傳 禪 宗 是 也 其 教 中 修 行 原 依 一 心 開 示 
X48n0802_001:0308a23	其所證入。依生滅門悟至真如門以為極則。其唯	其 所 證 入 依 生 滅 門 悟 至 真 如 門 以 為 極 則 其 唯 
X48n0802_001:0308a24	識所說十種真如。正是對生滅所立之真如耳。是	識 所 說 十 種 真 如 正 是 對 生 滅 所 立 之 真 如 耳 是 
