X87n1618_001:0144c06	 自序	 自 序 
X87n1618_001:0144c08	自六佛出世。相傳說法度人。而不傳所說。迨釋迦佛。	自 六 佛 出 世 相 傳 說 法 度 人 而 不 傳 所 說 迨 釋 迦 佛 
X87n1618_001:0144c09	於靈山會上。說四十九年法。卒云未甞說一字。可見	於 靈 山 會 上 說 四 十 九 年 法 卒 云 未 甞 說 一 字 可 見 
X87n1618_001:0144c10	說原不說也。特以不立文字。教外別傳。付囑摩訶迦	說 原 不 說 也 特 以 不 立 文 字 教 外 別 傳 付 囑 摩 訶 迦 
X87n1618_001:0144c11	葉。且告曰。吾以正法眼藏。密付于汝。汝當護持。并敕	葉 且 告 曰 吾 以 正 法 眼 藏 密 付 于 汝 汝 當 護 持 并 敕 
X87n1618_001:0144c12	阿難。副二傳化。無令斷絕。付偈付衣。從此而始。在天	阿 難 副 二 傳 化 無 令 斷 絕 付 偈 付 衣 從 此 而 始 在 天 
X87n1618_001:0144c13	竺國。遞遞相傳。二十八祖。幸達磨怜念震旦。依佛授	竺 國 遞 遞 相 傳 二 十 八 祖 幸 達 磨 怜 念 震 旦 依 佛 授 
X87n1618_001:0144c14	記。運光於彼。遂囑弟子不若密多羅。住天竺傳法。而	記 運 光 於 彼 遂 囑 弟 子 不 若 密 多 羅 住 天 竺 傳 法 而 
X87n1618_001:0144c15	躳泛重溟。且三周寒暑。始達南海。與梁武不契。復住	躳 泛 重 溟 且 三 周 寒 暑 始 達 南 海 與 梁 武 不 契 復 住 
X87n1618_001:0144c16	少林。得遇神光。真正踰海越漠。為法求人。際會未諧。	少 林 得 遇 神 光 真 正 踰 海 越 漠 為 法 求 人 際 會 未 諧 
X87n1618_001:0144c17	如愚若訥者。究竟慧可安心。僧璨懺罪。了無異轍。所	如 愚 若 訥 者 究 竟 慧 可 安 心 僧 璨 懺 罪 了 無 異 轍 所 
X87n1618_001:0144c18	謂至道無難。惟嫌揀擇是也。四祖遲遲以待。五祖再	謂 至 道 無 難 惟 嫌 揀 擇 是 也 四 祖 遲 遲 以 待 五 祖 再 
X87n1618_001:0144c19	世受法。俱非偶然。至盧道人。樵採鬻薪之下。便曉諸	世 受 法 俱 非 偶 然 至 盧 道 人 樵 採 鬻 薪 之 下 便 曉 諸 
X87n1618_001:0144c20	佛妙理。非關文字。視學通內外之神秀。何啻三舍避	佛 妙 理 非 關 文 字 視 學 通 內 外 之 神 秀 何 啻 三 舍 避 
X87n1618_001:0144c21	之。而卒傳其道者。槽廠獦獠人也。南宗北宗。又從此	之 而 卒 傳 其 道 者 槽 廠 獦 獠 人 也 南 宗 北 宗 又 從 此 
X87n1618_001:0144c22	始。嗣六祖者。南嶽青原。嶽出馬祖。祖出臨濟。溈仰。雲	始 嗣 六 祖 者 南 嶽 青 原 嶽 出 馬 祖 祖 出 臨 濟 溈 仰 雲 
X87n1618_001:0144c23	門。法眼。派雖有四。而臨濟為正傳。原出石頭。頭出曹	門 法 眼 派 雖 有 四 而 臨 濟 為 正 傳 原 出 石 頭 頭 出 曹 
X87n1618_001:0144c24	洞。一花五葉。又從此始。論佛法機緣。臨濟可謂闡發	洞 一 花 五 葉 又 從 此 始 論 佛 法 機 緣 臨 濟 可 謂 闡 發 
X87n1618_001:0145a01	殆盡。亦不過稟承少室。覓箇不受人惑的人。興化薦	殆 盡 亦 不 過 稟 承 少 室 覓 箇 不 受 人 惑 的 人 興 化 薦 
X87n1618_001:0145a02	得濟師于黃檗處。喫棒底道理。而拈香有專主。風穴	得 濟 師 于 黃 檗 處 喫 棒 底 道 理 而 拈 香 有 專 主 風 穴 
X87n1618_001:0145a03	問答俱化。首山會處不在法華。汾陽化處不在停箸。	問 答 俱 化 首 山 會 處 不 在 法 華 汾 陽 化 處 不 在 停 箸 
X87n1618_001:0145a04	皆無始來時面目全也。慈明徐整敝衣。不負西河獅	皆 無 始 來 時 面 目 全 也 慈 明 徐 整 敝 衣 不 負 西 河 獅 
X87n1618_001:0145a05	子。楊岐知是般事。白雲悟了遇人。信哉他人住處。我	子 楊 岐 知 是 般 事 白 雲 悟 了 遇 人 信 哉 他 人 住 處 我 
X87n1618_001:0145a06	不住。他人行處我不行也。浮山接引五祖依白雲。何	不 住 他 人 行 處 我 不 行 也 浮 山 接 引 五 祖 依 白 雲 何 
X87n1618_001:0145a07	至公無我我若是。佛果透頂透底。剪斷葛藤。虎丘想	至 公 無 我 我 若 是 佛 果 透 頂 透 底 剪 斷 葛 藤 虎 丘 想 
X87n1618_001:0145a08	酢生液。聲振瞌睡。應菴通楊岐正脈。密菴喚法眼作	酢 生 液 聲 振 瞌 睡 應 菴 通 楊 岐 正 脈 密 菴 喚 法 眼 作 
X87n1618_001:0145a09	沙盆。無準受破菴開示。不捉胡孫。高峯枕子。聲中峯	沙 盆 無 準 受 破 菴 開 示 不 捉 胡 孫 高 峯 枕 子 聲 中 峯 
X87n1618_001:0145a10	竹篦子。此意拈向處。箇箇脫言詮。或覩松豁然。或燈	竹 篦 子 此 意 拈 向 處 箇 箇 脫 言 詮 或 覩 松 豁 然 或 燈 
X87n1618_001:0145a11	花落處。或火燎眉毛。或水墮莖菜。或無露圭角。俱謾	花 落 處 或 火 燎 眉 毛 或 水 墮 莖 菜 或 無 露 圭 角 俱 謾 
X87n1618_001:0145a12	他一點不得。至于樵採為業。觸積薪而省。與六祖若	他 一 點 不 得 至 于 樵 採 為 業 觸 積 薪 而 省 與 六 祖 若 
X87n1618_001:0145a13	出一轍。而一條白棒。中興臨濟宗風。密老人真千古	出 一 轍 而 一 條 白 棒 中 興 臨 濟 宗 風 密 老 人 真 千 古 
X87n1618_001:0145a14	一人焉。費隱禪師。處今日更難矣。非不抱遠公虗懷。	一 人 焉 費 隱 禪 師 處 今 日 更 難 矣 非 不 抱 遠 公 虗 懷 
X87n1618_001:0145a15	大愚汪度。而世之攘奪如故。非不景行海舟之自得	大 愚 汪 度 而 世 之 攘 奪 如 故 非 不 景 行 海 舟 之 自 得 
X87n1618_001:0145a16	師。存獎之認薦主。而世之奔競如故。至于尊祖敬宗。	師 存 獎 之 認 薦 主 而 世 之 奔 競 如 故 至 于 尊 祖 敬 宗 
X87n1618_001:0145a17	有稟承而無我慢。大孝至友。隆水木而敦同氣。乃世	有 稟 承 而 無 我 慢 大 孝 至 友 隆 水 木 而 敦 同 氣 乃 世 
X87n1618_001:0145a18	之澆漓又如故。然而直心直行。至公無私。密老人稱	之 澆 漓 又 如 故 然 而 直 心 直 行 至 公 無 私 密 老 人 稱 
X87n1618_001:0145a19	之。人亦能諒之。歷住名剎。新堂搆。以紹前徽。併後躅	之 人 亦 能 諒 之 歷 住 名 剎 新 堂 搆 以 紹 前 徽 併 後 躅 
X87n1618_001:0145a20	聽之將來。昔孔子知我罪我惟春秋。孟子謂功不在	聽 之 將 來 昔 孔 子 知 我 罪 我 惟 春 秋 孟 子 謂 功 不 在 
X87n1618_001:0145a21	禹下。余謂費師之功。不在孔孟下。是同是別。總之昧	禹 下 余 謂 費 師 之 功 不 在 孔 孟 下 是 同 是 別 總 之 昧 
X87n1618_001:0145a22	却佛乘。迷却師承。故展轉支離。今急編嫡傳一帙。細	却 佛 乘 迷 却 師 承 故 展 轉 支 離 今 急 編 嫡 傳 一 帙 細 
X87n1618_001:0145a23	為剖白。孰頭可斷。而法不可貶。孰身可化。而道不可	為 剖 白 孰 頭 可 斷 而 法 不 可 貶 孰 身 可 化 而 道 不 可 
X87n1618_001:0145a24	輕。孰虗己讓賢。孰師資道契。孰心心相印。孰鉢鉢相	輕 孰 虗 己 讓 賢 孰 師 資 道 契 孰 心 心 相 印 孰 鉢 鉢 相 
X87n1618_001:0145b01	承。臚列古方。為俗耳針砭。佛腸鼓吹。名曰指南。余敢	承 臚 列 古 方 為 俗 耳 針 砭 佛 腸 鼓 吹 名 曰 指 南 余 敢 
X87n1618_001:0145b02	曰。不藉眾長於尊宿。亦豈敢曰遂昭月旦於千秋。庶	曰 不 藉 眾 長 於 尊 宿 亦 豈 敢 曰 遂 昭 月 旦 於 千 秋 庶 
X87n1618_001:0145b03	幾以一滴獅子乳。迸散十斛驢乳。不無小補也。伏願	幾 以 一 滴 獅 子 乳 迸 散 十 斛 驢 乳 不 無 小 補 也 伏 願 
X87n1618_001:0145b04	開椷者。目擊道存。思人人本具。箇箇圓成。上追七佛	開 椷 者 目 擊 道 存 思 人 人 本 具 箇 箇 圓 成 上 追 七 佛 
X87n1618_001:0145b05	諸祖芳躅。何以獨隆于[遄而+王]古。下考六祖暨三十五世	諸 祖 芳 躅 何 以 獨 隆 于 [遄而王] 古 下 考 六 祖 暨 三 十 五 世 
