X47n0794_001:0234a03	劫章頌	劫 章 頌 
X47n0794_001:0234a05	大慈恩寺沙門　基　撰	大 慈 恩 寺 沙 門 基 撰 
X47n0794_001:0234a06	　劫名次第及數量　　成住壞空并始終	 劫 名 次 第 及 數 量 成 住 壞 空 并 始 終 
X47n0794_001:0234a07	　餘三無定不可準　　故約住劫論多少	 餘 三 無 定 不 可 準 故 約 住 劫 論 多 少 
X47n0794_001:0234a08	　先所有情生瞻部　　成劫終滿住劫初	 先 所 有 情 生 瞻 部 成 劫 終 滿 住 劫 初 
X47n0794_001:0234a09	　爾時人壽命無量　　至十歲時減劫終	 爾 時 人 壽 命 無 量 至 十 歲 時 減 劫 終 
X47n0794_001:0234a10	　及後百年減一年　　八萬四千為最上	 及 後 百 年 減 一 年 八萬四千 為 最 上 
X47n0794_001:0234a11	　從彼子年倍父增　　還登八萬四千歲	 從 彼 子 年 倍 父 增 還 登 八萬四千 歲 
X47n0794_001:0234a12	　一增一減為一劫　　數滿二十住劫終	 一 增 一 減 為 一 劫 數 滿 二 十 住 劫 終 
X47n0794_001:0234a13	　即此住時稱賢劫　　二十數中第九劫	 即 此 住 時 稱 賢 劫 二 十 數 中 第 九 劫 
X47n0794_001:0234a14	　六萬四萬二萬時　　拘留那含迦葉興	 六 萬 四 萬 二 萬 時 拘 留 那 含 迦 葉 興 
X47n0794_001:0234a15	　百歲釋迦牟尼出　　人壽三十萬飢饉	 百 歲 釋 迦 牟 尼 出 人 壽 三 十 萬 飢 饉 
X47n0794_001:0234a16	　七年七月七日滿　　聚骨運籌多滅亡	 七 年 七 月 七 日 滿 聚 骨 運 籌 多 滅 亡 
X47n0794_001:0234a17	　二十歲時疾病侵　　七月七日災方畢	 二 十 歲 時 疾 病 侵 七 月 七 日 災 方 畢 
X47n0794_001:0234a18	　至十歲時刀兵起　　七日七夜相殺傷	 至 十 歲 時 刀 兵 起 七日七夜 相 殺 傷 
X47n0794_001:0234a19	　餘少人民不盡滅　　怖災造福增延命	 餘 少 人 民 不 盡 滅 怖 災 造 福 增 延 命 
