T85n2762_001:0261c03	勝鬘經疏	勝 鬘 經 疏 
T85n2762_001:0261c05	者必速解真常八十之壽應物故耳。言心得	者 必 速 解 真 常 八 十 之 壽 應 物 故 耳 言 心 得 
T85n2762_001:0261c06	無疑也。宜時遣信發其道意者。宜及今時遣	無 疑 也 宜 時 遣 信 發 其 道 意 者 宜 及 今 時 遣 
T85n2762_001:0261c07	信發勝鬘所為眾生常解道意也。今正是時	信 發 勝 鬘 所 為 眾 生 常 解 道 意 也 今正是時 
T85n2762_001:0261c08	者。今日正是發勝鬘所為眾生常解之時也。	者 今 日 正 是 發 勝 鬘 所 為 眾 生 常 解 之 時 也 
T85n2762_001:0261c09	□勝鬘書者。此明遣書也。略讚如來無量	 勝 鬘 書 者 此 明 遣 書 也 略 讚 如 來 無 量 
T85n2762_001:0261c10	功德者。文句尠約故名略。理通義備言無量	功 德 者 文 句 尠 約 故 名 略 理 通 義 備 言 無 量 
T85n2762_001:0261c11	也。即遣□□□此請於使人奉書感其意也。	也 即 遣 此 請 於 使 人 奉 書 感 其 意 也 
T85n2762_001:0261c12	阿瑜闍國者。此是郡邑之名。此言。	阿 瑜 闍 國 者 此 是 郡 邑 之 名 此 言 
T85n2762_001:0261c13	歡心。秦言不生國七歲已上。皆化以大乘解	歡 心 秦 言 不 生 國 七 歲 已 上 皆 化 以 大 乘 解 
T85n2762_001:0261c14	常關心。因以名為。敬授勝鬘者。書論常住良	常 關 心 因 以 名 為 敬 授 勝 鬘 者 書 論 常 住 良 
T85n2762_001:0261c15	可重之。極名之為敬。奉與前人故言授也。亦	可 重 之 極 名 之 為 敬 奉 與 前 人 故 言 授 也 亦 
T85n2762_001:0261c16	可有授書之儀。執□曲躬上拼下授此是授	可 有 授 書 之 儀 執 曲 躬 上 拼 下 授 此 是 授 
T85n2762_001:0261c17	書之儀故言敬授也。歡喜頂受者。稱內情名	書 之 儀 故 言 敬 授 也 歡 喜 頂 受 者 稱 內 情 名 
T85n2762_001:0261c18	為歡喜。拜而領納故言頂受。亦可身中之尊	為 歡 喜 拜 而 領 納 故 言 頂 受 亦 可 身 中 之 尊 
T85n2762_001:0261c19	頂為其勝。受道之中。信心最強信敬之心領	頂 為 其 勝 受 道 之 中 信 心 最 強 信 敬 之 心 領 
T85n2762_001:0261c20	納故曰此書故言頂受也。讀誦受持者。如三	納 故 曰 此 書 故 言 頂 受 也 讀 誦 受 持 者 如 三 
T85n2762_001:0261c21	復白強則知有瑕得書尋文解其所表故言讀	復 白 強 則 知 有 瑕 得 書 尋 文 解 其 所 表 故 言 讀 
T85n2762_001:0261c22	誦也。亦可被文順句稱讀皆文言領名誦納	誦 也 亦 可 被 文 順 句 稱 讀 皆 文 言 領 名 誦 納 
T85n2762_001:0261c23	之在懷白受憶而不忘為持。昔來所無所以	之 在 懷 白 受 憶 而 不 忘 為 持 昔 來 所 無 所 以 
T85n2762_001:0261c24	生希有心也。	生希有心 也 
T85n2762_001:0261c25	自下偈頌初二句。向旃提羅說。何以而然。旃	自 下 偈 頌 初 二 句 向 旃 提 羅 說 何 以 而 然 旃 
T85n2762_001:0261c26	提貴父母書勸勝鬘三業虔敬。如來今敬奉	提 貴 父 母 書 勸 勝 鬘 三 業 虔 敬 如 來 今 敬 奉 
T85n2762_001:0261c27	教故。先對說偈也。我聞佛音聲者。書傳音	教 故 先 對 說 偈 也 我 聞 佛 音 聲 者 書 傳 音 
T85n2762_001:0261c28	聲故言我聞。佛音聲亦可尋書生解朗然的	聲 故 言 我 聞 佛 音 聲 亦 可 尋 書 生 解 朗 然 的 
T85n2762_001:0261c29	了。如從父母口中聞說佛常住音聲故。以之	了 如 從 父 母 口 中 聞 說 佛 常 住 音 聲 故 以 之 
T85n2762_001:0262a01	言耳。世所未曾有者。言自我生世已來未曾	言 耳 世 所 未 曾 有 者 言 自 我 生 世 已 來 未 曾 
T85n2762_001:0262a02	聞有如是人也。亦可明有為諸法伐迭生滅。	聞 有 如 是 人 也 亦 可 明 有 為 諸 法 伐 迭 生 滅 
T85n2762_001:0262a03	如來常住凝照。萬境生滅不能加苦樂。莫	如 來 常 住 凝 照 萬 境 生 滅 不 能 加 苦 樂 莫 
T85n2762_001:0262a04	能異。豈世所曾有者哉。下之二句將欲順	能 異 豈 世 所 曾 有 者 哉 下 之 二 句 將 欲 順 
