X31n0612_001:0605a04	 妙法蓮華經序	 妙法蓮華 經 序 
X31n0612_001:0605a06	余少時讀普門品觀世音經。雖未能深解其義。然以	余 少 時 讀 普 門 品 觀 世 音 經 雖 未 能 深 解 其 義 然 以 
X31n0612_001:0605a07	意測之曰。此佛氏之寓言也。昔唐李文公問藥山禪	意 測 之 曰 此 佛 氏 之 寓 言 也 昔 唐 李 文 公 問 藥 山 禪 
X31n0612_001:0605a08	師曰。如何是惡風吹船漂落鬼國。師曰。李翱小子問	師 曰 如 何 是 惡 風 吹 船 漂 落 鬼 國 師 曰 李 翱 小 子 問 
X31n0612_001:0605a09	此何為。文公勃然怒形於色。師笑曰。發此嗔恚心。便	此 何 為 文 公 勃 然 怒 形 於 色 師 笑 曰 發 此 嗔 恚 心 便 
X31n0612_001:0605a10	是黑風吹船飄入鬼國也。吁藥師可謂善啟發人矣。	是 黑 風 吹 船 飄 入 鬼 國 也 吁 藥 師 可 謂 善 啟 發 人 矣 
X31n0612_001:0605a11	以是推之。則知利欲熾然即是火坑。貪愛沈溺便是	以 是 推 之 則 知 利 欲 熾 然 即 是 火 坑 貪 愛 沈 溺 便 是 
X31n0612_001:0605a12	苦海。一念清淨烈焰成池。一念驚覺船到彼岸。災患	苦 海 一 念 清 淨 烈 焰 成 池 一 念 驚 覺 船 到 彼 岸 災 患 
X31n0612_001:0605a13	纏縛隨寓而安。我無畏怖如械自脫。惡人侵凌待以	纏 縛 隨 寓 而 安 我 無 畏 怖 如 械 自 脫 惡 人 侵 凌 待 以 
X31n0612_001:0605a14	橫逆。我無忿嫉如獸自奔。讀是經者作如是觀。則知	橫 逆 我 無 忿 嫉 如 獸 自 奔 讀 是 經 者 作 如 是 觀 則 知 
X31n0612_001:0605a15	補陀大士真實為人非浪語者。西山真德秀譔	補 陀 大 士 真 實 為 人 非 浪 語 者 西 山 真 德 秀 譔 
X31n0612_001:0605b02	大乘妙法蓮華經精解評林卷上	大 乘 妙法蓮華 經 精 解 評 林 卷 上 
X31n0612_001:0605b04	(天台曰。發秘密之奧藏。稱之為妙。示權實之正軌。故	 天 台 曰 發 秘 密 之 奧 藏 稱 之 為 妙 示 權 實 之 正 軌 故 
X31n0612_001:0605b05	號為法。指久遠之本果。喻之以蓮。會不二之圓道。譬	號 為 法 指 久 遠 之 本 果 喻 之 以 蓮 會 不 二 之 圓 道 譬 
X31n0612_001:0605b06	之以花。聲為佛事。稱之為經。圓詮之初。目之為序。此	之 以 花 聲 為 佛 事 稱 之 為 經 圓 詮 之 初 目 之 為 序 此 
X31n0612_001:0605b07	經蕩化城之執教。廢草菴之滯情。開方便之權門。示	經 蕩 化 城 之 執 教 廢 草 菴 之 滯 情 開 方 便 之 權 門 示 
X31n0612_001:0605b08	真實之妙理。會眾善之小行。歸廣大之一乘。文愽義	真 實 之 妙 理 會 眾 善 之 小 行 歸 廣 大 之 一 乘 文 愽 義 
X31n0612_001:0605b09	深。餘經莫及)。	深 餘 經 莫 及 
X31n0612_001:0605b10	山谷意曰。梵云薩達磨。此云妙法。或云正法。盖薩	山 谷 意 曰 梵 云 薩 達 磨 此 云 妙 法 或 云 正 法 盖 薩 
X31n0612_001:0605b11	字之中含攝二義。故秦本妙法。晉本正法。皆無失	字 之 中 含 攝 二 義 故 秦 本 妙 法 晉 本 正 法 皆 無 失 
X31n0612_001:0605b12	也。具十妙義獨勝餘經。故云妙也。一乘真宗中道	也 具 十 妙 義 獨 勝 餘 經 故 云 妙 也 一 乘 真 宗 中 道 
X31n0612_001:0605b13	了義。故云正也。住持真理為物軌範。故云法也。蓮	了 義 故 云 正 也 住 持 真 理 為 物 軌 範 故 云 法 也 蓮 
X31n0612_001:0605b14	華。梵云奔茶利迦。此云白蓮華。白為眾色之本。一	華 梵 云 奔 茶 利 迦 此 云 白 蓮 華 白 為 眾 色 之 本 一 
X31n0612_001:0605b15	乘為餘乘之宗。故取喻之。如下經中初放白毫之	乘 為 餘 乘 之 宗 故 取 喻 之 如 下 經 中 初 放 白 毫 之 
X31n0612_001:0605b16	光。終賜白牛之駕。是此義也。蓮華者。居泥不染。因	光 終 賜 白 牛 之 駕 是 此 義 也 蓮 華 者 居 泥 不 染 因 
