T85n2768_001:0329a03	維摩義記	維 摩 義 記 
T85n2768_001:0329a05	律不通便生□□□□□□□□□慶悅。	律 不 通 便 生 慶 悅 
T85n2768_001:0329a06	那律天眼第一□□□□□□□□□相天	那 律 天 眼 第 一 相 天 
T85n2768_001:0329a07	眼。我等欲聞。是以觀喜也。悉見諸佛國者。	眼 我 等 欲 聞 是 以 觀 喜 也 悉 見 諸 佛 國 者 
T85n2768_001:0329a08	向見三千。今覩我佛國□□□□不能緣	向 見 三 千 今 覩 我 佛 國 不 能 緣 
T85n2768_001:0329a09	有。在有不能觀空。明如來亡有無二相方真	有 在 有 不 能 觀 空 明 如 來 亡 有 無 二 相 方 真 
T85n2768_001:0329a10	見萬法也。所□□□波離者謂持律者。堪	見 萬 法 也 所 波 離 者 謂 持 律 者 堪 
T85n2768_001:0329a11	為問疾。是以命也。是人致幾在於不善除罪	為 問 疾 是 以 命 也 是 人 致 幾 在 於 不 善 除 罪 
T85n2768_001:0329a12	之方所以呵也。不敢問佛者。如來在世赧情	之 方 所 以 呵 也 不 敢 問 佛 者 如 來 在 世 赧 情 
T85n2768_001:0329a13	慚懼不敢問佛。來問憂波。如法說者。我心中	慚 懼 不 敢 問 佛 來 問 憂 波 如 法 說 者 我 心 中 
T85n2768_001:0329a14	所解者說罪所由未來果報除滅之方。如此	所 解 者 說 罪 所 由 未 來 果 報 除 滅 之 方 如 此 
T85n2768_001:0329a15	杖狼為其說也。當直除滅勿擾其心者。為說	杖 狼 為 其 說 也 當 直 除 滅 勿 擾 其 心 者 為 說 
T85n2768_001:0329a16	罪相除是曲除增其迷。或直說其空得除其	罪 相 除 是 曲 除 增 其 迷 或 直 說 其 空 得 除 其 
T85n2768_001:0329a17	罪。故言當直除滅勿擾其心也。所以者何者。	罪 故 言 當 直 除 滅 勿 擾 其 心 也 所以者何 者 
T85n2768_001:0329a18	所以直觀其空便得除罪者何。下明罪空故	所 以 直 觀 其 空 便 得 除 罪 者 何 下 明 罪 空 故 
T85n2768_001:0329a19	得除也。不在內者。罪不在己身。不在外者。前	得 除 也 不 在 內 者 罪 不 在 己 身 不 在 外 者 前 
T85n2768_001:0329a20	眾生不中間者刀杖等。不在三處故知無罪。	眾 生 不 中 間 者 刀 杖 等 不 在 三 處 故 知 無 罪 
T85n2768_001:0329a21	下列四陰空故證空也。心垢者。心是實法眾	下 列 四 陰 空 故 證 空 也 心 垢 者 心 是 實 法 眾 
T85n2768_001:0329a22	生得垢之名。故知垢法不定。明心亦然。心亦	生 得 垢 之 名 故 知 垢 法 不 定 明 心 亦 然 心 亦 
T85n2768_001:0329a23	不內者。明識陰空。在諸根為內。不在前塵為	不 內 者 明 識 陰 空 在 諸 根 為 內 不 在 前 塵 為 
T85n2768_001:0329a24	外。不在空有為中間。如其心然罪垢亦然者。	外 不 在 空 有 為 中 間 如 其 心 然 罪 垢 亦 然 者 
T85n2768_001:0329a25	明心不在三處故空。罪不離心心體既空。焉	明 心 不 在 三 處 故 空 罪 不 離 心 心 體 既 空 焉 
T85n2768_001:0329a26	得有罪。罪體即空。故言罪垢亦然。諸法亦然	得 有 罪 罪 體 即 空 故 言 罪 垢 亦 然 諸 法 亦 然 
T85n2768_001:0329a27	者。類同諸法空。寧有垢不者。反質憂波。盡	者 類 同 諸 法 空 寧 有 垢 不 者 反 質 憂 波 盡 
