X25n0506_001:0858b11	 金剛般若波羅蜜經注	 金 剛 般若波羅蜜經 注 
X25n0506_001:0858b12	序	序 
X25n0506_001:0858b15	自五祖始勸僧俗誦金剛經。謂但誦此經可以見性	自 五 祖 始 勸 僧 俗 誦 金 剛 經 謂 但 誦 此 經 可 以 見 性 
X25n0506_001:0858b16	成佛。而金剛經遂為世之所重。余嘗三復是經。竊謂	成 佛 而 金 剛 經 遂 為 世 之 所 重 余 嘗 三 復 是 經 竊 謂 
X25n0506_001:0858b17	經之大旨。在佛告須菩提應如是住如是降伏其心。	經 之 大 旨 在 佛 告 須 菩 提 應 如 是 住 如 是 降 伏 其 心 
X25n0506_001:0858b18	住者住此心。降伏者降伏此心。皆即所謂阿耨多羅	住 者 住 此 心 降 伏 者 降 伏 此 心 皆 即 所 謂 阿 耨 多 羅 
X25n0506_001:0858b19	三藐三菩提心。非有二心也。住則實矣。降伏則虗矣。	三藐三菩提 心 非 有 二 心 也 住 則 實 矣 降 伏 則 虗 矣 
X25n0506_001:0858b20	即住即降伏。是以無實無虗。此金剛經之大旨也。以	即 住 即 降 伏 是 以 無 實 無 虗 此 金 剛 經 之 大 旨 也 以 
X25n0506_001:0858b21	儒理譬之。子貢問。有一言而可以終身行之者乎。子	儒 理 譬 之 子 貢 問 有 一 言 而 可 以 終 身 行 之 者 乎 子 
X25n0506_001:0858b22	曰。其恕乎。己所不欲勿施於人。所謂應如是住也。子	曰 其 恕 乎 己 所 不 欲 勿 施 於 人 所 謂 應 如 是 住 也 子 
X25n0506_001:0858b23	貢曰。我不欲人之加諸我也。我亦欲無加諸人。子曰。	貢 曰 我 不 欲 人 之 加 諸 我 也 我 亦 欲 無 加 諸 人 子 曰 
X25n0506_001:0858b24	賜也。非爾所及也。所謂應如是降伏也。子曰。衣敝縕	賜 也 非 爾 所 及 也 所 謂 應 如 是 降 伏 也 子 曰 衣 敝 縕 
X25n0506_001:0858c01	袍。與衣狐貉者立。而不恥者。其由也與。不忮不求。何	袍 與 衣 狐 貉 者 立 而 不 恥 者 其 由 也 與 不 忮 不 求 何 
X25n0506_001:0858c02	用不臧。所謂應如是住也。子路終身誦之。子曰。是道	用 不 臧 所 謂 應 如 是 住 也 子 路 終 身 誦 之 子 曰 是 道 
X25n0506_001:0858c03	也何足以臧。所謂應如是降伏也。不住固無。所謂降	也 何 足 以 臧 所 謂 應 如 是 降 伏 也 不 住 固 無 所 謂 降 
X25n0506_001:0858c04	伏而不降伏。又焉能住經中。即非是名句凡數見。即	伏 而 不 降 伏 又 焉 能 住 經 中 即 非 是 名 句 凡 數 見 即 
X25n0506_001:0858c05	非者降伏之謂。是名者住之謂。而世俗解是經者。則	非 者 降 伏 之 謂 是 名 者 住 之 謂 而 世 俗 解 是 經 者 則 
X25n0506_001:0858c06	謂安住其真心。降伏其妄心。分而二之。於全經之義	謂 安 住 其 真 心 降 伏 其 妄 心 分 而 二 之 於 全 經 之 義 
X25n0506_001:0858c07	俱失。乃明洪武間。僧宗泐奉詔注經。亦如此說。然則	俱 失 乃 明 洪 武 間 僧 宗 泐 奉 詔 注 經 亦 如 此 說 然 則 
X25n0506_001:0858c08	經義之晦久矣。是經推論即住即降伏之旨。至於無	經 義 之 晦 久 矣 是 經 推 論 即 住 即 降 伏 之 旨 至 於 無 
X25n0506_001:0858c09	法可得。無法可說。真無上甚深之妙義也。而佛弟子	法 可 得 無 法 可 說 真 無 上 甚 深 之 妙 義 也 而 佛 弟 子 
X25n0506_001:0858c10	懼其流傳中土。使人輕蔑佛法。遂於其中。妄有增益。	懼 其 流 傳 中 土 使 人 輕 蔑 佛 法 遂 於 其 中 妄 有 增 益 
X25n0506_001:0858c11	輒謂受持讀誦此經。有無量無邊福德。雖亦護法之	輒 謂 受持讀誦 此 經 有 無量無邊 福 德 雖 亦 護 法 之 
X25n0506_001:0858c12	苦心。然使經文隔絕意義不明。則亦不得為無罪。如	苦 心 然 使 經 文 隔 絕 意 義 不 明 則 亦 不 得 為 無 罪 如 
X25n0506_001:0858c13	云一切賢聖皆以無為法而有差別。此為下文須陀	云 一 切 賢 聖 皆 以 無 為 法 而有差別 此 為 下 文 須 陀 
X25n0506_001:0858c14	洹諸文發端。自須陀洹以至如來。即所謂一切賢聖	洹 諸 文 發 端 自 須 陀 洹 以 至 如 來 即 所 謂 一 切 賢 聖 
X25n0506_001:0858c15	也。而中間忽入七寶布施之文。則文義隔絕矣。此後	也 而 中 間 忽 入 七 寶 布 施 之 文 則 文 義 隔 絕 矣 此 後 
X25n0506_001:0858c16	人附益之證一也。又如佛說非身是名大身。此是譬	人 附 益 之 證 一 也 又 如 佛 說 非 身 是 名 大 身 此 是 譬 
X25n0506_001:0858c17	喻之詞。下文佛說般若波羅蜜即非般若波羅蜜。乃	喻 之 詞 下 文 佛 說 般 若 波 羅 蜜 即 非 般 若 波 羅 蜜 乃 
X25n0506_001:0858c18	正意也。而中間又入七寶布施之文。則文義隔絕矣。	正 意 也 而 中 間 又 入 七 寶 布 施 之 文 則 文 義 隔 絕 矣 
X25n0506_001:0858c19	此後人附益之證。二也。至如佛說經已。申以贊歎之	此 後 人 附 益 之 證 二 也 至 如 佛 說 經 已 申 以 贊 歎 之 
