T48n2012A_001:0379b23	斷際心要	斷 際 心 要 
T48n2012A_001:0379b25	河東裴休集并序	河 東 裴 休 集 并 序 
T48n2012A_001:0379b26	有大禪師。法諱希運。住洪州高安縣黃檗山	有 大 禪 師 法 諱 希 運 住 洪 州 高 安 縣 黃 檗 山 
T48n2012A_001:0379b27	鷲峯下。乃曹溪六祖之嫡孫。西堂百丈之法	鷲 峯 下 乃 曹 溪 六 祖 之 嫡 孫 西 堂 百 丈 之 法 
T48n2012A_001:0379b28	姪。獨佩最上乘離文字之印。唯傳一心更無	姪 獨 佩 最 上 乘 離 文 字 之 印 唯 傳 一 心 更 無 
T48n2012A_001:0379b29	別法。心體亦空萬緣俱寂。如大日輪昇虛空	別 法 心 體 亦 空 萬 緣 俱 寂 如 大 日 輪 昇 虛 空 
T48n2012A_001:0379c01	中。光明照曜淨無纖埃。證之者無新舊無淺	中 光 明 照 曜 淨 無 纖 埃 證 之 者 無 新 舊 無 淺 
T48n2012A_001:0379c02	深。說之者不立義解不立宗主。不開戶牖直	深 說 之 者 不 立 義 解 不 立 宗 主 不 開 戶 牖 直 
T48n2012A_001:0379c03	下便是。動念即乖。然後為本佛。故其言簡	下 便 是 動 念 即 乖 然 後 為 本 佛 故 其 言 簡 
T48n2012A_001:0379c04	其理直。其道峻其行孤。四方學徒望山而趨。	其 理 直 其 道 峻 其 行 孤 四 方 學 徒 望 山 而 趨 
T48n2012A_001:0379c05	覩相而悟。往來海眾常千餘人。予會昌二年	覩 相 而 悟 往 來 海 眾 常 千 餘 人 予 會 昌 二 年 
T48n2012A_001:0379c06	廉于鍾陵。自山迎至州。憩龍興寺。旦夕問道。	廉 于 鍾 陵 自 山 迎 至 州 憩 龍 興 寺 旦 夕 問 道 
T48n2012A_001:0379c07	大中二年廉于宛陵。復去禮迎至所部。安居	大 中 二 年 廉 于 宛 陵 復 去 禮 迎 至 所 部 安 居 
T48n2012A_001:0379c08	開元寺。旦夕受法。退而紀之。十得一二。佩為	開 元 寺 旦 夕 受 法 退 而 紀 之 十 得 一 二 佩 為 
T48n2012A_001:0379c09	心印不敢發揚。今恐入神精義不聞於未來。	心 印 不 敢 發 揚 今 恐 入 神 精 義 不 聞 於 未 來 
T48n2012A_001:0379c10	遂出之授門下僧大舟法建。歸舊山之廣唐	遂 出 之 授 門 下 僧 大 舟 法 建 歸 舊 山 之 廣 唐 
T48n2012A_001:0379c11	寺。問長老法眾。與往日常所親聞。同異如	寺 問 長 老 法 眾 與 往 日 常 所 親 聞 同 異 如 
T48n2012A_001:0379c12	何也。	何 也 
T48n2012A_001:0379c13	唐大中十一年十一月初八日序	唐 大 中 十 一 年 十 一 月 初 八 日 序 
T48n2012A_001:0379c16	黃檗山斷際禪師傳心法要	黃 檗 山 斷 際 禪 師 傳 心 法 要 
T48n2012A_001:0379c18	師謂休曰。諸佛與一切眾生。唯是一心。更無	師 謂 休 曰 諸 佛 與 一 切 眾 生 唯 是 一 心 更 無 
T48n2012A_001:0379c19	別法。此心無始已來。不曾生不曾滅。不青不	別 法 此 心 無始已來 不 曾 生 不 曾 滅 不 青 不 
T48n2012A_001:0379c20	黃。無形無相。不屬有無。不計新舊。非長非	黃 無 形 無 相 不 屬 有 無 不 計 新 舊 非 長 非 
T48n2012A_001:0379c21	短。非大非小。超過一切限量名言縱跡對待。	短 非 大 非 小 超 過 一 切 限 量 名 言 縱 跡 對 待 
T48n2012A_001:0379c22	當體便是。動念即乖。猶如虛空無有邊際不	當 體 便 是 動 念 即 乖 猶如虛空 無有邊際 不 
T48n2012A_001:0379c23	可測度。唯此一心即是佛。佛與眾生更無別	可 測 度 唯 此 一 心 即 是 佛 佛 與 眾 生 更 無 別 
T48n2012A_001:0379c24	異。但是眾生著相外求。求之轉失。使佛覓	異 但 是 眾 生 著 相 外 求 求 之 轉 失 使 佛 覓 
T48n2012A_001:0379c25	佛。將心捉心。窮劫盡形終不能得。不知息念	佛 將 心 捉 心 窮 劫 盡 形 終 不 能 得 不 知 息 念 
T48n2012A_001:0379c26	忘慮佛自現前。此心即是佛。佛即是眾生。為	忘 慮 佛 自 現 前 此 心 即 是 佛 佛 即 是 眾 生 為 
T48n2012A_001:0379c27	眾生時此心不減。為諸佛時此心不添。乃至	眾 生 時 此 心 不 減 為 諸 佛 時 此 心 不 添 乃 至 
T48n2012A_001:0379c28	六度萬行河沙功德。本自具足不假修添。遇	六 度 萬 行 河 沙 功 德 本 自 具 足 不 假 修 添 遇 
T48n2012A_001:0379c29	緣即施。緣息即寂。若不決定信此是佛。而欲	緣 即 施 緣 息 即 寂 若 不 決 定 信 此 是 佛 而 欲 
T48n2012A_001:0380a01	著相修行以求功用。皆是妄想。與道相乖。此	著 相 修 行 以 求 功 用 皆 是 妄 想 與 道 相 乖 此 
T48n2012A_001:0380a02	心即是佛。更無別佛。亦無別心。此心明淨。猶	心 即 是 佛 更 無 別 佛 亦 無 別 心 此 心 明 淨 猶 
T48n2012A_001:0380a03	如虛空無一點相貌。舉心動念即乖法體。即	如 虛 空 無 一 點 相 貌 舉 心 動 念 即 乖 法 體 即 
T48n2012A_001:0380a04	為著相。無始已來無著相佛。修六度萬行欲	為 著 相 無始已來 無 著 相 佛 修 六 度 萬 行 欲 
T48n2012A_001:0380a05	求成佛。即是次第。無始已來無次第佛。但悟	求 成 佛 即 是 次 第 無始已來 無 次 第 佛 但 悟 
T48n2012A_001:0380a06	一心。更無少法可得。此即真佛。佛與眾生一	一 心 更 無 少 法 可 得 此 即 真 佛 佛 與 眾 生 一 
T48n2012A_001:0380a07	心無異。猶如虛空無雜無壞。如大日輪照四	心 無 異 猶如虛空 無 雜 無 壞 如 大 日 輪 照 四 
T48n2012A_001:0380a08	天下。日升之時明遍天下。虛空不曾明。日沒	天 下 日 升 之 時 明 遍 天 下 虛 空 不 曾 明 日 沒 
T48n2012A_001:0380a09	之時暗遍天下。虛空不曾暗。明暗之境自相	之 時 暗 遍 天 下 虛 空 不 曾 暗 明 暗 之 境 自 相 
T48n2012A_001:0380a10	陵奪。虛空之性廓然不變。佛及眾生心亦	陵 奪 虛 空 之 性 廓 然 不 變 佛 及 眾 生 心 亦 
T48n2012A_001:0380a11	如此。若觀佛作清淨光明解脫之相。觀眾生	如 此 若 觀 佛 作 清 淨 光 明 解 脫 之 相 觀 眾 生 
T48n2012A_001:0380a12	作垢濁暗昧生死之相。作此解者歷河沙劫	作 垢 濁 暗 昧 生 死 之 相 作 此 解 者 歷 河 沙 劫 
T48n2012A_001:0380a13	終不得菩提。為著相故。唯此一心更無微塵	終 不 得 菩 提 為 著 相 故 唯 此 一 心 更 無 微 塵 
