T85n2856_001:1305c17	禮懺文	禮 懺 文 
T85n2856_001:1305c19	身有罪盡懺悔已。歸命禮三寶　志心勸請	身 有 罪 盡 懺 悔 已 歸 命 禮 三 寶 志 心 勸 請 
T85n2856_001:1305c20	十方佛見在成道者。我請轉法輪。安樂諸眾	十 方 佛 見 在 成 道 者 我 請 轉 法 輪 安 樂 諸 眾 
T85n2856_001:1305c21	生。十方一切佛若欲捨受命。我今投面禮勸	生 十 方 一 切 佛 若 欲 捨 受 命 我 今 投 面 禮 勸 
T85n2856_001:1305c22	請令久住　勸請已歸命禮三寶　志心隨喜	請 令 久 住 勸 請 已 歸 命 禮 三 寶 志 心 隨 喜 
T85n2856_001:1305c23	所有布施福。持戒修禪定惠從身口意生。去	所 有 布 施 福 持 戒 修 禪 定 惠 從 身 口 意 生 去 
T85n2856_001:1305c24	來今所有習學三乘人具足一乘者無量人天	來 今 所 有 習 學 三 乘 人 具 足 一 乘 者 無 量 人 天 
T85n2856_001:1305c25	福眾等皆隨喜。隨喜已歸命禮三寶　志心迴	福 眾 等 皆 隨 喜 隨 喜 已 歸 命 禮 三 寶 志 心 迴 
T85n2856_001:1305c26	向我所作福業。一切皆和合為度群生故。正	向 我 所 作 福 業 一 切 皆 和 合 為 度 群 生 故 正 
T85n2856_001:1305c27	迴向佛道。罪應如是懺。勸請隨喜福迴向於	迴 向 佛 道 罪 應 如 是 懺 勸 請 隨 喜 福 迴 向 於 
T85n2856_001:1305c28	菩提。迴向已歸命禮三寶　志心發願願諸	菩 提 迴 向 已 歸 命 禮 三 寶 志 心 發 願 願 諸 
T85n2856_001:1305c29	眾生等悉發菩提心。繫心常思念十方一切	眾 生 等 悉 發菩提心 繫 心 常 思 念 十 方 一 切 
T85n2856_001:1306a01	佛。復願諸眾生永破諸煩惱。了了見佛性由	佛 復 願 諸 眾 生 永 破 諸 煩 惱 了 了 見 佛 性 由 
T85n2856_001:1306a02	如妙德等。發願已歸命禮三寶。	如 妙 德 等 發 願 已 歸 命 禮 三 寶 
T85n2856_001:1306a03	白眾生等聽說寅朝清淨偈　欲求寂滅樂。	白 眾 生 等 聽 說 寅 朝 清 淨 偈 欲 求 寂 滅 樂 
T85n2856_001:1306a04	當學沙門法。衣食繼身命。精麁隨眾等。今日	當 學 沙 門 法 衣 食 繼 身 命 精 麁 隨 眾 等 今 日 
T85n2856_001:1306a05	寅朝清淨各記六念。念佛念法念僧念戒念	寅 朝 清 淨 各 記 六 念 念 佛 念 法 念 僧 念 戒 念 
T85n2856_001:1306a06	天念施。啟佛及法事並依上文。	天 念 施 啟 佛 及 法 事 並 依 上 文 
T85n2856_001:1306a07	又黃昏偈　西方日已沒。塵勞猶未除。老病	又 黃 昏 偈 西 方 日 已 沒 塵 勞 猶 未 除 老 病 
T85n2856_001:1306a08	死時至。相看不久居。念念催年促。猶如少水	死 時 至 相 看 不 久 居 念 念 催 年 促 猶 如 少 水 
T85n2856_001:1306a09	魚。勸諸行道眾。修學至無餘。	魚 勸 諸 行 道 眾 修 學 至 無 餘 
T85n2856_001:1306a10	中夜無常偈　眾等各各觀身處。骨肉巾皮	中 夜 無 常 偈 眾 等 各 各 觀 身 處 骨 肉 巾 皮 
T85n2856_001:1306a11	相浮堅。地水火風假成身。四大分散元無主。	相 浮 堅 地水火風 假 成 身 四 大 分 散 元 無 主 
T85n2856_001:1306a12	一函臭肉變成疽。散分爛[火*褱]從灰土。	一 函 臭 肉 變 成 疽 散 分 爛 [火褱] 從 灰 土 
T85n2856_001:1306a13	後夜無常偈　時光千流轉。忽至五更初。無	後 夜 無 常 偈 時 光 千 流 轉 忽 至 五 更 初 無 
T85n2856_001:1306a14	常念念至。恒與死王居。勸諸行道眾。修學至	常 念 念 至 恒 與 死 王 居 勸 諸 行 道 眾 修 學 至 
T85n2856_001:1306a15	無餘。	無 餘 
T85n2856_001:1306a16	六根懺　我等自從無量劫恒被六賊欺。居	六 根 懺 我 等 自 從 無 量 劫 恒 被 六 賊 欺 居 
T85n2856_001:1306a17	一相之中而共生分別。眼根常愛色。耳分別	一 相 之 中 而 共 生 分 別 眼 根 常 愛 色 耳 分 別 
T85n2856_001:1306a18	音聲。鼻惑著餘香。舌鎮貪諸味。身常樂受	音 聲 鼻 惑 著 餘 香 舌 鎮 貪 諸 味 身 常 樂 受 
T85n2856_001:1306a19	觸。意相遍攀緣。猶斯顛倒心固。沈輪生死	觸 意 相 遍 攀 緣 猶 斯 顛 倒 心 固 沈 輪 生 死 
T85n2856_001:1306a20	海。懺悔已歸命禮三　願我等從今日乃至	海 懺 悔 已 歸 命 禮 三 願 我 等 從 今 日 乃 至 
T85n2856_001:1306a21	證菩提。六賊恒為成六通。三毒變為三解脫。	證 菩 提 六 賊 恒 為 成 六 通 三 毒 變 為 三 解 脫 
T85n2856_001:1306a22	同一真如平等惺。不捨生死證涅槃。恒於六	同 一 真 如 平 等 惺 不 捨 生 死 證 涅 槃 恒 於 六 
T85n2856_001:1306a23	趣濟群生。共證如來無上道。	趣 濟 群 生 共 證 如 來 無 上 道 
T85n2856_001:1306a24	志心發願　願我眼根常見佛。願耳恒聞說	志 心 發 願 願 我 眼 根 常 見 佛 願 耳 恒 聞 說 
T85n2856_001:1306a25	法聲。願鼻不嗅一餘香。願口常誦波羅蜜。願	法 聲 願 鼻 不 嗅 一 餘 香 願 口 常 誦 波 羅 蜜 願 
T85n2856_001:1306a26	身不染諸邪境。願意不攀有相緣。願心能除	身 不 染 諸 邪 境 願 意 不 攀 有 相 緣 願 心 能 除 
T85n2856_001:1306a27	煩惱賊。願我恒到涅槃城。我願眾生盡成佛。	煩 惱 賊 願 我 恒 到 涅 槃 城 我 願 眾 生 盡 成 佛 
T85n2856_001:1306a28	我願普證涅槃因。發願已歸命禮三寶　眾	我 願 普 證 涅 槃 因 發 願 已 歸 命 禮 三 寶 眾 
T85n2856_001:1306a29	生無邊誓願度。煩惱無邊誓願斷。法門無盡	生 無 邊 誓 願 度 煩 惱 無 邊 誓 願 斷 法 門 無 盡 
T85n2856_001:1306b01	誓願學。無上佛道誓願成。	誓 願 學 無 上 佛 道 誓 願 成 
T85n2856_001:1306b02	聽說知時無常偈　色情若不住。草動染諸	聽 說 知 時 無 常 偈 色 情 若 不 住 草 動 染 諸 
T85n2856_001:1306b03	塵。隨緣遍六趣。剎那不繫停。知身如電影。悟	塵 隨 緣 遍 六 趣 剎 那 不 繫 停 知 身 如 電 影 悟 
