X60n1130_001:0697b06	八關齋法	八 關 齋 法 
X60n1130_001:0697b08	廣州寶象林沙門　弘贊在犙　輯	廣 州 寶 象 林 沙 門 弘 贊 在 犙 輯 
X60n1130_001:0697b09	如來御世。本為利樂一切眾生。而眾生根性不同。	如 來 御 世 本 為 利 樂 一 切 眾 生 而 眾 生 根 性 不 同 
X60n1130_001:0697b10	故教設多方。教雖非一。而不出三學。所謂戒定慧	故 教 設 多 方 教 雖 非 一 而 不 出 三 學 所 謂 戒 定 慧 
X60n1130_001:0697b11	也。然定慧多門。戒列七眾。出家則比丘稟受二百	也 然 定 慧 多 門 戒 列 七 眾 出 家 則 比 丘 稟 受 二 百 
X60n1130_001:0697b12	五十大戒。比丘尼受持三百四十八戒。式叉摩那	五 十 大 戒 比 丘 尼 受 持 三 百 四 十 八 戒 式叉摩那 
X60n1130_001:0697b13	學其六法。沙彌沙彌尼俱持十戒。在家則清信男。	學 其 六 法 沙 彌 沙 彌 尼 俱 持 十 戒 在 家 則 清 信 男 
X60n1130_001:0697b14	清信女。戒開兩門。一五戒終身持。二八戒六齋日	清 信 女 戒 開 兩 門 一 五 戒 終 身 持 二 八 戒 六 齋 日 
X60n1130_001:0697b15	持。或十齋日持。或隨自意。有暇日即持。然戒雖云	持 或 十 齋 日 持 或 隨 自 意 有 暇 日 即 持 然 戒 雖 云 
X60n1130_001:0697b16	一日一夜。其所獲功德利益。非凡所測。如摩尼寶	一 日 一 夜 其 所 獲 功德利益 非 凡 所 測 如 摩 尼 寶 
X60n1130_001:0697b17	珠。雖復輕小。而勝一切諸寶。有斯善利。捨而不為	珠 雖 復 輕 小 而 勝 一 切 諸 寶 有 斯 善 利 捨 而 不 為 
X60n1130_001:0697b18	者。有二種人。一者不信三世善惡因果。在儒不修	者 有 二 種 人 一 者 不 信 三 世 善 惡 因 果 在 儒 不 修 
X60n1130_001:0697b19	五常。寧信如來出世五戒。由是人天路絕。道果無	五 常 寧 信 如 來 出 世 五 戒 由 是 人 天 路 絕 道 果 無 
X60n1130_001:0697b20	分。二者頑癡無知。不識君臣父子。孝悌忠信。惟知	分 二 者 頑 癡 無 知 不 識 君 臣 父 子 孝 悌 忠 信 惟 知 
