T85n2749_001:0180a03	法華經疏	法 華 經 疏 
T85n2749_001:0180a05	值遇者檦難值也。所以者何。諸薄德人。過	值 遇 者 檦 難 值 也 所以者何 諸 薄 德 人 過 
T85n2749_001:0180a06	無量劫。或見不見者。釋難值也。以此事故我	無 量 劫 或 見 不 見 者 釋 難 值 也 以 此 事 故 我 
T85n2749_001:0180a07	言如來難可得見者。結難值也。	言 如 來 難 可 得 見 者 結 難 值 也 
T85n2749_001:0180a08	經曰。斯眾生等至而言滅度者。此得効也。斯	經 曰 斯 眾 生 等 至 而 言 滅 度 者 此 得 効 也 斯 
T85n2749_001:0180a09	等聞語生難遭想者。內心啟悟也。心懷戀慕	等 聞 語 生 難 遭 想 者 內 心 啟 悟 也 心 懷 戀 慕 
T85n2749_001:0180a10	渴仰於佛者。外仰至真也。便種善根者。發心	渴 仰 於 佛 者 外 仰 至 真 也 便 種 善 根 者 發 心 
T85n2749_001:0180a11	修行也。為有此効故。須不滅言滅也。	修 行 也 為 有 此 効 故 須 不 滅 言 滅 也 
T85n2749_001:0180a12	經曰。又善男子至皆實不虛者。此宗益也。諸	經 曰 又 善 男 子 至 皆 實 不 虛 者 此 宗 益 也 諸 
T85n2749_001:0180a13	佛如來法皆如是者。權行同也。為度眾生皆	佛 如 來 法 皆 如 是 者 權 行 同 也 為 度 眾 生 皆 
T85n2749_001:0180a14	實不虛者。利物一也。若不權唱涅槃。豈能進	實 不 虛 者 利 物 一 也 若 不 權 唱 涅 槃 豈 能 進 
T85n2749_001:0180a15	彼懈怠。彼既得進利益不虛。	彼 懈 怠 彼 既 得 進 利 益 不 虛 
T85n2749_001:0180a16	經曰。譬如良醫至善治眾病者。第二譬說兩	經 曰 譬 如 良 醫 至 善 治 眾 病 者 第 二 譬 說 兩 
T85n2749_001:0180a17	重。一明不死作住有餘譬。二明唱死作入無	重 一 明 不 死 作 住 有 餘 譬 二 明 唱 死 作 入 無 
T85n2749_001:0180a18	餘譬。不死十重。一教主譬。二根緣譬。三道隱	餘 譬 不 死 十 重 一 教 主 譬 二 根 緣 譬 三 道 隱 
T85n2749_001:0180a19	譬。四或生譬。五佛興譬。六機過譬。七說教	譬 四 或 生 譬 五 佛 興 譬 六 機 過 譬 七 說 教 
T85n2749_001:0180a20	譬。八令修譬。九利解譬。十鈍迷譬。此第一教	譬 八 令 修 譬 九 利 解 譬 十 鈍 迷 譬 此 第 一 教 
T85n2749_001:0180a21	主譬良善也醫意也。善解四病之原。妙通八	主 譬 良 善 也 醫 意 也 善 解 四 病 之 原 妙 通 八 
T85n2749_001:0180a22	術之要。下針定差。投藥必愈故曰良醫。阿含	術 之 要 下 針 定 差 投 藥 必 愈 故 曰 良 醫 阿 含 
T85n2749_001:0180a23	經說良醫有四德。一知病。二知病因。三知治	經 說 良 醫 有 四 德 一 知 病 二 知 病 因 三 知 治 
T85n2749_001:0180a24	方。四知差已不生。如來亦爾。一知苦。二知	方 四 知 差 已 不 生 如 來 亦 爾 一 知 苦 二 知 
T85n2749_001:0180a25	苦因。三知苦滅。四知苦滅道故名良醫。凡夫	苦 因 三 知 苦 滅 四 知 苦 滅 道 故 名 良 醫 凡 夫 
T85n2749_001:0180a26	能治二界煩惱為下醫。二乘能治三界煩惱	能 治 二 界 煩 惱 為 下 醫 二 乘 能 治 三 界 煩 惱 
T85n2749_001:0180a27	為中醫。如來能治四界煩惱為上醫。又外	為 中 醫 如 來 能 治 四 界 煩 惱 為 上 醫 又 外 
T85n2749_001:0180a28	道治病還發為下醫。二乘治病或發不發為	道 治 病 還 發 為 下 醫 二 乘 治 病 或 發 不 發 為 
T85n2749_001:0180a29	中醫。如來治病畢竟不發為上醫。故曰良醫。	中 醫 如 來 治 病 畢 竟 不 發 為 上 醫 故 曰 良 醫 
T85n2749_001:0180b01	意無不決為智。聽無不了為聰。思無不通為	意 無 不 決 為 智 聽 無 不 了 為 聰 思 無 不 通 為 
T85n2749_001:0180b02	達。智譬種智。聰譬六通。達譬三達方。以譬教	達 智 譬 種 智 聰 譬 六 通 達 譬 三 達 方 以 譬 教 
T85n2749_001:0180b03	藥。以譬理審教知理故日明練方藥。隨授必	藥 以 譬 理 審 教 知 理 故 日 明 練 方 藥 隨 授 必 
T85n2749_001:0180b04	行故曰善治眾病。	行 故 曰 善 治 眾 病 
T85n2749_001:0180b05	經曰。其人多諸至乃至百數者。第二根緣譬。	經 曰 其 人 多 諸 至 乃 至 百 數 者 第 二 根 緣 譬 
T85n2749_001:0180b06	受化為子。傳化為息。舊解上根為十。中根為	受 化 為 子 傳 化 為 息 舊 解 上 根 為 十 中 根 為 
T85n2749_001:0180b07	二十。下根為百數。勝人少劣人多故。	二 十 下 根 為 百 數 勝 人 少 劣 人 多 故 
T85n2749_001:0180b08	經曰。以有事緣遠至他國者。第三道隱譬。他	經 曰 以 有 事 緣 遠 至 他 國 者 第 三 道 隱 譬 他 
T85n2749_001:0180b09	方感興為事緣。此土息化為遠至。	方 感 興 為 事 緣 此 土 息 化 為 遠 至 
T85n2749_001:0180b10	經曰。諸子於後至宛轉於地者。第四或生譬。	經 曰 諸 子 於 後 至 宛 轉 於 地 者 第 四 或 生 譬 
