X53n0860_001:0951a05	判比量論	判 比 量 論 
X53n0860_001:0951a07	定過亦能破彼、是等難故。又應定問、汝言	定 過 亦 能 破 彼 是 等 難 故 又 應 定 問 汝 言 
X53n0860_001:0951a08	非顯淨土言中、淨土之慧為舉、淨土之體為	非 顯 淨 土 言 中 淨 土 之 慧 為 舉 淨 土 之 體 為 
X53n0860_001:0951a09	不舉□。若言舉者、則違自宗、此淨土教能	不 舉 若 言 舉 者 則 違 自 宗 此 淨 土 教 能 
X53n0860_001:0951a10	顯淨土故。若不舉者、不違他宗、非顯之言	顯 淨 土 故 若 不 舉 者 不 違 他 宗 非 顯 之 言 
X53n0860_001:0951a11	不□淨土故。於此兩兩關心、辨彼意在前、則	不 淨 土 故 於 此 兩 兩 關 心 辨 彼 意 在 前 則 
X53n0860_001:0951a12	墮自語相違過失。若彼救言、此淨土忽舉淨	墮 自語相違過 失 若 彼 救 言 此 淨 土 忽 舉 淨 
X53n0860_001:0951a13	土體、而云忽不入淨土之教。故無自語相違	土 體 而 云 忽 不 入 淨 土 之 教 故 無 自語相違 
X53n0860_001:0951a14	過者、則以此忽亦成不定。如是進退皆不應	過 者 則 以 此 忽 亦 成 不 定 如 是 進 退 皆 不 應 
X53n0860_001:0951a15	理。　　　　二量。	理 二 量 
X53n0860_001:0951a16	八執四分者為破三分立比量云、自證必有即	八 執 四 分 者 為 破 三 分 立 比 量 云 自 證 必 有 即 
X53n0860_001:0951a17	體能證。心分攝故。猶如相分。自證應非心	體 能 證 心 分 攝 故 猶 如 相 分 自 證 應 非 心 
X53n0860_001:0951a18	分所攝。以無即體之能證故。如兔角等。判	分 所 攝 以 無 即 體 之 能 證 故 如 兔 角 等 判 
X53n0860_001:0951a19	云、此二比量是似非真。皆不能離不定過故。	云 此 二 比 量 是 似 非 真 皆 不 能 離 不 定 過 故 
X53n0860_001:0951a20	謂、自證分、為如相分、心分攝故、有即體	謂 自 證 分 為 如 相 分 心 分 攝 故 有 即 體 
X53n0860_001:0951a21	能證。為如眼識生相、心分攝故、無即體能	能 證 為 如 眼 識 生 相 心 分 攝 故 無 即 體 能 
X53n0860_001:0951a22	證。如是前因有不定過。又自證分、為如兔	證 如 是 前 因 有 不 定 過 又 自 證 分 為 如 兔 
X53n0860_001:0951a23	角、無即體能證故、非心分攝。為如耳識相	角 無 即 體 能 證 故 非 心 分 攝 為 如 耳 識 相 
X53n0860_001:0951a24	分三相、無即體能證故、是心分所攝。如是	分 三 相 無 即 體 能 證 故 是 心 分 所 攝 如 是 
X53n0860_001:0951b01	後因亦有不定。若彼救言、五識三相不離體	後 因 亦 有 不 定 若 彼 救 言 五 識 三 相 不 離 體 
X53n0860_001:0951b02	故、是其自證之所緣境、理亦不然。相分三	故 是 其 自 證 之 所 緣 境 理 亦 不 然 相 分 三 
X53n0860_001:0951b03	相不離相故。五識見分亦得緣故。此若不許、	相 不 離 相 故 五 識 見 分 亦 得 緣 故 此 若 不 許 
X53n0860_001:0951b04	彼何得然。設許彼前、此必不許、五識能緣	彼 何 得 然 設 許 彼 前 此 必 不 許 五 識 能 緣 
X53n0860_001:0951b05	法界諸處、法相雜亂。違理教故。只由如是	法 界 諸 處 法 相 雜 亂 違 理 教 故 只 由 如 是 
X53n0860_001:0951b06	相分三相、於彼二因、足作不定。設彼救言、	相 分 三 相 於 彼 二 因 足 作 不 定 設 彼 救 言 
X53n0860_001:0951b07	相分三相非心分攝、則有比量相違過失。當	相 分 三 相 非 心 分 攝 則 有 比量相違過 失 當 
X53n0860_001:0951b08	知、第四分、有言而無義。　　　二量。	知 第 四 分 有 言 而 無 義 二 量 
X53n0860_001:0951b09	九無性攝論、為成第八、對彼小乘立二比量。	九 無 性 攝 論 為 成 第 八 對 彼 小 乘 立 二 比 量 
X53n0860_001:0951b10	謂八識教是聖言攝。似無我故。如四阿含。	謂 八 識 教 是 聖 言 攝 似 無 我 故 如 四 阿 含 
X53n0860_001:0951b11	又八識教契當道理。是聖教故。如六識教。	又 八 識 教 契 當 道 理 是 聖 教 故 如 六 識 教 
X53n0860_001:0951b12	如是展轉證有八識。今於此中、直就所詮而	如 是 展 轉 證 有 八 識 今 於 此 中 直 就 所 詮 而 
X53n0860_001:0951b13	立比量證□□□謂眼耳鼻識必有舌身意識不	立 比 量 證 謂 眼 耳 鼻 識 必 有 舌 身 意 識 不 
X53n0860_001:0951b14	攝餘別識。非二六門中三識攝故。猶如舌身	攝 餘 別 識 非 二 六 門 中 三 識 攝 故 猶 如 舌 身 
X53n0860_001:0951b15	意識。此中極成六識為他異品、自許八識為	意 識 此 中 極 成 六 識 為 他 異 品 自 許 八 識 為 
X53n0860_001:0951b16	自異品、三識攝因於彼不轉。是故此因決定	自 異 品 三 識 攝 因 於 彼 不 轉 是 故 此 因 決 定 
X53n0860_001:0951b17	能立。若以轉識攝故為因、則於他異轉。設	能 立 若 以 轉 識 攝 故 為 因 則 於 他 異 轉 設 
X53n0860_001:0951b18	以是識性故為因、亦於自異品轉、皆不能離	以 是 識 性 故 為 因 亦 於 自 異 品 轉 皆 不 能 離 
X53n0860_001:0951b19	不定過也。　　　　　　　　　　三量。	不 定 過 也 三 量 
X53n0860_001:0951b20	十成唯識論立比量言、第八必有俱有所依。	十 成 唯 識 論 立 比 量 言 第 八 必 有 俱 有 所 依 
X53n0860_001:0951b21	是識性故。如六識等。此因不定、有等難故。	是 識 性 故 如 六 識 等 此 因 不 定 有 等 難 故 
X53n0860_001:0951b22	謂有立言、第八必無俱有所依。是根本故。猶	謂 有 立 言 第 八 必 無 俱 有 所 依 是 根 本 故 猶 
X53n0860_001:0951b23	如真如。若言此有有法差別相違過失、能成	如 真 如 若 言 此 有 有法差別相違過 失 能 成 
X53n0860_001:0951b24	第八是無為故、是則前因亦有是過、能成第	第 八 是 無 為 故 是 則 前 因 亦 有 是 過 能 成 第 
X53n0860_001:0951c01	八是轉識故。若言自□故不成難、彼亦違自	八 是 轉 識 故 若 言 自 故 不 成 難 彼 亦 違 自 
X53n0860_001:0951c02	故非難也。今者別立、賴耶末那必無俱有所	故 非 難 也 今 者 別 立 賴 耶 末 那 必 無 俱 有 所 
X53n0860_001:0951c03	依之根。非六識性之所攝故。如眼根等。若	依 之 根 非 六 識 性 之 所 攝 故 如 眼 根 等 若 
X53n0860_001:0951c04	難此因有相違過、能成七八非能緣性、如眼	難 此 因 有 相 違 過 能 成 七 八 非 能 緣 性 如 眼 
X53n0860_001:0951c05	根等、此亦不然。由心所法成不定故。若言	根 等 此 亦 不 然 由 心 所 法 成 不 定 故 若 言 
X53n0860_001:0951c06	望前亦有不定、以心所法非六識性有所依故、	望 前 亦 有 不 定 以 心 所 法 非 六 識 性 有 所 依 故 
X53n0860_001:0952a01	此非不定。以前立言所依根故。若望心所、但	此 非 不 定 以 前 立 言 所 依 根 故 若 望 心 所 但 
X53n0860_001:0952a02	是所依非所依根、法處所攝不待根故。是故	是 所 依 非 所 依 根 法處所攝 不 待 根 故 是 故 
X53n0860_001:0952a03	彼宗、雖知依與所依差別、未解所依與根有	彼 宗 雖 知 依 與 所 依 差 別 未 解 所 依 與 根 有 
X53n0860_001:0952a04	異。若論所依、通於八識及與心所。其所依	異 若 論 所 依 通 於 八 識 及 與 心 所 其 所 依 
X53n0860_001:0952a05	根不通心所及於七八。有破此宗立比量云、	根 不 通 心 所 及 於 七 八 有 破 此 宗 立 比 量 云 
X53n0860_001:0952a06	意識俱有根定非能能緣性。六識心心所之所	意 識 俱 有 根 定 非 能 能 緣 性 六 識 心 心 所 之 所 
X53n0860_001:0952a07	不攝故。六識俱有根隨一所攝故、如眼根等	不 攝 故 六 識 俱 有 根 隨 一 所 攝 故 如 眼 根 等 
X53n0860_001:0952a08	彼宗反以法處所攝色法為意、故作是難。此	彼 宗 反 以 法處所攝色 法 為 意 故 作 是 難 此 
X53n0860_001:0952a09	塵通破大乘諸宗。然有相違決定過生。謂立	塵 通 破 大 乘 諸 宗 然 有 相違決定 過 生 謂 立 
X53n0860_001:0952a10	意根必非色性。有分別識不共依故。如第六	意 根 必 非 色 性 有 分 別 識 不 共 依 故 如 第 六 
