T52n2118_001:0794b19	折疑論敘	折 疑 論 敘 
T52n2118_001:0794b21	鄉貢進士白水屈蟠撰	鄉 貢 進 士 白 水 屈 蟠 撰 
T52n2118_001:0794b22	法師。名子成。字彥美。號妙明。京兆霸陵人	法 師 名 子 成 字 彥 美 號 妙 明 京 兆 霸 陵 人 
T52n2118_001:0794b23	也。少時為儒。壯而從釋。其性愛書史喜翰	也 少 時 為 儒 壯 而 從 釋 其 性 愛 書 史 喜 翰 
T52n2118_001:0794b24	墨。樂遊學好著述。每與賢士大夫詩詞唱和。	墨 樂 遊 學 好 著 述 每 與 賢 士 大 夫 詩 詞 唱 和 
T52n2118_001:0794b25	一聯一句落在叢席。人多傳之。如鸚鵡詩云。	一 聯 一 句 落 在 叢 席 人 多 傳 之 如 鸚 鵡 詩 云 
T52n2118_001:0794b26	學得人言字字明。便能巧語為通情。不知身	學 得 人 言 字 字 明 便 能 巧 語 為 通 情 不 知 身 
T52n2118_001:0794b27	在樊籠裏。猶向堂前弄舌輕。晝寢云。夢魂不	在 樊 籠 裏 猶 向 堂 前 弄 舌 輕 晝 寢 云 夢 魂 不 
T52n2118_001:0794b28	管擎書手。一帙南華墮枕邊。閑遊云。家家明	管 擎 書 手 一 帙 南 華 墮 枕 邊 閑 遊 云 家 家 明 
T52n2118_001:0794b29	月誰無分。處處青山我有緣。水心亭云。綠芰	月 誰 無 分 處 處 青 山 我 有 緣 水 心 亭 云 綠 芰 
T52n2118_001:0794c01	青荷香滿池。環亭冷浸碧瑠璃。高軒矮榻無	青 荷 香 滿 池 環 亭 冷 浸 碧 瑠 璃 高 軒 矮 榻 無 
T52n2118_001:0794c02	纖暑。臥看清波浴鷺鷥。其長篇短偈。例皆如	纖 暑 臥 看 清 波 浴 鷺 鷥 其 長 篇 短 偈 例 皆 如 
T52n2118_001:0794c03	此。尤能洞明本宗佛法。予昔嘗與縣大夫張	此 尤 能 洞 明 本 宗 佛 法 予 昔 嘗 與 縣 大 夫 張 
T52n2118_001:0794c04	昂。請註心經。五日而成。萬二千言。辭理精	昂 請 註 心 經 五 日 而 成 萬 二 千 言 辭 理 精 
T52n2118_001:0794c05	當。不為不多得。又嘗綴述本色法事文集。僅	當 不 為 不 多 得 又 嘗 綴 述 本 色 法 事 文 集 僅 
T52n2118_001:0794c06	二百首。語句雄麗。旨意渾成。同袍得之。囊	二 百 首 語 句 雄 麗 旨 意 渾 成 同 袍 得 之 囊 
T52n2118_001:0794c07	畜不出。抑為艱得。無意多傳。頃以兵火之亂。	畜 不 出 抑 為 艱 得 無 意 多 傳 頃 以 兵 火 之 亂 
T52n2118_001:0794c08	匿跡山林。嘗與來客問難詰折。事盡終始。遂	匿 跡 山 林 嘗 與 來 客 問 難 詰 折 事 盡 終 始 遂 
T52n2118_001:0794c09	錄成軸。名曰折疑論。首之以序問。終之以	錄 成 軸 名 曰 折 疑 論 首 之 以 序 問 終 之 以 
T52n2118_001:0794c10	會名。凡二十篇。言簡而理當。文約而義豐。	會 名 凡 二 十 篇 言 簡 而 理 當 文 約 而 義 豐 
T52n2118_001:0794c11	涵詠六經。略備諸子。每一篇之中。其引類證	涵 詠 六 經 略 備 諸 子 每 一 篇 之 中 其 引 類 證 
T52n2118_001:0794c12	斷決折疑。理甚明白。若非具三昧辯才。其孰	斷 決 折 疑 理 甚 明 白 若 非 具 三 昧 辯 才 其 孰 
T52n2118_001:0794c13	能致於此乎。予與妙明為不請友。其有年矣。	能 致 於 此 乎 予 與 妙 明 為 不 請 友 其 有 年 矣 
T52n2118_001:0794c14	大凡著作不我之慳。故於敘引母俟召而云。	大 凡 著 作 不 我 之 慳 故 於 敘 引 母 俟 召 而 云 
T52n2118_001:0794c15	時辛卯中秋八日書。	時 辛 卯 中 秋 八 日 書 
T52n2118_001:0794c16	折疑論敘(終)	折 疑 論 敘 終 
T52n2118_001:0794c20	折疑論卷第一	折 疑 論 卷 第 一 
T52n2118_001:0794c22	金臺大慈恩寺西域師子比丘述註	金 臺 大 慈 恩 寺 西 域 師 子 比 丘 述 註 
T52n2118_001:0794c23	(曲而斷之謂折。猶豫不決之謂疑。評議難辨之謂論。此論因妙明子居山時有客特詣請問以決所疑。	 曲 而 斷 之 謂 折 猶 豫 不 決 之 謂 疑 評 議 難 辨 之 謂 論 此 論 因 妙 明 子 居 山 時 有 客 特 詣 請 問 以 決 所 疑 
T52n2118_001:0794c24	妙明子引三教微言以答之。遂成是錄。故曰折疑)。	妙 明 子 引 三 教 微 言 以 答 之 遂 成 是 錄 故 曰 折 疑 
T52n2118_001:0794c25	敘問第一(敘者。敘其來因。問者問其所疑。第者次第也。一者數之始也)	敘 問 第 一 敘 者 敘 其 來 因 問 者 問 其 所 疑 第 者 次 第 也 一 者 數 之 始 也 
T52n2118_001:0794c26	妙明子(華州渭南縣洪福寺出家。遇魚巖老人祥公處得法。闡揚大乘經律論。大元至正間。詔封	妙 明 子 華 州 渭 南 縣 洪 福 寺 出 家 遇 魚 巖 老 人 祥 公 處 得 法 闡 揚 大 乘 經 律 論 大 元 至 正 間 詔 封 
T52n2118_001:0794c27	傳大乘戒賜紫閏大國師)。	傳 大 乘 戒 賜 紫 閏 大 國 師 
T52n2118_001:0794c28	居石室(後歸終南山石室隱居)。	居 石 室 後 歸 終 南 山 石 室 隱 居 
T52n2118_001:0794c29	有客來謁。妙明與之坐而問焉曰。夫子何來	有 客 來 謁 妙 明 與 之 坐 而 問 焉 曰 夫 子 何 來 
T52n2118_001:0795a01	(尊美之稱曰夫子。謂客因何事而來)。	 尊 美 之 稱 曰 夫 子 謂 客 因 何 事 而 來 
T52n2118_001:0795a02	客曰。有所請問而來(客曰。有所疑而來問)。	客 曰 有 所 請 問 而 來 客 曰 有 所 疑 而 來 問 
T52n2118_001:0795a03	妙明曰。吾居是山也。幾以數年而世罕知(吾者	妙 明 曰 吾 居 是 山 也 幾 以 數 年 而 世 罕 知 吾 者 
T52n2118_001:0795a04	我也。幾者。近也。罕者少也謂我居此山。將近十數年矣。而世人少知)。	我 也 幾 者 近 也 罕 者 少 也 謂 我 居 此 山 將 近 十 數 年 矣 而 世 人 少 知 
T52n2118_001:0795a05	加以懸石巉巖危嶠巇嶮。無人履踐(巉音讒。險也。巖積石	加 以 懸 石 巉 巖 危 嶠 巇 嶮 無 人 履 踐 巉 音 讒 險 也 巖 積 石 
T52n2118_001:0795a06	貌。嶠渠廟切。山銳而高也巇音羲。嶺危也。嶮音。險音險也。加以者兼有也。懸石者纍垂可畏貌。謂險難行	貌 嶠 渠 廟 切 山 銳 而 高 也 巇 音 羲 嶺 危 也 嶮 音 險 音 險 也 加 以 者 兼 有 也 懸 石 者 纍 垂 可 畏 貌 謂 險 難 行 
T52n2118_001:0795a07	之處少有往來。故曰無人履踐也)。	之 處 少 有 往 來 故 曰 無 人 履 踐 也 
T52n2118_001:0795a08	遠勞仁者一至此乎(遠路勞煩仁者一徑來於此乎)。	遠 勞 仁 者 一 至 此 乎 遠 路 勞 煩 仁 者 一 徑 來 於 此 乎 
T52n2118_001:0795a09	客曰。雷霆之聲無欲聞人之耳。而耳自聞(淮南	客 曰 雷 霆 之 聲 無 欲 聞 人 之 耳 而 耳 自 聞 淮 南 
T52n2118_001:0795a10	子曰。雷者陰陽擊摶之聲。感而為雷。激而為霆。雷聲豈要聞於人耳蓋人耳自皆聞之)。	子 曰 雷 者 陰 陽 擊 摶 之 聲 感 而 為 雷 激 而 為 霆 雷 聲 豈 要 聞 於 人 耳 蓋 人 耳 自 皆 聞 之 
T52n2118_001:0795a11	管籥之音無有悅人之心。而心自悅(樂譜云。管者簫笛之	管 籥 之 音 無 有 悅 人 之 心 而 心 自 悅 樂 譜 云 管 者 簫 笛 之 
T52n2118_001:0795a12	屬。籥者似笛而有三孔短小。其管籥音聲無要歡悅於人心。蓋人聞之則自然歡悅也)。	屬 籥 者 似 笛 而 有 三 孔 短 小 其 管 籥 音 聲 無 要 歡 悅 於 人 心 蓋 人 聞 之 則 自 然 歡 悅 也 
T52n2118_001:0795a13	夷齊匿跡於首陽。不欲德稱於人。而人自稱	夷 齊 匿 跡 於 首 陽 不 欲 德 稱 於 人 而 人 自 稱 
T52n2118_001:0795a14	其德(史記。伯夷叔齊孤竹君之二子。讓不嗣位欲之西南。遇武王伐紂。迎馬首而諫不從。隱於首陽山。	其 德 史 記 伯 夷 叔 齊 孤 竹 君 之 二 子 讓 不 嗣 位 欲 之 西 南 遇 武 王 伐 紂 迎 馬 首 而 諫 不 從 隱 於 首 陽 山 
T52n2118_001:0795a15	誓不食周粟。卒至餓死矣)。	誓 不 食 周 粟 卒 至 餓 死 矣 
T52n2118_001:0795a16	巢許韜光於箕岫。豈為道揚於世。而世自揚	巢 許 韜 光 於 箕 岫 豈 為 道 揚 於 世 而 世 自 揚 
T52n2118_001:0795a17	其道(巢地名韜藏也。莊子讓王篇曰。堯以天下讓許由。許由不受。隱於箕岫山)。	其 道 巢 地 名 韜 藏 也 莊 子 讓 王 篇 曰 堯 以 天 下 讓 許 由 許 由 不 受 隱 於 箕 岫 山 
T52n2118_001:0795a18	子之居山亦以類矣。奚為人之不知也(客以夷齊許由	子 之 居 山 亦 以 類 矣 奚 為 人 之 不 知 也 客 以 夷 齊 許 由 
T52n2118_001:0795a19	之德而比類。何為人之不知也)。	之 德 而 比 類 何 為 人 之 不 知 也 
T52n2118_001:0795a20	妙明曰。子所欲問可得聞乎(此審問辭)。	妙 明 曰 子 所 欲 問 可 得 聞 乎 此 審 問 辭 
T52n2118_001:0795a21	客曰。請無拒焉(無禁止之辭。子無阻而抵拒焉)。	客 曰 請 無 拒 焉 無 禁 止 之 辭 子 無 阻 而 抵 拒 焉 
T52n2118_001:0795a22	妙明曰。子張云。君子尊賢而容眾。嘉善而	妙 明 曰 子 張 云 君 子 尊 賢 而 容 眾 嘉 善 而 
T52n2118_001:0795a23	矜不能。我之大賢歟。於人無所不容。我之不	矜 不 能 我 之 大 賢 歟 於 人 無 所 不 容 我 之 不 
T52n2118_001:0795a24	賢歟。人將拒我。如之何其拒人也(論語。子夏門人問交於	賢 歟 人 將 拒 我 如 之 何 其 拒 人 也 論 語 子 夏 門 人 問 交 於 
