T85n2833_001:1270c08	觀心論	觀 心 論 
T85n2833_001:1270c10	是觀心可名為了　又問。上說真如佛性一	是 觀 心 可 名 為 了 又 問 上 說 真 如 佛 性 一 
T85n2833_001:1270c11	切功德因覺為根。未審無明之心一切諸惡	切 功 德 因 覺 為 根 未 審 無 明 之 心 一 切 諸 惡 
T85n2833_001:1270c12	以何為根　答曰。無明之心雖有八萬四千	以 何 為 根 答 曰 無 明 之 心 雖 有 八萬四千 
T85n2833_001:1270c13	煩惱情慾及恒沙眾惡無量無邊。取要言之。	煩 惱 情 慾 及 恒 沙 眾 惡 無量無邊 取要言之 
T85n2833_001:1270c14	皆由三毒以為根本。其三毒者即貪瞋癡也。	皆 由 三 毒 以 為 根 本 其 三 毒 者 即 貪 瞋 癡 也 
T85n2833_001:1270c15	此三毒心自能具足一切諸惡。猶如大樹根	此 三 毒 心 自 能 具 足 一 切 諸 惡 猶 如 大 樹 根 
T85n2833_001:1270c16	雖是一所生枝葉其數無量。彼三毒根中生	雖 是 一 所 生 枝 葉 其 數 無 量 彼 三 毒 根 中 生 
T85n2833_001:1270c17	諸惡業。百千萬億倍過於前不可為喻。如是	諸 惡 業 百 千 萬 億 倍 過 於 前 不 可 為 喻 如 是 
T85n2833_001:1270c18	心於本體中自為三毒。若應現六根亦名六	心 於 本 體 中 自 為 三 毒 若 應 現 六 根 亦 名 六 
T85n2833_001:1270c19	賊。其六賊者則名六識。出入諸根貪著萬境。	賊 其 六 賊 者 則 名 六 識 出 入 諸 根 貪 著 萬 境 
T85n2833_001:1270c20	能成惡業損真如體。故名六賊。一切眾生由	能 成 惡 業 損 真 如 體 故 名 六 賊 一 切 眾 生 由 
T85n2833_001:1270c21	此三毒及以六賊。惑亂身心沈沒生死。輪迴	此 三 毒 及 以 六 賊 惑 亂 身 心 沈 沒 生 死 輪 迴 
T85n2833_001:1270c22	六道受諸苦惱。又有江河因少泉源涓流不	六 道 受諸苦惱 又 有 江 河 因 少 泉 源 涓 流 不 
T85n2833_001:1270c23	絕。乃能彌漫波濤萬里。若復有人斷其本源。	絕 乃 能 彌 漫 波 濤 萬 里 若 復 有 人 斷 其 本 源 
T85n2833_001:1270c24	則眾流皆息。求解脫者除其三毒及以六賊。	則 眾 流 皆 息 求 解 脫 者 除 其 三 毒 及 以 六 賊 
