T26n1520_001:0010c03	妙法蓮華經論優波提舍	妙法蓮華 經 論 優波提舍 
T26n1520_001:0010c05	婆藪般豆菩薩造	婆 藪 般 豆 菩 薩 造 
T26n1520_001:0010c06	元魏中天竺三藏勒那摩提	元 魏 中 天 竺 三 藏 勒 那 摩 提 
T26n1520_001:0010c07	共僧朗等譯	共 僧 朗 等 譯 
T26n1520_001:0010c08	如是我聞：一時佛住王舍城耆闍崛山中，	如是我聞 一 時 佛 住 王 舍 城 耆 闍 崛 山 中 
T26n1520_001:0010c09	與大比丘眾萬二千人俱，皆是阿羅漢，諸漏	與 大 比 丘 眾 萬 二 千 人 俱 皆 是 阿 羅 漢 諸 漏 
T26n1520_001:0010c10	已盡無復煩惱，心得自在，善得心解脫、善得	已 盡 無復煩惱 心得自在 善 得 心 解 脫 善 得 
T26n1520_001:0010c11	慧解脫，心善調伏，人中大龍，應作者作，所作	慧 解 脫 心 善 調 伏 人 中 大 龍 應 作 者 作 所 作 
T26n1520_001:0010c12	已辦，離諸重擔，逮得己利，盡諸有結，善得	已 辦 離 諸 重 擔 逮得己利 盡諸有結 善 得 
T26n1520_001:0010c13	正智心解脫一切，心得自在，到第一彼岸。菩	正 智 心 解 脫 一 切 心得自在 到 第一彼岸 菩 
T26n1520_001:0010c14	薩摩訶薩八萬人，皆於阿耨多羅三藐三菩	薩 摩 訶 薩 八 萬 人 皆 於 阿 耨 多 羅 三 藐 三 菩 
T26n1520_001:0010c15	提不退轉，皆得陀羅尼、大辯才樂說，轉不退	提 不 退 轉 皆 得陀羅尼 大 辯 才 樂 說 轉 不 退 
T26n1520_001:0010c16	法輪，供養無量百千諸佛，於諸佛所種諸善	法 輪 供 養 無 量 百 千 諸 佛 於 諸 佛 所 種 諸 善 
T26n1520_001:0010c17	根，常為諸佛之所稱歎，以大慈悲而修身心，	根 常 為 諸 佛 之 所 稱 歎 以 大 慈 悲 而 修 身 心 
T26n1520_001:0010c18	善入佛慧通達大智到於彼岸，名稱普聞無	善 入 佛 慧 通 達 大 智 到 於 彼 岸 名稱普聞 無 
T26n1520_001:0010c19	量世界，能度無數百千眾生。此法門中初第	量 世 界 能 度 無 數 百 千 眾 生 此 法 門 中 初 第 
T26n1520_001:0010c20	一品明七種功德成就。何等為七？一者序分	一 品 明 七 種 功德成就 何 等 為 七 一 者 序 分 
T26n1520_001:0010c21	成就；二者眾成就；三者如來欲說法時至成	成 就 二 者 眾 成 就 三 者 如 來 欲 說 法 時 至 成 
T26n1520_001:0010c22	就；四者所依說法隨順威儀住成就；五者依	就 四 者 所 依 說 法 隨 順 威 儀 住 成 就 五 者 依 
T26n1520_001:0010c23	止說因成就；六者大眾現前欲聞法成就；七	止 說 因 成 就 六 者 大 眾 現 前 欲 聞 法 成 就 七 
T26n1520_001:0010c24	者文殊師利答成就。又序分成就者，此法門	者 文 殊 師 利 答 成 就 又 序 分 成 就 者 此 法 門 
T26n1520_001:0010c25	示現二種義成就。何等為二？一者示現一	示 現 二 種 義 成 就 何 等 為 二 一 者 示 現 一 
T26n1520_001:0010c26	切諸法門中最勝成就故；二者示現自在	切 諸 法 門 中 最 勝 成 就 故 二 者 示 現 自 在 
T26n1520_001:0011a01	功德成就故。如王舍城勝餘一切城舍故，	功德成就 故 如 王 舍 城 勝 餘 一 切 城 舍 故 
T26n1520_001:0011a02	耆闍崛山勝餘諸山故。如經「如是我聞：一時	耆 闍 崛 山 勝 餘 諸 山 故 如 經 如是我聞 一 時 
T26n1520_001:0011a03	佛住王舍城耆闍崛山中」故。眾成就者，有四	佛 住 王 舍 城 耆 闍 崛 山 中 故 眾 成 就 者 有 四 
T26n1520_001:0011a04	種義成就。何等為四？一者數成就；二者行成	種 義 成 就 何 等 為 四 一 者 數 成 就 二 者 行 成 
T26n1520_001:0011a05	就；三者攝功德成就；四者威儀如法住成就。	就 三 者 攝 功德成就 四 者 威 儀 如 法 住 成 就 
T26n1520_001:0011a06	數成就者，謂大眾無數故。行成就者有四種：	數 成 就 者 謂 大 眾 無 數 故 行 成 就 者 有 四 種 
T26n1520_001:0011a07	一者諸聲聞修小乘行；二者諸菩薩修大乘	一 者 諸 聲 聞 修 小 乘 行 二 者 諸 菩 薩 修 大 乘 
T26n1520_001:0011a08	行；三者諸菩薩隨時示現能行大乘，如[颱台+犮]	行 三 者 諸 菩 薩 隨 時 示 現 能 行 大 乘 如 [颱台犮] 
T26n1520_001:0011a09	陀婆羅等十六人，具足菩薩不可思議事，	陀 婆 羅 等 十 六 人 具 足 菩 薩 不可思議 事 
T26n1520_001:0011a10	而能示現種種形相，優婆塞、優婆夷、比丘、	而 能 示 現種種形 相 優 婆 塞 優 婆 夷 比 丘 
T26n1520_001:0011a11	比丘尼等故；四者出家人威儀一定，不同菩	比 丘 尼 等 故 四 者 出 家 人 威 儀 一 定 不 同 菩 
T26n1520_001:0011a12	薩故。「皆是阿羅漢」等者十六句，示現聲聞功	薩 故 皆 是 阿 羅 漢 等 者 十 六 句 示 現 聲 聞 功 
T26n1520_001:0011a13	德成就故。「皆不退轉阿耨多羅三藐三菩提」	德 成 就 故 皆 不 退 轉 阿耨多羅三藐三菩提 
T26n1520_001:0011a14	等者十三句，示現菩薩功德成就故。阿羅	等 者 十 三 句 示 現 菩 薩 功德成就 故 阿 羅 
T26n1520_001:0011a15	漢功德成就者，彼十六句示現三種門攝義	漢 功德成就 者 彼 十 六 句 示 現 三 種 門 攝 義 
T26n1520_001:0011a16	應知。何等三門？一者上上起門；二者總別	應 知 何 等 三 門 一 者 上 上 起 門 二 者 總 別 
T26n1520_001:0011a17	相門；三者攝取事門。上上起門者，謂諸漏已	相 門 三 者 攝 取 事 門 上 上 起 門 者 謂 諸 漏 已 
T26n1520_001:0011a18	盡故名為羅漢，以心得自在故名諸漏已	盡 故 名 為 羅 漢 以 心得自在 故 名 諸 漏 已 
T26n1520_001:0011a19	盡，諸漏已盡故名為阿羅漢。以心無煩惱	盡 諸漏已盡 故 名 為 阿 羅 漢 以 心 無 煩 惱 
T26n1520_001:0011a20	故名心得自在，以善得心解脫、善得慧解脫	故 名 心得自在 以 善 得 心 解 脫 善 得 慧 解 脫 
T26n1520_001:0011a21	故名心得自在。以遠離能見所見故名無	故 名 心得自在 以 遠 離 能見所見 故 名 無 
T26n1520_001:0011a22	復煩惱。已善得心解脫、慧解脫故名心善	復 煩 惱 已 善 得 心 解 脫 慧 解 脫 故 名 心 善 
T26n1520_001:0011a23	調伏。人中大龍者，行諸惡道如平坦路無所	調 伏 人 中 大 龍 者 行 諸 惡 道 如 平 坦 路 無 所 
T26n1520_001:0011a24	拘礙。應行者已行，應到處已到故。應作者已	拘 礙 應 行 者 已 行 應 到 處 已 到 故 應 作 者 已 
T26n1520_001:0011a25	作，人中大龍已盡對治，降伏煩惱怨敵故。	作 人 中 大 龍 已 盡 對 治 降 伏 煩 惱 怨 敵 故 
T26n1520_001:0011a26	所作已辦者，更不後生，如相應事已成故。	所 作 已 辦 者 更 不 後 生 如 相 應 事 已 成 故 
T26n1520_001:0011a27	離諸重擔者，已應作者作、所作已辦，後生重	離 諸 重 擔 者 已 應 作 者 作 所 作 已 辦 後 生 重 
T26n1520_001:0011a28	擔已捨故。逮得己利者，已捨重擔證涅槃	擔 已 捨 故 逮得己利 者 已 捨 重 擔 證 涅 槃 
T26n1520_001:0011a29	故。盡諸有結者，已逮得己利，斷諸煩惱因故。	故 盡諸有結 者 已 逮得己利 斷 諸 煩 惱 因 故 
