X54n0879_001:0912a06	 正量論序	 正 量 論 序 
X54n0879_001:0912a08	嗚呼。若論向上一事。如急石火。似閃電光。直下承當	嗚 呼 若 論 向 上 一 事 如 急 石 火 似 閃 電 光 直 下 承 當 
X54n0879_001:0912a09	蚤成鈍滯。纔涉思惟便入迷倒。況乃馳騁章句競辨	蚤 成 鈍 滯 纔 涉 思 惟 便 入 迷 倒 況 乃 馳 騁 章 句 競 辨 
X54n0879_001:0912a10	是非。正眼觀來無非戲論。然人根不一。法藥多端。如	是 非 正 眼 觀 來 無 非 戲 論 然 人 根 不 一 法 藥 多 端 如 
X54n0879_001:0912a11	來偏為中下演諸契經。後賢解釋契經乃與眾論。既	來 偏 為 中 下 演 諸 契 經 後 賢 解 釋 契 經 乃 與 眾 論 既 
X54n0879_001:0912a12	有眾論矣則辨諍波騰是非鋒起。雖則實際理地不	有 眾 論 矣 則 辨 諍 波 騰 是 非 鋒 起 雖 則 實 際 理 地 不 
X54n0879_001:0912a13	受纖塵。其如建化門中不舍一法。而況是雖佛祖却	受 纖 塵 其 如 建 化 門 中 不 舍 一 法 而 況 是 雖 佛 祖 却 
X54n0879_001:0912a14	趨妄而背真。那個聖賢不棄惡而從善。故曰是則是	趨 妄 而 背 真 那 個 聖 賢 不 棄 惡 而 從 善 故 曰 是 則 是 
X54n0879_001:0912a15	非則非。人無是非之心非人也。往甞讀肇公物不遷	非 則 非 人 無 是 非 之 心 非 人 也 往 甞 讀 肇 公 物 不 遷 
X54n0879_001:0912a16	論。大都以物各住位成立不遷。而後以物之今昔有	論 大 都 以 物 各 住 位 成 立 不 遷 而 後 以 物 之 今 昔 有 
X54n0879_001:0912a17	無不去不來以明物性之各住。要之辭意婉切。乃肇	無 不 去 不 來 以 明 物 性 之 各 住 要 之 辭 意 婉 切 乃 肇 
X54n0879_001:0912a18	師獨見之玅。但於契經不甚允合耳。何者。夫古今時	師 獨 見 之 玅 但 於 契 經 不 甚 允 合 耳 何 者 夫 古 今 時 
X54n0879_001:0912a19	也。有無物也。不遷性也。而亦謂性其性者。孰綱維是。	也 有 無 物 也 不 遷 性 也 而 亦 謂 性 其 性 者 孰 綱 維 是 
