X25n0488_001:0282a06	 自序	 自 序 
X25n0488_001:0282a08	原夫理根於性。性必有所受之途。形區於命。命必有	原 夫 理 根 於 性 性 必 有 所 受 之 途 形 區 於 命 命 必 有 
X25n0488_001:0282a09	收造之府。真一之雌。握筌藏領。良彌邃矣。是以聖靈	收 造 之 府 真 一 之 雌 握 筌 藏 領 良 彌 邃 矣 是 以 聖 靈 
X25n0488_001:0282a10	言道。緲追聲臭之無。覺德開宗。捫絕色空之寂。自有	言 道 緲 追 聲 臭 之 無 覺 德 開 宗 捫 絕 色 空 之 寂 自 有 
X25n0488_001:0282a11	入無。自無而入無。無猶之萬象生於太極。太極生於	入 無 自 無 而 入 無 無 猶 之 萬 象 生 於 太 極 太 極 生 於 
X25n0488_001:0282a12	無極。本末精粗。理跡相並。循模歸化。候亦隨之。在昔	無 極 本 末 精 粗 理 跡 相 並 循 模 歸 化 候 亦 隨 之 在 昔 
X25n0488_001:0282a13	先民闡之鑿矣。[(厂@((既旡)日+口))*頁]入無而不能出有。非脫頴之妙也。	先 民 闡 之 鑿 矣 [厂既旡日口頁] 入 無 而 不 能 出 有 非 脫 頴 之 妙 也 
X25n0488_001:0282a14	無極而不能立極。非凝獨之用也。故體無者。又貴徹	無 極 而 不 能 立 極 非 凝 獨 之 用 也 故 體 無 者 又 貴 徹 
X25n0488_001:0282a15	於無非無。而宗極者。又環通乎物物極。物物極則一	於 無 非 無 而 宗 極 者 又 環 通 乎 物 物 極 物 物 極 則 一 
X25n0488_001:0282a16	中非中。而隨時皆中。已發之和。即未發之中。體用一	中 非 中 而 隨 時 皆 中 已 發 之 和 即 未 發 之 中 體 用 一 
X25n0488_001:0282a17	貫矣。無非無則執空非空。而色相歸空。不生之相。即	貫 矣 無 非 無 則 執 空 非 空 而 色 相 歸 空 不 生 之 相 即 
X25n0488_001:0282a18	不滅之空。根塵無二矣。大道所由同源而淵脩亦遵	不 滅 之 空 根 塵 無 二 矣 大 道 所 由 同 源 而 淵 脩 亦 遵 
X25n0488_001:0282a19	共轍也。慨自淳風既。邈。埈氣彌氛。建標之立。替真於	共 轍 也 慨 自 淳 風 既 邈 埈 氣 彌 氛 建 標 之 立 替 真 於 
X25n0488_001:0282a20	岸分。逐影之馳。矜得於樊籬。梟智之儒。入室而摻戈。	岸 分 逐 影 之 馳 矜 得 於 樊 籬 梟 智 之 儒 入 室 而 摻 戈 
X25n0488_001:0282a21	流遁之夫。抱礐而衒玉。緣使真言滯於競辯。宗諦雜	流 遁 之 夫 抱 礐 而 衒 玉 緣 使 真 言 滯 於 競 辯 宗 諦 雜 
X25n0488_001:0282a22	於奇裘。是否[卯/貝]亂。名實乖僭。贋璞盈前。精華愈竭。不	於 奇 裘 是 否 [卯貝] 亂 名 實 乖 僭 贋 璞 盈 前 精 華 愈 竭 不 
X25n0488_001:0282a23	惟姬孔失其傳。而迦文亦罕其嫡。嗚呼以水救水。以	惟 姬 孔 失 其 傳 而 迦 文 亦 罕 其 嫡 嗚 呼 以 水 救 水 以 
X25n0488_001:0282a24	火救火。命之益多。疇能定乎。盖心無垢淨。猶水無清	火 救 火 命 之 益 多 疇 能 定 乎 盖 心 無 垢 淨 猶 水 無 清 
X25n0488_001:0282b01	濁。珠沉之則清。象入之則濁。清濁雖同一水。而不得	濁 珠 沉 之 則 清 象 入 之 則 濁 清 濁 雖 同 一 水 而 不 得 
X25n0488_001:0282b02	言水外無象無珠。則所以澄之擾之者。即心也。非心	言 水 外 無 象 無 珠 則 所 以 澄 之 擾 之 者 即 心 也 非 心 
