X62n1178_001:0228a06	東海若解	東 海 若 解 
X62n1178_001:0228a08	唐　柳　子厚　著	唐 柳 子 厚 著 
X62n1178_001:0228a09	清　釋　實賢　解	清 釋 實 賢 解 
X62n1178_001:0228a10	東海若者。昔有唐名儒柳子厚。愍學佛者知見不	東 海 若 者 昔 有 唐 名 儒 柳 子 厚 愍 學 佛 者 知 見 不 
X62n1178_001:0228a11	同。於淨土法門。信毀不一。其間利害。不啻天淵。欲	同 於 淨 土 法 門 信 毀 不 一 其 間 利 害 不 啻 天 淵 欲 
X62n1178_001:0228a12	令知所去取。以造乎心性之極致。故作此文也。第	令 知 所 去 取 以 造 乎 心 性 之 極 致 故 作 此 文 也 第 
X62n1178_001:0228a13	習儒者。既以佛理而置之弗究。學佛者。又以文字	習 儒 者 既 以 佛 理 而 置 之 弗 究 學 佛 者 又 以 文 字 
X62n1178_001:0228a14	而漫不經心。間有聰明之士。多闕信根。設具信根。	而 漫 不 經 心 間 有 聰 明 之 士 多 闕 信 根 設 具 信 根 
X62n1178_001:0228a15	復無智慧。致使深文奧義。韜晦于殘編斷簡中。莫	復 無 智 慧 致 使 深 文 奧 義 韜 晦 于 殘 編 斷 簡 中 莫 
X62n1178_001:0228a16	之通達。豈不惜哉。因申明其義。以為解釋。庶幾為	之 通 達 豈 不 惜 哉 因 申 明 其 義 以 為 解 釋 庶 幾 為 
X62n1178_001:0228a17	初機勸發之一助云。	初 機 勸 發 之 一 助 云 
X62n1178_001:0228a18	東海若陸遊登孟諸之阿。得二瓠焉。刳而振其犀以	東 海 若 陸 遊 登 孟 諸 之 阿 得 二 瓠 焉 刳 而 振 其 犀 以 
X62n1178_001:0228a19	嬉。取海水。雜糞壤蟯蚘而實之。臭不可當也。窒以密	嬉 取 海 水 雜 糞 壤 蟯 蚘 而 實 之 臭 不 可 當 也 窒 以 密 
X62n1178_001:0228a20	石。舉而投之海。逾時焉而過之曰。是故棄糞邪。	石 舉 而 投 之 海 逾 時 焉 而 過 之 曰 是 故 棄 糞 邪 
X62n1178_001:0228a21	東海若。海神名喻宏法大士。蓋海神主海。猶大士	東 海 若 海 神 名 喻 宏 法 大 士 蓋 海 神 主 海 猶 大 士 
X62n1178_001:0228a22	主法。故以此喻之也。陸遊者。謂離淨土海。到娑婆	主 法 故 以 此 喻 之 也 陸 遊 者 謂 離 淨 土 海 到 娑 婆 
X62n1178_001:0228a23	岸。猶海神離海而遊陸也。孟諸。地名。曲阜曰阿。高	岸 猶 海 神 離 海 而 遊 陸 也 孟 諸 地 名 曲 阜 曰 阿 高 
X62n1178_001:0228a24	下不平之處。以喻三界險道。謂自既出生死。復入	下 不 平 之 處 以 喻 三 界 險 道 謂 自 既 出 生 死 復 入 
X62n1178_001:0228b01	三界度苦眾生。故曰登孟諸之阿也。二瓠。喻信毀	三 界 度 苦 眾 生 故 曰 登 孟 諸 之 阿 也 二 瓠 喻 信 毀 
X62n1178_001:0228b02	二機。眾生五陰。名之為瓠。因緣會遇。故言得。刳而	二 機 眾 生 五 陰 名 之 為 瓠 因 緣 會 遇 故 言 得 刳 而 
X62n1178_001:0228b03	振其犀以嬉。謂大士遊戲神通。不取眾生相也。刳。	振 其 犀 以 嬉 謂 大 士 遊戲神通 不 取 眾 生 相 也 刳 
X62n1178_001:0228b04	空也。振。去也。犀。子也。言空去其子。以瓠[盧*瓜]為嬉。正	空 也 振 去 也 犀 子 也 言 空 去 其 子 以 瓠 [盧瓜] 為 嬉 正 
X62n1178_001:0228b05	喻離眾生相。以度生為遊戲也。取海水者。為說法	喻 離 眾 生 相 以 度 生 為 遊 戲 也 取 海 水 者 為 說 法 
X62n1178_001:0228b06	也。雜糞壤者。眾生聞法。智慧與無明雜也。糞壤。喻	也 雜 糞 壤 者 眾 生 聞 法 智 慧 與 無 明 雜 也 糞 壤 喻 
X62n1178_001:0228b07	煩惱。蟯蚘。喻生死。煩惱因果。不出五濁。生死種類。	煩 惱 蟯 蚘 喻 生 死 煩 惱 因 果 不 出 五 濁 生 死 種 類 
X62n1178_001:0228b08	不離十二。臭。猶苦也。生死煩惱。其苦難忍。故言臭	不 離 十 二 臭 猶 苦 也 生 死 煩 惱 其 苦 難 忍 故 言 臭 
X62n1178_001:0228b09	不可當。密石。喻根本無明。一念不了。故曰窒。投海。	不 可 當 密 石 喻 根本無明 一 念 不 了 故 曰 窒 投 海 
X62n1178_001:0228b10	喻入生死。眾生過去。雖曾聞法。種少善根。但以無	喻 入 生 死 眾 生 過 去 雖 曾 聞 法 種 少 善 根 但 以 無 
X62n1178_001:0228b11	明所覆。長在生死。不得解脫。縱遇知識勸導。其根	明 所 覆 長 在 生 死 不得解脫 縱 遇 知 識 勸 導 其 根 
X62n1178_001:0228b12	生熟不同。亦有發不發者。發則順教修行。不發則	生 熟 不 同 亦 有 發 不 發 者 發 則 順 教 修 行 不 發 則 
X62n1178_001:0228b13	違教執理。故取二瓠為喻也。然大士度生。如父母	違 教 執 理 故 取 二 瓠 為 喻 也 然 大 士 度 生 如 父 母 
X62n1178_001:0228b14	教子。不以孝子而偏教。不以逆子而置之。故雖不	教 子 不 以 孝 子 而 偏 教 不 以 逆 子 而 置 之 故 雖 不 
X62n1178_001:0228b15	信。亦為說法。又常伺察其機而開發之。逾時焉而	信 亦 為 說 法 又 常 伺 察 其 機 而 開 發 之 逾 時 焉 而 
X62n1178_001:0228b16	過之者。此伺機也。久經輪轉。故曰逾時。夙緣相植。	過 之 者 此 伺 機 也 久 經 輪 轉 故 曰 逾 時 夙 緣 相 植 
X62n1178_001:0228b17	故名曰過。曰是故棄糞邪。此開發之辭也。謂汝于	故 名 曰 過 曰 是 故 棄 糞 邪 此 開 發 之 辭 也 謂 汝 于 
X62n1178_001:0228b18	過去曾種善根。今猶遺棄生死邪。意欲令其發心	過 去 曾 種 善 根 今 猶 遺 棄 生 死 邪 意 欲 令 其 發 心 
X62n1178_001:0228b19	念佛。故問之也。	念 佛 故 問 之 也 
X62n1178_001:0228b20	其一徹聲而呼曰。我大海也。	其 一 徹 聲 而 呼 曰 我 大 海 也 
X62n1178_001:0228b21	此喻違教執理之人。徹聲而呼。即驚疑不信之狀。	此 喻 違 教 執 理 之 人 徹 聲 而 呼 即 驚 疑 不 信 之 狀 
X62n1178_001:0228b22	我大海也。即執理廢事之言。	我 大 海 也 即 執 理 廢 事 之 言 
X62n1178_001:0228b23	東海若呀然笑曰。怪矣。今夫大海。其東無東。其西無	東 海 若 呀 然 笑 曰 怪 矣 今 夫 大 海 其 東 無 東 其 西 無 
X62n1178_001:0228b24	西。其北無北。其南無南。旦則浴日而出之。夜則滔列	西 其 北 無 北 其 南 無 南 旦 則 浴 日 而 出 之 夜 則 滔 列 
X62n1178_001:0228c01	星。涵太陽揚陰火珠寶之光以為明。其塵霾之雜不	星 涵 太 陽 揚 陰 火 珠 寶 之 光 以 為 明 其 塵 霾 之 雜 不 
X62n1178_001:0228c02	處也。必汩之西澨。故其大也。深也。潔也。光明也。無我	處 也 必 汩 之 西 澨 故 其 大 也 深 也 潔 也 光 明 也 無 我 
X62n1178_001:0228c03	若者。	若 者 
X62n1178_001:0228c04	此喻大士為說佛真性海以顯真諦也。呀然。張口	此 喻 大 士 為 說 佛 真 性 海 以 顯 真 諦 也 呀 然 張 口 
X62n1178_001:0228c05	貌。怪矣。是責之也。今夫下。具示正理。夫性海無涯。	貌 怪 矣 是 責 之 也 今 夫 下 具 示 正 理 夫 性 海 無 涯 
X62n1178_001:0228c06	故無東西南北。性海光明。故外涵日月星辰。內具	故 無 東 西 南 北 性 海 光 明 故 外 涵 日 月 星 辰 內 具 
X62n1178_001:0228c07	眾寶。外涵是神通。內具是智慧。所謂萬德悉圓也。	眾 寶 外 涵 是 神 通 內 具 是 智 慧 所 謂 萬 德 悉 圓 也 
X62n1178_001:0228c08	又日喻應身。星月喻隨類化身。應身出世名旦。涅	又 日 喻 應 身 星 月 喻 隨 類 化 身 應 身 出 世 名 旦 涅 
X62n1178_001:0228c09	槃名夜。應跡雖有生滅。法體常自湛然。眾生機熟。	槃 名 夜 應 跡 雖 有 生 滅 法 體 常 自 湛 然 眾 生 機 熟 
X62n1178_001:0228c10	則現佛身而度脫之。緣盡入滅。則又現隨類化身	則 現 佛 身 而 度 脫 之 緣 盡 入 滅 則 又 現 隨 類 化 身 
X62n1178_001:0228c11	而引導之。雖種種示現。總皆不出性海之外。是外	而 引 導 之 雖 種 種 示 現 總 皆 不 出 性 海 之 外 是 外 
X62n1178_001:0228c12	涵也。陰火。喻神通。珠寶。喻定慧。三皆全性發生。是	涵 也 陰 火 喻 神 通 珠 寶 喻 定 慧 三 皆 全 性 發 生 是 
X62n1178_001:0228c13	內具也。性海清淨。故塵霾不處。塵霾。指五住煩惱。	內 具 也 性 海 清 淨 故 塵 霾 不 處 塵 霾 指 五 住 煩 惱 
X62n1178_001:0228c14	所謂諸惡都盡也。太陰是月。大海之中。火光常起。	所 謂 諸 惡 都 盡 也 太 陰 是 月 大 海 之 中 火 光 常 起 
X62n1178_001:0228c15	名為陰火。澨。水涯也。謂大海不與塵霾同處。必漂	名 為 陰 火 澨 水 涯 也 謂 大 海 不 與 塵 霾 同 處 必 漂 
X62n1178_001:0228c16	之涯岸。猶佛智慧海。不與煩惱同住。必斷之令盡	之 涯 岸 猶 佛 智 慧 海 不 與 煩 惱 同 住 必 斷 之 令 盡 
X62n1178_001:0228c17	而後已耳。深大光潔四字。總結上文。無四方是深	而 後 已 耳 深 大 光 潔 四 字 總 結 上 文 無 四 方 是 深 
X62n1178_001:0228c18	天。外涵內具是光。無塵是潔。無我若者。是讚辭。謂	天 外 涵 內 具 是 光 無 塵 是 潔 無 我 若 者 是 讚 辭 謂 
