T85n2776_001:0438a03	釋肇序	釋 肇 序 
T85n2776_001:0438a05	本深也。啟者開也。如世開深非王印不□	本 深 也 啟 者 開 也 如 世 開 深 非 王 印 不 
T85n2776_001:0438a06	□□□□□□□□□□□□喻也。故法華	 喻 也 故 法 華 
T85n2776_001:0438a07	經云。是法華經藏深固幽遠無人能到。□□	經 云 是 法 華 經 藏 深 固 幽 遠 無 人 能 到 
T85n2776_001:0438a08	□□□□□言詞相寂滅。此經云。法相如是	 言 詞 相 寂 滅 此 經 云 法 相 如 是 
T85n2776_001:0438a09	豈可說等。此則但可智悟。難□□□□□	豈 可 說 等 此 則 但 可 智 悟 難 
T85n2776_001:0438a10	聖應不同者。應迹殊也。眾生感異。法佛應殊。	聖 應 不 同 者 應 迹 殊 也 眾 生 感 異 法 佛 應 殊 
T85n2776_001:0438a11	佛身既隨感□□□□□遂緣千異故曰不	佛 身 既 隨 感 遂 緣 千 異 故 曰 不 
T85n2776_001:0438a12	同也。總標本迹不思議也　非本無以垂迹	同 也 總 標 本 迹 不 思 議 也 非 本 無 以 垂 迹 
T85n2776_001:0438a13	非迹無以顯本者。此則聖人若不住不二之	非 迹 無 以 顯 本 者 此 則 聖 人 若 不 住 不 二 之 
T85n2776_001:0438a14	宗本。無以垂千異之殊迹。群生不親千異之	宗 本 無 以 垂 千 異 之 殊 迹 群 生 不 親 千 異 之 
T85n2776_001:0438a15	殊迹。無以悟不二之宗本。故肇師云。因未以	殊 迹 無 以 悟 不 二 之 宗 本 故 肇 師 云 因 未 以 
T85n2776_001:0438a16	示本。託麁以表微。即其事也。天台辨本迹	示 本 託 麁 以 表 微 即 其 事 也 天 台 辨 本 迹 
T85n2776_001:0438a17	略有五重。一真俗。二理教。三理行。四體用。	略 有 五 重 一 真 俗 二 理 教 三 理 行 四 體 用 
T85n2776_001:0438a18	五權實。皆為因本垂迹尋迹得本　本迹雖	五 權 實 皆 為 因 本 垂 迹 尋 迹 得 本 本 迹 雖 
T85n2776_001:0438a19	殊不思議一也。以本迹相由故合明耳。故詩	殊 不 思 議 一 也 以 本 迹 相 由 故 合 明 耳 故 詩 
T85n2776_001:0438a20	云。南有樛木葛虆縲之。下盤曰樛。上盤曰句。	云 南 有 樛 木 葛 虆 縲 之 下 盤 曰 樛 上 盤 曰 句 
T85n2776_001:0438a21	若吹高松擢質於雲霄之上。葛虆延蔓於荊	若 吹 高 松 擢 質 於 雲 霄 之 上 葛 虆 延 蔓 於 荊 
