T45n1857_001:0143b14	寶藏論	寶 藏 論 
T45n1857_001:0143b16	長安沙門釋僧肇著	長 安 沙 門 釋 僧 肇 著 
T45n1857_001:0143b17	廣照空有品第一	廣 照 空 有 品 第 一 
T45n1857_001:0143b18	空可空非真空。色可色非真色。真色無形。真	空 可 空 非 真 空 色 可 色 非 真 色 真 色 無 形 真 
T45n1857_001:0143b19	空無名。無名名之父。無色色之母。為萬物之	空 無 名 無 名 名 之 父 無 色 色 之 母 為 萬 物 之 
T45n1857_001:0143b20	根源。作天地之太祖。上施玄象。下列冥庭。元	根 源 作 天 地 之 太 祖 上 施 玄 象 下 列 冥 庭 元 
T45n1857_001:0143b21	氣含於大象。大象隱於無形。為識物之靈。靈	氣 含 於 大 象 大 象 隱 於 無 形 為 識 物 之 靈 靈 
T45n1857_001:0143b22	中有神。神中有身。無為變化。各稟乎自然。微	中 有 神 神 中 有 身 無 為 變 化 各 稟 乎 自 然 微 
T45n1857_001:0143b23	有事用。漸有形名。形興未質。名起未名。形各	有 事 用 漸 有 形 名 形 興 未 質 名 起 未 名 形 各 
T45n1857_001:0143b24	既兆。遊氣亂清。寂兮寥兮。寬兮廓兮。分兮別	既 兆 遊 氣 亂 清 寂 兮 寥 兮 寬 兮 廓 兮 分 兮 別 
T45n1857_001:0143b25	兮。上則有君。下則有臣。父子親其居。尊卑異	兮 上 則 有 君 下 則 有 臣 父 子 親 其 居 尊 卑 異 
T45n1857_001:0143b26	其位。起教敘其因。然後國分其界。人部其	其 位 起 教 敘 其 因 然 後 國 分 其 界 人 部 其 
T45n1857_001:0143b27	家。各守其位。禮義興行。有善可稱。有惡可	家 各 守 其 位 禮 義 興 行 有 善 可 稱 有 惡 可 
T45n1857_001:0143b28	名。善人所重。惡人所輕。於是即是非而競生。	名 善 人 所 重 惡 人 所 輕 於 是 即 是 非 而 競 生 
T45n1857_001:0143b29	其智有解。其愚有縛。上施煩形。下無寂樂。失	其 智 有 解 其 愚 有 縛 上 施 煩 形 下 無 寂 樂 失 
T45n1857_001:0143c01	自然之志。拘物外之約。迷無為之為。動有作	自 然 之 志 拘 物 外 之 約 迷 無 為 之 為 動 有 作 
T45n1857_001:0143c02	之作。其名教既行。使上下之應諾爾乃聲立	之 作 其 名 教 既 行 使 上 下 之 應 諾 爾 乃 聲 立 
T45n1857_001:0143c03	五音。色立五色。行立五行。德立五德。差之毫	五 音 色 立 五 色 行 立 五 行 德 立 五 德 差 之 毫 
T45n1857_001:0143c04	釐。過犯山嶽。律禁未然。令防未欲。無放蕩之	釐 過 犯 山 嶽 律 禁 未 然 令 防 未 欲 無 放 蕩 之 
T45n1857_001:0143c05	寬。有多方之局。所以然者。為人而不知足。斯	寬 有 多 方 之 局 所 以 然 者 為 人 而 不 知 足 斯 
T45n1857_001:0143c06	為濁亂之時。有弟有師。師有所訓。弟有所依。	為 濁 亂 之 時 有 弟 有 師 師 有 所 訓 弟 有 所 依 
T45n1857_001:0143c07	天地寥落。宇宙寬廓。中有煙塵。清虛翳膜。巍	天 地 寥 落 宇 宙 寬 廓 中 有 煙 塵 清 虛 翳 膜 巍 
T45n1857_001:0143c08	巍之形。內神外靈。妄有想慮。真一闇冥。其妄	巍 之 形 內 神 外 靈 妄 有 想 慮 真 一 闇 冥 其 妄 
T45n1857_001:0143c09	有識。其真有惑。非取而取。非得而得。是故理	有 識 其 真 有 惑 非 取 而 取 非 得 而 得 是 故 理 
T45n1857_001:0143c10	則無窮。物則無極。動兮亂兮。內發三毒。視兮	則 無 窮 物 則 無 極 動 兮 亂 兮 內 發 三 毒 視 兮 
T45n1857_001:0143c11	聽兮。外受五欲。其心慌慌。其身忙忙。觸物	聽 兮 外 受 五 欲 其 心 慌 慌 其 身 忙 忙 觸 物 
T45n1857_001:0143c12	動作。如火煌煌。故聖人立正教。置真謨。使無	動 作 如 火 煌 煌 故 聖 人 立 正 教 置 真 謨 使 無 
T45n1857_001:0143c13	知之侶。上下相依。修無為。息有餘。漸至乎如	知 之 侶 上 下 相 依 修 無 為 息 有 餘 漸 至 乎 如 
T45n1857_001:0143c14	如。如如之理。同本真軌。不可以修證。不可以	如 如 如 之 理 同 本 真 軌 不 可 以 修 證 不 可 以 
T45n1857_001:0143c15	希冀。惟寂滅性耳。夫真也者。無洲無渚。無伴	希 冀 惟 寂 滅 性 耳 夫 真 也 者 無 洲 無 渚 無 伴 
T45n1857_001:0143c16	無侶。無涯無際。無處無所。能為萬物之祖宗。	無 侶 無 涯 無 際 無 處 無 所 能 為 萬 物 之 祖 宗 
T45n1857_001:0143c17	非目視。非耳聞。非形色。非幻魂。能為三界之	非 目 視 非 耳 聞 非 形 色 非 幻 魂 能 為 三 界 之 
T45n1857_001:0143c18	根門。其正者先離形。次泯情。不依物。不拘	根 門 其 正 者 先 離 形 次 泯 情 不 依 物 不 拘 
T45n1857_001:0143c19	生。可以合大道通神明。有用曰神。有形曰身。	生 可 以 合 大 道 通 神 明 有 用 曰 神 有 形 曰 身 
T45n1857_001:0143c20	無為曰道。無相曰真。應物而號。隨物而造。常	無 為 曰 道 無 相 曰 真 應 物 而 號 隨 物 而 造 常 
T45n1857_001:0143c21	住常存。不生不老。理合萬德。事出千巧。事雖	住 常 存 不 生 不 老 理 合 萬 德 事 出 千 巧 事 雖 
T45n1857_001:0143c22	無窮。理終一道。無有證者。無有得者。然不證	無 窮 理 終 一 道 無 有 證 者 無 有 得 者 然 不 證 
T45n1857_001:0143c23	不得。恒處心惑。其心不真。惑亂餘人。恍然	不 得 恒 處 心 惑 其 心 不 真 惑 亂 餘 人 恍 然 
T45n1857_001:0143c24	惚然。如有魍魎。似有思想。究兮推兮。了無	惚 然 如 有 魍 魎 似 有 思 想 究 兮 推 兮 了 無 
T45n1857_001:0143c25	指掌。如空忽雲。如鏡忽塵。彼此緣起。而以妄	指 掌 如 空 忽 雲 如 鏡 忽 塵 彼 此 緣 起 而 以 妄 
T45n1857_001:0143c26	存。有妄曰愚。無妄曰真。真氷釋水。妄水結	存 有 妄 曰 愚 無 妄 曰 真 真 氷 釋 水 妄 水 結 
T45n1857_001:0143c27	氷。氷水之二。其體不異。迷妄曰愚。惺真曰	氷 氷 水 之 二 其 體 不 異 迷 妄 曰 愚 惺 真 曰 
T45n1857_001:0143c28	智。其水也冬不可釋。其水也春不可結。故愚	智 其 水 也 冬 不 可 釋 其 水 也 春 不 可 結 故 愚 
T45n1857_001:0143c29	不可即改。智不可即待。漸釋漸消。以通乎大	不 可 即 改 智 不 可 即 待 漸 釋 漸 消 以 通 乎 大 
T45n1857_001:0144a01	海。斯可謂自然之道。運用玄玄。非念慮所測。	海 斯 可 謂 自 然 之 道 運 用 玄 玄 非 念 慮 所 測 
T45n1857_001:0144a02	當可以綿綿。不可以勤勤。夫進道之由。中有	當 可 以 綿 綿 不 可 以 勤 勤 夫 進 道 之 由 中 有 
T45n1857_001:0144a03	萬途。困魚止瀝。病鳥棲蘆。其二者不識於大	萬 途 困 魚 止 瀝 病 鳥 棲 蘆 其 二 者 不 識 於 大 
T45n1857_001:0144a04	海。不識於叢林。人趨乎小道其義亦然。此	海 不 識 於 叢 林 人 趨 乎 小 道 其 義 亦 然 此 
T45n1857_001:0144a05	可謂久功中止。不達如理。捨大求小。半路依	可 謂 久 功 中 止 不 達 如 理 捨 大 求 小 半 路 依 
T45n1857_001:0144a06	止。以小安而自安。不及大安而安矣。其大也	止 以 小 安 而 自 安 不 及 大 安 而 安 矣 其 大 也 
T45n1857_001:0144a07	愰蕩無涯。含識一體。萬物同懷。應則千變。化	愰 蕩 無 涯 含 識 一 體 萬 物 同 懷 應 則 千 變 化 
