X58n1020_001:0589c06	斥謬	斥 謬 
X58n1020_001:0589c08	近人不師先覺多尚胸臆聾瞽後生其過非淺余	近 人 不 師 先 覺 多 尚 胸 臆 聾 瞽 後 生 其 過 非 淺 余 
X58n1020_001:0589c09	丁此時不容緘默遂書條件以示來學有類此者	丁 此 時 不 容 緘 默 遂 書 條 件 以 示 來 學 有 類 此 者 
X58n1020_001:0589c10	僉可斥之則使。	僉 可 斥 之 則 使 
X58n1020_001:0589c11	五祖之道恢如也。玉岑頤菴　善喜　書	五 祖 之 道 恢 如 也 玉 岑 頤 菴 善 喜 書 
X58n1020_001:0589c12	近代有人說圓覺經乃同華嚴別教一乘以圭山第	近 代 有 人 說 圓 覺 經 乃 同 華 嚴 別 教 一 乘 以 圭 山 第 
X58n1020_001:0589c13	十鈔云序及玄談已明言此是別教一乘非法華通	十 鈔 云 序 及 玄 談 已 明 言 此 是 別 教 一 乘 非 法 華 通 
X58n1020_001:0589c14	教一乘若圓覺即別教一乘者華嚴何得謂逈異餘	教 一 乘 若 圓 覺 即 別 教 一 乘 者 華 嚴 何 得 謂 逈 異 餘 
X58n1020_001:0589c15	宗圓覺大疏第一云除無量乘中一一圓融之義及	宗 圓 覺 大 疏 第 一 云 除 無 量 乘 中 一 一 圓 融 之 義 及 
X58n1020_001:0589c16	一乘中主伴無盡之義餘皆攝也既不攝圓融主伴	一 乘 中 主 伴 無 盡 之 義 餘 皆 攝 也 既 不 攝 圓 融 主 伴 
X58n1020_001:0589c17	之義何云別教又云諸佛依正自在塵沙大用及一	之 義 何 云 別 教 又 云 諸 佛 依 正 自 在 塵 沙 大 用 及 一 
X58n1020_001:0589c18	切諸法法爾互相即入重重融攝等義此經不說彼	切 諸 法 法 爾 互 相 即 入 重 重 融 攝 等 義 此 經 不 說 彼 
X58n1020_001:0589c19	既不說何云別教又況圭山第三鈔自云此是四乘	既 不 說 何 云 別 教 又 況 圭 山 第 三 鈔 自 云 此 是 四 乘 
X58n1020_001:0589c20	中之一乘約權實相對而料揀非通相但一之一乘	中 之 一 乘 約 權 實 相 對 而 料 揀 非 通 相 但 一 之 一 乘 
X58n1020_001:0589c21	此三外之一也華嚴普機豈見有三祖云一切三乘	此 三 外 之 一 也 華 嚴 普 機 豈 見 有 三 祖 云 一 切 三 乘 
X58n1020_001:0589c22	等本來悉是彼一乘法不見有三故問何故分相門	等 本 來 悉 是 彼 一 乘 法 不 見 有 三 故 問 何 故 分 相 門 
X58n1020_001:0589c23	云別教一乘別於三乘答此約本來彰異故舉三乘	云 別 教 一 乘 別 於 三 乘 答 此 約 本 來 彰 異 故 舉 三 乘 
X58n1020_001:0589c24	對彼決之顯華嚴與餘教異也祖云別教一乘所明	對 彼 決 之 顯 華 嚴 與 餘 教 異 也 祖 云 別 教 一 乘 所 明 
X58n1020_001:0590a01	行位因果等相與彼三乘教施設分齊全別不同非	行 位 因 果 等 相 與 彼 三 乘 教 施 設 分 齊 全 別 不 同 非 
X58n1020_001:0590a02	別機所見耳佛祖皆以圓覺為頓教一乘又況大鈔	別 機 所 見 耳 佛 祖 皆 以 圓 覺 為 頓 教 一 乘 又 況 大 鈔 
X58n1020_001:0590a03	自云明言此是頓教不屬三時五時之教及設難釋	自 云 明 言 此 是 頓 教 不 屬 三 時 五 時 之 教 及 設 難 釋 
X58n1020_001:0590a04	義皆約頓教何恃固執為別教耶彼云普眼章約法	義 皆 約 頓 教 何 恃 固 執 為 別 教 耶 彼 云 普 眼 章 約 法 
X58n1020_001:0590a05	界三觀說豈非圓覺經耶答大疏第一云謂一軸之	界 三 觀 說 豈 非 圓 覺 經 耶 答 大 疏 第 一 云 謂 一 軸 之 
X58n1020_001:0590a06	文二十八紙義具終教頓教此二正是所宗之旨空	文 二 十 八 紙 義 具 終 教 頓 教 此 二 正 是 所 宗 之 旨 空 
X58n1020_001:0590a07	宗相宗亦該小乘兼含圓別大鈔第三云該及含者	宗 相 宗 亦 該 小 乘 兼 含 圓 別 大 鈔 第 三 云 該 及 含 者 
X58n1020_001:0590a08	雖有小乘及圓教之義而非其宗故文義甚明如何	雖 有 小 乘 及 圓 教 之 義 而 非 其 宗 故 文 義 甚 明 如 何 
X58n1020_001:0590a09	却云圓覺是別教一乘此言大謬。	却 云 圓 覺 是 別 教 一 乘 此 言 大 謬 
X58n1020_001:0590a10	又云圓覺亦談性起者行願鈔第一云性起門即別	又 云 圓 覺 亦 談 性 起 者 行 願 鈔 第 一 云 性 起 門 即 別 
X58n1020_001:0590a11	教義逈異諸教緣起門即同教義普攝諸教又云云	教 義 逈 異 諸 教 緣 起 門 即 同 教 義 普 攝 諸 教 又 云 云 
X58n1020_001:0590a12	全揀諸宗即別教性起義全収諸宗即同教緣起義	全 揀 諸 宗 即 別 教 性 起 義 全 収 諸 宗 即 同 教 緣 起 義 
X58n1020_001:0590a13	今圓覺亦談性起何以逈異餘宗耶問圭山敘萬法	今 圓 覺 亦 談 性 起 何 以 逈 異 餘 宗 耶 問 圭 山 敘 萬 法 
X58n1020_001:0590a14	虗偽已下直至性起等豈非圓覺談性起耶答大鈔	虗 偽 已 下 直 至 性 起 等 豈 非 圓 覺 談 性 起 耶 答 大 鈔 
X58n1020_001:0590a15	第一配攝諸教後三句但是一心初終教心寂而知	第 一 配 攝 諸 教 後 三 句 但是一心 初 終 教 心 寂 而 知 
X58n1020_001:0590a16	次頓教目之圓覺最後一句結成經宗義當圓教以	次 頓 教 目 之 圓 覺 最 後 一 句 結 成 經 宗 義 當 圓 教 以 
X58n1020_001:0590a17	此經分同華嚴故不的配則知圭山經旨教眼不亂	此 經 分 同 華 嚴 故 不 的 配 則 知 圭 山 經 旨 教 眼 不 亂 
X58n1020_001:0590a18	矣。又曰頓教不談性起圓覺經乃談性起此亦非也	矣 又 曰 頓 教 不 談 性 起 圓 覺 經 乃 談 性 起 此 亦 非 也 
X58n1020_001:0590a19	儻說性起自屬華嚴非圓覺所談也圓覺疏云染淨	儻 說 性 起 自 屬 華 嚴 非 圓 覺 所 談 也 圓 覺 疏 云 染 淨 
X58n1020_001:0590a20	俱融合法界性起唯性起故無斷盡如華嚴說若圓	俱 融 合 法 界 性 起 唯 性 起 故 無 斷 盡 如 華 嚴 說 若 圓 
X58n1020_001:0590a21	覺所談豈云如華嚴說耶如何便謂圓覺談性起耶	覺 所 談 豈 云 如 華 嚴 說 耶 如 何 便 謂 圓 覺 談 性 起 耶 
X58n1020_001:0590a22	豈不礙教門宗旨乎。	豈 不 礙 教 門 宗 旨 乎 
X58n1020_001:0590a23	又云圓覺不屬法華破會引大鈔第二云圓覺等四	又 云 圓 覺 不 屬 法 華 破 會 引 大 鈔 第 二 云 圓 覺 等 四 
X58n1020_001:0590a24	十餘部文中皆少說事緣無三車除糞化城由緣可	十 餘 部 文 中 皆 少 說 事 緣 無 三 車 除 糞 化 城 由 緣 可 
X58n1020_001:0590b01	會也執此之說例使孔目教章皆不破會又云教章	會 也 執 此 之 說 例 使 孔 目 教 章 皆 不 破 會 又 云 教 章 
X58n1020_001:0590b02	所詮差別中但引楞伽維摩般若等經未甞引圓覺	所 詮 差 別 中 但 引 楞 伽 維 摩 般 若 等 經 未 甞 引 圓 覺 
X58n1020_001:0590b03	等故知不會又曰法華破會不盡此言悞矣若謂圓	等 故 知 不 會 又 曰 法 華 破 會 不 盡 此 言 悞 矣 若 謂 圓 
X58n1020_001:0590b04	覺在圭山大小疏鈔故無破會之文如何例將孔目	覺 在 圭 山 大 小 疏 鈔 故 無 破 會 之 文 如 何 例 將 孔 目 
X58n1020_001:0590b05	教章皆不破會若云教章孔目即無所引圓覺經等	教 章 皆 不 破 會 若 云 教 章 孔 目 即 無 所 引 圓 覺 經 等 
X58n1020_001:0590b06	便不破會者除今章中所引外餘一切經應不會耶	便 不 破 會 者 除 今 章 中 所 引 外 餘 一 切 經 應 不 會 耶 
X58n1020_001:0590b07	汝謂孔目教章不引圓覺等經者意旨如何則知俱	汝 謂 孔 目 教 章 不 引 圓 覺 等 經 者 意 旨 如 何 則 知 俱 
X58n1020_001:0590b08	不通曉又曰法華但會三乘今圓覺乃屬一乘如何	不 通 曉 又 曰 法 華 但 會 三 乘 今 圓 覺 乃 屬 一 乘 如 何 
X58n1020_001:0590b09	破會若謂圓覺是一乘終不以一乘破會一乘決無	破 會 若 謂 圓 覺 是 一 乘 終 不 以 一 乘 破 會 一 乘 決 無 
X58n1020_001:0590b10	此理若破會者當如清涼彰今異昔科中謂昔日雖	此 理 若 破 會 者 當 如 清 涼 彰 今 異 昔 科 中 謂 昔 日 雖 
X58n1020_001:0590b11	有大乘亦說如來藏性涅槃法身真常之理未曾顯	有 大 乘 亦 說 如 來 藏 性 涅 槃 法 身 真 常 之 理 未 曾 顯 
X58n1020_001:0590b12	說一切眾生皆悉具有如來知見則一乘三乘昔權	說 一 切 眾 生 皆 悉 具 有 如 來 知 見 則 一 乘 三 乘 昔 權 
