X32n0618_001:0298c04	 大成科序	 大 成 科 序 
X32n0618_001:0298c06	法華大成。為時宗尚。凡幼進初學莫不醉心。於中即	法 華 大 成 為 時 宗 尚 凡 幼 進 初 學 莫 不 醉 心 於 中 即 
X32n0618_001:0298c07	耆德說者。咸皆遵循繩墨。為其盡諸佛之理源。集眾	耆 德 說 者 咸 皆 遵 循 繩 墨 為 其 盡 諸 佛 之 理 源 集 眾 
X32n0618_001:0298c08	家之語的也。斯疏成始半翁法師。其科目皆井井有	家 之 語 的 也 斯 疏 成 始 半 翁 法 師 其 科 目 皆 井 井 有 
X32n0618_001:0298c09	理。但未另冊指掌。於耆德則有翻簡之煩。初學亦不	理 但 未 另 冊 指 掌 於 耆 德 則 有 翻 簡 之 煩 初 學 亦 不 
X32n0618_001:0298c10	無分岐之失。吾元亮兄。憂及於此。故於聽講之暇。拮	無 分 岐 之 失 吾 元 亮 兄 憂 及 於 此 故 於 聽 講 之 暇 拮 
X32n0618_001:0298c11	据成冊。使夫學者說者。視如指掌。庶幾可免前等之	据 成 冊 使 夫 學 者 說 者 視 如 指 掌 庶 幾 可 免 前 等 之 
X32n0618_001:0298c12	煩失也。繕完。命余為序。余揣不文。何敢綴言。略敘其	煩 失 也 繕 完 命 余 為 序 余 揣 不 文 何 敢 綴 言 略 敘 其 
X32n0618_001:0298c13	利幼進便耆德。非獨為大成之前星。抑亦為半翁之	利 幼 進 便 耆 德 非 獨 為 大 成 之 前 星 抑 亦 為 半 翁 之 
X32n0618_001:0298c14	功臣歟。	功 臣 歟 
X32n0618_001:0298c15	時	時 
X32n0618_001:0298c16	康熈歲在丙戌菊月九日	康 熈 歲 在 丙 戌 菊 月 九 日 
X32n0618_001:0298c17	里弟惟鉉拜撰	里 弟 惟 鉉 拜 撰 
X32n0618_001:0299a02	法華經大成科	法 華 經 大 成 科 
X32n0618_001:0299a03	晉寧廣濟後學　際慶　排錄	晉 寧 廣 濟 後 學 際 慶 排 錄 
X32n0618_001:0299a05	法華大成弘傳序科文	法 華 大 成 弘 傳 序 科 文 
X32n0618_001:0299a07	初序題(弘傳)	初 序 題 弘 傳 
X32n0618_001:0299a08	二人題(終南)	二 人 題 終 南 
X32n0618_001:0299a09	三序文(五)	三 序 文 五 
X32n0618_001:0299a10	初牒經標本(妙法)	初 牒 經 標 本 妙 法 
X32n0618_001:0299a11	二序經緣起(三)	二 序 經 緣 起 三 
X32n0618_001:0299a12	初序兩土出處(龜結)	初 序 兩 土 出 處 龜 結 
X32n0618_001:0299a13	二序三朝翻譯(三)	二 序 三 朝 翻 譯 三 
X32n0618_001:0299a14	初西晉譯(四)	初 西 晉 譯 四 
X32n0618_001:0299a15	初譯經時(西晉)	初 譯 經 時 西 晉 
X32n0618_001:0299a16	二譯經處(長安)	二 譯 經 處 長 安 
X32n0618_001:0299a17	三譯經主(墩煌)	三 譯 經 主 墩 煌 
X32n0618_001:0299a18	四初譯經名(初翻)	四 初 譯 經 名 初 翻 
X32n0618_001:0299a19	二東晉譯(二)	二 東 晉 譯 二 
X32n0618_001:0299a20	初譯經時(東晉)	初 譯 經 時 東 晉 
X32n0618_001:0299a21	二譯經主(龜茲)	二 譯 經 主 龜 茲 
X32n0618_001:0299a22	三二譯經名(次翻)	三 二 譯 經 名 次 翻 
X32n0618_001:0299a23	三隋朝譯(四)	三 隋 朝 譯 四 
X32n0618_001:0299a24	初譯經時(隋氏)	初 譯 經 時 隋 氏 
X32n0618_001:0299a25	二譯經處(大興)	二 譯 經 處 大 興 
X32n0618_001:0299a26	三譯經主(北天)	三 譯 經 主 北 天 
X32n0618_001:0299a27	四三譯經名(後所)	四 三 譯 經 名 後 所 
X32n0618_001:0299a28	三明獨宗奏譯(三經)	三 明 獨 宗 奏 譯 三 經 
X32n0618_001:0299a29	三序經詮旨(二)	三 序 經 詮 旨 二 
X32n0618_001:0299a30	初泛序一化始終以明機教差別(二)	初 泛 序 一 化 始 終 以 明 機 教 差 別 二 
X32n0618_001:0299a31	初序義(夫以)	初 序 義 夫 以 
X32n0618_001:0299a32	二釋疑(是知)	二 釋 疑 是 知 
X32n0618_001:0299a33	二的序本經詮旨以顯權實正理(二)	二 的 序 本 經 詮 旨 以 顯 權 實 正 理 二 
X32n0618_001:0299a34	初略序三周開顯(所以)	初 略 序 三 周 開 顯 所 以 
X32n0618_001:0299a35	二總結全經幽深(詞義)	二 總 結 全 經 幽 深 詞 義 
X32n0618_001:0299a36	四讚較祈願(二)	四 讚 較 祈 願 二 
X32n0618_001:0299a37	初讚較明三寶殊勝(三)	初 讚 較 明 三 寶 殊 勝 三 
X32n0618_001:0299a38	初讚佛慈悲(自非)	初 讚 佛 慈 悲 自 非 
X32n0618_001:0299a39	二讚法較勝(自漢)	二 讚 法 較 勝 自 漢 
X32n0618_001:0299a40	三讚機因深(將非)	三 讚 機 因 深 將 非 
X32n0618_001:0299a41	二祈願申作序之意(輙於)	二 祈 願 申 作 序 之 意 輙 於 
X32n0618_001:0299a42	五結歸序題(弘讚)	五 結 歸 序 題 弘 讚 
X32n0618_001:0300a01	法華大成卷一科文	法 華 大 成 卷 一 科 文 
X32n0618_001:0300a03	序品	序 品 
X32n0618_001:0300a05	初經題(妙法)	初 經 題 妙 法 
X32n0618_001:0300a06	二人題(姚秦)	二 人 題 姚 秦 
X32n0618_001:0300a07	三經文(三)	三 經 文 三 
X32n0618_001:0300a08	初序分(二)	初 序 分 二 
X32n0618_001:0300a09	初通序(三)	初 通 序 三 
