X26n0575_001:0965c04	略移	略 移 
X26n0575_001:0965c05	移者乃權宜捷要。催行拶步。快登彼岸也。	移 者 乃 權 宜 捷 要 催 行 拶 步 快 登 彼 岸 也 
X26n0575_001:0965c06	佛生西域。光明普照。傳留心經一本。徧於一方。人皆	佛 生 西 域 光明普照 傳 留 心 經 一 本 徧 於 一 方 人 皆 
X26n0575_001:0965c07	誦念。不知裏義。所有大顛無垢二祖註解及前後註	誦 念 不 知 裏 義 所 有 大 顛 無 垢 二 祖 註 解 及 前 後 註 
X26n0575_001:0965c08	者尤多。幸而大明正統年間。吾祖出現於世。顯化功	者 尤 多 幸 而 大 明 正 統 年 間 吾 祖 出 現 於 世 顯 化 功 
X26n0575_001:0965c09	德。檢教此經。都得明心。是以門人姜公重請諸佛祖。	德 檢 教 此 經 都 得 明 心 是 以 門 人 姜 公 重 請 諸 佛 祖 
X26n0575_001:0965c10	續固餘言開分之說。替佛祖弘教。施行諸方便覽。眾	續 固 餘 言 開 分 之 說 替 佛 祖 弘 教 施 行 諸 方 便 覽 眾 
X26n0575_001:0965c11	成勝事。又表金陵遇經道人程情授之辨。固當應眾	成 勝 事 又 表 金 陵 遇 經 道 人 程 情 授 之 辨 固 當 應 眾 
X26n0575_001:0965c12	知間。少板無印。缺於慈念。所以化資重刊書帙。印濟	知 間 少 板 無 印 缺 於 慈 念 所 以 化 資 重 刊 書 帙 印 濟 
X26n0575_001:0965c13	流通。	流 通 
X26n0575_001:0965c14	　定語通無極　　是人正可入	 定 語 通 無 極 是 人 正 可 入 
X26n0575_001:0965c15	　識得自在理　　不用些毫力	 識 得 自 在 理 不 用 些 毫 力 
X26n0575_001:0965c22	　一卷心經一點真　　點真演出許多經	 一 卷 心 經 一 點 真 點 真 演 出 許 多 經 
X26n0575_001:0965c23	　若展此真充法界　　千經萬典盡分明	 若 展 此 真 充 法 界 千 經 萬 典 盡 分 明 
X26n0575_001:0965c24	　未曾舉念事方圓　　聖卷無邊隻眼藏	 未 曾 舉 念 事 方 圓 聖 卷 無 邊 隻 眼 藏 
X26n0575_001:0966a01	　明心見性真實理　　通宗顯教法中王	 明 心 見 性 真 實 理 通 宗 顯 教 法 中 王 
X26n0575_001:0966a02	　一點真元空不空　　虗靈清淨現圓通	 一 點 真 元 空 不 空 虗 靈 清 淨 現 圓 通 
X26n0575_001:0966a03	　川山透海無窮測　　踏破玄崖處處春	 川 山 透 海 無 窮 測 踏 破 玄 崖 處 處 春 
X26n0575_001:0966a04	　看經切要急通宗　　宗若通時教亦通	 看 經 切 要 急 通 宗 宗 若 通 時 教 亦 通 
X26n0575_001:0966a05	　宗教若還通徹了　　吾心包褁太虗空	 宗 教 若 還 通 徹 了 吾 心 包 褁 太 虗 空 
X26n0575_001:0966a06	摩訶般若波羅蜜多心經	摩訶般若波羅蜜 多 心 經 
X26n0575_001:0966a07	觀自在菩薩。行深般若波羅蜜多時。照見五蘊皆空。	觀 自 在 菩 薩 行 深 般 若 波羅蜜多 時 照 見 五 蘊 皆 空 
X26n0575_001:0966a08	度一切苦厄。舍利子。色不異空。空不異色。色即是空。	度 一 切 苦 厄 舍 利 子 色不異空 空不異色 色 即 是 空 
X26n0575_001:0966a09	空即是色。受想行識。亦復如是。舍利子。是諸法空相。	空 即 是 色 受 想 行 識 亦復如是 舍 利 子 是 諸 法 空 相 
X26n0575_001:0966a10	不生不滅。不垢不淨。不增不減。是故空中。無色。無受	不生不滅 不垢不淨 不增不減 是 故 空 中 無 色 無 受 
X26n0575_001:0966a11	想行識。無眼耳鼻舌身意。無色聲香味觸法。無眼界	想 行 識 無 眼 耳 鼻 舌 身 意 無 色聲香味觸 法 無 眼 界 
X26n0575_001:0966a12	乃至無意識界。無無明。亦無無明盡。乃至無老死。亦	乃 至 無 意 識 界 無 無 明 亦 無 無 明 盡 乃 至 無 老 死 亦 
X26n0575_001:0966a13	無老死盡。無苦集滅道。無智亦無得。以無所得故。菩	無 老 死 盡 無 苦集滅道 無 智 亦 無 得 以 無 所 得 故 菩 
X26n0575_001:0966a14	提薩埵。依般若波羅蜜多故。心無罣礙。無罣礙故。無	提 薩 埵 依 般 若 波羅蜜多 故 心 無 罣 礙 無 罣 礙 故 無 
X26n0575_001:0966a15	有恐怖。遠離顛倒夢想。究竟涅槃。三世諸佛。依般若	有 恐 怖 遠 離 顛 倒 夢 想 究竟涅槃 三世諸佛 依 般 若 
X26n0575_001:0966a16	波羅蜜多故。得阿耨多羅三藐三菩提。故知般若波	波羅蜜多 故 得阿耨多羅三藐三菩提 故 知 般 若 波 
X26n0575_001:0966a17	羅蜜多。是大神呪。是大明呪。是無上呪。是無等等呪。	羅 蜜 多 是 大 神 呪 是 大 明 呪 是 無 上 呪 是 無 等 等 呪 
X26n0575_001:0966a18	能除一切苦。真實不虗。故說般若波羅蜜多呪。即說	能 除 一 切 苦 真 實 不 虗 故 說 般 若 波羅蜜多 呪 即 說 
X26n0575_001:0966a19	呪曰。揭諦揭諦。波羅揭諦。波羅僧揭諦。菩提薩婆訶	呪 曰 揭 諦 揭 諦 波 羅 揭 諦 波 羅 僧 揭 諦 菩 提 薩 婆 訶 
X26n0575_001:0966a20	心經畢。偈曰。	心 經 畢 偈 曰 
X26n0575_001:0966a21	　這卷真經本在心　　自家寶藏不須尋	 這 卷 真 經 本 在 心 自 家 寶 藏 不 須 尋 
X26n0575_001:0966a22	　猛然檢著無生品　　迸出明珠耀古今	 猛 然 檢 著 無 生 品 迸 出 明 珠 耀 古 今 
X26n0575_001:0966a23	　這點靈光道上來　　只因逐妄墮塵埃	 這 點 靈 光 道 上 來 只 因 逐 妄 墮 塵 埃 
X26n0575_001:0966a24	　君今要見還鄉路　　悟得心經道眼開	 君 今 要 見 還 鄉 路 悟 得 心 經 道 眼 開 
X26n0575_001:0966b01	　這輪心鏡本無塵　　因塵難照本來真	 這 輪 心 鏡 本 無 塵 因 塵 難 照 本 來 真 
X26n0575_001:0966b02	　塵盡鏡明無一物　　自然現出法王身	 塵 盡 鏡 明 無 一 物 自 然 現 出 法 王 身 
X26n0575_001:0966b03	　隨方就圓大摩訶　　當面識破出奈河	 隨 方 就 圓 大 摩 訶 當 面 識 破 出 奈 河 
X26n0575_001:0966b04	　我今認得西來意　　便是長生不老佛	 我 今 認 得 西 來 意 便 是 長 生 不 老 佛 
X26n0575_001:0966b05	　本經註解一總持　　仁德君子重意參	 本 經 註 解 一 總 持 仁 德 君 子 重 意 參 
X26n0575_001:0966b06	　吾心亦要普度眾　　方纔如是方便刊	 吾 心 亦 要 普 度 眾 方 纔 如 是 方 便 刊 
X26n0575_001:0966b07	　知重知因就理是　　莫笑書本發狂言	 知 重 知 因 就 理 是 莫 笑 書 本 發 狂 言 
X26n0575_001:0966b08	　若肯死工都貫徹　　就如靈宮井通泉	 若 肯 死 工 都 貫 徹 就 如 靈 宮 井 通 泉 
X26n0575_001:0966b14	[門@舌]通顯道甚深功德寶卷上	[門舌] 通 顯 道 甚 深 功 德 寶 卷 上 
X26n0575_001:0966b15	蓋聞往昔因中聖祖出現於世。降生在梵王宮內。乃	蓋 聞 往 昔 因 中 聖 祖 出 現 於 世 降 生 在 梵 王 宮 內 乃 
X26n0575_001:0966b16	名悉達太子。尊德釋迦文佛。道號稱能仁也。心懷大	名 悉 達 太 子 尊 德 釋 迦 文 佛 道 號 稱 能 仁 也 心 懷 大 
X26n0575_001:0966b17	德道行。天生有理自然。明通三界無比。願不為王做	德 道 行 天 生 有 理 自 然 明 通 三 界 無 比 願 不 為 王 做 
X26n0575_001:0966b18	君。四城門遊翫觀境。見生老病死之人。即往雪山。避	君 四 城 門 遊 翫 觀 境 見 生老病死 之 人 即 往 雪 山 避 
X26n0575_001:0966b19	靜六年。功圓果滿。迴還太國行孝。先度父母見性。後	靜 六 年 功 圓 果 滿 迴 還 太 國 行 孝 先 度 父 母 見 性 後 
X26n0575_001:0966b20	度耶輸公主。明心向善。辦道出苦。一家四口都得成	度 耶 輸 公 主 明 心 向 善 辦 道 出 苦 一 家 四 口 都 得 成 
X26n0575_001:0966b21	尊。上前辭親別朝。收拾起鉢盂錫杖。遊方演教四十	尊 上 前 辭 親 別 朝 收 拾 起 鉢 盂 錫 杖 遊 方 演 教 四 十 
X26n0575_001:0966b22	九年。說法利生三百餘會。讚曰。空本無相。却來現形	九 年 說 法 利 生 三 百 餘 會 讚 曰 空 本 無 相 却 來 現 形 
X26n0575_001:0966b23	有體。玄妙無字。說下一覽大藏。吾乃初進入會。遇著	有 體 玄 妙 無 字 說 下 一 覽 大 藏 吾 乃 初 進 入 會 遇 著 
X26n0575_001:0966b24	心經一卷。人念我聽知也。言言見諦。句句超宗。聞其	心 經 一 卷 人 念 我 聽 知 也 言 言 見 諦 句 句 超 宗 聞 其 
