X88n1646_001:0180a04	 居士傳序	 居 士 傳 序 
X88n1646_001:0180a06	知歸子現居士身說法。著居士傳。屬予為之序。序曰。	知 歸 子 現 居 士 身 說 法 著 居 士 傳 屬 予 為 之 序 序 曰 
X88n1646_001:0180a07	知歸子學佛。歸心淨土。發決定往生之願者也。究論	知 歸 子 學 佛 歸 心 淨 土 發 決 定 往 生 之 願 者 也 究 論 
X88n1646_001:0180a08	往生之因。因於一念之淨。一念之淨即成往生之因。	往 生 之 因 因 於 一 念 之 淨 一 念 之 淨 即 成 往 生 之 因 
X88n1646_001:0180a09	況念念相繼有不決定往生得覲彌陀者乎。知歸子	況 念 念 相 繼 有 不 決 定 往 生 得 覲 彌 陀 者 乎 知 歸 子 
X88n1646_001:0180a10	修淨土念念相繼。其學佛也可謂密矣。仰前修之匪	修 淨 土 念 念 相 繼 其 學 佛 也 可 謂 密 矣 仰 前 修 之 匪 
X88n1646_001:0180a11	遠。表萬法之同歸。自度度人度人自度。著書之心可	遠 表 萬 法 之 同 歸 自 度 度 人 度 人 自 度 著 書 之 心 可 
X88n1646_001:0180a12	謂切矣。若知歸子可以現居士身而說法矣。予故歡	謂 切 矣 若 知 歸 子 可 以 現 居 士 身 而 說 法 矣 予 故 歡 
X88n1646_001:0180a13	喜序之。以告世之讀居士傳者。同學汪縉撰。	喜 序 之 以 告 世 之 讀 居 士 傳 者 同 學 汪 縉 撰 
X88n1646_001:0180a18	居士傳發凡	居 士 傳 發 凡 
X88n1646_001:0180a20	佛門人文記載其專繫宰官白衣者。故有祐法師宏	佛 門 人 文 記 載 其 專 繫 宰 官 白 衣 者 故 有 祐 法 師 宏 
X88n1646_001:0180a21	明集。宣律師廣宏明集。心泰佛法金湯。姚孟長金湯	明 集 宣 律 師 廣 宏 明 集 心 泰 佛 法 金 湯 姚 孟 長 金 湯 
X88n1646_001:0180a22	徵文錄。夏樹芳法喜志。其以沙門為主兼収外護者。	徵 文 錄 夏 樹 芳 法 喜 志 其 以 沙 門 為 主 兼 収 外 護 者 
X88n1646_001:0180a23	則有志磐佛祖統記。念常佛祖通載。以及傳燈錄．續	則 有 志 磐 佛 祖 統 記 念 常 佛 祖 通 載 以 及 傳 燈 錄 續 
X88n1646_001:0180a24	傳燈錄．五燈會元．東林傳．往生傳。諸書所錄事言。互	傳 燈 錄 五 燈 會 元 東 林 傳 往 生 傳 諸 書 所 錄 事 言 互 
X88n1646_001:0180b01	有詳略。或失之冗。或失之踈。至朱時恩居士分燈錄。	有 詳 略 或 失 之 冗 或 失 之 踈 至 朱 時 恩 居 士 分 燈 錄 
X88n1646_001:0180b02	郭凝之先覺宗乘。李士材居士禪燈錄。並本五燈。止	郭 凝 之 先 覺 宗 乘 李 士 材 居 士 禪 燈 錄 並 本 五 燈 止 
X88n1646_001:0180b03	揚宗乘。於諸三昧法門有所未備。今節取諸書者十	揚 宗 乘 於 諸 三 昧 法 門 有 所 未 備 今 節 取 諸 書 者 十 
X88n1646_001:0180b04	之五。別徵史傳。諸家文集。諸經序錄。百家雜說。視諸	之 五 別 徵 史 傳 諸 家 文 集 諸 經 序 錄 百 家 雜 說 視 諸 
X88n1646_001:0180b05	書倍之。裁別綴屬成列傳五十餘篇。詳其入道因緣。	書 倍 之 裁 別 綴 屬 成 列 傳 五 十 餘 篇 詳 其 入 道 因 緣 
X88n1646_001:0180b06	成道功候。俾有志者各隨根性。或宗或教或淨土。觀	成 道 功 候 俾 有 志 者 各 隨 根 性 或 宗 或 教 或 淨 土 觀 
X88n1646_001:0180b07	感願樂。具足師資。但自唐以前。簡冊無多。披覽易遍。	感 願 樂 具 足 師 資 但 自 唐 以 前 簡 冊 無 多 披 覽 易 遍 
X88n1646_001:0180b08	自宋以後。文字浩瀚。耳目聞見搜討難周。更望博雅	自 宋 以 後 文 字 浩 瀚 耳 目 聞 見 搜 討 難 周 更 望 博 雅 
X88n1646_001:0180b09	君子惠以珍藏。佐其不逮。	君 子 惠 以 珍 藏 佐 其 不 逮 
X88n1646_001:0180b10	護法之文。須從般若光明海中自在流出。乃為可貴。	護 法 之 文 須 從 般 若 光 明 海 中 自 在 流 出 乃 為 可 貴 
X88n1646_001:0180b11	是書所載。非其真實有關慧命者。概弗列焉。如王簡	是 書 所 載 非 其 真 實 有 關 慧 命 者 概 弗 列 焉 如 王 簡 
X88n1646_001:0180b12	栖頭陀寺碑。王子安釋迦成道記。誠為典贍。然文過	栖 頭 陀 寺 碑 王 子 安 釋 迦 成 道 記 誠 為 典 贍 然 文 過 
X88n1646_001:0180b13	其質。於道何有。柳子厚制諸沙言碑銘。為蘇子瞻所	其 質 於 道 何 有 柳 子 厚 制 諸 沙 言 碑 銘 為 蘇 子 瞻 所 
X88n1646_001:0180b14	推服。然如曹溪一碑和會儒釋。與六祖壇經之旨全	推 服 然 如 曹 溪 一 碑 和 會 儒 釋 與 六 祖 壇 經 之 旨 全 
X88n1646_001:0180b15	無交涉。況摩詰夢得之文。抑又遜之。元明士大夫文	無 交 涉 況 摩 詰 夢 得 之 文 抑 又 遜 之 元 明 士 大 夫 文 
X88n1646_001:0180b16	字。類多出入儒佛。亦必其行解相應始堪采擇。否則	字 類 多 出 入 儒 佛 亦 必 其 行 解 相 應 始 堪 采 擇 否 則 
X88n1646_001:0180b17	祇成戲論。何足數也。	祇 成 戲 論 何 足 數 也 
X88n1646_001:0180b18	宗門冐濫者多。如夏竦．呂惠卿．章惇之徒。既不足道。	宗 門 冐 濫 者 多 如 夏 竦 呂 惠 卿 章 惇 之 徒 既 不 足 道 
X88n1646_001:0180b19	即白蘇二公其在佛門亦別有長處。與宗門無與。諸	即 白 蘇 二 公 其 在 佛 門 亦 別 有 長 處 與 宗 門 無 與 諸 
X88n1646_001:0180b20	書所載機緣。無可取者。他如韓退之．李習之．周茂叔．	書 所 載 機 緣 無 可 取 者 他 如 韓 退 之 李 習 之 周 茂 叔 
X88n1646_001:0180b21	歐陽永叔諸先生。平生願力全在護儒。一機一境偶	歐 陽 永 叔 諸 先 生 平 生 願 力 全 在 護 儒 一 機 一 境 偶 
X88n1646_001:0180b22	然隨喜。不足增重佛門。豈宜附會牽合莊點門庭。反	然 隨 喜 不 足 增 重 佛 門 豈 宜 附 會 牽 合 莊 點 門 庭 反 
X88n1646_001:0180b23	成謬妄。此於教理違背非小。故予是書持擇之間頗	成 謬 妄 此 於 教 理 違 背 非 小 故 予 是 書 持 擇 之 間 頗 
X88n1646_001:0180b24	存微指。不敢將就影響。以誣古人。以誣自心。以誣教	存 微 指 不 敢 將 就 影 響 以 誣 古 人 以 誣 自 心 以 誣 教 
X88n1646_001:0180c01	理。	理 
X88n1646_001:0180c02	龐居士之於宗。李長者之於教。劉遺民之於淨土。百	龐 居 士 之 於 宗 李 長 者 之 於 教 劉 遺 民 之 於 淨 土 百 
X88n1646_001:0180c03	世之師矣。三公者各專傳。尊師也。其他立專傳者。大	世 之 師 矣 三 公 者 各 專 傳 尊 師 也 其 他 立 專 傳 者 大 
X88n1646_001:0180c04	都軼邁等倫。難為匹儷。雖不盡以三公為繩。亦庶幾	都 軼 邁 等 倫 難 為 匹 儷 雖 不 盡 以 三 公 為 繩 亦 庶 幾 
X88n1646_001:0180c05	近之者也。	近 之 者 也 
X88n1646_001:0180c06	登地證果根基五戒。而五戒者全體五常。不踐五常	登 地 證 果 根 基 五 戒 而 五 戒 者 全 體 五 常 不 踐 五 常 
