T85n2902_001:1435c08	法句經疏	法 句 經 疏 
T85n2902_001:1435c10	夫至理無言。稱謂斯斷。玄宗幽寂心行莫緣。	夫 至 理 無 言 稱 謂 斯 斷 玄 宗 幽 寂 心 行 莫 緣 
T85n2902_001:1435c11	稱謂斯斷故。則有言傷其旨。心行莫緣故。則	稱 謂 斯 斷 故 則 有 言 傷 其 旨 心 行 莫 緣 故 則 
T85n2902_001:1435c12	作意失其真。所以掩室摩竭用啟息言無際。	作 意 失 其 真 所 以 掩 室 摩 竭 用 啟 息 言 無 際 
T85n2902_001:1435c13	杜口毘耶以通得意之路。斯皆理為神御故。	杜 口 毘 耶 以 通 得 意 之 路 斯 皆 理 為 神 御 故 
T85n2902_001:1435c14	聖以之默。豈曰無辯。辯所不能言也。◎	聖 以 之 默 豈 曰 無 辯 辯 所 不 能 言 也 
T85n2902_001:1435c16	◎就法彰目。或人事並陳。或法喻雙說。今此	 就 法 彰 目 或 人 事 並 陳 或 法 喻 雙 說 今 此 
T85n2902_001:1435c17	經者人皆為名。佛是能說之人。法是可談之	經 者 人 皆 為 名 佛 是 能 說 之 人 法 是 可 談 之 
T85n2902_001:1435c18	理也　天竺梵音號曰佛陀。此出譯言名為覺	理 也 天 竺 梵 音 號 曰 佛 陀 此 出 譯 言 名 為 覺 
T85n2902_001:1435c19	者。無明如來獨秀重幽。孤明臣夜照達有無。	者 無 明 如 來 獨 秀 重 幽 孤 明 臣 夜 照 達 有 無 
T85n2902_001:1435c20	解窮真俗。覺行圓滿。導悟群生。故稱為佛。暢	解 窮 真 俗 覺 行 圓 滿 導 悟 群 生 故 稱 為 佛 暢 
T85n2902_001:1435c21	四辨於舌端。敷八音於聽表。談法性則名義	四 辨 於 舌 端 敷 八 音 於 聽 表 談 法 性 則 名 義 
T85n2902_001:1435c22	俱空。論善友則功窮後際。眾乃慶所過而懷	俱 空 論 善 友 則 功 窮 後 際 眾 乃 慶 所 過 而 懷 
T85n2902_001:1435c23	之。如來愁之而感傷。遂使振及遐方。異出雲	之 如 來 愁 之 而 感 傷 遂 使 振 及 遐 方 異 出 雲 
T85n2902_001:1435c24	集再揚深法。極樂無動普光悟忍。於無生寶	集 再 揚 深 法 極 樂 無 動 普 光 悟 忍 於 無 生 寶 
T85n2902_001:1435c25	明蒙記於十號。宣自金口聞之彼意。故名為	明 蒙 記 於 十 號 宣 自 金 口 聞 之 彼 意 故 名 為 
T85n2902_001:1435c26	說也。法者有其四種。謂理教行果。今言法句。	說 也 法 者 有 其 四 種 謂 理 教 行 果 今 言 法 句 
T85n2902_001:1435c27	則通收四門。法是所詮之旨。謂行理果。法句	則 通 收 四 門 法 是 所 詮 之 旨 謂 行 理 果 法 句 
T85n2902_001:1435c28	是能詮之教。謂金剛之說。今為對詮明旨。所	是 能 詮 之 教 謂 金 剛 之 說 今 為 對 詮 明 旨 所 
T85n2902_001:1435c29	以故須局三為法。軌生物解。因以名焉。法分	以 故 須 局 三 為 法 軌 生 物 解 因 以 名 焉 法 分 
T85n2902_001:1436a01	自彰。顯在平教。文勢相屬。詮理義周。故名	自 彰 顯 在 平 教 文 勢 相 屬 詮 理 義 周 故 名 
T85n2902_001:1436a02	為句。經者此土之言。梵云修多羅。良以此土	為 句 經 者 此 土 之 言 梵 云 修 多 羅 良 以 此 土 
T85n2902_001:1436a03	之人貴重五經義少相以故番譯家以經字代	之 人 貴 重 五 經 義 少 相 以 故 番 譯 家 以 經 字 代 
T85n2902_001:1436a04	修多羅。修多羅有五義。出自廣文。一者出生。	修 多 羅 修 多 羅 有 五 義 出 自 廣 文 一 者 出 生 
T85n2902_001:1436a05	出生諸義故。二者勇眾。義味無盡故。三者顯	出 生 諸 義 故 二 者 勇 眾 義 味 無 盡 故 三 者 顯 
T85n2902_001:1436a06	示。顯示諸義故。四者繩墨。分辯邪正故。五者	示 顯 示 諸 義 故 四 者 繩 墨 分 辯 邪 正 故 五 者 
T85n2902_001:1436a07	結鬘。貫窮諸法故。經有二義。一法。二常。常	結 鬘 貫 窮 諸 法 故 經 有 二 義 一 法 二 常 常 
T85n2902_001:1436a08	者人雖古今教儀恒定。法者五經顯治道之	者 人 雖 古 今 教 儀 恒 定 法 者 五 經 顯 治 道 之 
T85n2902_001:1436a09	得失。明人倫之是非也。多羅五義略舉六條。	得 失 明 人 倫 之 是 非 也 多 羅 五 義 略 舉 六 條 
T85n2902_001:1436a10	一謂湧泉。二稱繩墨。湧泉注而無竭。此義可	一 謂 湧 泉 二 稱 繩 墨 湧 泉 注 而 無 竭 此 義 可 
T85n2902_001:1436a11	以自常。繩墨則辨定正邪。茲義又當其法也。	以 自 常 繩 墨 則 辨 定 正 邪 茲 義 又 當 其 法 也 
T85n2902_001:1436a12	卷謂卷舒。文無二軸。稱之一也。故云佛說法	卷 謂 卷 舒 文 無 二 軸 稱 之 一 也 故 云 佛 說 法 
T85n2902_001:1436a13	句經一卷也。自下釋文大判有三。初明序分。	句 經 一 卷 也 自 下 釋 文 大 判 有 三 初 明 序 分 
T85n2902_001:1436a14	佛告寶明已下。次辨正宗。爾時文殊已下。明	佛 告 寶 明 已 下 次 辨 正 宗 爾 時 文 殊 已 下 明 
T85n2902_001:1436a15	流通分。大聖說經之依有由致故先明序。序	流 通 分 大 聖 說 經 之 依 有 由 致 故 先 明 序 序 
T85n2902_001:1436a16	義既興。宜陳奧旨。次辨正宗。正法既宣。非	義 既 興 宜 陳 奧 旨 次 辨 正 宗 正 法 既 宣 非 
T85n2902_001:1436a17	唯獨益當時。遠被將來。使道光無絕。所以第	唯 獨 益 當 時 遠 被 將 來 使 道 光 無 絕 所 以 第 
T85n2902_001:1436a18	三明流通分也。序義雖眾無過有二。一者發	三 明 流 通 分 也 序 義 雖 眾 無 過 有 二 一 者 發 
T85n2902_001:1436a19	起序。謂。起化由藉大聖得說。託處假時動地	起 序 謂 起 化 由 藉 大 聖 得 說 託 處 假 時 動 地 
T85n2902_001:1436a20	放光。有緣斯集。類藉此等。起發正經啟化之	放 光 有 緣 斯 集 類 藉 此 等 起 發 正 經 啟 化 之 
T85n2902_001:1436a21	由。故名發起序。二者證信序。阿難稟宣佛化。	由 故 名 發 起 序 二 者 證 信 序 阿 難 稟 宣 佛 化 
T85n2902_001:1436a22	將來未聞欲以聖言澤流萬代故。言如是之	將 來 未 聞 欲 以 聖 言 澤 流 萬 代 故 言 如 是 之 
T85n2902_001:1436a23	法我從佛聞。證已所傳深為可信。從此立名	法 我 從 佛 聞 證 已 所 傳 深 為 可 信 從 此 立 名 
