X26n0567_001:0929a03	摩訶般若波羅蜜多心經	摩訶般若波羅蜜 多 心 經 
X26n0567_001:0929a06	摩訶。梵語。華言大也。此大法即聖凡共有般若心	摩 訶 梵 語 華 言 大 也 此 大 法 即 聖 凡 共 有 般 若 心 
X26n0567_001:0929a07	也。梵語般若。華言智慧。此大智慧體。乃聖凡同具。	也 梵 語 般 若 華 言 智 慧 此 大 智 慧 體 乃 聖 凡 同 具 
X26n0567_001:0929a08	但其中有迷悟之差。迷者即愚。悟者即智。然般若	但 其 中 有 迷 悟 之 差 迷 者 即 愚 悟 者 即 智 然 般 若 
X26n0567_001:0929a09	本無迷悟。若人能言外了然。則迷悟本虗。又□□	本 無 迷 悟 若 人 能 言 外 了 然 則 迷 悟 本 虗 又 
X26n0567_001:0929a10	□□□波羅蜜多。梵語。華言到彼岸。一切眾生。□	 波羅蜜多 梵 語 華 言 到 彼 岸 一 切 眾 生 
X26n0567_001:0929a11	□□□□□無明所蔽。輪迴生死苦海。不得到□	 無 明 所 蔽 輪迴生死 苦 海 不 得 到 
X26n0567_001:0929a12	□□□□□□觀自在能行之人。以告身子智慧	 觀 自 在 能 行 之 人 以 告 身 子 智 慧 
X26n0567_001:0929a13	□□□□□□□身中本有摩訶般若大智慧□	 身 中 本 有 摩訶般若 大 智 慧 
X26n0567_001:0929a14	□□□□□□□□若而越煩惱中流。竟到波羅	 若 而 越 煩 惱 中 流 竟 到 波 羅 
X26n0567_001:0929a15	蜜多□□□□□□□大智慧菩提涅槃玅心。經	蜜 多 大 智 慧 菩 提 涅 槃 玅 心 經 
X26n0567_001:0929a16	者。猶徑也。□□□□□□道。所謂誰能出不由戶。	者 猶 徑 也 道 所 謂 誰 能 出 不 由 戶 
X26n0567_001:0929a17	何莫由斯道也。	何 莫 由 斯 道 也 
X26n0567_001:0929a18	觀自在菩薩。行深般若波羅蜜多時。照見五蘊皆空。	觀 自 在 菩 薩 行 深 般 若 波羅蜜多 時 照 見 五 蘊 皆 空 
X26n0567_001:0929a19	度一切苦厄。	度 一 切 苦 厄 
X26n0567_001:0929a20	觀自在菩薩一句。總顯能行甚深般若之人。為下	觀 自 在 菩 薩 一 句 總 顯 能 行 甚 深 般 若 之 人 為 下 
X26n0567_001:0929a21	一經綱領觀字。即大智根本之體。自在二字。即般	一 經 綱 領 觀 字 即 大 智 根 本 之 體 自 在 二 字 即 般 
X26n0567_001:0929a22	若相也。以根本智體。照見五蘊色心等法。無有少	若 相 也 以 根 本 智 體 照 見 五 蘊 色 心 等 法 無 有 少 
X26n0567_001:0929a23	法可得。無有少法不可得。真俗渾融。交涉無礙。即	法 可 得 無 有 少 法 不 可 得 真 俗 渾 融 交 涉 無 礙 即 
X26n0567_001:0929a24	此般若大相。自在法門也。菩薩。梵語。華言有覺有	此 般 若 大 相 自 在 法 門 也 菩 薩 梵 語 華 言 有 覺 有 
X26n0567_001:0929b01	情。以有覺故。依般若波羅蜜多。而心無罣礙。遠離	情 以 有 覺 故 依 般 若 波羅蜜多 而 心 無 罣 礙 遠 離 
X26n0567_001:0929b02	顛倒夢想。究竟涅槃。以有情故。依般若波羅蜜多。	顛 倒 夢 想 究竟涅槃 以 有 情 故 依 般 若 波羅蜜多 
X26n0567_001:0929b03	得阿耨多羅三藐三菩提。能除一切苦。真實不虗。	得阿耨多羅三藐三菩提 能 除 一 切 苦 真 實 不 虗 
X26n0567_001:0929b04	由是因果交涉。萬德咸備。纔得此觀自在菩薩之	由 是 因 果 交 涉 萬 德 咸 備 纔 得 此 觀 自 在 菩 薩 之 
X26n0567_001:0929b05	名也。行深般若波羅蜜多有二義。一理深。二事深。	名 也 行 深 般 若 波羅蜜多 有 二 義 一 理 深 二 事 深 
X26n0567_001:0929b06	事深者。謂觀自在行斯般若。深無不極。道者以之	事 深 者 謂 觀 自 在 行 斯 般 若 深 無 不 極 道 者 以 之 
X26n0567_001:0929b07	而歸。大無不包。乘者以之而運。所以舉一行深之	而 歸 大 無 不 包 乘 者 以 之 而 運 所 以 舉 一 行 深 之 
X26n0567_001:0929b08	言。以醒凡夫。□□□□□□□行而錯徑者二乘	言 以 醒 凡 夫 行 而 錯 徑 者 二 乘 
X26n0567_001:0929b09	雖是正行。尚滯□□□□□□□在菩薩行深般	雖 是 正 行 尚 滯 在 菩 薩 行 深 般 
X26n0567_001:0929b10	若波羅密多。意正□□□□□□□學菩薩行深。	若 波羅密多 意 正 學 菩 薩 行 深 
X26n0567_001:0929b11	使其頓破煩惱。頓斷□□□□□□□槃。故曰事	使 其 頓 破 煩 惱 頓 斷 槃 故 曰 事 
X26n0567_001:0929b12	深也。理深者。以圓照法界無盡□□□□般若甚	深 也 理 深 者 以 圓 照 法 界 無 盡 般 若 甚 
X26n0567_001:0929b13	深法門。體用無方。猶澄江一月。三舟共覩。一舟停	深 法 門 體 用 無 方 猶 澄 江 一 月 三 舟 共 覩 一 舟 停 
X26n0567_001:0929b14	住。二舟南北。南者見月千里隨南。北者見月千里	住 二 舟 南 北 南 者 見 月 千 里 隨 南 北 者 見 月 千 里 
X26n0567_001:0929b15	隨北。停舟者見月不移。自在之行。類此可知。即體	隨 北 停 舟 者 見 月 不 移 自 在 之 行 類 此 可 知 即 體 
X26n0567_001:0929b16	之用。無不普應。去住皆緣。心無動靜。故曰理深也。	之 用 無 不 普 應 去 住 皆 緣 心 無 動 靜 故 曰 理 深 也 
X26n0567_001:0929b17	照者。指觀智而言。見者。指心性而言。五蘊。即色受	照 者 指 觀 智 而 言 見 者 指 心 性 而 言 五 蘊 即 色 受 
X26n0567_001:0929b18	想行識。凡夫執五蘊為實有。二乘又執之以沉空	想 行 識 凡 夫 執 五 蘊 為 實 有 二 乘 又 執 之 以 沉 空 
X26n0567_001:0929b19	趨寂。俱不達妙有真空。觀自在菩薩。以觀智照之。	趨 寂 俱 不 達 妙 有 真 空 觀 自 在 菩 薩 以 觀 智 照 之 
X26n0567_001:0929b20	以心性見之。故當下了達五蘊等法。即是妙有真	以 心 性 見 之 故 當 下 了 達 五 蘊 等 法 即 是 妙 有 真 
X26n0567_001:0929b21	空實相般若故曰照見五蘊皆空也。六道眾生。妄	空 實 相 般 若 故 曰 照 見 五 蘊 皆 空 也 六 道 眾 生 妄 
X26n0567_001:0929b22	起三惑搆造生死苦緣。二乘亦被無明所蔽。愛見	起 三 惑 搆 造 生 死 苦 緣 二 乘 亦 被 無 明 所 蔽 愛 見 
X26n0567_001:0929b23	所纏。雖斷輪迴生死。尚住偏空厄緣。自在菩薩。行	所 纏 雖 斷 輪迴生死 尚 住 偏 空 厄 緣 自 在 菩 薩 行 
X26n0567_001:0929b24	深般若波羅蜜多時。以金剛證定。頓斷生相無明。	深 般 若 波羅蜜多 時 以 金 剛 證 定 頓 斷 生 相 無 明 
X26n0567_001:0929c01	頓入妙覺果海。五住皆盡。二死永亡。故曰度一切	頓 入 妙 覺 果 海 五 住 皆 盡 二 死 永 亡 故 曰 度 一 切 
X26n0567_001:0929c02	苦厄也。	苦 厄 也 
X26n0567_001:0929c03	舍利子。色不異空空不異色。色即是空。空即是色。受	舍 利 子 色不異空 空不異色 色 即 是 空 空 即 是 色 受 
X26n0567_001:0929c04	想行識。亦復如是。	想 行 識 亦復如是 
