T85n2815_001:1174a22	起信論註	起 信 論 註 
T85n2815_001:1174a24	論曰。有法能起摩訶衍信根是故應說　述	論 曰 有 法 能 起 摩 訶 衍 信 根 是 故 應 說 述 
T85n2815_001:1174a25	曰。次下第二明正宗分。於中有二。初舉益	曰 次 下 第 二 明 正 宗 分 於 中 有 二 初 舉 益 
T85n2815_001:1174a26	許說。後正解所說。此初也。言論曰者。簡論異	許 說 後 正 解 所 說 此 初 也 言 論 曰 者 簡 論 異 
T85n2815_001:1174a27	經辨能詮教。有法等者。舉所詮法顯有勝益	經 辨 能 詮 教 有 法 等 者 舉 所 詮 法 顯 有 勝 益 
T85n2815_001:1174a28	(□簡論異經辨能詮教者。答。論自別經自別。論則賤。論只是教　經則甚深理。所以此論各自別。所以言者簡論異	 簡 論 異 經 辨 能 詮 教 者 答 論 自 別 經 自 別 論 則 賤 論 只 是 教 經 則 甚 深 理 所 以 此 論 各 自 別 所 以 言 者 簡 論 異 
T85n2815_001:1174a29	經。辨能詮教論只能詮教有法等者。舉所詮法。論則能詮教。有法等者所詮道理。則名能詮所詮。此教則能詮理。	經 辨 能 詮 教 論 只 能 詮 教 有 法 等 者 舉 所 詮 法 論 則 能 詮 教 有 法 等 者 所 詮 道 理 則 名 能 詮 所 詮 此 教 則 能 詮 理 
T85n2815_001:1174b01	已能詮教。教則能詮理。故云能詮所詮。有法能起摩訶衍是故應說。答。摩訶衍者。問。是眾生大乘心。答。有眾生	已 能 詮 教 教 則 能 詮 理 故 云 能 詮 所 詮 有 法 能 起 摩 訶 衍 是 故 應 說 答 摩 訶 衍 者 問 是 眾 生 大 乘 心 答 有 眾 生 
T85n2815_001:1174b02	於大乘能起信心。則是顯能有大勝益事。是故□□者顯能詮教。應頭說也)。	於 大 乘 能 起 信 心 則 是 顯 能 有 大 勝 益 事 是 故 者 顯 能 詮 教 應 頭 說 也 
T85n2815_001:1174b03	□能詮教有此所詮。一心二門三大等法。能	 能 詮 教 有 此 所 詮 一 心 二 門 三 大 等 法 能 
T85n2815_001:1174b04	起眾生大乘信根。此能詮教決定應說。大乘	起 眾 生 大 乘 信 根 此 能 詮 教 決 定 應 說 大 乘 
T85n2815_001:1174b05	信者。即信己性知心妄動無前境界(答。則信己性□。則信	信 者 即 信 己 性 知 心 妄 動 無 前 境 界 答 則 信 己 性 則 信 
T85n2815_001:1174b06	自許身中心真如□共佛一種則知心□□動無前境界。□中則能猛利永不轉)此信決定能	自 許 身 中 心 真 如 共 佛 一 種 則 知 心 動 無 前 境 界 中 則 能 猛 利 永 不 轉 此 信 決 定 能 
T85n2815_001:1174b07	持能長自及餘善故名信根(問。何名能持能長。答。若有眾生信則能	持 能 長 自 及 餘 善 故 名 信 根 問 何 名 能 持 能 長 答 若 有 眾 生 信 則 能 
T85n2815_001:1174b08	增長一切善行故名自及餘善。猶如養一箇小樹。若養得根拔苗自成就故名能持能長)故名信根。	增 長 一 切 善 行 故 名 自 及 餘 善 猶 如 養 一 箇 小 樹 若 養 得 根 拔 苗 自 成 就 故 名 能 持 能 長 故 名 信 根 
T85n2815_001:1174b09	論說有五分　述曰。次下第二正陳所說。於	論 說 有 五 分 述 曰 次 下 第 二 正 陳 所 說 於 
T85n2815_001:1174b10	中有三。初舉數總標。次依數列名。後依名辨	中 有 三 初 舉 數 總 標 次 依 數 列 名 後 依 名 辨 
T85n2815_001:1174b11	相。此初也。	相 此 初 也 
