T46n1943_001:0956c04	略法華三昧補助儀并序	略 法華三昧 補 助 儀 并 序 
T46n1943_001:0956c06	(由此懺法隨事觀想。並指法華三昧補助儀文。今恐各行無處尋。檢翻成所闕故。從要急略彼辭句。附此文	 由 此 懺 法 隨 事 觀 想 並 指 法華三昧 補 助 儀 文 今 恐 各 行 無 處 尋 檢 翻 成 所 闕 故 從 要 急 略 彼 辭 句 附 此 文 
T46n1943_001:0956c07	後以備承用。請對前事儀之下。運此觀想故。此但令運想。不錄事相。用者應知)初運香華	後 以 備 承 用 請 對 前 事 儀 之 下 運 此 觀 想 故 此 但 令 運 想 不 錄 事 相 用 者 應 知 初 運 香 華 
T46n1943_001:0956c08	(運想曰。願此香華遍十方。以為微妙光明臺。諸天音樂天寶香。諸天餚饍天寶衣。不可思議妙法塵。一一	 運 想 曰 願 此 香 華 遍 十 方 以 為 微 妙 光 明 臺 諸 天 音 樂 天 寶 香 諸 天 餚 饍 天 寶 衣 不可思議 妙 法 塵 一 一 
T46n1943_001:0956c09	塵出一切塵。一一塵出一切法。旋轉無礙互莊嚴。遍至一切三寶前。十方法界三寶前。皆有我身修供養。一	塵 出 一 切 塵 一 一 塵 出 一 切 法 旋 轉 無 礙 互 莊 嚴 遍 至 一 切 三 寶 前 十 方 法 界 三 寶 前 皆 有 我 身 修 供 養 一 
T46n1943_001:0956c10	一皆悉遍法界。彼彼無雜無障閡。盡未來際作佛事普熏法界。諸眾生蒙熏皆發菩提心。同入無生證佛智)	一 皆 悉 遍 法 界 彼 彼 無 雜 無 障 閡 盡未來際 作 佛 事 普 熏 法 界 諸 眾 生 蒙 熏 皆 發菩提心 同 入 無 生 證 佛 智 
T46n1943_001:0956c11	請佛(我三業性如虛空。釋迦牟尼亦如是。不起真際為眾生與眾俱來受供養)諸佛菩	請 佛 我 三 業 性 如 虛 空 釋 迦 牟 尼 亦 如 是 不 起 真 際 為 眾 生 與 眾 俱 來 受 供 養 諸 佛 菩 
T46n1943_001:0956c12	薩(但改牟尼及形相來處)請法(法性如空不可見。常住法寶難思議。我今三業如法請。	薩 但 改 牟 尼 及 形 相 來 處 請 法 法 性 如 空 不 可 見 常 住 法 寶 難 思 議 我 今 三 業 如 法 請 
T46n1943_001:0956c13	惟願影現受供養)禮佛(能禮所禮性空寂。感應道交難思議。我此道場如帝珠。釋迦牟尼影現中。	惟 願 影 現 受 供 養 禮 佛 能 禮 所 禮 性 空 寂 感 應 道 交 難 思 議 我 此 道 場 如 帝 珠 釋 迦 牟 尼 影 現 中 
T46n1943_001:0956c14	我今影現牟尼前。頭面接足歸命禮)餘佛菩薩(但改牟尼為異)禮法(真空法性	我 今 影 現 牟 尼 前 頭面接足 歸 命 禮 餘 佛 菩 薩 但 改 牟 尼 為 異 禮 法 真 空 法 性 
T46n1943_001:0956c15	如虛空。常住法寶難思議。我身影現法寶前。莫不皆悉歸命禮)普為(我及眾生云云)懺	如 虛 空 常 住 法 寶 難 思 議 我 身 影 現 法 寶 前 莫 不 皆 悉 歸 命 禮 普 為 我 及 眾 生 云 云 懺 
T46n1943_001:0956c16	悔前運逆順十心(我與眾生云云)。	悔 前 運 逆 順 十 心 我 與 眾 生 云 云 
T46n1943_001:0956c17	略法華三昧補助儀	略 法華三昧 補 助 儀 
