X88n1658_001:0421a03	 諸天傳序	 諸 天 傳 序 
X88n1658_001:0421a05	迦文降世。宿同願行者。隱實施權示為天神。慈威折	迦 文 降 世 宿 同 願 行 者 隱 實 施 權 示 為 天 神 慈 威 折 
X88n1658_001:0421a06	接。保衛國民輔翼至教。以福資慧助於說聽。然其列	接 保 衛 國 民 輔 翼 至 教 以 福 資 慧 助 於 說 聽 然 其 列 
X88n1658_001:0421a07	位當就迹論。天台百錄依光明鬼神品列之詳矣。自	位 當 就 迹 論 天 台 百 錄 依 光 明 鬼 神 品 列 之 詳 矣 自 
X88n1658_001:0421a08	慈雲製懺。供天之設。時有移易。北禪首非之。而紛紜	慈 雲 製 懺 供 天 之 設 時 有 移 易 北 禪 首 非 之 而 紛 紜 
X88n1658_001:0421a09	之論逮今未已。鄣南師因欲刊正。而集天傳。尚或循	之 論 逮 今 未 已 鄣 南 師 因 欲 刊 正 而 集 天 傳 尚 或 循 
X88n1658_001:0421a10	舊。人亦病諸。紹興間偶主烏戍墖院鏡庵。霆老出住	舊 人 亦 病 諸 紹 興 間 偶 主 烏 戍 墖 院 鏡 庵 霆 老 出 住 
X88n1658_001:0421a11	寶閣。具元復在焉。考槃雙槐蓮社晦菴一時諸方士	寶 閣 具 元 復 在 焉 考 槃 雙 槐 蓮 社 晦 菴 一 時 諸 方 士 
X88n1658_001:0421a12	以道義相忘。每以禪教詩文雅會激揚。甞論天位。考	以 道 義 相 忘 每 以 禪 教 詩 文 雅 會 激 揚 甞 論 天 位 考 
X88n1658_001:0421a13	槃有言。兩剎每供天會。既排列失序。二公之辯正。使	槃 有 言 兩 剎 每 供 天 會 既 排 列 失 序 二 公 之 辯 正 使 
X88n1658_001:0421a14	無謬誤可也。後既退。間分散南北。今十有五年餘。但	無 謬 誤 可 也 後 既 退 間 分 散 南 北 今 十 有 五 年 餘 但 
X88n1658_001:0421a15	於文藁間辯辯。時見于舊軸。回思昔會。真成落謝塵	於 文 藁 間 辯 辯 時 見 于 舊 軸 回 思 昔 會 真 成 落 謝 塵 
X88n1658_001:0421a16	耳。既出空相。來謁鏡庵。乃見重編天傳已成。詳以閱	耳 既 出 空 相 來 謁 鏡 庵 乃 見 重 編 天 傳 已 成 詳 以 閱 
X88n1658_001:0421a17	之。豈止於舊傳筆削潤色而已。且補入經論天文。辯	之 豈 止 於 舊 傳 筆 削 潤 色 而 已 且 補 入 經 論 天 文 辯 
X88n1658_001:0421a18	證前失。仍立兩端。明排列之次。及各為讚詞。可謂始	證 前 失 仍 立 兩 端 明 排 列 之 次 及 各 為 讚 詞 可 謂 始 
X88n1658_001:0421a19	末大備矣。則如斯文草創於鄣南。功成於鏡庵。使今	末 大 備 矣 則 如 斯 文 草 創 於 鄣 南 功 成 於 鏡 庵 使 今 
X88n1658_001:0421a20	古凝滯泮然冰釋。誠有補於流通。且喜不負考槃之	古 凝 滯 泮 然 冰 釋 誠 有 補 於 流 通 且 喜 不 負 考 槃 之 
