X16n0311_001:0373a04	 引　〔龍其〕	 引 龍 其 
X16n0311_001:0373a05	念東高先生千里東。余自謂年來一味淨土娑婆境	念 東 高 先 生 千 里 東 余 自 謂 年 來 一 味 淨 土 娑 婆 境 
X16n0311_001:0373a06	風浩。浩真如喆。草堂清。皆不免蹉跌。勉余留心此件。	風 浩 浩 真 如 喆 草 堂 清 皆 不 免 蹉 跌 勉 余 留 心 此 件 
X16n0311_001:0373a07	余偶舉示百亭法師。而法師先有勢至念佛章疏鈔。	余 偶 舉 示 百 亭 法 師 而 法 師 先 有 勢 至 念 佛 章 疏 鈔 
X16n0311_001:0373a08	在余案頭。兩人取卷重閱盡。然興嘆謂。高先生以身	在 余 案 頭 兩 人 取 卷 重 閱 盡 然 興 嘆 謂 高 先 生 以 身 
X16n0311_001:0373a09	踐為救時之藥語也。遂命兒子。募資刻之。刻既竣。法	踐 為 救 時 之 藥 語 也 遂 命 兒 子 募 資 刻 之 刻 既 竣 法 
X16n0311_001:0373a10	師復謂余弁其首。余惟華嚴大經德雲首宣念佛法	師 復 謂 余 弁 其 首 余 惟 華 嚴 大 經 德 雲 首 宣 念 佛 法 
X16n0311_001:0373a11	門。馬鳴菩薩立論之祖。念佛與止觀並重。而楞嚴為	門 馬 鳴 菩 薩 立 論 之 祖 念 佛 與 止 觀 並 重 而 楞 嚴 為 
X16n0311_001:0373a12	譚性之書。然勢至念佛一章列在圓通禪宗下。不能	譚 性 之 書 然 勢 至 念 佛 一 章 列 在 圓 通 禪 宗 下 不 能 
X16n0311_001:0373a13	抑蓮宗為非歸源見性之途也明矣。今彌陀疏鈔。龍	抑 蓮 宗 為 非 歸 源 見 性 之 途 也 明 矣 今 彌 陀 疏 鈔 龍 
X16n0311_001:0373a14	舒淨土等文。布在禪林。惟勢至章。僅附本經。而未有	舒 淨 土 等 文 布 在 禪 林 惟 勢 至 章 僅 附 本 經 而 未 有 
X16n0311_001:0373a15	耑行之疏。法師詮文釋義。勒成一書。為震旦人添一	耑 行 之 疏 法 師 詮 文 釋 義 勒 成 一 書 為 震 旦 人 添 一 
X16n0311_001:0373a16	重往生舟筏。不可謂非淨土之功臣也又明矣。遂以	重 往 生 舟 筏 不 可 謂 非 淨 土 之 功 臣 也 又 明 矣 遂 以 
X16n0311_001:0373a17	此意。復高先生。而繼之以臆說云。蓮師云。念一佛名。	此 意 復 高 先 生 而 繼 之 以 臆 說 云 蓮 師 云 念 一 佛 名 
X16n0311_001:0373a18	換彼百千萬億之雜念也。即念即空。居然本體。非於	換 彼 百 千 萬 億 之 雜 念 也 即 念 即 空 居 然 本 體 非 於 
X16n0311_001:0373a19	念外別得菩提。又云。執持名號。至於一心。則復還空	念 外 別 得 菩 提 又 云 執 持 名 號 至 於 一 心 則 復 還 空 
X16n0311_001:0373a20	寂之體。又云。當知淨土唯心更無外境。自性還歸本	寂 之 體 又 云 當 知 淨 土 唯 心 更 無 外 境 自 性 還 歸 本 
X16n0311_001:0373a21	體是願生彼國義。如是則蓮師雖極力主張西方淨	體 是 願 生 彼 國 義 如 是 則 蓮 師 雖 極 力 主 張 西 方 淨 
X16n0311_001:0373a22	土。而不遺宗門見性之旨。彰彰如是矣。則謂見性為	土 而 不 遺 宗 門 見 性 之 旨 彰 彰 如 是 矣 則 謂 見 性 為 
X16n0311_001:0373a23	淨土指歸。而淨土為見性入路。未相違也。見性則掉	淨 土 指 歸 而 淨 土 為 見 性 入 路 未 相 違 也 見 性 則 掉 
X16n0311_001:0373a24	臂皆淨土。而蓮臺自不消。說不見性則淨土非了手。	臂 皆 淨 土 而 蓮 臺 自 不 消 說 不 見 性 則 淨 土 非 了 手 
X16n0311_001:0373b01	而種因要自不退。然則見性與不見性。而念佛修淨	而 種 因 要 自 不 退 然 則 見 性 與 不 見 性 而 念 佛 修 淨 
X16n0311_001:0373b02	土。皆不可忽也。此義似本章所未及言。既以復於高。	土 皆 不 可 忽 也 此 義 似 本 章 所 未 及 言 既 以 復 於 高 
X16n0311_001:0373b03	遂筆之此。以質諸真能念佛人為何如也。	遂 筆 之 此 以 質 諸 真 能 念 佛 人 為 何 如 也 
X16n0311_001:0373b04	康熙庚申長至錢唐戴京曾書	康 熙 庚 申 長 至 錢 唐 戴 京 曾 書 
X16n0311_001:0373b11	 大佛頂首楞嚴經大勢至菩薩念佛圓通章	 大 佛 頂 首 楞 嚴 經 大 勢 至 菩 薩 念 佛 圓 通 章 
X16n0311_001:0373b12	唐　天竺沙門　般剌密帝　譯	唐 天 竺 沙 門 般 剌 密 帝 譯 
X16n0311_001:0373b13	大勢至法王子。與其同倫五十二菩薩。即從座起頂	大 勢 至 法 王 子 與 其 同 倫 五 十 二 菩 薩 即 從 座 起 頂 
X16n0311_001:0373b14	禮佛足。而白佛言。	禮 佛 足 而 白 佛 言 
X16n0311_001:0373b15	我憶往昔恒河沙劫。有佛出世。名無量光。十二如來	我 憶 往 昔 恒 河 沙 劫 有 佛 出 世 名 無 量 光 十 二 如 來 
X16n0311_001:0373b16	相繼一劫。其最後佛。名超日月光。彼佛教我念佛三	相 繼 一 劫 其 最 後 佛 名 超 日 月 光 彼 佛 教 我 念 佛 三 
X16n0311_001:0373b17	昧。譬如有人。一專為憶。一人專忘。如是二人。若逢不	昧 譬 如 有 人 一 專 為 憶 一 人 專 忘 如 是 二 人 若 逢 不 
X16n0311_001:0373b18	逢。或見非見。二人相憶。二憶念深。如是乃至從生至	逢 或 見 非 見 二 人 相 憶 二 憶 念 深 如 是 乃 至 從 生 至 
X16n0311_001:0373b19	生。同於形影不相乖異。十方如來。憐念眾生如母憶	生 同 於 形 影 不 相 乖 異 十 方 如 來 憐 念 眾 生 如 母 憶 
X16n0311_001:0373b20	子。若子逃逝。雖憶何為。子若憶母如母憶時。母子歷	子 若 子 逃 逝 雖 憶 何 為 子 若 憶 母 如 母 憶 時 母 子 歷 
X16n0311_001:0373b21	生不相違遠。若眾生心憶佛念佛。現前當來必定見	生 不 相 違 遠 若 眾 生 心 憶 佛 念 佛 現 前 當 來 必 定 見 
X16n0311_001:0373b22	佛。去佛不遠。不假方便自得心開。如染香人身有香	佛 去 佛 不 遠 不 假 方 便 自 得 心 開 如 染 香 人 身 有 香 
X16n0311_001:0373b23	氣。此則名為香光莊嚴。我本因地。以念佛心入無生	氣 此 則 名 為 香 光 莊 嚴 我 本 因 地 以 念 佛 心 入 無 生 
X16n0311_001:0373b24	忍。今於此界。攝念佛人。歸於淨土。	忍 今 於 此 界 攝 念 佛 人 歸 於 淨 土 
X16n0311_001:0373c01	佛問圓通。我無選擇。都攝六根。淨念相繼。得三摩地。	佛 問 圓 通 我 無 選 擇 都 攝 六 根 淨 念 相 繼 得 三 摩 地 
X16n0311_001:0373c02	斯為第一。	斯 為 第 一 
X16n0311_001:0373c03	(楞嚴云。佛告阿難。若復有人。身具四重十波羅夷。瞬	 楞 嚴 云 佛 告 阿 難 若 復 有 人 身 具 四 重 十 波 羅 夷 瞬 
X16n0311_001:0373c04	息即經此方他方阿鼻地獄。乃至窮盡十方無間靡	息 即 經 此 方 他 方 阿鼻地獄 乃 至 窮 盡 十 方 無 間 靡 
X16n0311_001:0373c05	不經歷。能以一念。將此法門。於末劫中開示未學。是	不 經 歷 能 以 一 念 將 此 法 門 於 末 劫 中 開 示 未 學 是 
X16n0311_001:0373c06	人罪障應念銷滅。變其所受地獄苦因成安樂國。則	人 罪 障 應 念 銷 滅 變 其 所 受 地 獄 苦 因 成 安 樂 國 則 
X16n0311_001:0373c07	此章經。誠為銷罪之巨冶。愈病之靈丹。修心之捷徑。	此 章 經 誠 為 銷 罪 之 巨 冶 愈 病 之 靈 丹 修 心 之 捷 徑 
X16n0311_001:0373c08	求生之要術也。若能常持。無苦不除。無樂不與。無願	求 生 之 要 術 也 若 能 常 持 無 苦 不 除 無 樂 不 與 無 願 
X16n0311_001:0373c09	不遂。無果不得。凡見聞者。宜三復焉)。	不 遂 無 果 不 得 凡 見 聞 者 宜 三 復 焉 
X16n0311_001:0373c10	日誦式	日 誦 式 
X16n0311_001:0373c11	(人有三等。一者極閒人。應當晝夜六時持經念佛。	 人 有 三 等 一 者 極 閒 人 應 當 晝 夜 六 時 持 經 念 佛 
X16n0311_001:0373c12	二者半閒半忙人。應當每日晨昏二時一心持念。	二 者 半 閒 半 忙 人 應 當 每 日 晨 昏 二 時 一 心 持 念 
X16n0311_001:0373c13	三者極忙人。應當每日晨朝一時專心持念。誦時	三 者 極 忙 人 應 當 每 日 晨 朝 一 時 專 心 持 念 誦 時 
X16n0311_001:0373c14	之式。先本師三稱。次舉勢至章一遍。往生咒三遍。	之 式 先 本 師 三 稱 次 舉 勢 至 章 一 遍 往 生 咒 三 遍 
X16n0311_001:0373c15	讚佛偈一遍。佛名百聲千聲萬聲隨意。三菩薩名	讚 佛 偈 一 遍 佛 名 百 聲 千 聲 萬 聲 隨 意 三 菩 薩 名 
X16n0311_001:0373c16	每各十聲。後發願迴向偈一遍。未誦前。已誦後。俱	每 各 十 聲 後 發 願 迴 向 偈 一 遍 未 誦 前 已 誦 後 俱 
X16n0311_001:0373c17	要對聖像前合掌三禮。如無佛像。對經對空禮拜	要 對 聖 像 前 合 掌 三 禮 如 無 佛 像 對 經 對 空 禮 拜 
X16n0311_001:0373c18	亦可。果能如此常行無間。佛必哀憐。凡有求願。無	亦 可 果 能 如 此 常 行 無 間 佛 必 哀 憐 凡 有 求 願 無 
X16n0311_001:0373c19	不遂者。臨命終時。佛與聖眾。放光接引。徑生極樂	不 遂 者 臨命終時 佛 與 聖 眾 放 光 接 引 徑 生 極 樂 
X16n0311_001:0373c20	矣。行者當生信願。切勿疑忽。此明每日經佛並舉	矣 行 者 當 生 信 願 切 勿 疑 忽 此 明 每 日 經 佛 並 舉 
X16n0311_001:0373c21	式也。若單佛名。極閒者。除六時外。應當時刻念佛	式 也 若 單 佛 名 極 閒 者 除 六 時 外 應 當 時 刻 念 佛 
X16n0311_001:0373c22	無間。半間半忙者。應當營事已畢即便念佛。極忙	無 間 半 間 半 忙 者 應 當 營 事 已 畢 即 便 念 佛 極 忙 
X16n0311_001:0373c23	者。應當忙裏偷閒十念念佛。此方名為不虗度也。	者 應 當 忙 裏 偷 閒 十 念 念 佛 此 方 名 為 不 虗 度 也 
X16n0311_001:0373c24	盡此一生。一日無有暫廢。則自念佛心口。當必成	盡 此 一 生 一 日 無 有 暫 廢 則 自 念 佛 心 口 當 必 成 
X16n0311_001:0373c25	佛心口。經云。行與佛同。受佛氣分。入如	佛 心 口 經 云 行 與 佛 同 受 佛 氣 分 入 如 
X16n0311_001:0373c26	來種。親為佛子。不其然哉)。	來 種 親 為 佛 子 不 其 然 哉 
X16n0311_001:0373c27	南無本師釋迦牟尼佛(三稱)(次勢至章畢舉往生呪)。	南 無 本 師 釋 迦 牟 尼 佛 三 稱 次 勢 至 章 畢 舉 往 生 呪 
X16n0311_001:0374a01	南無阿彌哆婆夜(一)哆他伽哆夜(二)哆地夜他(三)阿	南 無 阿 彌 哆 婆 夜 一 哆 他 伽 哆 夜 二 哆 地 夜 他 三 阿 
X16n0311_001:0374a02	彌利都婆毗(四)阿彌利哆(五)悉躭婆毗(六)阿彌利哆	彌 利 都 婆 毗 四 阿 彌 利 哆 五 悉 躭 婆 毗 六 阿 彌 利 哆 
X16n0311_001:0374a03	(七)毗迦蘭帝(八)阿彌利哆(九)毗迦蘭哆(十)伽彌膩(十一)	 七 毗 迦 蘭 帝 八 阿 彌 利 哆 九 毗 迦 蘭 哆 十 伽 彌 膩 十 一 
X16n0311_001:0374a04	伽伽那(十二)枳多迦利(十三)娑婆訶(十四)	伽 伽 那 十 二 枳 多 迦 利 十 三 娑 婆 訶 十 四 
X16n0311_001:0374a05	(不思議神力傳云。持呪之法。淨身漱口。然香佛前。晝	 不 思 議 神 力 傳 云 持 呪 之 法 淨 身 漱 口 然 香 佛 前 晝 
X16n0311_001:0374a06	夜六時。各誦三七遍。能滅五逆謗法等罪。誦滿三十	夜 六 時 各 誦 三 七 遍 能 滅 五 逆 謗 法 等 罪 誦 滿 三 十 
X16n0311_001:0374a07	萬遍。即見阿彌陀佛。彌陀疏鈔云。若有善男子善女	萬 遍 即 見 阿 彌 陀 佛 彌 陀 疏 鈔 云 若 有 善 男 子 善 女 
X16n0311_001:0374a08	人。能誦此呪者。阿彌陀佛常住其頂。日夜擁護。無令	人 能 誦 此 呪 者 阿 彌 陀 佛 常 住 其 頂 日 夜 擁 護 無 令 
X16n0311_001:0374a09	怨家而得其便。現世常得安隱。臨命終時。任運往生)。	怨 家 而 得 其 便 現 世 常 得 安 隱 臨命終時 任 運 往 生 
X16n0311_001:0374a10	次舉讚佛偈。	次 舉 讚 佛 偈 
X16n0311_001:0374a11	　阿彌陀佛身金色　　相好光明無等倫	 阿 彌 陀 佛 身 金 色 相 好 光 明 無 等 倫 
X16n0311_001:0374a12	　白毫宛轉五須彌　　紺目澄清四大海	 白 毫 宛 轉 五 須 彌 紺 目 澄 清 四 大 海 
X16n0311_001:0374a13	　光中化佛無數億　　化菩薩眾亦無邊	 光 中 化 佛 無 數 億 化 菩 薩 眾 亦 無 邊 
X16n0311_001:0374a14	　四十八願度眾生　　九品咸令登彼岸	 四 十 八 願 度 眾 生 九 品 咸 令 登 彼 岸 
X16n0311_001:0374a15	南無西方極樂世界大慈大悲阿彌陀佛(百千萬聲隨意)	南 無 西方極樂 世 界 大慈大悲 阿 彌 陀 佛 百 千 萬 聲 隨 意 
X16n0311_001:0374a16	　南無觀世音菩薩　南無大勢至菩薩	 南 無 觀 世 音 菩 薩 南 無 大 勢 至 菩 薩 
X16n0311_001:0374a17	　南無清淨大海眾菩薩(各十稱)(後舉發願迴向偈)。	 南 無 清 淨 大 海 眾 菩 薩 各 十 稱 後 舉 發 願 迴 向 偈 
X16n0311_001:0374a18	我今稱念阿彌陀真實功德佛名號。惟願慈悲哀攝	我 今 稱 念 阿 彌 陀 真 實 功 德 佛 名 號 惟 願 慈 悲 哀 攝 
X16n0311_001:0374a19	受。證知懺悔及所願。往昔所造諸惡業。皆由無始貪	受 證 知 懺 悔 及 所 願 往 昔 所 造 諸 惡 業 皆 由 無 始 貪 
X16n0311_001:0374a20	瞋癡。從身語意之所生。一切我今皆懺悔。願我臨欲	瞋 癡 從 身 語 意 之 所 生 一 切 我 今 皆 懺 悔 願 我 臨 欲 
X16n0311_001:0374a21	命終時。盡除一切諸障礙。面見彼佛阿彌陀。即得往	命 終 時 盡 除 一 切 諸 障 礙 面 見 彼 佛 阿 彌 陀 即 得 往 
X16n0311_001:0374a22	生安樂剎。願以此功德。莊嚴佛淨土。上報四重恩。下	生 安 樂 剎 願 以 此 功 德 莊 嚴 佛 淨 土 上 報 四 重 恩 下 
X16n0311_001:0374a23	濟三途苦。若有見聞者。悉發菩提心。盡此一報身。同	濟 三 途 苦 若 有 見 聞 者 悉 發菩提心 盡 此 一 報 身 同 
X16n0311_001:0374a24	生極樂國。十方三世一切佛。一切菩薩摩訶薩。摩訶	生 極 樂 國 十 方 三 世 一 切 佛 一切菩薩 摩 訶 薩 摩 訶 
X16n0311_001:0374b01	般若波羅蜜(一遍)(此當對佛跪念念畢起身三禮而退)。	般 若 波 羅 蜜 一 遍 此 當 對 佛 跪 念 念 畢 起 身 三 禮 而 退 
X16n0311_001:0374b02	(偈云。一日無常到。方知夢裏人。萬般將不去。唯有業	 偈 云 一 日 無 常 到 方 知 夢 裏 人 萬 般 將 不 去 唯 有 業 
X16n0311_001:0374b03	隨身。如何是萬般將不去。官爵財寶屋宅田園衣服	隨 身 如 何 是 萬 般 將 不 去 官 爵 財 寶 屋 宅 田 園 衣 服 
X16n0311_001:0374b04	飲食乃至嬌妻愛子。無常到來。都是將不去者。如何	飲 食 乃 至 嬌 妻 愛 子 無 常 到 來 都 是 將 不 去 者 如 何 
X16n0311_001:0374b05	是唯有業隨身。人生所造。貪瞋癡慢五逆十惡惡業。	是 唯 有 業 隨 身 人 生 所 造 貪 瞋 癡 慢 五 逆 十 惡 惡 業 
X16n0311_001:0374b06	戒定慧施五戒十善善業。無常到來。盡皆緊隨你者。	戒 定 慧 施 五 戒 十 善 善 業 無 常 到 來 盡 皆 緊 隨 你 者 
X16n0311_001:0374b07	楞嚴云。臨命終時。未捨煖觸。一生善惡俱時頓現。惡	楞 嚴 云 臨命終時 未 捨 煖 觸 一 生 善 惡 俱 時 頓 現 惡 
X16n0311_001:0374b08	者便感三途苦報。善者便感人天樂報。若善心中。兼	者 便 感 三 途 苦 報 善 者 便 感 人 天 樂 報 若 善 心 中 兼 
X16n0311_001:0374b09	有信願。念佛求生。便現極樂佛土境相。行願品云。是	有 信 願 念 佛 求 生 便 現 極 樂 佛 土 境 相 行 願 品 云 是 
X16n0311_001:0374b10	人終時。一切諸根悉皆散壞。一切親屬悉皆捨離。一	人 終 時 一 切 諸 根 悉 皆 散 壞 一 切 親 屬 悉 皆 捨 離 一 
X16n0311_001:0374b11	切威勢悉皆退失。象馬車乘珍寶伏藏無復相隨。唯	切 威 勢 悉 皆 退 失 象 馬 車 乘 珍 寶 伏 藏 無 復 相 隨 唯 
X16n0311_001:0374b12	此願王。於一切時引導其前。一剎那中。即得往生極	此 願 王 於一切時 引 導 其 前 一 剎 那 中 即 得 往 生 極 
X16n0311_001:0374b13	樂世界。見彌陀佛及諸聖眾。既然如是。何不趂此強	樂 世 界 見 彌 陀 佛 及 諸 聖 眾 既 然 如 是 何 不 趂 此 強 
X16n0311_001:0374b14	健之時努力勤修。善導云。假饒金玉滿堂。難免生老	健 之 時 努 力 勤 修 善 導 云 假 饒 金 玉 滿 堂 難 免 生 老 
X16n0311_001:0374b15	病死。恁汝千般快樂。無常終是到來。惟有徑路修行。	病 死 恁 汝 千 般 快 樂 無 常 終 是 到 來 惟 有 徑 路 修 行 
X16n0311_001:0374b16	但念阿彌陀佛。設待臨終方悔。悔之於後。將何及乎。	但 念 阿 彌 陀 佛 設 待 臨 終 方 悔 悔 之 於 後 將 何 及 乎 
X16n0311_001:0374b17	奉勸諸人。及時修進。生死事大。無常迅速。慎勿以此	奉 勸 諸 人 及 時 修 進 生 死 事 大 無 常 迅 速 慎 勿 以 此 
X16n0311_001:0374b18	為分外也。勉之勉之)。	為 分 外 也 勉 之 勉 之 
X16n0311_001:0374b19	(又淨業人。備三資糧。一者信。信輪迴最苦。信念佛最	 又 淨 業 人 備 三 資 糧 一 者 信 信 輪 迴 最 苦 信 念 佛 最 
X16n0311_001:0374b20	妙。信此土修行難成道果。信願生彼土乃至十念決	妙 信 此 土 修 行 難 成 道 果 信 願 生 彼 土 乃 至 十 念 決 
X16n0311_001:0374b21	得往生。信報生人天福盡還墜。信一生樂土永不退	得 往 生 信 報 生 人 天 福 盡 還 墜 信 一 生 樂 土 永 不 退 
X16n0311_001:0374b22	轉當成正覺。信一稱佛名能滅八十億劫生死重罪	轉 當 成 正 覺 信 一 稱 佛 名 能 滅 八 十 億 劫 生 死 重 罪 
X16n0311_001:0374b23	信念佛之人彌陀攝取病中救護命終來迎。二者願	信 念 佛 之 人 彌 陀 攝 取 病 中 救 護 命 終 來 迎 二 者 願 
X16n0311_001:0374b24	願消業障。願滅眾苦。願心開。願見佛。願淨業成。願生	願 消 業 障 願 滅 眾 苦 願 心 開 願 見 佛 願 淨 業 成 願 生 
X16n0311_001:0374b25	安養。願授記。願度生。三者行。身禮像。口稱名。心觀想	安 養 願 授 記 願 度 生 三 者 行 身 禮 像 口 稱 名 心 觀 想 
X16n0311_001:0374b26	俱要專一絕無散亂。解知信願時蓮華種植也。專念	俱 要 專 一 絕 無 散 亂 解 知 信 願 時 蓮 華 種 植 也 專 念 
X16n0311_001:0374b27	時蓮華出水也。功成時蓮華敷空也。設起疑退心。蓮	時 蓮 華 出 水 也 功 成 時 蓮 華 敷 空 也 設 起 疑 退 心 蓮 
X16n0311_001:0374c01	華又萎矣。由是晝夜六時無有一念貪戀在娑婆。凡	華 又 萎 矣 由 是 晝 夜 六 時 無 有 一 念 貪 戀 在 娑 婆 凡 
X16n0311_001:0374c02	起居衣食語默動靜皆不忘淨土。至於臨命終時。應	起 居 衣 食 語 默 動 靜 皆 不 忘 淨 土 至 於 臨命終時 應 
X16n0311_001:0374c03	當念佛發願。不得怕死貪生。常自念言。我現在身。眾	當 念 佛 發 願 不 得 怕 死 貪 生 常 自 念 言 我 現 在 身 眾 
X16n0311_001:0374c04	苦交纏。不淨流溢。若得捨此。華池托質。受無量樂。事	苦 交 纏 不 淨 流 溢 若 得 捨 此 華 池 托 質 受 無 量 樂 事 
X16n0311_001:0374c05	極稱意。如脫臭弊之衣。得著珍御之服。萬緣放下。身	極 稱 意 如 脫 臭 弊 之 衣 得 著 珍 御 之 服 萬 緣 放 下 身 
X16n0311_001:0374c06	心解脫。纔有病患。莫論輕重便念無常。一心待死。即	心 解 脫 纔 有 病 患 莫 論 輕 重 便 念 無 常 一 心 待 死 即 
X16n0311_001:0374c07	囑一切人。凡來我前為我念佛。不得雜說世務家緣	囑 一 切 人 凡 來 我 前 為 我 念 佛 不 得 雜 說 世 務 家 緣 
X16n0311_001:0374c08	長短再延。法師頻來誡勸依經指示。及到病重捨報	長 短 再 延 法 師 頻 來 誡 勸 依 經 指 示 及 到 病 重 捨 報 
X16n0311_001:0374c09	之際。家人親屬。不得哭泣并發悲歎懊惱之聲。猶恐	之 際 家 人 親 屬 不 得 哭 泣 并 發 悲 歎 懊 惱 之 聲 猶 恐 
X16n0311_001:0374c10	惑亂心神。忘失正念。但高聲朗念阿彌陀佛。守令氣	惑 亂 心 神 忘 失 正 念 但 高 聲 朗 念 阿 彌 陀 佛 守 令 氣 
X16n0311_001:0374c11	絕神逝。方可舉哀。若如此者。萬求萬生必無疑也。復	絕 神 逝 方 可 舉 哀 若 如 此 者 萬 求 萬 生 必 無 疑 也 復 
X16n0311_001:0374c12	有遇障難者。不得正念往生。如偏風失語。狂亂失心。	有 遇 障 難 者 不 得 正 念 往 生 如 偏 風 失 語 狂 亂 失 心 
X16n0311_001:0374c13	水火雷擊。蟲獸鬼噉。毒藥陣亡。怨賊王難。亦應預懺。	水 火 雷 擊 蟲 獸 鬼 噉 毒 藥 陣 亡 怨 賊 王 難 亦 應 預 懺 
X16n0311_001:0374c14	必蒙佛護。葢念佛者。有六勝益。一諸佛菩薩護念。彌	必 蒙 佛 護 葢 念 佛 者 有 六 勝 益 一 諸佛菩薩 護 念 彌 
X16n0311_001:0374c15	陀住頂放光。諸天神將晝夜冥加。二惡鬼毒藥皆不	陀 住 頂 放 光 諸 天 神 將 晝 夜 冥 加 二 惡 鬼 毒 藥 皆 不 
X16n0311_001:0374c16	能害。三災八難咸悉消除。三宿障冰清怨命解脫。四	能 害 三 災 八 難 咸 悉 消 除 三 宿 障 冰 清 怨 命 解 脫 四 
X16n0311_001:0374c17	氣力充滿無諸橫病。五睡夢吉祥見佛色像。無有非	氣 力 充 滿 無 諸 橫 病 五 睡 夢 吉 祥 見 佛 色 像 無 有 非 
X16n0311_001:0374c18	人奪其精氣。六現為一切禮敬。臨終三聖接引。故知	人 奪其精氣 六 現 為 一 切 禮 敬 臨 終 三 聖 接 引 故 知 
X16n0311_001:0374c19	日常一意念佛。即為預備不虞法矣。如人入城。幹事	日 常 一 意 念 佛 即 為 預 備 不 虞 法 矣 如 人 入 城 幹 事 
X16n0311_001:0374c20	必先覓下安處。抵暮昏黑則有投宿之地。先覓下處	必 先 覓 下 安 處 抵 暮 昏 黑 則 有 投 宿 之 地 先 覓 下 處 
X16n0311_001:0374c21	者。預修淨業也。抵暮昏黑者。大限到來也。有投宿地	者 預 修 淨 業 也 抵 暮 昏 黑 者 大 限 到 來 也 有 投 宿 地 
X16n0311_001:0374c22	者。生蓮華中不遭障難也。人若依此用心。臨終定得	者 生 蓮 華 中 不 遭 障 難 也 人 若 依 此 用 心 臨 終 定 得 
X16n0311_001:0374c23	往生。此又為修淨土者之至囑也)。	往 生 此 又 為 修 淨 土 者 之 至 囑 也 
X16n0311_001:0374c24	(慈雲香嚴行者續法述勸)	 慈 雲 香 嚴 行 者 續 法 述 勸 
X16n0311_001:0375a04	楞嚴經勢至念佛圓通章疏鈔卷上	楞 嚴 經 勢 至 念 佛 圓 通 章 疏 鈔 卷 上 
X16n0311_001:0375a05	清浙水慈雲灌頂沙門　續法集	清 浙 水 慈 雲 灌 頂 沙 門 續 法 集 
X16n0311_001:0375a06	釋此一章。大分為三。初通序大意二。初詳申旨趣	釋 此 一 章 大 分 為 三 初 通 序 大 意 二 初 詳 申 旨 趣 
X16n0311_001:0375a07	三。初通序念佛宗致。	三 初 通 序 念 佛 宗 致 
X16n0311_001:0375a08	大矣哉念佛之為法門也。大小並収。利鈍均攝。事理	大 矣 哉 念 佛 之 為 法 門 也 大 小 並 収 利 鈍 均 攝 事 理 
X16n0311_001:0375a09	圓融。性相無礙。即佛是心。無一心而非心佛。即心是	圓 融 性 相 無 礙 即 佛 是 心 無 一 心 而 非 心 佛 即 心 是 
X16n0311_001:0375a10	佛。無一佛而非佛心。心一憶也佛佛全彰。佛一稱也	佛 無 一 佛 而 非 佛 心 心 一 憶 也 佛 佛 全 彰 佛 一 稱 也 
X16n0311_001:0375a11	心心頓顯。無有心外佛為心所憶。亦無佛外心為佛	心 心 頓 顯 無 有 心 外 佛 為 心 所 憶 亦 無 佛 外 心 為 佛 
X16n0311_001:0375a12	所稱。眾生念佛。佛在眾生心內。佛念眾生。眾生在佛	所 稱 眾 生 念 佛 佛 在 眾 生 心 內 佛 念 眾 生 眾 生 在 佛 
X16n0311_001:0375a13	心中。是心作佛。心不念而佛不作。即佛顯心。佛不稱	心 中 是 心 作 佛 心 不 念 而 佛 不 作 即 佛 顯 心 佛 不 稱 
X16n0311_001:0375a14	而心不顯。則知念佛一門。誠為見性成佛之妙法矣。	而 心 不 顯 則 知 念 佛 一 門 誠 為 見 性 成 佛 之 妙 法 矣 
X16n0311_001:0375a15	大下分二。先釋又二。初總明該攝。大矣哉者。能讚	大 下 分 二 先 釋 又 二 初 總 明 該 攝 大 矣 哉 者 能 讚 
X16n0311_001:0375a16	詞。亦是發語之端也。念下所讚法。初句標體。念佛	詞 亦 是 發 語 之 端 也 念 下 所 讚 法 初 句 標 體 念 佛 
X16n0311_001:0375a17	別也。法門通也。大等四句釋相。初二句人也。大小	別 也 法 門 通 也 大 等 四 句 釋 相 初 二 句 人 也 大 小 
