T85n2864_001:1324a24	進旨	進 旨 
T85n2864_001:1324a26	進旨　皇帝聞語滿目流淚。良久乃言和尚	進 旨 皇 帝 聞 語 滿 目 流 淚 良 久 乃 言 和 尚 
T85n2864_001:1324a27	曰。朕之小國總無供養。上人數年在其內中。	曰 朕 之 小 國 總 無 供 養 上 人 數 年 在 其 內 中 
T85n2864_001:1324a28	朕且無心輕慢。朕雖為人主濫處乾坤。每謝	朕 且 無 心 輕 慢 朕 雖 為 人 主 濫 處 乾 坤 每 謝 
T85n2864_001:1324a29	上人來過小國。伏願和尚慈悲更住。三五日	上 人 來 過 小 國 伏 願 和 尚 慈 悲 更 住 三 五 日 
T85n2864_001:1324b01	間得之已否　遠公曰。若夫涅槃之義本無	間 得 之 已 否 遠 公 曰 若 夫 涅 槃 之 義 本 無 
T85n2864_001:1324b02	攀緣。若有攀緣皆屬忌想。伏願陛下莫懷恫	攀 緣 若 有 攀 緣 皆 屬 忌 想 伏 願 陛 下 莫 懷 恫 
T85n2864_001:1324b03	悵。貧道有願歸山。皇帝見他。遠公語切便	悵 貧 道 有 願 歸 山 皇 帝 見 他 遠 公 語 切 便 
T85n2864_001:1324b04	如情意難留。有勅先報六宮闇裏排比祖送。	如 情 意 難 留 有 勅 先 報 六 宮 闇 裏 排 比 祖 送 
T85n2864_001:1324b05	是時皇帝慕戀辟宰冲冲合國大臣同時祖	是 時 皇 帝 慕 戀 辟 宰 冲 冲 合 國 大 臣 同 時 祖 
T85n2864_001:1324b06	送。遠公上路離宮□別龍樓。望[山*盧]山而路遠。	送 遠 公 上 路 離 宮 別 龍 樓 望 [山盧] 山 而 路 遠 
T85n2864_001:1324b07	覩江河以逍遙。是日遠公能涉長路而行遂。	覩 江 河 以 逍 遙 是 日 遠 公 能 涉 長 路 而 行 遂 
T85n2864_001:1324b08	即密現神通。遠公既出長安足下雲生。如壯	即 密 現 神 通 遠 公 既 出 長 安 足 下 雲 生 如 壯 
T85n2864_001:1324b09	士展臂須臾之間便至[山*盧]山。遠公亦也不歸	士 展 臂 須臾之間 便 至 [山盧] 山 遠 公 亦 也 不 歸 
T85n2864_001:1324b10	舊寺。相去十里。已來於一峻嶺上權時結	舊 寺 相 去 十 里 已 來 於 一 峻 嶺 上 權 時 結 
T85n2864_001:1324b11	一草菴。彼中結跏敷坐便即重尋舊卷。再舉	一 草 菴 彼 中 結 跏 敷 坐 便 即 重 尋 舊 卷 再 舉 
T85n2864_001:1324b12	經聲荏苒之間。又經數月。遠公忽望高原。乃	經 聲 荏 苒 之 間 又 經 數 月 遠 公 忽 望 高 原 乃 
T85n2864_001:1324b13	喚此上。其境峻峯鶴鳴澗下龍吟。百谷千峯	喚 此 上 其 境 峻 峯 鶴 鳴 澗 下 龍 吟 百 谷 千 峯 
T85n2864_001:1324b14	例皆花發。地平長流之水。薗開不朽之花。是	例 皆 花 發 地 平 長 流 之 水 薗 開 不 朽 之 花 是 
T85n2864_001:1324b15	如來修行之處。於是遠公正坐入其三昧。然	如 來 修 行 之 處 於 是 遠 公 正 坐 入 其 三 昧 然 
T85n2864_001:1324b16	淨意澄心思惟佛道念浮生不久想凡世而無	淨 意 澄 心 思 惟 佛 道 念 浮 生 不 久 想 凡 世 而 無 
T85n2864_001:1324b17	愖便將自性心王造一法船歸依上界。遠公	愖 便 將 自 性 心 王 造 一 法 船 歸 依 上 界 遠 公 
T85n2864_001:1324b18	造船不用。凡間料□也。不要諸般。自持無	造 船 不 用 凡 間 料 也 不 要 諸 般 自 持 無 
T85n2864_001:1324b19	漏。大乘已為欖李。菩提般若用作拘欗。金剛	漏 大 乘 已 為 欖 李 菩 提 般 若 用 作 拘 欗 金 剛 
T85n2864_001:1324b20	密迹已為。	密 迹 已 為 
