T85n2738_001:0129b03	金剛經疏	金 剛 經 疏 
T85n2738_001:0129b05	故女人以嗔為力。欲有所索必先嗔故。國王	故 女 人 以 嗔 為 力 欲 有 所 索 必 先 嗔 故 國 王 
T85n2738_001:0129b06	以嬌豪為力。羅漢以精進為力。諸佛以大悲	以 嬌 豪 為 力 羅 漢 以 精 進 為 力 諸 佛 以 大 悲 
T85n2738_001:0129b07	為力。比丘以忍為力。故遺教經云。能行忍者。	為 力 比 丘 以 忍 為 力 故 遺 教 經 云 能 行 忍 者 
T85n2738_001:0129b08	乃可名為有力大人。七佛偈云。忍辱第一道。	乃 可 名 為 有 力 大 人 七 佛 偈 云 忍 辱 第 一 道 
T85n2738_001:0129b09	佛說無為最出家惱他人不名為沙門。忍雖	佛 說 無 為 最 出 家 惱 他 人 不 名 為 沙 門 忍 雖 
T85n2738_001:0129b10	有三。今此中取無生法忍。何以故。依經起行。	有 三 今 此 中 取 無生法忍 何 以 故 依 經 起 行 
T85n2738_001:0129b11	無人法二執故。文中有三。一能忍。二無苦。三	無 人 法 二 執 故 文 中 有 三 一 能 忍 二 無 苦 三 
T85n2738_001:0129b12	有樂。此明能忍也。無生法忍。唯諸佛之所窮	有 樂 此 明 能 忍 也 無生法忍 唯 諸 佛 之 所 窮 
T85n2738_001:0129b13	故。名如來忍辱波羅蜜。非餘人之能究故。說	故 名 如 來 忍 辱 波 羅 蜜 非 餘 人 之 能 究 故 說 
T85n2738_001:0129b14	非波羅蜜。今言忍辱波羅蜜者。是如來清淨	非波羅蜜 今 言 忍 辱 波 羅 蜜 者 是 如 來 清 淨 
T85n2738_001:0129b15	善根。非波羅蜜者。非二乘人善根。若然者	善 根 非波羅蜜 者 非 二 乘 人 善 根 若 然 者 
T85n2738_001:0129b16	依經起行。既生無生之勝忍。豈見苦受之所	依 經 起 行 既 生 無 生 之 勝 忍 豈 見 苦 受 之 所 
T85n2738_001:0129b17	倦哉。故偈曰。	倦 哉 故 偈 曰 
T85n2738_001:0129b18	　能忍於苦行　　以苦行有善	 能 忍 於 苦 行 以 苦 行 有 善 
T85n2738_001:0129b19	　彼福不可量　　如是最勝義	 彼 福 不 可 量 如 是 最 勝 義 
T85n2738_001:0129b20	能忍於苦行者。依經起苦行能忍也。以苦行	能 忍 於 苦 行 者 依 經 起 苦 行 能 忍 也 以 苦 行 
T85n2738_001:0129b21	有善者。由此苦行以清淨忍善根為體故。言	有 善 者 由 此 苦 行 以 清 淨 忍 善 根 為 體 故 言 
T85n2738_001:0129b22	有善也。彼福不可量者。彼忍善根非餘人所	有 善 也 彼 福 不 可 量 者 彼 忍 善 根 非 餘 人 所 
T85n2738_001:0129b23	惻量也。如是最勝義者。唯如來之所量也。故	惻 量 也 如 是 最 勝 義 者 唯 如 來 之 所 量 也 故 
T85n2738_001:0129b24	曰忍辱波羅蜜說非忍辱波羅蜜。	曰 忍 辱 波 羅 蜜 說 非 忍 辱 波 羅 蜜 
T85n2738_001:0129b25	經曰。何以故至無壽者相者。自下明無苦。一	經 曰 何 以 故 至 無 壽 者 相 者 自 下 明 無 苦 一 
T85n2738_001:0129b26	立無苦二證無苦。此立也。前明有若而能忍。	立 無 苦 二 證 無 苦 此 立 也 前 明 有 若 而 能 忍 
T85n2738_001:0129b27	此明有忍故無苦。何者若見自我他我之異。	此 明 有 忍 故 無 苦 何 者 若 見 自 我 他 我 之 異 
T85n2738_001:0129b28	便見能害所害之殊。我於爾時依經修行。既	便 見 能 害 所 害 之 殊 我 於 爾 時 依 經 修 行 既 
T85n2738_001:0129b29	無兩我之執。則不見歌利為能害我身為所	無 兩 我 之 執 則 不 見 歌 利 為 能 害 我 身 為 所 
T85n2738_001:0129c01	害。既無兩害之體。苦受從誰兩生。論經云。	害 既 無 兩 害 之 體 苦 受 從 誰 兩 生 論 經 云 
T85n2738_001:0129c02	無我相人相眾生相壽者。相無相亦非無相。	無 我 相 人 相 眾 生 相 壽 者 相 無 相 亦 非 無 相 
T85n2738_001:0129c03	真諦云。無我等相者無自相也。無相者無他	真 諦 云 無 我 等 相 者 無 自 相 也 無 相 者 無 他 
T85n2738_001:0129c04	也。亦非無相者非不有悲智相也。無著云。能	也 亦 非 無 相 者 非 不 有 悲 智 相 也 無 著 云 能 
