T51n2096_001:1052a17	天台山記	天 台 山 記 
T51n2096_001:1052a19	方瀛觀徐徵君纂	方 瀛 觀 徐 徵 君 纂 
T51n2096_001:1052a20	孫綽云。涉海則有方丈蓬萊。登陸則有四明	孫 綽 云 涉 海 則 有 方 丈 蓬 萊 登 陸 則 有 四 明 
T51n2096_001:1052a21	天台。信矣哉。蓋寰瀛之靈塘。三清之別館	天 台 信 矣 哉 蓋 寰 瀛 之 靈 塘 三 清 之 別 館 
T51n2096_001:1052a22	按真誥云。天台山高一萬八千丈。周迴八百	按 真 誥 云 天 台 山 高 一 萬 八 千 丈 周 迴 八 百 
T51n2096_001:1052a23	里。山有八重。四面如一。當牛斗之分。以其上	里 山 有 八 重 四 面 如 一 當 牛 斗 之 分 以 其 上 
T51n2096_001:1052a24	應台宿光輔紫宸故。名天台。亦曰。桐柏棲	應 台 宿 光 輔 紫 宸 故 名 天 台 亦 曰 桐 柏 棲 
T51n2096_001:1052a25	山陶隱居登真。隱訣云。大少台處五縣中央。	山 陶 隱 居 登 真 隱 訣 云 大 少 台 處 五 縣 中 央 
T51n2096_001:1052a26	(即餘姚臨海處興句章剡縣是)大小台乃桐柏山六里乃至二石	 即 餘 姚 臨 海 處 興 句 章 剡 縣 是 大 小 台 乃 桐 柏 山 六 里 乃 至 二 石 
T51n2096_001:1052a27	橋。先得小者。復行百餘里。更得大者。在最高	橋 先 得 小 者 復 行 百 餘 里 更 得 大 者 在 最 高 
T51n2096_001:1052a28	處。採藥人髣髴見之。石屏虹梁與畫相似。又	處 採 藥 人 髣 髴 見 之 石 屏 虹 梁 與 畫 相 似 又 
T51n2096_001:1052a29	見玉堂金闕。望橋邊有蓮花。狀大如車輪。其	見 玉 堂 金 闕 望 橋 邊 有 蓮 花 狀 大 如 車 輪 其 
T51n2096_001:1052b01	花恍惚不可熟見。大小台者。以石橋之大少	花 恍 惚 不 可 熟 見 大 小 台 者 以 石 橋 之 大 少 
T51n2096_001:1052b02	為名。據此說。即天台與桐柏二山。相接而	為 名 據 此 說 即 天 台 與 桐 柏 二 山 相 接 而 
T51n2096_001:1052b03	小異也。按長康啟蒙記云。天台山在會稽郡	小 異 也 按 長 康 啟 蒙 記 云 天 台 山 在 會 稽 郡 
