T85n2766_001:0306a04	藥師經疏	藥 師 經 疏 
T85n2766_001:0306a06	六是五根揵度。七是定揵度。八是見揵度。	六 是 五 根 揵 度 七 是 定 揵 度 八 是 見 揵 度 
T85n2766_001:0306a07	尋此人□是奢摩達多。何以知之。毘婆沙云。	尋 此 人 是 奢 摩 達 多 何 以 知 之 毘 婆 沙 云 
T85n2766_001:0306a08	奢摩達多能知是義。其時入定不得諮問。入	奢 摩 達 多 能 知 是 義 其 時 入 定 不 得 諮 問 入 
T85n2766_001:0306a09	定已後迦旃延造論。第二是佛滅度後六百	定 已 後 迦 旃 延 造 論 第 二 是 佛 滅 度 後 六 百 
T85n2766_001:0306a10	年中有五百羅漢。共師迦旃延造毘婆沙有	年 中 有 五 百 羅 漢 共 師 迦 旃 延 造 毘 婆 沙 有 
T85n2766_001:0306a11	百分。毘婆沙此云眾說。五百羅漢大眾共說。	百 分 毘 婆 沙 此 云 眾 說 五 百 羅 漢 大 眾 共 說 
T85n2766_001:0306a12	此即解八揵度。荊女五分釋雜揵度。次女五	此 即 解 八 揵 度 荊 女 五 分 釋 雜 揵 度 次 女 五 
T85n2766_001:0306a13	分釋使揵度。次有十分釋智揵度。合有六十	分 釋 使 揵 度 次 有 十 分 釋 智 揵 度 合 有 六 十 
T85n2766_001:0306a14	分流傳此土。餘四十分釋後諸揵度。涼州亂	分 流 傳 此 土 餘 四 十 分 釋 後 諸 揵 度 涼 州 亂 
T85n2766_001:0306a15	失本不來。復有鞞婆沙有十四分。不出姓名。	失 本 不 來 復 有 鞞 婆 沙 有 十 四 分 不 出 姓 名 
T85n2766_001:0306a16	似是毘婆沙抄也。第二佛滅度後七百年中。	似 是 毘 婆 沙 抄 也 第 二 佛 滅 度 後 七 百 年 中 
T85n2766_001:0306a17	有法勝比丘。造四分毘曇。嫌毘婆沙廣博難	有 法 勝 比 丘 造 四 分 毘 曇 嫌 毘 婆 沙 廣 博 難 
T85n2766_001:0306a18	尋故。擇採毘婆沙要解。二百五十偈以為四	尋 故 擇 採 毘 婆 沙 要 解 二百五十 偈 以 為 四 
T85n2766_001:0306a19	分。即阿毘曇心。此謂為無比法所明無漏慧	分 即 阿 毘 曇 心 此 謂 為 無 比 法 所 明 無 漏 慧 
T85n2766_001:0306a20	解隔凡成聖無能比者。王領諸數明其四分	解 隔 凡 成 聖 無 能 比 者 王 領 諸 數 明 其 四 分 
T85n2766_001:0306a21	領諸論也。第四佛滅度後八百年中。有達摩	領 諸 論 也 第 四 佛 滅 度 後 八 百 年 中 有 達 摩 
T85n2766_001:0306a22	多羅。造雜心有十四分。即是論主之師。所	多 羅 造 雜 心 有 十 四 分 即 是 論 主 之 師 所 
T85n2766_001:0306a23	明眾多不止一義故言雜也。其謂毘婆沙太	明 眾 多 不 止 一 義 故 言 雜 也 其 謂 毘 婆 沙 太 
T85n2766_001:0306a24	廣難尋。法勝四分略而難見。取毘婆沙三	廣 難 尋 法 勝 四 分 略 而 難 見 取 毘 婆 沙 三 
T85n2766_001:0306a25	百五十偈。足法勝為六百偈。故其文云。極	百 五 十 偈 足 法 勝 為 六 百 偈 故 其 文 云 極 
T85n2766_001:0306a26	略難解知。極廣令智退。我今處中說。廣說	略 難 解 知 極 廣 令 智 退 我 今 處 中 說 廣 說 
T85n2766_001:0306a27	義莊嚴。略難解知非毘曇之略。廣令智退	義 莊 嚴 略 難 解 知 非 毘 曇 之 略 廣 令 智 退 
T85n2766_001:0306a28	斥婆沙太廣。此等四論皆是薩婆多部。皆	斥 婆 沙 太 廣 此 等 四 論 皆 是 薩 婆 多 部 皆 
T85n2766_001:0306a29	明見有得道。次有成實論來。有師言。是曇	明 見 有 得 道 次 有 成 實 論 來 有 師 言 是 曇 
T85n2766_001:0306b01	無德部論。或言譬喻部。今謂此論無的譡	無 德 部 論 或 言 譬 喻 部 今 謂 此 論 無 的 譡 
T85n2766_001:0306b02	一部遍採眾家之義釋善者而從之。後佛滅	一 部 遍 採 眾 家 之 義 釋 善 者 而 從 之 後 佛 滅 
T85n2766_001:0306b03	度後五百年中。有人有法名為正法。六百	度 後 五 百 年 中 有 人 有 法 名 為 正 法 六 百 
T85n2766_001:0306b04	年去此為像法故。言願為未來像法眾生也。	年 去 此 為 像 法 故 言 願 為 未 來 像 法 眾 生 也 
T85n2766_001:0306b05	又應知五百年後魔王出世欲壞佛法。於時	又 應 知 五 百 年 後 魔 王 出 世 欲 壞 佛 法 於 時 
