T45n1872_001:0597a03	華嚴策林	華 嚴 策 林 
T45n1872_001:0597a05	右唐賢首國師述	右 唐 賢 首 國 師 述 
T45n1872_001:0597a06	夫華嚴宗旨。其義不一。究其了說。總明因果	夫 華 嚴 宗 旨 其 義 不 一 究 其 了 說 總 明 因 果 
T45n1872_001:0597a07	二門。因即普賢行願。果即舍那業用。此諸	二 門 因 即 普 賢 行 願 果 即 舍 那 業 用 此 諸 
T45n1872_001:0597a08	界為體。緣起為用。體用全收。圓通一際。語其	界 為 體 緣 起 為 用 體 用 全 收 圓 通 一 際 語 其 
T45n1872_001:0597a09	所以。不出緣起。以義迴轉。鎔達有空。隨智鑑	所 以 不 出 緣 起 以 義 迴 轉 鎔 達 有 空 隨 智 鑑 
T45n1872_001:0597a10	用。即說多門。隨體湛宗。即說一義。若論玄	用 即 說 多 門 隨 體 湛 宗 即 說 一 義 若 論 玄 
T45n1872_001:0597a11	旨。一多不可。然以不為了一不多為了多。	旨 一 多 不 可 然 以 不 為 了 一 不 多 為 了 多 
T45n1872_001:0597a12	恒存常空常有。大況如此。粗陳梗概。今就要	恒 存 常 空 常 有 大 況 如 此 粗 陳 梗 概 今 就 要 
T45n1872_001:0597a13	義。略申問答。但述大意。餘屬經文。庶得道君	義 略 申 問 答 但 述 大 意 餘 屬 經 文 庶 得 道 君 
T45n1872_001:0597a14	子。探其趣焉。	子 探 其 趣 焉 
T45n1872_001:0597a15	　一徵普眼　二明理事　三辨正因　四融	 一 徵 普 眼 二 明 理 事 三 辨 正 因 四 融 
T45n1872_001:0597a16	大小　五結成壞　六通二界　七明隱顯	大 小 五 結 成 壞 六 通 二 界 七 明 隱 顯 
T45n1872_001:0597a17	　八明因果　九達色空	 八 明 因 果 九 達 色 空 
T45n1872_001:0597a18	一徵普眼	一 徵 普 眼 
T45n1872_001:0597a19	問眼色相依。應有其事。根塵和合。其旨非	問 眼 色 相 依 應 有 其 事 根 塵 和 合 其 旨 非 
T45n1872_001:0597a20	無。緣會現時。云何得不[土*象]境。云何方名普	無 緣 會 現 時 云 何 得 不 [土象] 境 云 何 方 名 普 
T45n1872_001:0597a21	眼　私答曰五緣為因。稱眼為果。若緣發	眼 私 答 曰 五 緣 為 因 稱 眼 為 果 若 緣 發 
T45n1872_001:0597a22	現。即以緣名為眼。若以因沒果中。緣皆號眼。	現 即 以 緣 名 為 眼 若 以 因 沒 果 中 緣 皆 號 眼 
T45n1872_001:0597a23	然則全色為眼。恒見而無緣。全眼為色。恒稱	然 則 全 色 為 眼 恒 見 而 無 緣 全 眼 為 色 恒 稱 
T45n1872_001:0597a24	見而非我。非我離於情想。無緣絕於貪求。收	見 而 非 我 非 我 離 於 情 想 無 緣 絕 於 貪 求 收 
T45n1872_001:0597a25	萬象於目前。全十方於眼際。是以緣義無盡。	萬 象 於 目 前 全 十 方 於 眼 際 是 以 緣 義 無 盡 
T45n1872_001:0597a26	隨見見而不究。物性難見思。應法法而難	隨 見 見 而 不 究 物 性 難 見 思 應 法 法 而 難 
T45n1872_001:0597a27	准。十法則眼普義通。乃見通體久自隱。隱照	准 十 法 則 眼 普 義 通 乃 見 通 體 久 自 隱 隱 照 
T45n1872_001:0597a28	之遂重重。然究十方於眼際。鏡空有而皎	之 遂 重 重 然 究 十 方 於 眼 際 鏡 空 有 而 皎 
T45n1872_001:0597a29	明。收萬象以成身。現理事而通徹。謹對。	明 收 萬 象 以 成 身 現 理 事 而 通 徹 謹 對 
T45n1872_001:0597b01	二明理事	二 明 理 事 
T45n1872_001:0597b02	問緣起事相。分齊歷然。法界理性。無有所。	問 緣 起 事 相 分 齊 歷 然 法 界 理 性 無 有 所 
T45n1872_001:0597b03	若以存壞一。體用不巧。亦通事理。收為不	若 以 存 壞 一 體 用 不 巧 亦 通 事 理 收 為 不 
T45n1872_001:0597b04	二。為祛茲弊。庶皎玄宗　私對。緣起事相。必	二 為 祛 茲 弊 庶 皎 玄 宗 私 對 緣 起 事 相 必 
T45n1872_001:0597b05	收性而方成。法界玄宗。亦依緣而現空。有有	收 性 而 方 成 法 界 玄 宗 亦 依 緣 而 現 空 有 有 
T45n1872_001:0597b06	交徹。體用玄通。言事即有徹空源。談有乃空	交 徹 體 用 玄 通 言 事 即 有 徹 空 源 談 有 乃 空 
T45n1872_001:0597b07	透有表。或時雙奪。纖毫之論不具。或時相成。	透 有 表 或 時 雙 奪 纖 毫 之 論 不 具 或 時 相 成 
T45n1872_001:0597b08	廣大之談並見。現全收事全奪事而為理。	廣 大 之 談 並 見 現 全 收 事 全 奪 事 而 為 理 
T45n1872_001:0597b09	事非別事。物具理而為事。何方空隨有現理	事 非 別 事 物 具 理 而 為 事 何 方 空 隨 有 現 理 
T45n1872_001:0597b10	遂事彰。一際通觀。萬物可定者矣。謹對。	遂 事 彰 一 際 通 觀 萬 物 可 定 者 矣 謹 對 
T45n1872_001:0597b11	三辨正因	三 辨 正 因 
T45n1872_001:0597b12	問今時修道入行。必應見佛求法。從因至果。	問 今 時 修 道 入 行 必 應 見 佛 求 法 從 因 至 果 
T45n1872_001:0597b13	函蓋相依。若見三十二相為因。遂即無相可	函 蓋 相 依 若 見 三十二相 為 因 遂 即 無 相 可 
T45n1872_001:0597b14	覩。若詮一空為因。後恐理事懸別。請辨其佛	覩 若 詮 一 空 為 因 後 恐 理 事 懸 別 請 辨 其 佛 
T45n1872_001:0597b15	之因。希聞成佛之果　私對。佛以無生空寂	之 因 希 聞 成 佛 之 果 私 對 佛 以 無 生 空 寂 
T45n1872_001:0597b16	為身。亦以法界無起為體。但證此理。佛隨理	為 身 亦 以 法 界 無 起 為 體 但 證 此 理 佛 隨 理 
T45n1872_001:0597b17	以現身。但入無生。法隨智以顯相。相即無相。	以 現 身 但 入 無 生 法 隨 智 以 顯 相 相 即 無 相 
T45n1872_001:0597b18	色身未足失理。無則不無。空門何得為寔。久	色 身 未 足 失 理 無 則 不 無 空 門 何 得 為 寔 久 
T45n1872_001:0597b19	離寂默。三世之所未審。當已去色聲。六根之	離 寂 默 三 世 之 所 未 審 當 已 去 色 聲 六 根 之 
T45n1872_001:0597b20	所罕接。然後證心內。照理成佛。亦同成靜息	所 罕 接 然 後 證 心 內 照 理 成 佛 亦 同 成 靜 息 
T45n1872_001:0597b21	外緣。智就法亦同就。因滿即果。克發心已成	外 緣 智 就 法 亦 同 就 因 滿 即 果 克 發 心 已 成 
T45n1872_001:0597b22	正覺之基。果滿即因成。得道蓋自初心之本。	正 覺 之 基 果 滿 即 因 成 得 道 蓋 自 初 心 之 本 
T45n1872_001:0597b23	何必全因至果。恐招所得之基全理事。將涉	何 必 全 因 至 果 恐 招 所 得 之 基 全 理 事 將 涉 
T45n1872_001:0597b24	有性之論。謹對。	有 性 之 論 謹 對 
T45n1872_001:0597b25	四融大小	四 融 大 小 
T45n1872_001:0597b26	問有大有小。相狀歷然。一廣一陜。事物差別。	問 有 大 有 小 相 狀 歷 然 一 廣 一 陜 事 物 差 別 
T45n1872_001:0597b27	若以小收大。或恐大失本形。若以大收小。亦	若 以 小 收 大 或 恐 大 失 本 形 若 以 大 收 小 亦 
T45n1872_001:0597b28	恐小傷無質。寬隘即其不等。出入何得相容。	恐 小 傷 無 質 寬 隘 即 其 不 等 出 入 何 得 相 容 
T45n1872_001:0597b29	遮却蒙雲。皎斯智日　私對。大必收小方得	遮 却 蒙 雲 皎 斯 智 日 私 對 大 必 收 小 方 得 
T45n1872_001:0597c01	名大。小必容大乃得小稱。各無自性。大小所	名 大 小 必 容 大 乃 得 小 稱 各 無 自 性 大 小 所 
