X26n0546_001:0841c03	心經說	心 經 說 
X26n0546_001:0841c05	雪浪釋　洪恩　述	雪 浪 釋 洪 恩 述 
X26n0546_001:0841c06	般若心經。是世尊以人顯法。照見蘊空。而明甚深般	般 若 心 經 是 世 尊 以 人 顯 法 照 見 蘊 空 而 明 甚 深 般 
X26n0546_001:0841c07	若也。恐人不解。故自釋之曰。照見五蘊皆空度一切	若 也 恐 人 不 解 故 自 釋 之 曰 照 見 五 蘊 皆 空 度 一 切 
X26n0546_001:0841c08	苦厄。何為蘊空。以其色即是空。空即是色。而受想行	苦 厄 何 為 蘊 空 以 其 色 即 是 空 空 即 是 色 而 受 想 行 
X26n0546_001:0841c09	識。莫不皆空也。恐人不知色即是空之旨。而復釋之	識 莫 不 皆 空 也 恐 人 不 知 色 即 是 空 之 旨 而 復 釋 之 
X26n0546_001:0841c10	曰。是諸法空相。即五蘊之中。生而本自不生。滅亦元	曰 是 諸 法 空 相 即 五 蘊 之 中 生 而 本 自 不 生 滅 亦 元 
X26n0546_001:0841c11	無有滅。不垢不淨不增不減者。既此空相。雖具五蘊	無 有 滅 不垢不淨 不增不減 者 既 此 空 相 雖 具 五 蘊 
X26n0546_001:0841c12	諸法。而原無生滅垢淨增減。則無色無受想行識明	諸 法 而 原 無 生 滅 垢 淨 增 減 則 無 色 無 受 想 行 識 明 
X26n0546_001:0841c13	矣。是為照見五蘊皆空。五蘊既空。則世之根塵識三。	矣 是 為 照 見 五 蘊 皆 空 五 蘊 既 空 則 世 之 根 塵 識 三 
X26n0546_001:0841c14	出世之四諦十二緣。以至能證所證。莫不皆空。既無	出 世 之 四 諦 十 二 緣 以 至 能 證 所 證 莫 不 皆 空 既 無 
X26n0546_001:0841c15	世之陰界。則亦無出世智得也。能所既忘。五蘊何有。	世 之 陰 界 則 亦 無 出 世 智 得 也 能 所 既 忘 五 蘊 何 有 
X26n0546_001:0841c16	故都無所得。方名甚深般若。菩薩依此。而心無罣礙。	故 都 無 所 得 方 名 甚 深 般 若 菩 薩 依 此 而 心 無 罣 礙 
X26n0546_001:0841c17	恐怖遠離顛倒夢想。能至究竟涅槃。三世諸佛依此。	恐 怖 遠 離 顛 倒 夢 想 能 至 究竟涅槃 三世諸佛 依 此 
X26n0546_001:0841c18	而阿耨菩提可得。五住結盡。二死俱忘。何苦惱厄難	而 阿耨菩提 可 得 五 住 結 盡 二 死 俱 忘 何 苦 惱 厄 難 
X26n0546_001:0841c19	而不度耶。皆由照見蘊空。而能如是。故讚嘆之曰。而	而 不 度 耶 皆 由 照 見 蘊 空 而 能 如 是 故 讚 嘆 之 曰 而 
X26n0546_001:0841c20	此蘊空甚深般若。是大明呪神呪。以其能革凡成聖。	此 蘊 空 甚 深 般 若 是 大 明 呪 神 呪 以 其 能 革 凡 成 聖 
X26n0546_001:0841c21	如果裸之呪螟蛉。而不自知。恐人不信。復曰。能除一	如 果 裸 之 呪 螟 蛉 而 不 自 知 恐 人 不 信 復 曰 能 除 一 
X26n0546_001:0841c22	切苦。真實不虗。後說密呪。使人斷言語息思想。而契	切 苦 真 實 不 虗 後 說 密 呪 使 人 斷 言 語 息 思 想 而 契 
X26n0546_001:0841c23	此蘊空般若也。此則但離妄緣。即如如佛。而觀世音	此 蘊 空 般 若 也 此 則 但 離 妄 緣 即 如 如 佛 而 觀 世 音 
X26n0546_001:0841c24	能行此耳。故名自在。以至六百卷大經。以此為心。如	能 行 此 耳 故 名 自 在 以 至 六 百 卷 大 經 以 此 為 心 如 
X26n0546_001:0842a01	人之有心。以為一身之主耳。何等簡易直截明白。而	人 之 有 心 以 為 一 身 之 主 耳 何 等 簡 易 直 截 明 白 而 
X26n0546_001:0842a02	世之裨販之徒。自衒自媒。妄談般若。[這言+(一/ㄙ)]橫生穿鑿。牽	世 之 裨 販 之 徒 自 衒 自 媒 妄 談 般 若 [這言一ㄙ] 橫 生 穿 鑿 牽 
X26n0546_001:0842a03	枝引蔓。礙正知見。一盲唱之於前。百盲從而和之於	枝 引 蔓 礙 正 知 見 一 盲 唱 之 於 前 百 盲 從 而 和 之 於 
X26n0546_001:0842a04	後。瞎人眼目。徒增業苦。予憫無聞後進。蔓草難除。佛	後 瞎 人 眼 目 徒 增 業 苦 予 憫 無 聞 後 進 蔓 草 難 除 佛 
X26n0546_001:0842a05	燈欲滅。故不得已隨筆。略記經之首尾之旨如是。以	燈 欲 滅 故 不 得 已 隨 筆 略 記 經 之 首 尾 之 旨 如 是 以 
X26n0546_001:0842a06	俟知言。大似揚聲止響。予欲無言可乎。	俟 知 言 大 似 揚 聲 止 響 予 欲 無 言 可 乎 
X26n0546_001:0842a08	心經說(終)	心 經 說 終 
