X88n1666_001:0556c07	佛祖心燈	佛 祖 心 燈 
X88n1666_001:0556c09	七佛偈	七 佛 偈 
X88n1666_001:0556c10	毗婆尸佛(過去莊嚴劫第九百九十八尊)	毗 婆 尸 佛 過 去 莊 嚴 劫 第 九 百 九 十 八 尊 
X88n1666_001:0556c11	　身從無相中受生　　猶如幻出諸形像	 身 從 無 相 中 受 生 猶 如 幻 出 諸 形 像 
X88n1666_001:0556c12	　幻人心識本來無　　罪福皆空無所住	 幻 人 心 識 本 來 無 罪 福 皆 空 無 所 住 
X88n1666_001:0556c13	尸棄佛(莊嚴劫第九百九十九尊)	尸 棄 佛 莊 嚴 劫 第 九 百 九 十 九 尊 
X88n1666_001:0556c14	　起諸善法本是幻　　造諸惡業亦是幻	 起 諸 善 法 本 是 幻 造 諸 惡 業 亦 是 幻 
X88n1666_001:0556c15	　身如聚沫心如風　　幻出無根無實性	 身 如 聚 沫 心 如 風 幻 出 無 根 無 實 性 
X88n1666_001:0556c16	毗舍浮佛(過去莊嚴劫第一千尊)	毗 舍 浮 佛 過 去 莊 嚴 劫 第 一 千 尊 
X88n1666_001:0556c17	　假借四大以為身　　心本無生因境有	 假 借 四 大 以 為 身 心 本 無 生 因 境 有 
X88n1666_001:0556c18	　前境若無心亦無　　罪福如幻起亦滅	 前 境 若 無 心 亦 無 罪 福 如 幻 起 亦 滅 
X88n1666_001:0556c19	拘留孫佛(現在賢劫第一尊)	拘 留 孫 佛 現 在 賢 劫 第 一 尊 
X88n1666_001:0556c20	　見身無實是佛身　　了心如幻是佛幻	 見 身 無 實 是 佛 身 了 心 如 幻 是 佛 幻 
X88n1666_001:0556c21	　了得身心本性空　　斯人與佛何殊別	 了 得 身 心 本 性 空 斯 人 與 佛 何 殊 別 
X88n1666_001:0556c22	拘那含牟尼佛(賢劫第二尊)	拘 那 含 牟 尼 佛 賢 劫 第 二 尊 
X88n1666_001:0556c23	　佛不見身知是佛　　若是有知別無佛	 佛 不 見 身 知 是 佛 若 是 有 知 別 無 佛 
X88n1666_001:0556c24	　智者能知罪性空　　坦然不怖於生死	 智 者 能 知 罪 性 空 坦 然 不 怖 於 生 死 
X88n1666_001:0557a01	迦葉佛(賢劫第三尊)	迦 葉 佛 賢 劫 第 三 尊 
X88n1666_001:0557a02	　一切眾生心清淨　　從本無生無可滅	 一 切 眾 生 心 清 淨 從 本 無 生 無 可 滅 
X88n1666_001:0557a03	　即此身心是幻生　　幻化之中無罪福	 即 此 身 心 是 幻 生 幻 化 之 中 無 罪 福 
X88n1666_001:0557a04	釋迦牟尼佛(賢劫第四尊)	釋 迦 牟 尼 佛 賢 劫 第 四 尊 
X88n1666_001:0557a05	　法本法無法　　無法法亦法　　今付無法時	 法 本 法 無 法 無 法 法 亦 法 今 付 無 法 時 
X88n1666_001:0557a06	　法法何曾法	 法 法 何 曾 法 
X88n1666_001:0557a07	三十三祖傳法偈	三 十 三 祖 傳 法 偈 
X88n1666_001:0557a08	摩訶迦葉(天竺第一祖)	摩 訶 迦 葉 天 竺 第 一 祖 
X88n1666_001:0557a09	　法法本來法　　無法無非法　　何於一法中	 法 法 本 來 法 無 法 無 非 法 何 於 一 法 中 
X88n1666_001:0557a10	　有法有非法	 有 法 有 非 法 
X88n1666_001:0557a11	阿難(天竺第二祖)	阿 難 天 竺 第 二 祖 
X88n1666_001:0557a12	　本來付有法　　付了言無法　　各各須自悟	 本 來 付 有 法 付 了 言 無 法 各 各 須 自 悟 
X88n1666_001:0557a13	　悟了無無法	 悟 了 無 無 法 
X88n1666_001:0557a14	商那和修(天竺第三祖)	商 那 和 修 天 竺 第 三 祖 
X88n1666_001:0557a15	　非法亦非心　　無心亦無法　　說是心法時	 非 法 亦 非 心 無 心 亦 無 法 說 是 心 法 時 
X88n1666_001:0557a16	　是法非心法	 是 法 非 心 法 
X88n1666_001:0557a17	優婆毱多(天竺第四祖)	優 婆 毱 多 天 竺 第 四 祖 
