T48n2003_001:0139a03	碧巖錄序	碧 巖 錄 序 
T48n2003_001:0139a05	至聖命脈。列祖大機。換骨靈方。頤神妙術。其	至 聖 命 脈 列 祖 大 機 換 骨 靈 方 頤 神 妙 術 其 
T48n2003_001:0139a06	惟雪竇禪師。具超宗越格正眼。提掇正令。不	惟 雪 竇 禪 師 具 超 宗 越 格 正 眼 提 掇 正 令 不 
T48n2003_001:0139a07	露風規。秉烹佛煅祖鉗鎚。頌出衲僧向上巴	露 風 規 秉 烹 佛 煅 祖 鉗 鎚 頌 出 衲 僧 向 上 巴 
T48n2003_001:0139a08	鼻。銀山鐵壁。孰敢鑽研。蚊咬鐵牛。難為下	鼻 銀 山 鐵 壁 孰 敢 鑽 研 蚊 咬 鐵 牛 難 為 下 
T48n2003_001:0139a09	口。不逢大匠。焉悉玄微。粵有佛果老人。住碧	口 不 逢 大 匠 焉 悉 玄 微 粵 有 佛 果 老 人 住 碧 
T48n2003_001:0139a10	巖日。學者迷而請益。老人愍以垂慈。剔抉淵	巖 日 學 者 迷 而 請 益 老 人 愍 以 垂 慈 剔 抉 淵 
T48n2003_001:0139a11	源。剖析底理。當陽直指。豈立見知。百則公	源 剖 析 底 理 當 陽 直 指 豈 立 見 知 百 則 公 
T48n2003_001:0139a12	案。從頭一串穿來。一隊老漢。次第總將按過。	案 從 頭 一 串 穿 來 一 隊 老 漢 次 第 總 將 按 過 
T48n2003_001:0139a13	須知趙璧本無瑕纇。相如謾誑秦王。至道實	須 知 趙 璧 本 無 瑕 纇 相 如 謾 誑 秦 王 至 道 實 
T48n2003_001:0139a14	乎無言。宗師垂慈救弊。儻如是見。方知徹底	乎 無 言 宗 師 垂 慈 救 弊 儻 如 是 見 方 知 徹 底 
T48n2003_001:0139a15	老婆。其或泥句沈言。未免滅佛種族。(普照)幸	老 婆 其 或 泥 句 沈 言 未 免 滅 佛 種 族 普 照 幸 
T48n2003_001:0139a16	親師席。得聞未聞。道友集成簡編。鄙拙敘其	親 師 席 得 聞 未 聞 道 友 集 成 簡 編 鄙 拙 敘 其 
T48n2003_001:0139a17	本末。時建炎戊申。暮春晦日。參學嗣祖比丘	本 末 時 建 炎 戊 申 暮 春 晦 日 參 學 嗣 祖 比 丘 
T48n2003_001:0139a18	(普照)謹序。	 普 照 謹 序 
T48n2003_001:0139a19	自四十二章經入中國。始知有佛。自達磨至	自 四 十 二 章 經 入 中 國 始 知 有 佛 自 達 磨 至 
T48n2003_001:0139a20	六祖傳衣。始有言句。曰本來無一物為南宗。	六 祖 傳 衣 始 有 言 句 曰 本 來 無 一 物 為 南 宗 
T48n2003_001:0139a21	曰時時勤拂拭為北宗。於是有禪宗頌古行	曰 時 時 勤 拂 拭 為 北 宗 於 是 有 禪 宗 頌 古 行 
T48n2003_001:0139a22	世。其徒有翻案法。呵佛罵祖。無所不為。間	世 其 徒 有 翻 案 法 呵 佛 罵 祖 無 所 不 為 間 
