T46n1914_001:0459a12	止觀大意	止 觀 大 意 
T46n1914_001:0459a14	唐天台沙門釋湛然述	唐 天 台 沙 門 釋 湛 然 述 
T46n1914_001:0459a15	　　因員外李華欲知止觀大意略報綱要。	 因 員 外 李 華 欲 知 止 觀 大 意 略 報 綱 要 
T46n1914_001:0459a16	略述教觀門戶大概。今家教門以龍樹為始	略 述 教 觀 門 戶 大 概 今 家 教 門 以 龍 樹 為 始 
T46n1914_001:0459a17	祖。慧文但列內觀視聽而已。洎乎南嶽天台。	祖 慧 文 但 列 內 觀 視 聽 而 已 洎 乎 南 嶽 天 台 
T46n1914_001:0459a18	復因法華三昧。發陀羅尼。開拓義門觀法周	復 因 法華三昧 發 陀 羅 尼 開 拓 義 門 觀 法 周 
T46n1914_001:0459a19	備。消釋諸經。皆以五重玄解十義。融通觀法。	備 消 釋 諸 經 皆 以 五 重 玄 解 十 義 融 通 觀 法 
T46n1914_001:0459a20	乃用五科方便十乘軌行。言五重者。一切經	乃 用 五 科 方 便 十 乘 軌 行 言 五 重 者 一 切 經 
T46n1914_001:0459a21	前五義玄釋。名通義異。以總冠別。謂釋名。出	前 五 義 玄 釋 名 通 義 異 以 總 冠 別 謂 釋 名 出 
T46n1914_001:0459a22	體。明宗。辨用。判教。自法華前諸教未合五重	體 明 宗 辨 用 判 教 自 法 華 前 諸 教 未 合 五 重 
T46n1914_001:0459a23	皆麁。來至法華名等俱妙。廣如玄文十卷委	皆 麁 來 至 法 華 名 等 俱 妙 廣 如 玄 文 十 卷 委 
T46n1914_001:0459a24	釋。言十義者。一先明道理寂絕亡離不可思	釋 言 十 義 者 一 先 明 道 理 寂 絕 亡 離 不 可 思 
T46n1914_001:0459a25	議。於一寂理不分而分。離開諸諦。謂四四	議 於 一 寂 理 不 分 而 分 離 開 諸 諦 謂 四 四 
T46n1914_001:0459a26	諦七二諦五三諦等。若開若合權實道理冷	諦 七 二 諦 五 三 諦 等 若 開 若 合 權 實 道 理 冷 
T46n1914_001:0459a27	然可見。二能詮教門。綱格槃峙包括祕露。謂	然 可 見 二 能 詮 教 門 綱 格 槃 峙 包 括 祕 露 謂 
T46n1914_001:0459a28	漸頓不定祕密藏通別圓。得此八意。一代聲	漸 頓 不 定 祕 密 藏 通 別 圓 得 此 八 意 一 代 聲 
T46n1914_001:0459a29	教化道可知。三經論矛盾言義相乖。不可以	教 化 道 可 知 三 經 論 矛 盾 言 義 相 乖 不 可 以 
T46n1914_001:0459b01	情通。不可以博解。古來執諍連代不休。今用	情 通 不 可 以 博 解 古 來 執 諍 連 代 不 休 今 用 
T46n1914_001:0459b02	四悉檀意。無滯不融。拔擲自在。四者巧破執	四 悉 檀 意 無 滯 不 融 拔 擲 自 在 四 者 巧 破 執 
T46n1914_001:0459b03	著。善用諸句破能著心。如所破惑單複具足。	著 善 用 諸 句 破 能 著 心 如 所 破 惑 單 複 具 足 
T46n1914_001:0459b04	無言窮逐。五結正法門。對當行位使依教修	無 言 窮 逐 五 結 正 法 門 對 當 行 位 使 依 教 修 
T46n1914_001:0459b05	有方便。依行證有階差。賢聖不濫。免增上	有 方 便 依 行 證 有 階 差 賢 聖 不 濫 免 增 上 
T46n1914_001:0459b06	慢。六隨以一句縱橫無礙。而綸緒次第宛然	慢 六 隨 以 一 句 縱 橫 無 礙 而 綸 緒 次 第 宛 然 
T46n1914_001:0459b07	成章。七開章科段鉤銷相承。決疏文勢生起	成 章 七 開 章 科 段 鉤 銷 相 承 決 疏 文 勢 生 起 
T46n1914_001:0459b08	冠帶。八帖釋經文。須義順理當。九翻譯方	冠 帶 八 帖 釋 經 文 須 義 順 理 當 九 翻 譯 方 
T46n1914_001:0459b09	言。令名義不壅。十一一句下理觀消通觀。與	言 令 名 義 不 壅 十 一 一 句 下 理 觀 消 通 觀 與 
T46n1914_001:0459b10	經合印心成行。非數他寶。若釋法華彌須曉	經 合 印 心 成 行 非 數 他 寶 若 釋 法 華 彌 須 曉 
T46n1914_001:0459b11	了權實本迹。方可立行。此經獨得稱妙。方	了 權 實 本 迹 方 可 立 行 此 經 獨 得 稱 妙 方 
T46n1914_001:0459b12	可依此以立觀意。言五方便及十乘軌行者。	可 依 此 以 立 觀 意 言 五 方 便 及 十 乘 軌 行 者 
T46n1914_001:0459b13	即圓頓止觀全依法華圓頓止觀。即法華三	即 圓 頓 止 觀 全 依 法 華 圓 頓 止 觀 即 法 華 三 
T46n1914_001:0459b14	昧之異名耳。若欲修此圓頓三昧。具圓十乘	昧 之 異 名 耳 若 欲 修 此 圓 頓 三 昧 具 圓 十 乘 
T46n1914_001:0459b15	方名圓行。方便品法文雖略。譬諭品大車諭	方 名 圓 行 方 便 品 法 文 雖 略 譬 諭 品 大 車 諭 
T46n1914_001:0459b16	足。	足 
T46n1914_001:0459b17	然止觀十卷大分為二。初之二卷略釋綱紀。	然 止 觀 十 卷 大 分 為 二 初 之 二 卷 略 釋 綱 紀 
T46n1914_001:0459b18	後之八卷廣明行相。初略明中又開為五。謂	後 之 八 卷 廣 明 行 相 初 略 明 中 又 開 為 五 謂 
T46n1914_001:0459b19	發圓心。修圓行。感圓果。起八教歸三德。初發	發 圓 心 修 圓 行 感 圓 果 起 八 教 歸 三 德 初 發 
T46n1914_001:0459b20	圓心在第一卷。謂約四弘四諦六即。以簡偏	圓 心 在 第 一 卷 謂 約 四 弘 四 諦 六 即 以 簡 偏 
T46n1914_001:0459b21	圓發心之相。四弘是能發之誓。四諦是所依	圓 發 心 之 相 四 弘 是 能 發 之 誓 四 諦 是 所 依 
T46n1914_001:0459b22	之境。六即是所歷之位。誓若無境名為狂願。	之 境 六 即 是 所 歷 之 位 誓 若 無 境 名 為 狂 願 
