T34n1722_001:0633b09	法華遊意	法 華 遊 意 
T34n1722_001:0633b11	胡吉藏造	胡 吉 藏 造 
T34n1722_001:0633b12	開題序	開 題 序 
T34n1722_001:0633b13	蓋聞無上調御一切種智，內鏡三明、外流七	蓋 聞 無 上 調 御 一切種智 內 鏡 三 明 外 流 七 
T34n1722_001:0633b14	辨，蓄莫限之質、適無方之化，並皆會道無匪	辨 蓄 莫 限 之 質 適 無 方 之 化 並 皆 會 道 無 匪 
T34n1722_001:0633b15	稱機。至如《妙法蓮華經》者，斯乃窮理盡性之	稱 機 至 如 妙法蓮華 經 者 斯 乃 窮 理 盡 性 之 
T34n1722_001:0633b16	格言、究竟無餘之極說，理致淵遠，統群典之	格 言 究 竟 無 餘 之 極 說 理 致 淵 遠 統 群 典 之 
T34n1722_001:0633b17	要，文旨婉麗，窮巧妙之談，三聖之所揄揚，四	要 文 旨 婉 麗 窮 巧 妙 之 談 三 聖 之 所 揄 揚 四 
T34n1722_001:0633b18	依之所頂戴。昔仙人薗內未曜此摩尼，今靈	依 之 所 頂 戴 昔 仙 人 薗 內 未 曜 此 摩 尼 今 靈 
T34n1722_001:0633b19	鷲山中方灑茲甘露，良以小志前開故早馳	鷲 山 中 方 灑 茲 甘 露 良 以 小 志 前 開 故 早 馳 
T34n1722_001:0633b20	羊鹿，大心後發方駕此白牛，斯實薩埵之	羊 鹿 大 心 後 發 方 駕 此 白 牛 斯 實 薩 埵 之 
T34n1722_001:0633b21	明訓、道場之玄軌也。此經文雖有七軸，義有	明 訓 道 場 之 玄 軌 也 此 經 文 雖 有 七 軸 義 有 
T34n1722_001:0633b22	二章：一、開方便門，二、顯真實義。開方便門者，	二 章 一 開 方 便 門 二 顯 真 實 義 開 方 便 門 者 
T34n1722_001:0633b23	開兩種方便；顯真實義者，顯二種真實。假三	開 兩 種 方 便 顯 真 實 義 者 顯 二 種 真 實 假 三 
T34n1722_001:0633b24	車於門外為引耽戲之童，設化城於道中以	車 於 門 外 為 引 耽 戲 之 童 設 化 城 於 道 中 以 
T34n1722_001:0633b25	接疲怠之眾，謂乘方便也；皆是吾子等賜大	接 疲 怠 之 眾 謂 乘 方 便 也 皆 是 吾 子 等 賜 大 
T34n1722_001:0633b26	車，既知止息同到寶所，謂乘真實也。燃燈	車 既 知 止 息 同 到 寶 所 謂 乘 真 實 也 燃 燈 
T34n1722_001:0633b27	授記、伽耶成道、王宮誕生、雙林唱滅，謂身方	授 記 伽 耶 成 道 王 宮 誕 生 雙 林 唱 滅 謂 身 方 
T34n1722_001:0633b28	便也；逸多不見其始，窮學莫惻其終，六趣	便 也 逸 多 不 見 其 始 窮 學 莫 惻 其 終 六 趣 
T34n1722_001:0633b29	無以攝其生，力負無以化其體，謂身真實也。	無 以 攝 其 生 力 負 無 以 化 其 體 謂 身 真 實 也 
T34n1722_001:0633c01	兩門既為方便，所以言麁；二種並云真實，故	兩 門 既 為 方 便 所 以 言 麁 二 種 並 云 真 實 故 
T34n1722_001:0633c02	目之為妙。夫借一以破三，三除而一捨；假修	目 之 為 妙 夫 借 一 以 破 三 三 除 而 一 捨 假 修 
T34n1722_001:0633c03	以斥短，短息而脩忘。然則言窮慮絕，何實何	以 斥 短 短 息 而 脩 忘 然 則 言 窮 慮 絕 何 實 何 
T34n1722_001:0633c04	權？本性寂然，孰開孰覆？故理超言外強稱為	權 本 性 寂 然 孰 開 孰 覆 故 理 超 言 外 強 稱 為 
T34n1722_001:0633c05	妙，為物作軌則目之為法，道玄像表假喻蓮	妙 為 物 作 軌 則 目 之 為 法 道 玄 像 表 假 喻 蓮 
T34n1722_001:0633c06	花，所言經者，妙顯無言寂滅，古今莫改，體	花 所 言 經 者 妙 顯 無 言 寂 滅 古 今 莫 改 體 
T34n1722_001:0633c07	可揩摸，故云經也。	可 揩 摸 故 云 經 也 
T34n1722_001:0633c08	法華玄十門分別。	法 華 玄 十 門 分 別 
T34n1722_001:0633c09	　一來意門　二宗旨門　三釋名題門	 一 來 意 門 二 宗 旨 門 三 釋 名 題 門 
T34n1722_001:0633c10	　四辨教意門　五顯密門　六三一門	 四 辨 教 意 門 五 顯 密 門 六 三 一 門 
T34n1722_001:0633c11	　七功用門　八弘經門　九部黨門	 七 功 用 門 八 弘 經 門 九 部 黨 門 
T34n1722_001:0633c12	　十緣起門	 十 緣 起 門 
T34n1722_001:0633c13	第一、來意門者，問：佛何因緣故說是《妙法	第 一 來 意 門 者 問 佛 何 因 緣 故 說 是 妙 法 
T34n1722_001:0633c14	花經》耶？諸佛不以無事及少因緣而自發言，	花 經 耶 諸 佛 不 以 無 事 及 少 因 緣 而 自 發 言 
T34n1722_001:0633c15	今有何等大因緣故說是經耶？答：妙法蓮花	今 有 何 等 大 因 緣 故 說 是 經 耶 答 妙 法 蓮 花 
T34n1722_001:0633c16	其義無量，所謂因緣亦復非一，今略序綱	其 義 無 量 所 謂 因 緣 亦 復 非 一 今 略 序 綱 
T34n1722_001:0633c17	要開十門：一者、欲為諸菩薩說諸菩薩行	要 開 十 門 一 者 欲 為 諸 菩 薩 說 諸 菩 薩 行 
T34n1722_001:0633c18	故說是經。問：始自華嚴之會、終竟法花前集，	故 說 是 經 問 始 自 華 嚴 之 會 終 竟 法 花 前 集 
T34n1722_001:0633c19	四十餘年，諸大乘經已說菩薩行，今何因緣	四 十 餘 年 諸 大 乘 經 已 說 菩 薩 行 今 何 因 緣 
