T85n2917B_001:1462b12	新菩薩經	新 菩 薩 經 
T85n2917B_001:1462b14	率□□□□□□□大小念百萬口。阿彌陀	率 大 小 念 百 萬 口 阿 彌 陀 
T85n2917B_001:1462b15	佛五百身中不入□□菩薩說今[(乖北+(刀*刀))/干]八[匚@出]九[匚@出]	佛 五 百 身 中 不 入 菩 薩 說 今 [乖北刀刀干]八[匚出]九[匚出] 
T85n2917B_001:1462b16	太山崩須九萬億□亦須九千億牛。第一患	太 山 崩 須 九 萬 億 亦 須 九 千 億 牛 第 一 患 
T85n2917B_001:1462b17	死。第二卒死。第三產坐死。第四不持齋死。第	死 第 二 卒 死 第 三 產 坐 死 第 四 不 持 齋 死 第 
T85n2917B_001:1462b18	五腸肚熱死。第六自絞死。今[(乖北+(刀*刀))/干]禾荳熟恐無	五 腸 肚 熱 死 第 六 自 絞 死 今 [乖北刀刀干] 禾 荳 熟 恐 無 
T85n2917B_001:1462b19	人無收度。今[(乖北+(刀*刀))/干]即好信者寫一通免身。寫二	人 無 收 度 今 [乖北刀刀干] 即 好 信 者 寫 一 通 免 身 寫 二 
T85n2917B_001:1462b20	通免合家。寫三通免一村。若聞不寫即滅門。	通 免 合 家 寫 三 通 免 一 村 若 聞 不 寫 即 滅 門 
T85n2917B_001:1462b21	若有轉讀此經者。皆度苦難。不信即身滅。經	若 有 轉 讀 此 經 者 皆 度 苦 難 不 信 即 身 滅 經 
T85n2917B_001:1462b22	從西涼州縣來。在彼城東門口。四[匚@出]雷鳴雨	從 西 涼 州 縣 來 在 彼 城 東 門 口 四 [匚出] 雷 鳴 雨 
T85n2917B_001:1462b23	下一石如斗。破兩片遂見此經。轉示眾生得	下 一 石 如 斗 破 兩 片 遂 見 此 經 轉 示 眾 生 得 
T85n2917B_001:1462b24	福無量。	福 無 量 
