T85n2859_001:1314b03	惠遠外傳	惠 遠 外 傳 
T85n2859_001:1314b05	題梵音遠向嚮漸歷耳□□□□□□□□	題 梵 音 遠 向 嚮 漸 歷 耳 
T85n2859_001:1314b06	遠公日不知甚生道安講讚得爾許多能解。	遠 公 日 不 知 甚 生 道 安 講 讚 得 爾 許 多 能 解 
T85n2859_001:1314b07	願我一朝再登高座。重政十他之果與一切	願 我 一 朝 再 登 高 座 重 政 十 他 之 果 與 一 切 
T85n2859_001:1314b08	眾生。□災有邪無邪。有相無相皆因涅槃而	眾 生 災 有 邪 無 邪 有 相 無 相 皆 因 涅 槃 而 
T85n2859_001:1314b09	滅度。須臾之間便□下講男女齊散。相公歸	滅 度 須臾之間 便 下 講 男 女 齊 散 相 公 歸 
T85n2859_001:1314b10	宅廳中歇息既定昇坐廳。而夫掩袂直至相	宅 廳 中 歇 息 既 定 昇 坐 廳 而 夫 掩 袂 直 至 相 
T85n2859_001:1314b11	公面前。啟相公曰。只如相公數并於稱光寺	公 面 前 啟 相 公 曰 只 如 相 公 數 并 於 稱 光 寺 
T85n2859_001:1314b12	內聽道安上人講涅槃經。還聽得何法。見說	內 聽 道 安 上 人 講 涅 槃 經 還 聽 得 何 法 見 說 
T85n2859_001:1314b13	涅槃經。義無量無邊。相公記得多少來經文。	涅 槃 經 義 無量無邊 相 公 記 得 多 少 來 經 文 
T85n2859_001:1314b14	何得默然而不言。並不為妾說一句半句之	何 得 默 然 而 不 言 並 不 為 妾 說 一 句 半 句 之 
T85n2859_001:1314b15	偈。相公曰。夫人眾讚法華經已否。夫人曰。	偈 相 公 曰 夫 人 眾 讚 法 華 經 已 否 夫 人 曰 
T85n2859_001:1314b16	曾讀法華經。相公言。經中道不請說之聞必	曾 讀 法 華 經 相 公 言 經 中 道 不 請 說 之 聞 必 
T85n2859_001:1314b17	不聽。夫人曰。願相公為宅內良賤略說多少	不 聽 夫 人 曰 願 相 公 為 宅 內 良 賤 略 說 多 少 
T85n2859_001:1314b18	令心開悟解。相公言。道得為夫人說涅槃經	令 心 開 悟 解 相 公 言 道 得 為 夫 人 說 涅 槃 經 
T85n2859_001:1314b19	中之義。夫人便處分家人掃灑廳館。高設床	中 之 義 夫 人 便 處 分 家 人 掃 灑 廳 館 高 設 床 
T85n2859_001:1314b20	座喚大小良賤三百餘口齊至廳前。請相公	座 喚 大 小 良 賤 三 百 餘 口 齊 至 廳 前 請 相 公 
T85n2859_001:1314b21	說涅槃經中之義。應是諸人默然而聽。相公	說 涅 槃 經 中 之 義 應 是 諸 人 默 然 而 聽 相 公 
T85n2859_001:1314b22	是夜先為夫人說其八苦。交煎第一說其生	是 夜 先 為 夫 人 說 其 八 苦 交 煎 第 一 說 其 生 
T85n2859_001:1314b23	苦。生苦者生身。託母蔭在胎中。臨月之間由	苦 生 苦 者 生 身 託 母 蔭 在 胎 中 臨 月 之 間 由 
T85n2859_001:1314b24	如蘇酪。九十日內然可成形。男在阿孃左邊。	如 蘇 酪 九 十 日 內 然 可 成 形 男 在 阿 孃 左 邊 
T85n2859_001:1314b25	女在阿孃右脇。貼著俯近心肝稟氣成形。乃	女 在 阿 孃 右 脇 貼 著 俯 近 心 肝 稟 氣 成 形 乃 
T85n2859_001:1314b26	受諸苦。賢愚一等貴賤。亦同慈母之恩應無	受 諸 苦 賢 愚 一 等 貴 賤 亦 同 慈 母 之 恩 應 無 
T85n2859_001:1314b27	兩種。母喫熱飯不異鑊湯煮身。母喫冷物恰	兩 種 母 喫 熱 飯 不 異 鑊 湯 煮 身 母 喫 冷 物 恰 
T85n2859_001:1314b28	如寒氷地獄。母若食飽由如夾□之中。母若	如 寒 氷 地 獄 母 若 食 飽 由 如 夾 之 中 母 若 
T85n2859_001:1314b29	飢時生受倒懸之苦。十月滿足生產欲臨。百	飢 時 生 受 倒 懸 之 苦 十 月 滿 足 生 產 欲 臨 百 
