T19n0935_001:0080b23	極樂願文	極 樂 願 文 
T19n0935_001:0080b25	清字經館行走福佑寺達喇嘛	清 字 經 館 行 走 福 佑 寺 達 喇 嘛 
T19n0935_001:0080b26	嘠卜楚薩木丹達爾吉譯	嘠 卜 楚 薩 木 丹 達 爾 吉 譯 
T19n0935_001:0080b27	　希有為眾施行無盡德	 希 有 為 眾 施 行 無 盡 德 
T19n0935_001:0080b28	　略念能令死主難遠離	 略 念 能 令 死 主 難 遠 離 
T19n0935_001:0080b29	　恒觀有情如憶獨子者	 恒 觀 有 情 如 憶 獨 子 者 
T19n0935_001:0080c01	　世尊無量壽佛前敬禮	 世 尊 無 量 壽 佛 前 敬 禮 
T19n0935_001:0080c02	　釋迦牟尼歷次中　　善所稱讚之勝境	 釋 迦 牟 尼 歷 次 中 善 所 稱 讚 之 勝 境 
T19n0935_001:0080c03	　往生極樂願文詞　　由慈悲故盡力說	 往 生 極 樂 願 文 詞 由 慈 悲 故 盡 力 說 
T19n0935_001:0080c04	　善惡被重無明障　　天人命為嗔械殘	 善 惡 被 重 無 明 障 天 人 命 為 嗔 械 殘 
T19n0935_001:0080c05	　愛[糸*(索糸+系)]縛在輪迴獄　　業水飄進三有海	 愛 [糸索糸系] 縛 在 輪 迴 獄 業 水 飄 進 三 有 海 
T19n0935_001:0080c06	　病老苦浪多推蕩　　摧入死主海獸口	 病 老 苦 浪 多 推 蕩 摧 入 死 主 海 獸 口 
T19n0935_001:0080c07	　常為不欲苦擔壓　　無依玷辱之號哀	 常 為 不 欲 苦 擔 壓 無 依 玷 辱 之 號 哀 
T19n0935_001:0080c08	　願與心為證見者　　導引困苦獨彌陀	 願 與 心 為 證 見 者 導 引 困 苦 獨 彌 陀 
T19n0935_001:0080c09	　觀音大勢至菩薩　　並眷屬前謹禱祈	 觀 音 大 勢 至 菩 薩 並 眷 屬 前 謹 禱 祈 
T19n0935_001:0080c10	　為我等故與多劫　　曾發勝誓願莫忘	 為 我 等 故 與 多 劫 曾 發 勝 誓 願 莫 忘 
T19n0935_001:0080c11	　如妙翅尊行虛空　　以慈神力而降臨	 如 妙 翅 尊 行 虛 空 以 慈 神 力 而 降 臨 
T19n0935_001:0080c12	伏願自他三世。所緣二資糧海。普合一力為	伏 願 自 他 三 世 所 緣 二 資 糧 海 普 合 一 力 為 
T19n0935_001:0080c13	倚。我等臨命終時。親見接引彌陀。二大菩薩。	倚 我 等 臨命終時 親 見 接 引 彌 陀 二 大 菩 薩 
T19n0935_001:0080c14	並諸眷屬圍繞現前。爾時於佛眷屬生極專	並 諸 眷 屬 圍 繞 現 前 爾 時 於 佛 眷 屬 生 極 專 
T19n0935_001:0080c15	之至誠。而無斷命之苦。仍不失其信誠。並所	之 至 誠 而 無 斷 命 之 苦 仍 不 失 其 信 誠 並 所 
T19n0935_001:0080c16	見境界之念。將終之時。八大佛子。皆以神變	見 境 界 之 念 將 終 之 時 八 大 佛 子 皆 以 神 變 
T19n0935_001:0080c17	來至。指引極樂之路。依教即往極樂勝境。從	來 至 指 引 極 樂 之 路 依 教 即 往 極 樂 勝 境 從 
T19n0935_001:0080c18	寶蓮中。願生大乘利根之種姓。	寶 蓮 中 願 生 大 乘 利 根 之 種 姓 
T19n0935_001:0080c19	將生之時。一切總持及諸禪定。無緣道心。無	將 生 之 時 一 切 總 持 及 諸 禪 定 無 緣 道 心 無 
T19n0935_001:0080c20	盡辯才等。無量諸勝功德。具足而得。即承無	盡 辯 才 等 無 量 諸 勝 功 德 具 足 而 得 即 承 無 
T19n0935_001:0080c21	上導師阿彌陀佛。並十方諸佛菩薩。悉皆歡	上 導 師 阿 彌 陀 佛 並 十方諸佛 菩 薩 悉 皆 歡 
T19n0935_001:0080c22	喜。願受大乘之法勅。於彼諸法之義。剎那閒	喜 願 受 大 乘 之 法 勅 於 彼 諸 法 之 義 剎 那 閒 
T19n0935_001:0080c23	如理融通。即乘無礙神變。至方廣佛剎。廣行	如 理 融 通 即 乘 無 礙 神 變 至 方 廣 佛 剎 廣 行 
T19n0935_001:0080c24	菩薩妙行。願悉圓滿。	菩 薩 妙 行 願 悉 圓 滿 
T19n0935_001:0080c25	已生淨土之時。起諸勇猛慈悲。以無礙神變。	已 生 淨 土 之 時 起 諸 勇 猛 慈 悲 以 無 礙 神 變 
T19n0935_001:0080c26	特至穢土。為諸眾生。各如自緣。依法而教。願	特 至 穢 土 為 諸 眾 生 各 如 自 緣 依 法 而 教 願 
T19n0935_001:0080c27	悉安之於諸佛稱讚清淨之道。普行希有之	悉 安 之 於 諸 佛 稱 讚 清 淨 之 道 普 行 希 有 之 
T19n0935_001:0080c28	行。皆速圓滿。利益無邊眾生。願皆易得佛	行 皆 速 圓 滿 利 益 無 邊 眾 生 願 皆 易 得 佛 
T19n0935_001:0080c29	果。	果 
T19n0935_001:0081a01	　願臨命終時　　海會繞彌陀	 願 臨命終時 海 會 繞 彌 陀 
T19n0935_001:0081a02	　眼前明顯見　　慈信盈我心	 眼 前 明 顯 見 慈 信 盈 我 心 
T19n0935_001:0081a03	　將見中陰兆　　佛子即指教	 將 見 中 陰 兆 佛 子 即 指 教 
