T85n2919_001:1463a17	佛母經	佛 母 經 
T85n2919_001:1463a19	爾時，世尊入般涅槃，倚臥雙告諸大眾：「吾今	爾 時 世 尊 入般涅槃 倚 臥 雙 告 諸 大 眾 吾 今 
T85n2919_001:1463a20	欲般涅槃，不見阿難及吾迦葉。來時語言：『吾	欲 般 涅 槃 不 見 阿 難 及 吾 迦 葉 來 時 語 言 吾 
T85n2919_001:1463a21	與汝不相見也。』」即使憂波梨，往詣刀利天上，	與 汝 不 相 見 也 即 使 憂 波 梨 往 詣 刀 利 天 上 
T85n2919_001:1463a22	告吾母知：「舉身疼痛，不可思議，願母早來，	告 吾 母 知 舉 身 疼 痛 不可思議 願 母 早 來 
T85n2919_001:1463a23	禮敬三寶。」爾時，佛母於其中夜，作六種惡夢：	禮 敬 三 寶 爾 時 佛 母 於 其 中 夜 作 六 種 惡 夢 
T85n2919_001:1463a24	一者，夢見珍山崩；二者，夢見四海枯竭；三者，	一 者 夢 見 珍 山 崩 二 者 夢 見 四 海 枯 竭 三 者 
T85n2919_001:1463a25	夢見五月下霜；四者，夢見寶幢幡摧斫、幡花	夢 見 五 月 下 霜 四 者 夢 見 寶 幢 幡 摧 斫 幡 花 
T85n2919_001:1463a26	崩倒；五者，夢見四火來燒我身；六者，夢見兩	崩 倒 五 者 夢 見 四 火 來 燒 我 身 六 者 夢 見 兩 
T85n2919_001:1463a27	乳自然流出。爾時，佛母說夢未訖，正見憂波	乳 自 然 流 出 爾 時 佛 母 說 夢 未 訖 正 見 憂 波 
T85n2919_001:1463a28	梨從空而來。口問：「聖人從何方來？顏容顦	梨 從 空 而 來 口 問 聖 人 從 何 方 來 顏 容 顦 
T85n2919_001:1463a29	顇、面色無光，狀似怯人？」爾□憂波梨，哽咽聲	顇 面 色 無 光 狀 似 怯 人 爾 憂 波 梨 哽 咽 聲 
T85n2919_001:1463b01	嘶，量久不語。告言：「佛母！佛母！我如來大師，	嘶 量 久 不 語 告 言 佛 母 佛 母 我 如 來 大 師 
T85n2919_001:1463b02	昨夜子時，捨大法身，入般涅槃。故遺我來，告	昨 夜 子 時 捨 大 法 身 入般涅槃 故 遺 我 來 告 
T85n2919_001:1463b03	請眷屬。」爾時，佛母聞此語，以渾塠自摸，如須	請 眷 屬 爾 時 佛 母 聞 此 語 以 渾 塠 自 摸 如 須 
T85n2919_001:1463b04	彌山崩，遍體而現，如波羅奢花，悶絕躃地。時，	彌 山 崩 遍 體 而 現 如 波 羅 奢 花 悶 絕 躃 地 時 
T85n2919_001:1463b05	有二天女，將水[口*孫]之，量久還惺。爾時，佛母將	有 二 天 女 將 水 [口孫] 之 量 久 還 惺 爾 時 佛 母 將 
T85n2919_001:1463b06	諸徒眾，恭敬圍遶，從刀利天下至娑羅雙樹	諸 徒 眾 恭 敬 圍 遶 從 刀 利 天 下 至 娑 羅 雙 樹 
T85n2919_001:1463b07	間。正見如來，殯斂以訖，唯有僧伽梨衣，疊	間 正 見 如 來 殯 斂 以 訖 唯 有 僧伽梨衣 疊 
T85n2919_001:1463b08	著棺邊；鉢盂錫杖，掛其樹上。有二師子，自剄	著 棺 邊 鉢 盂 錫 杖 掛 其 樹 上 有 二 師 子 自 剄 
T85n2919_001:1463b09	而死；十大弟子，向天號哭。爾時，佛母手携此	而 死 十 大 弟 子 向 天 號 哭 爾 時 佛 母 手 携 此 
T85n2919_001:1463b10	物，而作是言：「此是我子，生存在日，持用此物，	物 而 作 是 言 此 是 我 子 生 存 在 日 持 用 此 物 
T85n2919_001:1463b11	化導眾生。此物，今無主也！」爾時，佛母遶棺三	化 導 眾 生 此 物 今 無 主 也 爾 時 佛 母 遶 棺 三 
T85n2919_001:1463b12	匝，却住一面，悶淚而言，告言：「慈子！汝是我	匝 却 住 一 面 悶 淚 而 言 告 言 慈 子 汝 是 我 
T85n2919_001:1463b13	子，我是汝母。汝今入般涅槃，云何不留半偈	子 我 是 汝 母 汝 今 入般涅槃 云 何 不 留 半 偈 
T85n2919_001:1463b14	之法？」爾時，如來聞母喚聲，金棺自開，却坐	之 法 爾 時 如 來 聞 母 喚 聲 金 棺 自 開 却 坐 
T85n2919_001:1463b15	千葉蓮花臺上，為母說法：	千 葉 蓮 花 臺 上 為 母 說 法 
T85n2919_001:1463b16	「世間苦空，　　諸行無常，　　是生滅法，	 世 間 苦 空 諸行無常 是 生 滅 法 
T85n2919_001:1463b17	　生滅滅已，　　寂滅為樂。」	 生 滅 滅 已 寂 滅 為 樂 
T85n2919_001:1463b18	爾時，佛母聞此法，以心生歡喜，還歸本天。未	爾 時 佛 母 聞 此 法 以 心生歡喜 還 歸 本 天 未 
T85n2919_001:1463b19	至天所，住立虛空，心生慈悲，嗚呼大哭。天	至 天 所 住 立 虛 空 心 生 慈 悲 嗚 呼 大 哭 天 
T85n2919_001:1463b20	地震動，淚下如雨。雲中百鳥，皆作哭聲。一切	地 震 動 淚 下 如 雨 雲 中 百 鳥 皆 作 哭 聲 一 切 
T85n2919_001:1463b21	恩愛，會有別離，何其如來□□□□□涅槃！	恩 愛 會 有 別 離 何 其 如 來 涅 槃 
